,lambda_0.0,lambda_0.36,lambda_0.68,lambda_0.84,lambda_0.92,lambda_0.96,lambda_0.98,lambda_0.99,lambda_1.0
lr_0.0001,-94.77093169999996,-94.36764933333339,-95.65748219999999,-98.94287423333331,-106.64374293333333,-123.18246710000001,-152.33133690000003,-166.76249393333342,-209.34307126666667
lr_0.0003,-89.28242983333332,-89.84537909999996,-89.72058126666661,-90.54937230000003,-107.62905563333332,-113.27037136666667,-107.44673776666662,-123.28514396666668,-132.21010206666668
lr_0.0006,-95.29838753333333,-88.77740703333333,-88.4119746666667,-88.46830496666666,-94.26821496666665,-147.9351788666667,-159.30331189999998,-112.39354886666666,-121.38778503333334
lr_0.001,-89.38984996666667,-87.3391429,-88.89274233333337,-101.20385100000001,-97.48237656666666,-151.2417473,-177.58390993333342,-126.08806626666662,-115.04528620000002
lr_0.003,-87.20983583333332,-85.80224759999999,-86.43475719999998,-97.40257646666663,-127.64007280000004,-136.24606586666667,-138.07148689999997,-128.21940989999996,-108.77491256666666
lr_0.006,-130.9365553666667,-88.69219119999994,-98.74622363333337,-129.17518490000003,-194.9567000333333,-303.3949229666666,-323.1803284,-290.7980083666667,-299.07404693333336
lr_1e-05,-143.397715,-146.4777934333333,-157.03756343333333,-180.26694126666666,-234.4501966666667,-326.80435596666683,-443.9323579999999,-470.4094320333335,-488.87874283333343
lr_3e-05,-110.81183296666669,-113.74678499999997,-119.26390466666666,-128.56366726666664,-146.42456833333333,-171.8824586333333,-239.3562619000001,-299.5768467333333,-317.26579686666656
lr_6e-05,-100.1087882,-99.9948371,-102.0579308,-107.06383656666665,-117.4776603,-126.75731316666672,-159.72282209999997,-267.89735883333327,-239.68804810000003
