lambda,convergence_value_mean,convergence_value_ci95,convergence_p5,convergence_p95
0.9,-89.16477269350752,8.099682301401641,-88.49041962494856,-82.93309423515512
0.905,-85.10635728718673,0.3719216885137846,-87.97564888953104,-82.36194726377299
0.91,-93.47542667816342,11.388865337197998,-89.22819307589866,-82.81045144369202
0.915,-85.03829214283358,0.37284132522261937,-88.24496493588137,-82.20457984427308
0.92,-97.52519972909172,13.879168743587638,-89.8466028012802,-81.88806294107222
0.925,-85.26914787745145,0.38537706438002506,-88.88431011509266,-82.64451696218822
0.93,-97.54878665519398,13.87716489554557,-89.176119365236,-82.44265410982547
0.935,-89.48582272208706,8.098181856050065,-90.13664964015005,-82.64910904120212
0.9400000000000001,-89.3227383298618,8.097382221470646,-88.61851207334645,-82.76045162736307
0.9450000000000001,-97.98239655440165,13.862976443915766,-90.76681549337073,-82.87960956423275
0.95,-97.83051453859231,13.867711678300182,-90.07686137597858,-82.54418172856543
0.9550000000000001,-97.84744275341798,13.866132377491207,-89.59408581605241,-82.81508018426298
0.96,-97.49829181592077,13.878637553069582,-89.7241159175108,-82.79704847569413
0.965,-106.20855537493767,17.710258453068885,-110.39941949878994,-83.06535537389792
0.97,-110.64243284041108,19.284635492369112,-500.0,-82.81131476108324
0.975,-106.80681422363381,17.684154019711922,-115.10258952563098,-83.70259684673614
0.98,-98.28110903775422,13.851928618627442,-90.24332679111866,-83.44217337983075
0.985,-98.74298440975996,13.836894927287751,-90.80744762511092,-83.83746076577125
0.99,-99.09231991531259,13.824183110950587,-91.04537172058164,-83.959591319143
0.995,-91.36613208560078,8.059414823422243,-91.26208802110865,-84.19386213287927
1.0,-91.76120825453322,8.055258104579092,-91.75674706820273,-84.53869416775107
