,lambda_0.0,lambda_0.36,lambda_0.68,lambda_0.84,lambda_0.92,lambda_0.96,lambda_0.98,lambda_0.99,lambda_1.0
lr_0.0001,351.1144333343138,382.32006090098145,406.36069733437205,424.6181012010135,423.4214450343373,433.31698420100474,429.9021481342438,428.60400103432477,430.5975895009923
lr_0.0003,406.75216970092936,426.09802310102754,446.58787186767324,458.18211860101457,455.5693174343323,454.37696430103887,452.47018443424844,450.9989434675044,449.942234000985
lr_0.0006,401.8058580008595,461.82891143429026,465.04641853428626,463.5513483009901,466.57408386765144,466.26704286766454,463.0527402342526,462.53118273437207,464.7592576009951
lr_0.001,390.8491691341232,451.2949764676755,468.70859210098513,471.39121346767246,473.3665879676991,467.1197539010053,464.7848078676563,466.1125338676588,466.29488253437216
lr_0.003,378.19831323419095,449.30120103428607,466.0104431675965,469.90980866767296,466.54219446761505,459.36961970089214,450.2708970008586,451.52249833420535,448.6419571676708
lr_0.006,347.63815453404845,405.0426156008921,440.8071912676272,444.5575822008737,422.13960266742686,411.87424786753127,410.43960190077433,413.1499213007369,408.44019973419717
lr_1e-05,90.36086020038495,77.8157096668744,105.86477290018095,192.2143397338334,214.81570746717713,218.25420313393107,214.7740364672744,211.35791320061222,203.06904953399325
lr_3e-05,134.15423816720244,218.0082587341849,273.34753180080844,274.543012400692,302.2995809007999,323.29118383416983,335.94947206756336,337.7157451342316,337.7280019341932
lr_6e-05,267.19269620085913,344.11771953424875,356.4744316676535,377.3461901010387,386.3102978676908,388.8509627343168,396.67113873431435,400.90743123433595,411.97811113434625
