,lambda_0.0,lambda_0.36,lambda_0.68,lambda_0.84,lambda_0.92,lambda_0.96,lambda_0.98,lambda_0.99,lambda_1.0
lr_0.0001,3.5842973499999715,3.983049799999961,4.9165836500000495,6.17939084999999,13.874373199999994,62.70448664999998,276.17444865,221.20376234999998,381.0892109
lr_0.0003,3.2231380000000485,3.9154903499999847,4.942794499999991,4.204705649999994,9.573742099999933,28.520761399999998,44.73559704999997,71.93626459999997,66.34442789999997
lr_0.0006,4.871996950000025,3.9743444999999724,5.209538200000026,2.891959700000001,8.994105550000015,410.91907185,410.2011232,99.99537830000004,115.81139370000001
lr_0.001,5.671613250000036,3.4745764999999835,3.801278750000023,8.049201649999986,45.887931649999956,411.22587434999997,411.30969515,207.75391389999996,120.66213139999994
lr_0.003,3.3261234500000114,2.9639022499999896,2.782436799999985,10.738481749999991,241.32938199999995,253.38711189999987,331.11913745000004,146.73999655,33.2429523
lr_0.006,286.15003729999995,4.202233399999983,17.223571050000032,312.08459124999996,407.17843765000003,402.56629254999996,387.2077169,376.83049985,383.65636190000004
lr_1e-05,22.358268200000055,19.393024499999996,16.71818160000001,21.134564249999954,33.64822070000005,102.97980505000004,147.34133505,88.26692924999992,40.99505925
lr_3e-05,11.606755999999976,9.279452399999997,9.23195109999999,13.69582595,20.9119704,30.154767049999975,313.09683505,326.2648888,307.5333253
lr_6e-05,5.614012399999993,6.027866100000068,4.3120455499999935,6.81107800000008,13.429061199999936,19.34414169999998,160.77246649999998,368.47293115,360.60389645000004
