,lambda_0.0,lambda_0.36,lambda_0.68,lambda_0.84,lambda_0.92,lambda_0.96,lambda_0.98,lambda_0.99,lambda_1.0
lr_0.0001,210.16898265,137.94146734999998,29.055515849999892,19.477135050000015,86.87798250000003,63.114528699999994,78.78593424999991,102.95580410000002,45.89481895
lr_0.0003,221.4857988,157.34133799999995,41.72956264999988,27.102764699999966,29.59822959999991,23.029821649999917,24.687121450000006,27.424810099999945,18.730473899999936
lr_0.0006,312.2080605,35.802489549999905,27.03615354999988,32.73313135000001,20.209730200000024,10.917196850000039,14.476398649999965,14.488360799999953,17.429434750000155
lr_0.001,310.11426265000006,96.16759065000002,22.610501599999907,16.80860580000001,9.43165149999993,13.566828550000025,16.577979050000124,10.374706850000052,15.066777449999961
lr_0.003,229.06065784999996,60.51310334999994,34.731972799999994,22.76545060000001,15.539351350000004,23.030353799999887,27.042182899999943,29.698933349999947,40.65514694999996
lr_0.006,321.48114720000007,111.96657354999991,58.595894550000025,35.83966219999991,42.31057804999989,38.49351055000011,41.486691900000096,56.91577909999984,64.40799605000001
lr_1e-05,79.26107354999999,34.76747925,66.11922389999992,76.03333974999993,24.83096605,36.81618150000003,20.687878950000055,22.7202226,26.874507800000032
lr_3e-05,210.14973209999994,120.43964985000002,91.76372104999996,88.17325779999993,73.46054250000003,84.71932324999995,64.80819215000002,58.8351547499999,60.347231350000015
lr_6e-05,338.66365179999997,135.54357535,32.29662259999992,61.18019659999993,73.35664210000004,103.20540599999998,109.11984355000021,71.46412480000004,34.59073450000005
