,lambda_0.0,lambda_0.36,lambda_0.68,lambda_0.84,lambda_0.92,lambda_0.96,lambda_0.98,lambda_0.99,lambda_1.0
lr_0.0001,293.63534603414064,385.52482946764525,379.29698170095867,409.4638945676866,414.45183476766755,427.7336082676808,431.11835286765864,425.4053892676691,426.91269230097276
lr_0.0003,413.88465653431734,388.94086076757765,448.29850300098605,459.2645245010385,465.7995517010179,463.63045003434013,460.80985880102435,459.0304911677054,456.7527807010383
lr_0.0006,418.267570800951,452.4636399343427,468.1969540010387,470.60534383437215,470.76521120100614,468.92796133436565,463.2659457343721,463.0248275009981,462.8834729677055
lr_0.001,379.1223359007931,459.3760548676921,473.64710653437214,473.8208590677056,472.98001070103874,471.2837487010202,470.5626995676862,467.5289688010367,468.8561396677055
lr_0.003,371.07867090079793,460.5386793010193,470.8017281010388,480.81836900103866,479.78789286770547,473.7783482677055,469.06767346766134,467.1721198010155,471.0510783343662
lr_0.006,389.60108466759965,443.5577619343664,464.75374883432676,475.2821665343721,465.69266356764433,448.45136233437216,445.16423646769846,447.22417530100597,446.5190408343167
lr_1e-05,53.47662873351625,70.45653603356834,149.88998286725112,187.38025590053803,198.825875400495,192.03070513388957,183.75117493388484,178.09198883376808,167.32208736708486
lr_3e-05,119.15689190032136,103.3042849337056,176.21790510059546,269.9361774672618,275.3342433672952,286.30859106732066,302.5800207674894,291.173935400762,309.9153105341497
lr_6e-05,178.62226520049737,320.91477300089963,336.3370163674641,339.81910996748843,348.21457203416907,373.04810056756315,389.9651157010201,394.37545886764764,387.13536663423713
