losses/explained_variance,charts/SPS,losses/clipfrac,losses/entropy,losses/old_approx_kl,charts/episodic_return,_timestamp,losses/value_loss,losses/policy_loss,global_step,charts/learning_rate,charts/episodic_length,_step,losses/approx_kl,_runtime
,,,,,,1763260110.1398776,,,0,,,0,,25.197534561157227
,,,,,21.0,1763260112.9025738,,,102,,21.0,7,,27.960230827331543
,,,,,21.0,1763260113.4364345,,,584,,21.0,33,,28.494091510772705
,,,,,24.0,1763260113.6710906,,,817,,24.0,41,,28.728747606277466
,,,,,16.0,1763260113.8077233,,,995,,16.0,47,,28.86538028717041
,,,,,41.0,1763260114.2561157,,,1440,,41.0,64,,29.313772678375244
,,,,,101.0,1763260114.648886,,,1870,,101.0,74,,29.70654296875
,,,,,70.0,1763260114.7714818,,,2028,,70.0,77,,29.82913875579834
0.06599980592727661,1027.0,0.0,0.595606803894043,-0.012105816043913364,,1763260115.2960734,81.6698989868164,-0.008902810513973236,2560,0.0002985407190863043,,88,0.0007656840607523918,30.35373044013977
,,,,,114.0,1763260116.0054526,,,3369,,114.0,102,,31.063109636306763
0.16645050048828125,1046.0,0.0,0.5396779179573059,0.0026975590735673904,,1763260116.1092646,58.654380798339844,-0.006676033139228821,3456,0.00029800308402627707,,104,0.00021165423095226288,31.166921615600586
,,,,,166.0,1763260117.9826705,,,5616,,166.0,133,,33.04032754898071
,,,,,98.0,1763260118.857691,,,6530,,98.0,147,,33.915348052978516
-0.003762364387512207,1079.0,0.0,0.5426551699638367,0.003611723892390728,,1763260118.9698849,82.46721649169922,0.005160357803106308,6656,0.00029608295881189406,,149,0.00018294807523488998,34.02754187583923
,,,,,90.0,1763260118.9927661,,,6725,,90.0,150,,34.05042314529419
,,,,,177.0,1763260119.317979,,,7083,,177.0,155,,34.37563610076904
,,,,,192.0,1763260119.4491653,,,7275,,192.0,157,,34.50682234764099
,,,,,500.0,1763260121.0201442,,,8602,,500.0,172,,36.07780122756958
0.00932013988494873,981.0,0.0,0.5882483720779419,-0.0028689755126833916,,1763260123.373591,68.16979217529297,0.005090054124593735,10368,0.00029385561356320977,,195,0.0003525586798787117,38.43124794960022
0.0011658668518066406,956.0,0.0,0.5243587493896484,-9.993091225624084e-06,,1763260124.310588,69.61912536621094,5.600880831480026e-05,11008,0.00029347158852033317,,203,4.079192876815796e-07,39.368244886398315
0.593231737613678,938.0,0.0,0.5742377042770386,0.009116729721426964,,1763260125.3539011,50.649166107177734,-0.011618532240390778,11776,0.00029301075846888125,,213,0.0006552580744028091,40.41155815124512
0.03614598512649536,934.0,0.0,0.5356414318084717,-0.0012732744216918945,,1763260125.8240628,72.39340209960938,-0.006679866462945938,12160,0.0002927803434431553,,217,0.0004970356822013855,40.88171982765198
,,,,,143.0,1763260126.7470274,,,12961,,143.0,228,,41.80468440055847
,,,,,138.0,1763260127.1900902,,,13397,,138.0,233,,42.24774718284607
-0.0024923086166381836,939.0,0.0,0.5756007432937622,-0.0006203986704349518,,1763260128.7491913,60.66474533081055,-0.0016763806343078613,14976,0.00029109063325449824,,251,3.0374154448509216e-05,43.8068482875824
0.47855859994888306,945.0,0.0,0.5452971458435059,-0.006682959385216236,,1763260129.4633875,37.119659423828125,0.0024693645536899567,15744,0.0002906298032030463,,259,0.0014689071103930473,44.52104449272156
0.5610300302505493,949.0,0.01953125,0.5560478568077087,0.051124319434165955,,1763260129.9227114,62.773563385009766,0.03130492940545082,16256,0.00029032258316874504,,265,0.011597285978496075,44.9803683757782
,,,,,151.0,1763260130.4226367,,,16794,,151.0,273,,45.48029375076294
0.39392638206481934,953.0,0.0,0.5637663006782532,-0.005508631467819214,,1763260130.5251877,62.32381057739258,0.0013109445571899414,16896,0.00028993855812586844,,274,0.00045229680836200714,45.582844734191895
0.01657700538635254,962.0,0.0,0.574921727180481,0.002890155650675297,,1763260131.6863186,81.26073455810547,-0.005900334566831589,18176,0.00028917050804011524,,292,0.00016897637397050858,46.74397563934326
,,,,,79.0,1763260133.59682,,,20334,,79.0,321,,48.6544771194458
0.9133735299110413,977.0,0.0,0.580474317073822,0.002203020267188549,,1763260134.0096254,16.032590866088867,-0.0017406512051820755,20736,0.00028763440786860883,,327,3.6980025470256805e-05,49.0672824382782
,,,,,125.0,1763260134.1542916,,,20960,,125.0,330,,49.21194863319397
,,,,,133.0,1763260134.268926,,,21093,,133.0,332,,49.32658290863037
,,,,,157.0,1763260134.6349432,,,21377,,157.0,337,,49.69260025024414
-0.042789340019226074,980.0,0.0,0.5858286023139954,0.003212032839655876,,1763260134.8696816,47.72563552856445,0.0010235458612442017,21632,0.0002870967728085816,,340,0.00013231858611106873,49.92733860015869
0.3097997307777405,988.0,0.0,0.5978752970695496,0.0001882798969745636,,1763260137.1443586,33.45989990234375,-0.007432721555233002,24064,0.0002856374776456505,,370,0.0013373326510190964,52.20201563835144
,,,,,219.0,1763260137.395108,,,24398,,219.0,375,,52.45276498794556
0.10063254833221436,996.0,0.0,0.5869909524917603,-0.00031647924333810806,,1763260139.0119991,31.390560150146484,0.0016189515590667725,26112,0.0002844085975084454,,396,1.5047378838062286e-05,54.06965613365173
0.018402516841888428,1004.0,0.0,0.5783944129943848,0.0014014923945069313,,1763260141.0997033,97.07611083984375,-0.0018127914518117905,28416,0.0002830261073540896,,425,1.0806135833263397e-05,56.157360315322876
0.29765522480010986,1008.0,0.0,0.5664209127426147,-0.00033544283360242844,,1763260142.2574894,74.87381744384766,0.005264416337013245,29696,0.0002822580572683364,,441,7.375236600637436e-05,57.31514644622803
-5.82682466506958,1011.0,0.0,0.5737914443016052,-0.00016169622540473938,,1763260142.9239664,46.131622314453125,0.004057355225086212,30464,0.0002817972272168845,,450,0.0004047174006700516,57.98162341117859
0.8091468214988708,1015.0,0.0,0.5679060220718384,-0.002905573695898056,,1763260144.5548236,33.703826904296875,0.003188900649547577,32256,0.00028072195709683,,471,9.557418525218964e-05,59.61248064041138
0.101326584815979,1017.0,0.001953125,0.5435330867767334,0.0010069683194160461,,1763260145.3744626,116.00243377685547,-0.0275716632604599,33152,0.00028018432203680277,,481,0.0033396314829587936,60.432119607925415
,,,,,318.0,1763260145.9572756,,,33877,,318.0,490,,61.01493263244629
,,,,,96.0,1763260146.996981,,,35015,,96.0,504,,62.05463790893555
-0.06398797035217285,1022.0,0.0,0.5622687339782715,0.0016069523990154266,,1763260147.8414042,168.29788208007812,-0.005538243800401688,35840,0.00027857141685672104,,515,5.365535616874695e-05,62.89906120300293
0.018238842487335205,1025.0,0.0,0.4807083010673523,-0.000897546298801899,,1763260148.9907131,14.820765495300293,0.008087128400802612,37120,0.00027780336677096784,,530,0.0009537125006318092,64.04837012290955
,,,,,152.0,1763260149.6010768,,,37808,,152.0,539,,64.65873384475708
,,,,,161.0,1763260150.1578538,,,38453,,161.0,547,,65.21551084518433
,,,,,428.0,1763260150.8505418,,,39177,,428.0,555,,65.90819883346558
