losses/clipfrac,losses/approx_kl,losses/policy_loss,losses/old_approx_kl,losses/explained_variance,charts/SPS,losses/value_loss,_runtime,charts/learning_rate,charts/episodic_length,charts/episodic_return,_step,global_step,losses/entropy,_timestamp
,,,,,,,46.981101512908936,,158.0,158.0,340,19902,,1763260132.3354814
0.0,0.0001282980665564537,-0.0003861822187900543,-0.0030228691175580025,0.9363787770271301,1026.0,32.81654739379883,49.27747178077698,0.00028663594275712967,,,370,22400,0.6168466806411743,1763260134.6318517
0.0,5.2150338888168335e-05,0.00035194307565689087,-0.000850265845656395,0.023374080657958984,1026.0,150.73556518554688,49.65440917015076,0.0002864055277314037,,,375,22784,0.601292073726654,1763260135.008789
,,,,,,,51.279616594314575,,282.0,282.0,396,24641,,1763260136.6339965
,,,,,,,53.790395975112915,,500.0,500.0,425,27330,,1763260139.1447759
0.0,0.00018835533410310745,0.000260770320892334,0.0006440030410885811,-0.004423022270202637,1040.0,20.589725494384766,55.25145483016968,0.00028271888731978834,,,441,28928,0.5685265064239502,1763260140.6058347
0.0078125,0.0031061051413416862,-0.012696221470832825,-0.01030420046299696,-0.01854085922241211,1041.0,164.94923400878906,55.96026873588562,0.0002822580572683364,,,450,29696,0.5786841511726379,1763260141.3146486
,,,,,,,57.79038143157959,,444.0,444.0,471,31781,,1763260143.1447613
0.0,8.049141615629196e-05,-0.0021586082875728607,0.000726829282939434,0.01886272430419922,1048.0,36.44753646850586,58.70444440841675,0.00028041473706252873,,,481,32768,0.5142344236373901,1763260144.0588243
0.0,0.00010482501238584518,-0.005416113883256912,0.00397446658462286,0.0332794189453125,1049.0,16.622024536132812,59.51619791984558,0.0002798771020025015,,,490,33664,0.5261668562889099,1763260144.8705778
0.0,0.00027851201593875885,-0.0004186555743217468,-0.0013264995068311691,0.33994221687316895,1052.0,13.012408256530762,60.78123235702515,0.00027903224690817297,,,504,35072,0.52785325050354,1763260146.1356122
0.0,2.8777867555618286e-05,0.001579001545906067,0.0010031890124082565,0.013569056987762451,1053.0,211.12625122070312,61.70540761947632,0.0002784178068395704,,,515,36096,0.516313910484314,1763260147.0597875
,,,,,,,62.9915246963501,,490.0,490.0,530,37587,,1763260148.3459046
0.0,0.00013206899166107178,0.00571972131729126,-0.0015908125787973404,-0.08649039268493652,1057.0,11.307486534118652,63.77996897697449,0.00027703531668521464,,,539,38400,0.5440207123756409,1763260149.1343489
0.0,3.335997462272644e-06,-0.0006027743220329285,0.00018922798335552216,0.015740275382995605,1057.0,10.41340160369873,64.48581075668335,0.0002765744866337627,,,547,39168,0.5201655030250549,1763260149.8401906
,,,,,,,65.2191812992096,,500.0,500.0,555,40034,,1763260150.5735612
0.001953125,0.0007091471925377846,-0.011794611811637878,0.001976446248590946,0.08944380283355713,1059.0,8.552901268005371,65.62991094589233,0.00027580646565183997,,,559,40448,0.5110878944396973,1763260150.9842908
