losses/approx_kl,charts/episodic_length,charts/episodic_return,losses/old_approx_kl,global_step,losses/entropy,losses/value_loss,losses/clipfrac,_step,charts/learning_rate,losses/explained_variance,_runtime,_timestamp,losses/policy_loss,charts/SPS
0.00041789282113313675,,,0.00011879485100507736,9216,0.5874903798103333,55.580322265625,0.0,172,0.00029454685864038765,-0.004446625709533691,36.07503151893616,1763260121.4203625,-0.00867752730846405,1069.0
0.00013175513595342636,,,0.008226816542446613,10880,0.6191068291664124,92.80640411376953,0.0,195,0.0002935483935289085,-0.00015211105346679688,37.9632465839386,1763260123.3085775,-0.0022698789834976196,1035.0
0.008780866861343384,,,-0.021974926814436913,11520,0.5843677520751953,83.92759704589844,0.01171875,203,0.0002931643684860319,0.100918710231781,38.63859724998474,1763260123.9839282,0.023271024227142334,1030.0
,131.0,131.0,,12248,,,,213,,,39.30739951133728,1763260124.6527305,,
0.00431651808321476,,,-0.008208608254790306,12544,0.6021276712417603,62.05210876464844,0.009765625,217,0.00029254992841742933,0.145194411277771,39.663944721221924,1763260125.0092757,-0.014915958046913147,1027.0
,156.0,156.0,,13438,,,,228,,,40.418413400650024,1763260125.7637444,,
,245.0,245.0,,13784,,,,233,,,40.78255319595337,1763260126.1278841,,
,242.0,242.0,,15073,,,,251,,,41.97140979766846,1763260127.3167408,,
,256.0,256.0,,15688,,,,259,,,42.52444267272949,1763260127.8697736,,
9.268522262573242e-06,,,0.0006227940320968628,16128,0.5475047826766968,61.04519271850586,0.0,265,0.00029039938817732036,0.1820935606956482,42.98897647857666,1763260128.3343074,0.0008757337927818298,1038.0
,187.0,187.0,,16673,,,,273,,,43.45324921607971,1763260128.7985802,,
0.00033898092806339264,,,0.0014195963740348816,16768,0.5299270153045654,58.12705612182617,0.0,274,0.00029001536313444376,0.30404192209243774,43.551591634750366,1763260128.8969226,-0.007150143384933472,1042.0
0.003147178329527378,,,0.00101491529494524,18048,0.5438928604125977,47.55563735961914,0.0,292,0.00028924731304869056,0.7878389358520508,44.73035764694214,1763260130.0756886,0.016389768570661545,1045.0
7.495656609535217e-05,,,-0.0034918058663606644,19840,0.5270741581916809,25.47498321533203,0.0,321,0.0002881720429286361,0.8000689148902893,46.40924549102783,1763260131.7545764,0.001039024442434311,1047.0
,111.0,111.0,,20286,,,,327,,,46.76887083053589,1763260132.1142018,,
5.7425349950790405e-05,,,-0.003312140703201294,20480,0.5056332349777222,25.172582626342773,0.0,330,0.00028778801788575947,0.8176857829093933,47.009857177734375,1763260132.3551881,0.0002272576093673706,1047.0
,179.0,179.0,,20644,,,,332,,,47.14473247528076,1763260132.4900634,,
1.5337951481342316e-05,,,0.0006509879603981972,20992,0.5069513320922852,64.86659240722656,0.0,337,0.0002874807978514582,0.22029733657836914,47.470892906188965,1763260132.8162239,0.0006685107946395874,1049.0
0.0003067469224333763,,,0.007468062452971935,21248,0.5428062081336975,14.221945762634277,0.0,340,0.00028732718783430755,0.9204447865486145,47.69558787345886,1763260133.0409188,-0.006109283305704594,1050.0
