losses/entropy,losses/explained_variance,losses/value_loss,losses/clipfrac,_runtime,charts/SPS,losses/policy_loss,_timestamp,losses/old_approx_kl,charts/episodic_length,charts/episodic_return,losses/approx_kl,_step,global_step,charts/learning_rate
,,,,25.602572202682495,,,1763260110.8032312,,,,,0,0,
0.6923379302024841,-0.00254976749420166,35.677207946777344,0.0,27.799781322479248,656.0,-0.014892674051225185,1763260113.0004404,0.010318875312805176,,,0.0007698275148868561,7,128,0.0003000000142492354
0.6868357062339783,-0.010646581649780273,96.20730590820312,0.0,28.308659553527832,909.0,-0.002724934369325638,1763260113.5093186,0.00043099652975797653,,,5.409028381109238e-05,33,640,0.0002996927942149341
,,,,28.457845449447632,,,1763260113.6585045,,47.0,47.0,,41,839,
,,,,28.592706203460693,,,1763260113.7933652,,25.0,25.0,,47,1014,
,,,,29.171875,,,1763260114.372534,,44.0,44.0,,64,1571,
,,,,29.533174753189087,,,1763260114.7338338,,18.0,18.0,,74,2003,
,,,,29.63392424583435,,,1763260114.8345833,,57.0,57.0,,77,2087,
0.5970001220703125,0.02993088960647583,101.90489959716797,0.0,30.104594707489014,1024.0,-0.00039933715015649796,1763260115.3052537,-7.637590169906616e-05,,,0.000376654788851738,88,2560,0.0002985407190863043
,,,,30.792366981506348,,,1763260115.993026,,192.0,192.0,,102,3361,
0.5629746913909912,0.010376989841461182,52.79750061035156,0.0,30.89373230934143,1050.0,0.015709582716226578,1763260116.0943913,-0.0036908546462655067,,,0.0029376568272709846,104,3456,0.00029800308402627707
0.6140751838684082,0.20182985067367554,77.04283142089844,0.0,32.519373416900635,1067.0,-0.0020693764090538025,1763260117.7200325,0.0013765860348939896,,,5.595572292804718e-05,133,5248,0.0002969278139062226
0.6062384247779846,0.007383406162261963,118.0960693359375,0.0,33.54292058944702,1077.0,1.5754252672195435e-05,1763260118.7435796,-0.0002168603241443634,,,2.2098422050476074e-05,147,6400,0.0002962365688290447
0.5717533826828003,0.22109150886535645,85.5801773071289,0.0,33.6555860042572,1078.0,0.0011106999590992928,1763260118.856245,0.003065730445086956,,,0.0002934625372290611,149,6528,0.0002961597638204694
0.6055980920791626,0.03629612922668457,117.16846466064453,0.0,33.764575242996216,1080.0,-0.004625115543603897,1763260118.9652343,0.0022090189158916473,,,4.967302083969116e-05,150,6656,0.00029608295881189406
0.6222754716873169,0.005444169044494629,114.45660400390625,0.0,34.100120306015015,1083.0,0.0015390031039714813,1763260119.3007793,0.0013531297445297241,,,4.443898797035217e-05,155,7040,0.0002958525437861681
,,,,34.25511121749878,,,1763260119.4557703,,347.0,347.0,,157,7244,
,,,,35.274972915649414,,,1763260120.475632,,349.0,349.0,,172,8380,
0.604710578918457,0.16228044033050537,76.80186462402344,0.0,37.453335762023926,1026.0,0.0006890073418617249,1763260122.6539948,-0.00032326020300388336,,,3.6833807826042175e-05,195,10112,0.0002940092235803604
