global_step,charts/SPS,losses/value_loss,losses/old_approx_kl,charts/episodic_return,_step,losses/approx_kl,charts/episodic_length,_runtime,losses/policy_loss,charts/learning_rate,losses/entropy,_timestamp,losses/clipfrac,losses/explained_variance
0,,,,,0,,,25.818807363510132,,,,1763260111.1296384,,
126,,,,15.0,7,,15.0,27.59792184829712,,,,1763260112.908753,,
592,,,,27.0,33,,27.0,28.11326503753662,,,,1763260113.424096,,
768,929.0,54.5989875793457,-0.01614447869360447,,41,0.0018737725913524628,,28.321085214614868,0.009248077869415283,0.0002996159892063588,0.6675739288330078,1763260113.6319163,0.0,-0.006260991096496582
913,,,,29.0,47,,29.0,28.446406364440918,,,,1763260113.7572374,,
1399,,,,60.0,64,,60.0,28.8358416557312,,,,1763260114.1466727,,
1664,992.0,49.825462341308594,0.018479429185390472,,74,0.002408050000667572,,29.170710563659668,-0.022489789873361588,0.00029907835414633155,0.5839893817901611,1763260114.4815416,0.0,0.01773250102996826
1792,1000.0,86.22865295410156,0.0038146553561091423,,77,0.0025197146460413933,,29.284863710403442,-0.00041663646697998047,0.00029900154913775623,0.6284373998641968,1763260114.5956948,0.009765625,-0.016818642616271973
2304,1025.0,109.37097930908203,0.0022032400593161583,,88,0.0008565569296479225,,29.740646839141846,0.007832098752260208,0.00029869432910345495,0.5276355743408203,1763260115.051478,0.0,0.14390546083450317
3072,1044.0,93.51652526855469,0.014080171473324299,,102,0.003139418549835682,,30.43572974205017,-0.017789946869015694,0.000298233499052003,0.5510802268981934,1763260115.7465608,0.0,0.21924060583114624
3156,,,,69.0,104,,69.0,30.468993425369263,,,,1763260115.7798245,,
4903,,,,122.0,133,,122.0,32.080644845962524,,,,1763260117.391476,,
6016,1074.0,68.63709259033203,0.004883565939962864,,147,0.0003866935148835182,,33.09371256828308,0.00782458484172821,0.00029646698385477066,0.61996990442276,1763260118.4045436,0.0,0.23099899291992188
6144,1075.0,77.1762924194336,-0.0029470566660165787,,149,0.0009580999612808228,,33.20548987388611,-0.004467137157917023,0.00029639017884619534,0.5896400213241577,1763260118.516321,0.0,0.26308196783065796
6261,,,,131.0,150,,131.0,33.24503755569458,,,,1763260118.5558686,,
6546,,,,219.0,155,,219.0,33.566203594207764,,,,1763260118.8770347,,
6699,,,,153.0,157,,153.0,33.68846678733826,,,,1763260118.9992979,,
7936,1086.0,91.49766540527344,-0.00757567398250103,,172,0.0007828697562217712,,34.80185651779175,-0.0006088688969612122,0.00029531490872614086,0.5751349329948425,1763260120.1126876,0.0,0.009156942367553711
9575,,,,44.0,195,,44.0,36.692188024520874,,,,1763260122.003019,,
10116,,,,321.0,203,,321.0,37.49538969993591,,,,1763260122.8062208,,
10993,,,,414.0,213,,414.0,38.510268688201904,,,,1763260123.8210998,,
11264,985.0,64.79615020751953,6.950832903385162e-05,,217,2.2448599338531494e-05,,38.92207717895508,0.00026740506291389465,0.00029331797850318253,0.56964510679245,1763260124.2329082,0.0,-0.044597744941711426
12088,,,,190.0,228,,190.0,39.86373972892761,,,,1763260125.1745708,,
12544,974.0,55.96131134033203,0.0012734169140458107,,233,0.0003480343148112297,,40.36873197555542,0.00018949434161186218,0.00029254992841742933,0.572425365447998,1763260125.679563,0.0,0.31817150115966797
13952,978.0,43.348968505859375,0.001037580892443657,,251,3.119930624961853e-05,,41.74730634689331,-0.0014507472515106201,0.0002917050733231008,0.5932400822639465,1763260127.0581374,0.0,0.017655551433563232
14591,,,,107.0,259,,107.0,42.25045824050903,,,,1763260127.5612893,,
15063,,,,305.0,265,,305.0,42.68459749221802,,,,1763260127.9954286,,
15616,990.0,82.63704681396484,0.0009093647822737694,,273,0.0005410118028521538,,43.258339405059814,-0.018216870725154877,0.00029070660821162164,0.6137962937355042,1763260128.5691705,0.0,-1.0378801822662354
15666,,,,321.0,274,,321.0,43.2758629322052,,,,1763260128.586694,,
17280,1001.0,48.3449592590332,-0.006872160360217094,,292,0.0009629223495721817,,44.74843168258667,-0.011529244482517242,0.0002897081431001425,0.5865717530250549,1763260130.0592628,0.0,0.6882109642028809
19413,,,,151.0,321,,151.0,46.65496635437012,,,,1763260131.9657974,,
19887,,,,226.0,327,,226.0,47.13172459602356,,,,1763260132.4425557,,
20096,1012.0,105.86026000976562,0.0034348219633102417,,330,0.0003702286630868912,,47.33860945701599,-0.005289409309625626,0.00028801843291148543,0.5491493344306946,1763260132.6494405,0.0,0.014802813529968262
20224,1013.0,24.339271545410156,0.0008694799616932869,,332,0.00011438410729169846,,47.45120549201965,-0.001957543194293976,0.0002879416279029101,0.6030963659286499,1763260132.7620366,0.0,0.6266038417816162
20736,1016.0,50.2364501953125,-0.0018984973430633545,,337,4.529580473899841e-05,,47.89654231071472,0.0010284818708896637,0.00028763440786860883,0.5917823910713196,1763260133.2073734,0.0,0.04081284999847412
20992,1015.0,39.054054260253906,-0.0019968627020716667,,340,7.176492363214493e-05,,48.15771842002869,0.0008412450551986694,0.0002874807978514582,0.5597786903381348,1763260133.4685495,0.0,0.6537675857543945
23040,1023.0,37.08845520019531,0.00016613584011793137,,370,9.034760296344757e-06,,50.01071858406067,0.00016685575246810913,0.00028625191771425307,0.5692987442016602,1763260135.3215497,0.0,-0.0872417688369751
23424,1023.0,24.530397415161133,-0.005325686186552048,,375,0.0020377710461616516,,50.389318227767944,-0.010358475148677826,0.0002860215026885271,0.6068277359008789,1763260135.7001493,0.0,0.9199382066726685
25014,,,,91.0,396,,91.0,51.807085275650024,,,,1763260137.1179163,,
27617,,,,240.0,425,,240.0,54.17520713806152,,,,1763260139.4860382,,
29056,1036.0,22.9011287689209,-0.00039048679172992706,,441,1.212581992149353e-05,,55.52805709838867,0.000711299479007721,0.000282642082311213,0.6062443256378174,1763260140.8388882,0.0,0.001178741455078125
29952,1037.0,25.52389907836914,0.0001401090994477272,,450,0.0014002500101923943,,56.365344285964966,0.007578849792480469,0.0002821044472511858,0.5867595076560974,1763260141.6761754,0.0,-1.7015504837036133
31744,1040.0,20.069107055664062,-0.009137355722486973,,471,0.00524494145065546,,58.00191378593445,0.04463605582714081,0.0002810291771311313,0.5934242010116577,1763260143.3127449,0.009765625,0.5102055668830872
