losses/approx_kl,losses/explained_variance,_step,losses/policy_loss,losses/entropy,charts/episodic_length,_timestamp,charts/learning_rate,charts/episodic_return,losses/value_loss,losses/old_approx_kl,global_step,losses/clipfrac,_runtime,charts/SPS
,,0,,,,1763260110.9621465,,,,,0,,25.682385444641113,
,,7,,,16.0,1763260112.9068935,,16.0,,,119,,27.627132415771484,
0.00043496303260326385,0.01721245050430298,33,-0.001914110966026783,0.6901816129684448,,1763260113.3998334,0.00029976959922350943,,26.731266021728516,0.0025180280208587646,512,0.0,28.12007236480713,861.0
9.798631072044373e-05,0.010872960090637207,41,0.0035815536975860596,0.6892217397689819,,1763260113.5275292,0.0002996927942149341,,28.388126373291016,0.0003381315618753433,640,0.0,28.24776816368103,886.0
0.0005405377596616745,0.010128140449523926,47,-0.008144037798047066,0.6867799162864685,,1763260113.6490104,0.0002996159892063588,,39.36794662475586,0.0032568294554948807,768,0.0,28.36924934387207,910.0
,,64,,,16.0,1763260113.9404633,,16.0,,,1129,,28.660702228546143,
,,74,,,25.0,1763260114.2814717,,25.0,,,1430,,29.001710653305054,
,,77,,,23.0,1763260114.3339458,,23.0,,,1533,,29.054184675216675,
0.0017642714083194733,-0.013046741485595703,88,-0.033487312495708466,0.6054046154022217,,1763260114.750908,0.0002989247441291809,,40.0577278137207,0.014645786955952644,1920,0.0,29.471146821975708,986.0
0.0003548646345734596,0.013441264629364014,102,0.002779550850391388,0.6437334418296814,,1763260115.220309,0.00029861752409487963,,64.53564453125,0.004599765874445438,2432,0.0,29.940547943115234,1007.0
,,104,,,231.0,1763260115.387014,,231.0,,,2647,,30.107252836227417,
0.00010832492262125015,0.17141902446746826,133,-0.0022216662764549255,0.5810559391975403,,1763260116.751044,0.00029761905898340046,,93.65504455566406,-0.0009235506877303123,4096,0.0,31.471282958984375,1038.0
,,147,,,252.0,1763260117.6930754,,252.0,,,5176,,32.41331434249878,
2.1739862859249115e-05,0.12395733594894409,149,-0.00023215962573885918,0.6252536773681641,,1763260117.8961325,0.00029685100889764726,,123.95828247070312,-0.0005036750808358192,5376,0.0,32.616371393203735,1056.0
,,150,,,226.0,1763260117.906708,,226.0,,,5402,,32.62694692611694,
,,155,,,62.0,1763260118.1609046,,62.0,,,5742,,32.88114356994629,
,,157,,,78.0,1763260118.2592533,,78.0,,,5820,,32.9794921875,
,,172,,,454.0,1763260119.49105,,454.0,,,7179,,34.211288928985596,
1.5166588127613068e-05,0.17587518692016602,195,-0.0008532963693141937,0.6115290522575378,,1763260121.5345898,0.000294623663648963,,54.34898376464844,-0.0003446629270911217,9088,0.0,36.254828691482544,1041.0
9.304843842983246e-06,0.14077341556549072,203,0.00015017762780189514,0.6005027294158936,,1763260122.3503547,0.00029416283359751105,,88.28905487060547,0.0011456059291958809,9856,0.0,37.07059359550476,1032.0
