charts/learning_rate,global_step,losses/entropy,charts/episodic_length,losses/clipfrac,losses/approx_kl,losses/value_loss,losses/policy_loss,losses/explained_variance,charts/SPS,charts/episodic_return,losses/old_approx_kl,_step,_runtime,_timestamp
,0,,,,,,,,,,,0,25.22833251953125,1763260110.1706836
,161,,29.0,,,,,,,29.0,,7,28.07396912574768,1763260113.0163202
,651,,15.0,,,,,,,15.0,,33,28.590594053268433,1763260113.5329452
,882,,49.0,,,,,,,49.0,,41,28.750515699386597,1763260113.6928668
,1087,,69.0,,,,,,,69.0,,47,28.964758157730103,1763260113.9071093
,1723,,77.0,,,,,,,77.0,,64,29.56988835334778,1763260114.5122395
,2270,,147.0,,,,,,,147.0,,74,30.035736322402954,1763260114.9780874
,2359,,54.0,,,,,,,54.0,,77,30.137779474258423,1763260115.0801306
,2769,,70.0,,,,,,,70.0,,88,30.504817962646484,1763260115.447169
,3391,,55.0,,,,,,,55.0,,102,31.076778411865234,1763260116.0191295
,3553,,162.0,,,,,,,162.0,,104,31.20120072364807,1763260116.1435518
,5246,,24.0,,,,,,,24.0,,133,32.72109413146973,1763260117.6634452
0.00029639017884619534,6144,0.5887539386749268,,0.0,0.00012214388698339462,106.50775909423828,0.004474058747291565,-0.14243614673614502,1075.0,,-0.0024729492142796516,147,33.575135946273804,1763260118.517487
0.00029631337383762,6272,0.5422182083129883,,0.0,2.880580723285675e-05,77.3277816772461,0.00023739784955978394,-0.015554189682006836,1073.0,,0.0018893759697675705,149,33.70522499084473,1763260118.647576
,6367,,191.0,,,,,,,191.0,,150,33.73813033103943,1763260118.6804814
,6645,,111.0,,,,,,,111.0,,155,33.971757888793945,1763260118.914109
,6781,,136.0,,,,,,,136.0,,157,34.08781027793884,1763260119.0301614
0.00029531490872614086,7936,0.5836573839187622,,0.0,0.00021233316510915756,65.03003692626953,-0.0012492425739765167,-0.0012907981872558594,1084.0,,0.004678974859416485,172,35.18025279045105,1763260120.122604
0.0002942396386060864,9728,0.610277533531189,,0.0,1.25151127576828e-05,48.49418640136719,0.001019427552819252,0.11568033695220947,1018.0,,0.000766117125749588,195,37.413657426834106,1763260122.3560085
,10385,,317.0,,,,,,,317.0,,203,38.318061113357544,1763260123.2604122
,11093,,161.0,,,,,,,161.0,,213,39.25323247909546,1763260124.1955836
0.0002932411734946072,11392,0.6022696495056152,,0.0,1.4502555131912231e-05,81.55412292480469,-0.00246419757604599,-0.0845482349395752,962.0,,-0.0005409810692071915,217,39.69776725769043,1763260124.6401184
0.00029270353843457997,12288,0.6059403419494629,,0.0,0.000451098196208477,84.04905700683594,0.0024417713284492493,-0.028977155685424805,950.0,,-0.001248038373887539,228,40.793053150177,1763260125.7354043
0.000292473123408854,12672,0.5431123375892639,,0.0,5.50784170627594e-06,79.0714111328125,0.00030138716101646423,-0.05149531364440918,946.0,,0.0002651754766702652,233,41.24865770339966,1763260126.1910088
0.0002916282683145255,14080,0.60152667760849,,0.00390625,0.0014649461954832077,83.51897430419922,-0.005660891532897949,-0.009601473808288574,952.0,,0.005139173939824104,251,42.65073585510254,1763260127.593087
,14665,,137.0,,,,,,,137.0,,259,43.12206244468689,1763260128.0644135
,15005,,59.0,,,,,,,59.0,,265,43.503183364868164,1763260128.4455345
0.00029070660821162164,15616,0.5336667895317078,,0.0,2.5076791644096375e-05,65.36430358886719,-0.0003212094306945801,0.008067727088928223,963.0,,-0.0019757766276597977,273,44.067132234573364,1763260129.0094833
0.0002906298032030463,15744,0.5825331211090088,,0.0,0.0007829666137695312,59.930076599121094,-0.0020355582237243652,0.558639645576477,965.0,,0.006435956805944443,274,44.17543697357178,1763260129.117788
0.0002897849481087178,17152,0.5575883984565735,,0.0,3.71122732758522e-05,46.75028991699219,-0.0023812055587768555,0.4179168939590454,973.0,,0.0019053174182772636,292,45.48712778091431,1763260130.429479
,19245,,219.0,,,,,,,219.0,,321,47.34149956703186,1763260132.2838507
0.0002882488479372114,19712,0.5386329293251038,,0.0,8.77920538187027e-05,52.467308044433594,-0.0019585471600294113,-0.0019603967666625977,987.0,,-0.00252654030919075,327,47.81666612625122,1763260132.7590172
0.00028809523792006075,19968,0.5622938275337219,,0.0,2.3801811039447784e-05,46.738929748535156,-2.4009495973587036e-06,-0.022838354110717773,989.0,,0.0028425855562090874,330,48.040133237838745,1763260132.9824843
,20121,,299.0,,,,,,,299.0,,332,48.159518241882324,1763260133.1018693
,20621,,500.0,,,,,,,500.0,,337,48.63607740402222,1763260133.5784285
,20947,,326.0,,,,,,,326.0,,340,48.88008451461792,1763260133.8224356
0.00028586789267137647,23680,0.5994792580604553,,0.0,8.997227996587753e-05,37.4909782409668,0.002043057233095169,0.08313226699829102,1006.0,,-0.0008136769756674767,370,51.38991832733154,1763260136.3322694
0.0002856374776456505,24064,0.5848003029823303,,0.0,0.0006277551874518394,20.094974517822266,0.0018442273139953613,0.848914384841919,1006.0,,0.002199445851147175,375,51.767433404922485,1763260136.7097845
,25851,,138.0,,,,,,,138.0,,396,53.30393838882446,1763260138.2462895
,28020,,139.0,,,,,,,139.0,,425,55.28347897529602,1763260140.22583
,29147,,147.0,,,,,,,147.0,,441,56.328606367111206,1763260141.2709575
0.0002821812522597611,29824,0.5439885258674622,,0.0,2.371426671743393e-05,86.16858673095703,-0.003016345202922821,0.3877245783805847,1023.0,,0.0009810319170355797,450,57.01309370994568,1763260141.9554448
