_step,_runtime,global_step,_timestamp,losses/approx_kl,losses/explained_variance,losses/old_approx_kl,losses/clipfrac,losses/policy_loss,losses/entropy,charts/learning_rate,charts/SPS,losses/value_loss,charts/episodic_length,charts/episodic_return
0,25.94083595275879,0,1763260111.29511,,,,,,,,,,,
7,27.64618682861328,128,1763260113.0004609,0.0005046781152486801,0.059511005878448486,-0.0006138049066066742,0.0,-0.003039628267288208,0.6926964521408081,0.0003000000142492354,655.0,35.16609573364258,,
33,28.06791663169861,613,1763260113.4221907,,,,,,,,,,34.0,34.0
41,28.300499200820923,793,1763260113.6547732,,,,,,,,,,18.0,18.0
47,28.344590187072754,893,1763260113.6988642,,,,,,,,,,12.0,12.0
64,28.68393111228943,1205,1763260114.0382051,,,,,,,,,,36.0,36.0
74,28.93091630935669,1484,1763260114.2851903,,,,,,,,,,47.0,47.0
77,29.03195595741272,1572,1763260114.38623,,,,,,,,,,62.0,62.0
88,29.404614210128784,1920,1763260114.7588882,0.0004634791985154152,0.01431131362915039,-0.0012745847925543785,0.0,-0.00921478122472763,0.6020253300666809,0.0002989247441291809,982.0,42.07610321044922,,
102,29.868531703948975,2432,1763260115.2228057,0.00017342343926429749,0.04087930917739868,-0.001999516040086746,0.0,0.00313471257686615,0.6100927591323853,0.00029861752409487963,1006.0,63.382774353027344,,
104,29.980655431747437,2560,1763260115.3349295,0.0005781911313533783,0.033149003982543945,-0.00815696083009243,0.0,0.0014578122645616531,0.609235942363739,0.0002985407190863043,1012.0,95.82296752929688,,
133,31.17251968383789,3896,1763260116.5267937,,,,,,,,,,46.0,46.0
147,32.095887660980225,4924,1763260117.4501617,,,,,,,,,,132.0,132.0
149,32.187697887420654,4994,1763260117.541972,,,,,,,,,,70.0,70.0
150,32.21489977836609,5069,1763260117.5691738,,,,,,,,,,75.0,75.0
155,32.546459436416626,5376,1763260117.9007335,9.96151939034462e-05,-0.020070195198059082,-0.0007982486858963966,0.0,-0.0025281012058258057,0.5856800079345703,0.00029685100889764726,1055.0,77.06713104248047,,
157,32.66182994842529,5504,1763260118.016104,6.535090506076813e-05,0.2001470923423767,0.0007040835916996002,0.0,-0.0026343055069446564,0.5611760020256042,0.00029677420388907194,1056.0,87.33467864990234,,
172,33.58195996284485,6528,1763260118.936234,0.001140771433711052,0.020193755626678467,-0.000607762485742569,0.0,0.006667729467153549,0.5754466652870178,0.0002961597638204694,1064.0,73.97135925292969,,
195,34.954761266708374,8064,1763260120.3090353,0.00028288085013628006,0.26679033041000366,0.00604656245559454,0.0,-0.00015910156071186066,0.5402583479881287,0.00029523810371756554,1074.0,68.79979705810547,,
203,35.53372502326965,8704,1763260120.887999,0.0012318026274442673,-0.13184738159179688,0.014310641214251518,0.0,-0.0049921609461307526,0.599798321723938,0.00029485407867468894,1076.0,96.72805786132812,,
213,36.43394327163696,9411,1763260121.7882173,,,,,,,,,,194.0,194.0
217,36.778793811798096,9600,1763260122.1330678,6.30868598818779e-05,0.1646946668624878,0.000991123728454113,0.0,-0.004269585013389587,0.49536168575286865,0.0002943164436146617,1029.0,77.57783508300781,,
228,37.89418148994446,10368,1763260123.2484555,5.520228296518326e-05,-0.015734434127807617,-0.0011476213112473488,0.0,-0.0029077082872390747,0.5584589242935181,0.00029385561356320977,992.0,57.88440704345703,,
233,38.41129469871521,10813,1763260123.7655687,,,,,,,,,,132.0,132.0
251,40.12796139717102,12032,1763260125.4822354,5.922652781009674e-05,0.604103147983551,0.0013763140887022018,0.0,-0.0009542116895318031,0.5430361032485962,0.0002928571484517306,949.0,45.52606201171875,,
259,40.78658151626587,12607,1763260126.1408556,,,,,,,,,,208.0,208.0
265,41.387511014938354,13184,1763260126.741785,0.0026100575923919678,0.2756257653236389,0.01484481431543827,0.0,-0.003247365355491638,0.5257114171981812,0.0002921659033745527,946.0,79.47518920898438,,
273,42.14222812652588,13952,1763260127.4965022,0.0010634921491146088,-0.3201406002044678,0.0035326946526765823,0.0,0.00895470380783081,0.5696889758110046,0.0002917050733231008,949.0,81.64366912841797,,
274,42.1747043132782,14047,1763260127.5289783,,,,,,,,,,469.0,469.0
292,43.5321626663208,15488,1763260128.8864367,0.00029863137751817703,0.0008467435836791992,-0.0022290656343102455,0.0,0.005240963771939278,0.538942277431488,0.00029078341322019696,963.0,46.2154426574707,,
