charts/SPS,_step,_timestamp,losses/old_approx_kl,losses/policy_loss,losses/clipfrac,global_step,losses/entropy,losses/value_loss,losses/approx_kl,charts/learning_rate,charts/episodic_length,losses/explained_variance,charts/episodic_return,_runtime
,0,1763260110.7980947,,,,0,,,,,,,,25.597919702529907
,7,1763260112.9152975,,,,125,,,,,16.0,,16.0,27.71512246131897
,33,1763260113.4078574,,,,578,,,,,24.0,,24.0,28.207682371139526
,41,1763260113.5514913,,,,763,,,,,23.0,,23.0,28.351316213607788
,47,1763260113.6695416,,,,881,,,,,35.0,,35.0,28.469366550445557
,64,1763260114.2616582,,,,1449,,,,,64.0,,64.0,29.061483144760132
,74,1763260114.7118802,,,,1929,,,,,71.0,,71.0,29.51170516014099
,77,1763260114.851205,,,,2131,,,,,94.0,,94.0,29.65103006362915
1039.0,88,1763260115.5152493,-0.0031188270077109337,0.004704773426055908,0.0,2816,0.5575422644615173,100.48252868652344,0.0007838020101189613,0.00029838710906915367,,0.004997968673706055,,30.31507420539856
1053.0,102,1763260116.3285623,-0.0011233147233724594,0.0008853115141391754,0.001953125,3712,0.5510807037353516,101.48108673095703,3.409571945667267e-05,0.0002978494740091264,,0.22962379455566406,,31.128387212753296
,104,1763260116.4684722,,,,3925,,,,,321.0,,321.0,31.26829719543457
,133,1763260118.420565,,,,6122,,,,,141.0,,141.0,33.22038984298706
,147,1763260119.2150772,,,,7035,,,,,134.0,,134.0,34.014902114868164
,149,1763260119.3346093,,,,7153,,,,,118.0,,118.0,34.13443422317505
1083.0,150,1763260119.41822,0.001461113803088665,-0.0031806975603103638,0.0,7168,0.5422342419624329,75.53409576416016,3.700610250234604e-05,0.0002957757387775928,,0.1584315299987793,,34.2180449962616
1086.0,155,1763260119.7533538,0.000498470850288868,-0.0004979483783245087,0.0,7552,0.5877102613449097,73.7606201171875,5.5944547057151794e-06,0.0002955453237518668,,0.07534611225128174,,34.553178787231445
1087.0,157,1763260119.864913,0.00031193066388368607,0.0036164075136184692,0.0,7680,0.5400921702384949,56.27765655517578,0.0001247180625796318,0.0002954685187432915,,0.026013195514678955,,34.664737939834595
1067.0,172,1763260121.0794964,-0.0005464870482683182,-0.0016294345259666443,0.0,8832,0.5672020316123962,89.0792007446289,7.043406367301941e-05,0.0002947772736661136,,0.042614102363586426,,35.879321336746216
1022.0,195,1763260123.1905887,0.02072283998131752,-0.011975564062595367,0.00390625,10624,0.6017984747886658,51.0263557434082,0.0017767660319805145,0.00029370200354605913,,0.6702108383178711,,37.990413665771484
,203,1763260123.83473,,,,11236,,,,,88.0,,88.0,38.634554862976074
,213,1763260124.8082616,,,,12113,,,,,380.0,,380.0,39.608086585998535
,217,1763260125.2142577,,,,12530,,,,,417.0,,417.0,40.01408267021179
,228,1763260126.124459,,,,13393,,,,,155.0,,155.0,40.92428398132324
1001.0,233,1763260126.48066,0.0002406984567642212,-0.00019147992134094238,0.0,13696,0.5517024397850037,73.17296600341797,9.782612323760986e-06,0.00029185868334025145,,0.40473729372024536,,41.28048491477966
1011.0,251,1763260127.8614335,0.009492142125964165,-0.015266932547092438,0.0,15232,0.6069451570510864,70.38960266113281,0.0009929072111845016,0.0002909370232373476,,-0.3049517869949341,,42.66125845909119
,259,1763260128.3572145,,,,15753,,,,,119.0,,119.0,43.157039403915405
1016.0,265,1763260128.798562,-0.000512346625328064,-7.664412260055542e-05,0.0,16256,0.5450605154037476,55.047508239746094,0.0001015644520521164,0.00029032258316874504,,0.3419741988182068,,43.598387002944946
1016.0,273,1763260129.29532,0.014793441630899906,0.01291745901107788,0.009765625,16768,0.5542370080947876,52.99969482421875,0.0029175011441111565,0.00029001536313444376,,0.0991939902305603,,44.09514498710632
,274,1763260129.32257,,,,16846,,,,,142.0,,142.0,44.122395038604736
,292,1763260130.4923217,,,,18114,,,,,111.0,,111.0,45.29214668273926
1029.0,321,1763260132.5759337,-0.00657780934125185,0.0012338552623987198,0.0,20352,0.5490050315856934,33.883331298828125,0.0010046930983662605,0.0002878648228943348,,0.7973127961158752,,47.3757586479187
,327,1763260132.9304278,,,,20790,,,,,114.0,,114.0,47.730252742767334
1031.0,330,1763260133.2798257,0.0008988641202449799,-0.000333540141582489,0.0,21120,0.5903249382972717,42.49368667602539,1.994892954826355e-06,0.00028740399284288287,,-0.03453195095062256,,48.07965064048767
,332,1763260133.411603,,,,21290,,,,,500.0,,500.0,48.21142792701721
1034.0,337,1763260133.8402941,-0.0009433608502149582,-0.0028945505619049072,0.0,21760,0.5483925342559814,25.419109344482422,0.0004629082977771759,0.00028701996780000627,,0.8325464725494385,,48.64011907577515
1035.0,340,1763260134.0629048,-0.0011379411444067955,0.010197505354881287,0.0,22016,0.6279990077018738,39.16135787963867,0.0005442900583148003,0.00028686635778285563,,0.6259190440177917,,48.86272978782654
1041.0,370,1763260136.1645846,-0.0056835440918803215,0.002906292676925659,0.0,24320,0.5931564569473267,32.68644332885742,0.00020154472440481186,0.00028548386762849987,,0.45528948307037354,,50.964409589767456
1040.0,375,1763260136.546059,-0.0002062758430838585,-0.00037119537591934204,0.0,24704,0.6185547709465027,8.465468406677246,4.502944648265839e-06,0.0002852534526027739,,0.9646410942077637,,51.34588384628296
,396,1763260137.9423919,,,,26247,,,,,113.0,,113.0,52.74221682548523
1049.0,425,1763260140.3575242,0.0034067658707499504,-0.003639340866357088,0.0,28928,0.5723156929016113,8.411633491516113,8.123461157083511e-05,0.00028271888731978834,,0.8964604139328003,,55.15734910964966
