losses/old_approx_kl,charts/SPS,_timestamp,charts/learning_rate,global_step,losses/clipfrac,_step,losses/policy_loss,losses/value_loss,_runtime,losses/entropy,charts/episodic_length,charts/episodic_return,losses/approx_kl,losses/explained_variance
,,1763260110.8219318,,0,,0,,,25.497281789779663,,,,,
,,1763260112.9043596,,112,,7,,,27.57970952987671,,19.0,19.0,,
,,1763260113.4225984,,529,,33,,,28.0979483127594,,14.0,14.0,,
,,1763260113.559603,,675,,41,,,28.234952926635742,,15.0,15.0,,
,,1763260113.6812565,,799,,47,,,28.356606483459473,,10.0,10.0,,
,,1763260113.9638603,,1107,,64,,,28.63921022415161,,35.0,35.0,,
,,1763260114.2349803,,1291,,74,,,28.910330295562744,,15.0,15.0,,
,,1763260114.2557085,,1335,,77,,,28.931058406829834,,19.0,19.0,,
,,1763260114.5115995,,1610,,88,,,29.186949491500854,,28.0,28.0,,
,,1763260114.8861177,,2044,,102,,,29.56146764755249,,41.0,41.0,,
,,1763260114.9725273,,2089,,104,,,29.64787721633911,,45.0,45.0,,
,,1763260116.0685775,,3303,,133,,,30.743927478790283,,127.0,127.0,,
,,1763260116.6872137,,3960,,147,,,31.362563610076904,,98.0,98.0,,
-0.0011920426040887833,1005.0,1763260116.877629,0.00029761905898340046,4096,0.0,149,-0.0022560767829418182,137.1819610595703,31.552978992462158,0.6378124356269836,,,0.0005548279732465744,0.1248517632484436
,,1763260116.8900218,,4125,,150,,,31.56537175178528,,165.0,165.0,,
,,1763260117.1245868,,4403,,155,,,31.799936771392822,,37.0,37.0,,
,,1763260117.226261,,4496,,157,,,31.901610851287842,,93.0,93.0,,
,,1763260118.035114,,5382,,172,,,32.710464000701904,,84.0,84.0,,
0.0006832005456089973,1042.0,1763260119.189901,0.00029608295881189406,6656,0.0,195,-0.0012175999581813812,79.42572021484375,33.86525106430054,0.6189014911651611,,,6.160791963338852e-05,0.07275271415710449
,,1763260119.461536,,6967,,203,,,34.13688588142395,,45.0,45.0,,
-0.00020147394388914108,1042.0,1763260119.9236436,0.00029562212876044214,7424,0.0,213,-0.0012690164148807526,85.225830078125,34.59899353981018,0.5741268992424011,,,2.1773390471935272e-05,0.042462706565856934
-0.001016475260257721,1044.0,1763260120.1564176,0.0002954685187432915,7680,0.0,217,0.0006748922169208527,58.77252960205078,34.831767559051514,0.6290624737739563,,,0.00012423470616340637,0.19332832098007202
,,1763260120.7071626,,8207,,228,,,35.38251256942749,,52.0,52.0,,
-0.00014340318739414215,1005.0,1763260121.3372974,0.00029493088368326426,8576,0.0,233,-0.0007622279226779938,52.122764587402344,36.0126473903656,0.6021744012832642,,,6.1783939599990845e-06,0.4837237000465393
,,1763260122.7376587,,9780,,251,,,37.41300868988037,,207.0,207.0,,
-0.0001806141808629036,959.0,1763260123.4825275,0.0002939324185717851,10240,0.0,259,-0.0008921250700950623,67.1065673828125,38.15787744522095,0.6004593968391418,,,7.295049726963043e-06,0.02122586965560913
,,1763260124.0010707,,10669,,265,,,38.67642068862915,,53.0,53.0,,
0.0018008211627602577,940.0,1763260124.6415896,0.00029339478351175785,11136,0.0,273,-0.0044099800288677216,42.884986877441406,39.31693959236145,0.6572844982147217,,,6.84177502989769e-05,0.6618568897247314
,,1763260124.6697216,,11171,,274,,,39.34507155418396,,88.0,88.0,,
,,1763260126.1281457,,12368,,292,,,40.80349564552307,,212.0,212.0,,
0.009248865768313408,947.0,1763260128.205695,0.0002913210482802242,14592,0.0,321,0.0010417494922876358,59.04373550415039,42.88104486465454,0.6488487720489502,,,0.0005248039960861206,0.007971644401550293
-0.0032952185720205307,948.0,1763260128.5920935,0.00029109063325449824,14976,0.0,327,0.003920659422874451,57.54529571533203,43.26744341850281,0.6082548499107361,,,0.0010800138115882874,0.004053056240081787
,,1763260128.724953,,15152,,330,,,43.40030288696289,,142.0,142.0,,
,,1763260128.8366306,,15275,,332,,,43.51198053359985,,123.0,123.0,,
-0.001066070981323719,954.0,1763260129.1605947,0.00029070660821162164,15616,0.0,337,0.001915067434310913,52.182987213134766,43.83594465255737,0.5816978216171265,,,0.0003626057878136635,0.3632347583770752
,,1763260129.2984188,,15806,,340,,,43.97376871109009,,106.0,106.0,,
,,1763260131.331889,,18018,,370,,,46.00723886489868,,91.0,91.0,,
,,1763260131.7220953,,18414,,375,,,46.39744520187378,,228.0,228.0,,
,,1763260133.300032,,20111,,396,,,47.97538185119629,,128.0,128.0,,
,,1763260135.3604577,,22234,,425,,,50.035807609558105,,164.0,164.0,,
0.0051310695707798,987.0,1763260136.3989666,0.00028609830769710243,23296,0.0,441,-0.00783395767211914,171.60533142089844,51.07431650161743,0.5527228116989136,,,0.0002404041588306427,0.1415562629699707
,,1763260137.121398,,24076,,450,,,51.79674792289734,,386.0,386.0,,
-0.003445862792432308,997.0,1763260138.7261074,0.000284562207525596,25856,0.0,471,0.004785202443599701,21.892478942871094,53.4014573097229,0.6119371652603149,,,8.867401629686356e-05,0.967768132686615
0.004152840003371239,999.0,1763260139.4392958,0.0002841013774741441,26624,0.0,481,-0.0008300058543682098,33.11259078979492,54.1146457195282,0.5775088667869568,,,3.388151526451111e-05,0.003632783889770508
0.002568483352661133,1001.0,1763260140.1539507,0.0002836405474226922,27392,0.0,490,-0.00018828734755516052,7.161474704742432,54.82930064201355,0.5707489252090454,,,9.63844358921051e-05,0.9613169431686401
,,1763260141.1291072,,28519,,504,,,55.80445718765259,,117.0,117.0,,
,,1763260141.8977861,,29351,,515,,,56.5731360912323,,70.0,70.0,,
