losses/approx_kl,losses/clipfrac,charts/episodic_length,_step,losses/entropy,charts/SPS,losses/value_loss,_runtime,losses/policy_loss,charts/episodic_return,losses/explained_variance,charts/learning_rate,losses/old_approx_kl,global_step,_timestamp
,,,0,,,,25.968666315078735,,,,,,0,1763260111.2877922
0.0002504102885723114,0.0,,7,0.6929243206977844,655.0,66.5005874633789,27.681511402130127,-0.004598677158355713,,-0.0013377666473388672,0.0003000000142492354,-0.0045705754309892654,128,1763260113.0006373
,,31.0,33,,,,28.21996784210205,,31.0,,,,715,1763260113.5390937
,,17.0,41,,,,28.353949308395386,,17.0,,,,871,1763260113.6730752
,,16.0,47,,,,28.48364806175232,,16.0,,,,990,1763260113.802774
,,30.0,64,,,,28.92337155342102,,30.0,,,,1413,1763260114.2424974
,,41.0,74,,,,29.19103169441223,,41.0,,,,1767,1763260114.5101576
,,19.0,77,,,,29.314939737319946,,19.0,,,,1826,1763260114.6340656
,,20.0,88,,,,29.650832653045654,,20.0,,,,2181,1763260114.9699585
9.832717478275299e-05,0.0,,102,0.592021107673645,1010.0,62.396270751953125,30.27386474609375,-0.006018307060003281,,-0.007657527923583984,0.00029838710906915367,0.0011075548827648163,2816,1763260115.5929906
4.119519144296646e-05,0.0,,104,0.6127575635910034,1003.0,103.72608184814453,30.42053484916687,-0.0014678258448839188,,-0.011964797973632812,0.00029831030406057835,0.00031344499439001083,2944,1763260115.7396607
0.00010321289300918579,0.0,,133,0.6040844321250916,1015.0,80.80287170410156,31.771974802017212,-0.00027259625494480133,,0.08979207277297974,0.0002974654489662498,-0.002396300435066223,4352,1763260117.0911007
1.0011717677116394e-05,0.0,,147,0.6194599866867065,1026.0,66.91378784179688,32.47280430793762,-3.21120023727417e-05,,0.13551998138427734,0.0002970046189147979,0.0004236120730638504,5120,1763260117.7919302
0.0004887348040938377,0.0,,149,0.5971243977546692,1029.0,92.43861389160156,32.58358359336853,-0.0015250388532876968,,-0.031992316246032715,0.0002969278139062226,-0.002268836833536625,5248,1763260117.9027095
,,61.0,150,,,,32.60358238220215,,61.0,,,,5301,1763260117.9227083
,,132.0,155,,,,32.845526933670044,,132.0,,,,5598,1763260118.1646528
0.00029680319130420685,0.0,,157,0.6029574871063232,1037.0,102.78820037841797,33.03540897369385,0.0072164386510849,,0.5554547905921936,0.0002966205938719213,0.0015642642974853516,5760,1763260118.3545349
,,112.0,172,,,,33.849650382995605,,112.0,,,,6681,1763260119.1687763
0.00020429957658052444,0.0,,195,0.5902354121208191,1057.0,86.03836822509766,35.35171151161194,-0.0059184059500694275,,0.5930650234222412,0.0002950844937004149,4.8245303332805634e-05,8320,1763260120.6708374
,,172.0,203,,,,35.83548092842102,,172.0,,,,8872,1763260121.1546068
