_step,_runtime,charts/episodic_length,losses/old_approx_kl,charts/episodic_return,losses/value_loss,losses/explained_variance,losses/entropy,charts/learning_rate,losses/approx_kl,global_step,_timestamp,losses/policy_loss,losses/clipfrac,charts/SPS
0,25.684664011001587,,,,,,,,,0,1763260110.784663,,,
7,27.91011643409729,21.0,,21.0,,,,,,138,1763260113.0101154,,,
33,28.33165693283081,17.0,,17.0,,,,,,626,1763260113.431656,,,
41,28.543830156326294,57.0,,57.0,,,,,,813,1763260113.643829,,,
47,28.67528223991394,13.0,,13.0,,,,,,980,1763260113.7752812,,,
64,29.149929523468018,,-0.0008870549499988556,,49.128482818603516,-0.0018731355667114258,0.6611208319664001,0.0002992319641634822,0.00025143101811408997,1408,1763260114.2499285,-0.0054923854768276215,0.0,974.0
74,29.409730911254883,40.0,,40.0,,,,,,1727,1763260114.5097299,,,
77,29.506287813186646,26.0,,26.0,,,,,,1798,1763260114.6062868,,,
88,29.8827223777771,92.0,,92.0,,,,,,2262,1763260114.9827213,,,
102,30.56062126159668,,-0.0030168313533067703,,127.9700927734375,0.2452722191810608,0.6013690233230591,0.00029831030406057835,8.764117956161499e-05,2944,1763260115.6606202,4.25875186920166e-05,0.0,1031.0
104,30.58379578590393,45.0,,45.0,,,,,,3005,1763260115.6837947,,,
133,31.87994909286499,67.0,,67.0,,,,,,4462,1763260116.979948,,,
147,32.653016805648804,,0.004062804393470287,,128.81541442871094,0.1115679144859314,0.6087385416030884,0.0002969278139062226,0.0005705291405320168,5248,1763260117.7530158,-0.004880301654338837,0.0,1060.0
149,32.76392340660095,,-0.003161214292049408,,99.06857299804688,-0.0803215503692627,0.6024156808853149,0.00029685100889764726,0.0004253461956977844,5376,1763260117.8639224,-0.0038598254323005676,0.0,1062.0
150,32.80128359794617,218.0,,218.0,,,,,,5482,1763260117.9012825,,,
155,33.024807929992676,23.0,,23.0,,,,,,5734,1763260118.124807,,,
157,33.14691925048828,114.0,,114.0,,,,,,5848,1763260118.2469182,,,
172,33.91371297836304,,-0.0011639930307865143,,69.33122253417969,0.03346836566925049,0.5633556842803955,0.00029608295881189406,4.978850483894348e-06,6656,1763260119.013712,0.000502023845911026,0.0,1072.0
195,35.304561614990234,143.0,,143.0,,,,,,8215,1763260120.4045606,,,
203,35.888914823532104,111.0,,111.0,,,,,,8709,1763260120.9889138,,,
213,36.79835605621338,,0.002815120853483677,,81.41275787353516,-0.022997140884399414,0.5840852856636047,0.000294393248623237,5.68954274058342e-05,9472,1763260121.898355,0.00021950528025627136,0.0,1041.0
217,37.22208261489868,,-0.0033245692029595375,,93.30852508544922,-0.09456562995910645,0.592947781085968,0.00029416283359751105,0.0001758849248290062,9856,1763260122.3220816,0.004712972790002823,0.0,1035.0
228,38.19745659828186,146.0,,146.0,,,,,,10694,1763260123.2974555,,,
233,38.630635499954224,256.0,,256.0,,,,,,11051,1763260123.7306345,,,
251,40.0729558467865,45.0,,45.0,,,,,,12362,1763260125.1729548,,,
259,40.799885749816895,450.0,,450.0,,,,,,13033,1763260125.8998847,,,
265,41.220906257629395,68.0,0.001906977966427803,68.0,62.80436325073242,0.07206690311431885,0.5765337944030762,0.0002920122933574021,0.000260157510638237,13440,1763260126.3209052,-0.005038239061832428,0.0,994.0
273,41.85050129890442,,0.002657845616340637,,68.35346984863281,-0.0013844966888427734,0.5976927280426025,0.0002916282683145255,0.00019560381770133972,14080,1763260126.9505002,-0.00017992407083511353,0.0,995.0
274,41.96247577667236,,0.0001828465610742569,,68.15900421142578,0.025973796844482422,0.6245441436767578,0.00029155146330595016,0.00013275444507598877,14208,1763260127.0624747,-0.0026479922235012054,0.0,996.0
292,43.06689405441284,144.0,,144.0,,,,,,15474,1763260128.166893,,,
321,45.24072885513306,,0.007741493172943592,,55.55076599121094,0.0012659430503845215,0.6201744675636292,0.0002894009230658412,0.0002313842996954918,17792,1763260130.3407278,-0.004465315956622362,0.0,1014.0
327,45.576526165008545,,0.0002400437369942665,,78.98921966552734,0.13761937618255615,0.614055871963501,0.00028917050804011524,0.00010677706450223923,18176,1763260130.676525,-0.004924342036247253,0.0,1017.0
330,45.80008888244629,,0.00042313896119594574,,57.26356506347656,0.004074275493621826,0.6347177028656006,0.0002890168980229646,1.2375414371490479e-05,18432,1763260130.9000878,-0.0004845336079597473,0.0,1018.0
