losses/explained_variance,charts/learning_rate,global_step,losses/policy_loss,_runtime,losses/approx_kl,charts/SPS,losses/old_approx_kl,losses/entropy,losses/value_loss,charts/episodic_return,_timestamp,losses/clipfrac,charts/episodic_length,_step
0.016955912113189697,0.00028118278714828193,31488,0.006984740495681763,103.24366426467896,0.00032326672226190567,421.0,-0.003685244359076023,0.5601698160171509,128.58004760742188,,1763260194.1509902,0.0,,481
-0.017867207527160645,0.00028072195709683,32256,-0.0003410009667277336,104.85759735107422,3.396347165107727e-05,422.0,0.00037885457277297974,0.5698552131652832,40.08940124511719,,1763260195.7649233,0.0,,490
0.06095540523529053,0.0002799539070110768,33536,-0.0031560175120830536,107.50666189193726,5.3845345973968506e-05,424.0,0.0009057633578777313,0.5952380895614624,108.51095581054688,,1763260198.4139879,0.0,,504
0.9143755435943604,0.00027933946694247425,34560,-0.0018777400255203247,109.67367315292358,8.05361196398735e-05,425.0,0.0001956755295395851,0.5778735876083374,11.219831466674805,,1763260200.5809991,0.0,,515
0.3437343239784241,0.0002784946118481457,35968,-0.002085389569401741,112.54657936096191,2.6827678084373474e-05,428.0,0.0013858694583177567,0.5796047449111938,25.118566513061523,,1763260203.4539053,0.0,,530
,,36754,,114.16992783546448,,,,,,294.0,1763260205.0772538,,294.0,539
0.8311266899108887,0.0002775729517452419,37504,-0.003127655014395714,115.73101019859314,0.0006428025662899017,430.0,0.006957227364182472,0.5362644791603088,44.60006332397461,,1763260206.6383362,0.0,,547
0.9635188579559326,0.00027711212169378996,38272,-0.0041128769516944885,117.26075100898743,0.00018287263810634613,431.0,0.004778372123837471,0.5872099995613098,17.27949333190918,,1763260208.168077,0.0,,555
0.9431338310241699,0.000276881706668064,38656,0.0014828778803348541,118.04268884658813,0.00018686708062887192,431.0,-0.005515349097549915,0.5828852653503418,6.058469295501709,,1763260208.9500148,0.0,,559
0.8826966285705566,0.0002764208766166121,39424,0.0027495473623275757,119.65729451179504,0.00012863986194133759,432.0,-0.005094094201922417,0.543929934501648,7.113198280334473,,1763260210.5646205,0.0,,568
0.9927288889884949,0.00027503841556608677,41728,-0.0005774348974227905,124.5345630645752,0.0008894279599189758,434.0,-0.0014706514775753021,0.5467327833175659,3.5392723083496094,,1763260215.441889,0.0,,595
0.0035634636878967285,0.0002741167554631829,43264,-0.0002427324652671814,127.68042778968811,1.7519108951091766e-05,436.0,-0.001476590521633625,0.531088650226593,359.93731689453125,,1763260218.5877538,0.0,,612
,,43466,,127.98709344863892,,,,,,205.0,1763260218.8944194,,205.0,614
,,45018,,131.23498845100403,,,,,,444.0,1763260222.1423144,,444.0,630
-0.0017293691635131836,0.00027273426530882716,45568,-0.0008912533521652222,132.52872514724731,0.00011411868035793304,438.0,0.005389563739299774,0.6017126441001892,9.61429500579834,,1763260223.4360511,0.0,,636
0.025990724563598633,0.0002725038502831012,45952,-0.0011039171367883682,133.301194190979,1.6557984054088593e-05,438.0,0.0010529840365052223,0.5861581563949585,11.096921920776367,,1763260224.2085202,0.0,,640
,,46950,,135.18663668632507,,,,,,270.0,1763260226.0939627,,270.0,650
0.07565248012542725,0.00027112136012874544,48256,0.0027625858783721924,138.11000442504883,0.0003386717289686203,440.0,-0.00020360201597213745,0.5803920030593872,7.15549898147583,,1763260229.0173304,0.0,,664
0.03210103511810303,0.00026996928500011563,50176,-0.0032329410314559937,142.19816660881042,0.00034665875136852264,441.0,-0.0005808863788843155,0.5223681330680847,6.579595565795898,,1763260233.1054926,0.0,,684
,,50653,,143.07836198806763,,,,,,303.0,1763260233.985688,,303.0,689
-0.04510223865509033,0.0002691244299057871,51584,-0.0028158100321888924,145.0967619419098,0.0006308816373348236,442.0,0.0076606255024671555,0.5542404651641846,5.827604293823242,,1763260236.004088,0.0,,698
0.04422229528427124,0.00026889401488006115,51968,0.00033295899629592896,145.88421726226807,1.4542602002620697e-05,442.0,-0.0006314506754279137,0.5014833807945251,4.897768497467041,,1763260236.7915432,0.0,,702
0.249193012714386,0.00026858679484575987,52480,-0.002295449376106262,146.9407093524933,3.198813647031784e-05,443.0,-0.00010701175779104233,0.5442829728126526,4.7743401527404785,,1763260237.8480353,0.0,,707
0.0020940303802490234,0.0002672811096999794,54656,-0.005089104175567627,151.42881274223328,8.266139775514603e-05,444.0,0.001962202601134777,0.5506614446640015,289.95587158203125,,1763260242.3361387,0.0,,729
-0.09097301959991455,0.000265745009528473,57216,0.0006218003109097481,156.69287753105164,7.05476850271225e-05,446.0,-0.0016427673399448395,0.561542272567749,2.2825980186462402,,1763260247.6002035,0.0,,757
0.0021241307258605957,0.00026551459450274706,57600,-4.544854164123535e-06,157.52126121520996,2.4714507162570953e-05,446.0,0.00023271050304174423,0.5745854377746582,470.0480041503906,,1763260248.4285872,0.0,,762
0.5607472658157349,0.0002652073744684458,58112,-0.04411126673221588,158.49230456352234,0.0040924279019236565,447.0,0.016229435801506042,0.5831438302993774,153.43435668945312,,1763260249.3996305,0.013671875,,767
0.8494560122489929,0.00026474654441699386,58880,-0.003946982324123383,159.99807143211365,0.00023032072931528091,447.0,-0.0036940881982445717,0.5773708820343018,9.54738998413086,,1763260250.9053974,0.0,,775
0.806570291519165,0.0002641321043483913,59904,-0.0024972334504127502,162.21700501441956,0.006591314449906349,448.0,0.0012478027492761612,0.5757917165756226,117.82493591308594,,1763260253.124331,0.0078125,,788
0.9969825148582458,0.0002636712742969394,60672,0.00766647607088089,163.8559489250183,7.880665361881256e-05,448.0,-0.0024628955870866776,0.5559321045875549,1.1047463417053223,,1763260254.763275,0.0,,797
,,61476,,165.48871397972107,,,,,,500.0,1763260256.39604,,500.0,806
,,62177,,166.91112899780273,,,,,,144.0,1763260257.818455,,144.0,815
-0.15198087692260742,0.0002599078288767487,66944,-0.005025934427976608,176.64397025108337,0.00020605698227882385,451.0,-0.0015473626554012299,0.5669336318969727,0.503729522228241,,1763260267.5512962,0.0,,863
-0.17452359199523926,0.00025937019381672144,67840,0.004905335605144501,178.44154810905457,0.0008818376809358597,452.0,-0.003754638135433197,0.5745372772216797,0.33587783575057983,,1763260269.348874,0.0,,872
,,68133,,179.04958486557007,,,,,,119.0,1763260269.9569108,,119.0,876
0.30475085973739624,0.0002565284084994346,72576,-0.013218432664871216,188.13213419914246,0.001126040704548359,454.0,-0.006653397344052792,0.5694359540939331,0.00799395702779293,,1763260279.0394602,0.0,,922
,,73134,,189.34268975257874,,,,,,346.0,1763260280.2500157,,346.0,930
-0.0019572973251342773,0.0002557603584136814,73856,-0.0002175942063331604,190.9305784702301,4.536192864179611e-05,454.0,0.003662501461803913,0.5327520370483398,701.235107421875,,1763260281.8379045,0.0,,938
0.8473390340805054,0.00025552994338795543,74240,-0.0010304711759090424,191.65363192558289,0.0003555621951818466,455.0,-0.01294027455151081,0.5884298086166382,0.940517246723175,,1763260282.560958,0.0,,941
,,74310,,191.70759272575378,,,,,,500.0,1763260282.6149187,,500.0,942
0.7532616853713989,0.0002551459183450788,74880,0.005872461944818497,192.986656665802,0.00585557147860527,455.0,0.026012208312749863,0.5445296764373779,0.03185947611927986,,1763260283.8939826,0.013671875,,948
,,77406,,197.84395551681519,,,,,,182.0,1763260288.7512815,,182.0,974
0.027747929096221924,0.00025337940314784646,77824,-0.0014330372214317322,198.67333579063416,1.299288123846054e-05,457.0,-0.0002949638292193413,0.5591995716094971,251.35084533691406,,1763260289.5806618,0.0,,980
0.014636754989624023,0.0002531489881221205,78208,-0.0053937602788209915,199.1590859889984,0.000729413703083992,458.0,-9.140186011791229e-05,0.5332739353179932,0.029074879363179207,,1763260290.066412,0.0,,985
0.2929767966270447,0.00025261135306209326,79104,-0.00012788362801074982,200.25532126426697,0.0021118242293596268,460.0,-0.010772189125418663,0.552440881729126,0.027862533926963806,,1763260291.1626472,0.0,,995
-1.3270208835601807,0.0002524577430449426,79360,0.0038047824054956436,200.53546810150146,0.006454838439822197,461.0,-0.010013164021074772,0.5511934757232666,0.014033460058271885,,1763260291.442794,0.01171875,,997
0.012195408344268799,0.0002514593070372939,81024,0.000292360782623291,203.3981728553772,0.0011198567226529121,463.0,-6.610620766878128e-05,0.49180370569229126,559.8307495117188,,1763260294.3054988,0.001953125,,1015
0.0013779401779174805,0.00025115208700299263,81536,0.0029944367706775665,204.29481077194214,0.0036997562274336815,463.0,0.022650443017482758,0.39542514085769653,613.205322265625,,1763260295.2021368,0.009765625,,1020
-0.7498526573181152,0.00025046084192581475,82688,-0.00843772292137146,206.41314935684204,0.0005218721926212311,464.0,0.006073672324419022,0.4963299036026001,0.006571558304131031,,1763260297.3204753,0.0,,1031
0.6539431810379028,0.0002492319617886096,84736,0.0015104115009307861,209.99799752235413,0.0010225242003798485,466.0,0.011088651604950428,0.37442970275878906,0.0014905722346156836,,1763260300.9053235,0.0,,1050
0.0011277198791503906,0.000249078351771459,84992,-0.0013670064508914948,210.3112325668335,0.00011071469634771347,467.0,-0.0027195150032639503,0.4135180711746216,690.279052734375,,1763260301.2185585,0.0,,1053
-0.0007439851760864258,0.0002487711317371577,85504,-0.00305929034948349,210.9668025970459,0.0007876837626099586,468.0,0.002932335250079632,0.42403626441955566,620.0643310546875,,1763260301.8741286,0.001953125,,1058
7.432699203491211e-05,0.0002472350315656513,88064,0.0030888989567756653,214.65036129951477,0.0004714205861091614,473.0,0.011452460661530495,0.528806746006012,448.3775634765625,,1763260305.5576873,0.0,,1083
-0.7581765651702881,0.00024669739650562406,88960,0.0013039074838161469,216.28531098365784,0.001963905058801174,473.0,0.002145749516785145,0.5583425760269165,0.00042517963447608054,,1763260307.192637,0.009765625,,1091
0.006315290927886963,0.00024592934641987085,90240,-0.004182508215308189,218.67296051979065,4.7569163143634796e-05,474.0,0.0011330721899867058,0.5090104341506958,846.1434326171875,,1763260309.5802865,0.0,,1106
0.8166906237602234,0.00024516129633411765,91520,-0.02038078010082245,220.65349435806274,0.0015482781454920769,476.0,0.005524630658328533,0.5219987630844116,0.0003905051271431148,,1763260311.5608203,0.0,,1118
-5.4717063903808594e-05,0.00024477727129124105,92160,0.00031160563230514526,221.81154990196228,0.00014868192374706268,476.0,-0.0017540957778692245,0.5088434219360352,257.87799072265625,,1763260312.718876,0.0,,1125
-0.29484641551971436,0.0002442396362312138,93056,0.004042902961373329,222.84833002090454,0.003556867130100727,478.0,0.0053716013208031654,0.4557986259460449,0.00046443298924714327,,1763260313.755656,0.00390625,,1133
-4.792213439941406e-05,0.00024354839115403593,94208,0.001605488359928131,224.25245332717896,0.00024096574634313583,481.0,-0.0003450373187661171,0.5192621946334839,802.6261596679688,,1763260315.1597793,0.0,,1145
,,96141,,226.52480840682983,,,,,,500.0,1763260317.4321344,,500.0,1164
-0.0010590553283691406,0.0002423195110168308,96256,-0.009311199188232422,226.66741633415222,0.0007483921945095062,485.0,0.005506973713636398,0.4585093557834625,460.94122314453125,,1763260317.5747423,0.0,,1165
-2.534019947052002,0.00024185868096537888,97024,-0.0004849061369895935,227.5678265094757,0.0012355484068393707,487.0,0.0036248788237571716,0.4197946786880493,9.165213850792497e-05,,1763260318.4751525,0.0,,1172
0.45931142568588257,0.00024132104590535164,97920,0.0031240414828062057,228.64585399627686,9.298697113990784e-05,489.0,0.0016928687691688538,0.41592878103256226,0.0005042824195697904,,1763260319.55318,0.0,,1181
0.02931421995162964,0.00024101382587105036,98432,0.0013861022889614105,229.59536790847778,0.0006110267713665962,489.0,0.0016784025356173515,0.43445998430252075,0.0008617959683761001,,1763260320.502694,0.0,,1186
-0.28831279277801514,0.00024032258079387248,99584,-0.009303975850343704,231.7641725540161,0.000707102008163929,489.0,-0.00840748194605112,0.39919331669807434,0.0004602636327035725,,1763260322.6714985,0.0,,1197
,,101141,,234.62689232826233,,,,,,500.0,1763260325.5342183,,500.0,1213
-0.4300922155380249,0.000239247310673818,101376,-0.011357232928276062,235.03441762924194,0.0009974930435419083,490.0,-0.010174307972192764,0.37433403730392456,0.007668171543627977,,1763260325.9417436,0.0,,1215
-0.3352264165878296,0.0002385560655966401,102528,-0.023973330855369568,237.0899302959442,0.0020979736000299454,491.0,0.008451847359538078,0.2697463631629944,0.00034008597140200436,,1763260327.9972563,0.0078125,,1226
-1.1050567626953125,0.00023832565057091415,102912,-0.0032648183405399323,237.81542205810547,0.003487055189907551,491.0,0.017631199210882187,0.2887198328971863,0.0018150608520954847,,1763260328.722748,0.005859375,,1230
-0.6142977476119995,0.0002380952355451882,103296,-0.0024848878383636475,238.48700594902039,0.00022216513752937317,491.0,-0.0009728353470563889,0.27198663353919983,0.004011239390820265,,1763260329.394332,0.0,,1234
-5.183559417724609,0.0002374039904680103,104448,0.0022244229912757874,240.49134492874146,0.00029655173420906067,492.0,0.00454106368124485,0.2867477238178253,0.014347159303724766,,1763260331.398671,0.0,,1245
-5.1661152839660645,0.00023686635540798306,105344,-0.006807170808315277,241.67783737182617,0.0007757311686873436,494.0,-0.007864479906857014,0.3127862513065338,0.003765035653486848,,1763260332.5851634,0.0,,1254
,,106983,,243.622243642807,,,,,,421.0,1763260334.5295696,,421.0,1271
0.9532656073570251,0.0002343317901249975,109568,-0.002230806276202202,246.91941618919373,0.0006601288914680481,501.0,0.004060044884681702,0.23046371340751648,0.016247659921646118,,1763260337.8267422,0.0,,1299
-4.698083877563477,0.00023202765441965312,113408,-0.004901885986328125,251.64650297164917,0.0020876647904515266,508.0,0.004243695177137852,0.20366954803466797,1.8746826648712158,,1763260342.553829,0.001953125,,1339
0.8106889128684998,0.0002319508494110778,113536,-0.01166677474975586,251.7922899723053,0.0015056496486067772,508.0,-0.009395168162882328,0.27537891268730164,1.5698976516723633,,1763260342.699616,0.001953125,,1340
-1.9789402484893799,0.00023141321435105056,114432,0.0002393573522567749,252.84832787513733,3.097020089626312e-05,510.0,0.0016906056553125381,0.25222793221473694,0.6615241765975952,,1763260343.7556539,0.0,,1349
0.765032947063446,0.00023056835925672203,115840,-0.0007516443729400635,254.42114806175232,0.00257039163261652,512.0,-0.006251883693039417,0.26014068722724915,0.0049539487808942795,,1763260345.328474,0.001953125,,1363
0.8711438179016113,0.0002304147492395714,116096,-0.010111480951309204,254.69016361236572,0.0009756721556186676,513.0,-0.013654740527272224,0.24121898412704468,0.0014683911576867104,,1763260345.5974896,0.0,,1365
0.9747349619865417,0.0002301075292052701,116608,-0.009405121207237244,255.3997790813446,0.0046369535848498344,513.0,0.015457692556083202,0.19004270434379578,0.00041416610474698246,,1763260346.307105,0.037109375,,1370
-3.520761489868164,0.00022949308913666755,117632,-0.010072479955852032,257.1654403209686,0.0014588059857487679,514.0,-0.011357943527400494,0.18062375485897064,0.027826368808746338,,1763260348.0727663,0.00390625,,1380
,,117657,,257.2125198841095,,,,,,500.0,1763260348.1198459,,500.0,1381
-3.951146125793457,0.00022903225908521563,118400,-0.007707931101322174,258.4771988391876,0.0012056957930326462,514.0,0.002298697829246521,0.2518107295036316,0.006814965512603521,,1763260349.3845248,0.0,,1388
,,119157,,259.61743569374084,,,,,,500.0,1763260350.5247617,,500.0,1395
0.7650564312934875,0.00022834101400803775,119552,0.013523329049348831,260.45472836494446,0.0016029737889766693,515.0,0.005055801942944527,0.23378051817417145,5.9844369388883933e-05,,1763260351.3620543,0.0,,1399
,,120157,,261.40686988830566,,,,,,500.0,1763260352.3141959,,500.0,1405
-1.2895781993865967,0.00022634408378507942,122880,-0.0017752386629581451,265.8935103416443,0.00028874631971120834,517.0,0.0008359877392649651,0.34000587463378906,0.003922841511666775,,1763260356.8008363,0.0,,1432
-1.1471309661865234,0.0002262672787765041,123008,-0.007703565061092377,266.0263681411743,0.0007598940283060074,517.0,0.002473091706633568,0.3195733428001404,0.00082664709771052,,1763260356.9336941,0.001953125,,1433
0.002180755138397217,0.00022496159363072366,125184,0.0031752176582813263,269.4743070602417,0.00012836232781410217,519.0,0.0012764465063810349,0.2891598343849182,790.8932495117188,,1763260360.381633,0.0,,1455
-3.4852499961853027,0.00022488478862214833,125312,-0.01291770488023758,269.6633310317993,0.0010007964447140694,519.0,-0.004453967325389385,0.29764488339424133,0.013886692002415657,,1763260360.570657,0.0,,1456
0.7599278092384338,0.00022480798361357301,125440,-0.004555061459541321,269.8585879802704,0.0004705023020505905,519.0,-0.001679724082350731,0.2703855633735657,0.00023567790049128234,,1763260360.765914,0.0,,1457
0.0001837611198425293,0.00022135177277959883,131200,-0.002266339957714081,276.72344517707825,0.0003412049263715744,528.0,0.009862750768661499,0.39032360911369324,464.98565673828125,,1763260367.6307712,0.0,,1514
-4.384259223937988,0.0002208909427281469,131968,-0.02403005212545395,277.5812656879425,0.0027209874242544174,529.0,0.0010948479175567627,0.3683602809906006,0.0007881066994741559,,1763260368.4885917,0.001953125,,1521
-1.0516185760498047,0.00022066052770242095,132352,-0.004770755767822266,278.2462201118469,6.746873259544373e-05,530.0,-0.0007032360881567001,0.30613911151885986,0.007038557901978493,,1763260369.153546,0.0,,1525
-3.1489410400390625,0.0002205069176852703,132608,0.001913558691740036,278.68268728256226,0.00010051950812339783,530.0,-0.00017945468425750732,0.29084664583206177,0.0005219322047196329,,1763260369.5900133,0.0,,1527
-0.0003782510757446289,0.000220430112676695,132736,0.00579356774687767,278.94163179397583,0.00021370407193899155,530.0,-0.003849322907626629,0.25273364782333374,291.3567810058594,,1763260369.8489578,0.0,,1529
0.0009930729866027832,0.0002201228926423937,133248,-0.0017709694802761078,279.76418447494507,0.0006083119660615921,530.0,0.004000278189778328,0.29023388028144836,944.336181640625,,1763260370.6715105,0.0,,1534
0.054955899715423584,0.00021996928262524307,133504,0.0006607919931411743,280.16937375068665,0.00020885653793811798,530.0,-0.00247206911444664,0.369637668132782,0.0003055328270420432,,1763260371.0766997,0.0,,1536
,,134157,,281.29097080230713,,,,,,500.0,1763260372.1982968,,500.0,1543
-1.632223129272461,0.00021943164756521583,134400,-0.00834532082080841,281.66314578056335,0.0013273842632770538,530.0,0.004630757495760918,0.32873648405075073,0.005063323304057121,,1763260372.5704718,0.0,,1545
0.7212052941322327,0.0002193548425566405,134528,-0.002373330295085907,281.8456747531891,0.0024236226454377174,531.0,-0.008207685314118862,0.308037132024765,0.001028368715196848,,1763260372.7530007,0.00390625,,1546
-0.00031125545501708984,0.00021866359747946262,135680,-0.0013148309662938118,283.8564419746399,3.879610449075699e-05,531.0,0.0004026191309094429,0.38791730999946594,641.7430419921875,,1763260374.763768,0.0,,1558
0.23072773218154907,0.0002185867924708873,135808,-0.0033163856714963913,284.07839584350586,0.0001248195767402649,531.0,0.0006159283220767975,0.29790255427360535,0.004447434563189745,,1763260374.9857218,0.0,,1559
0.002343893051147461,0.00021835637744516134,136192,0.012128245085477829,284.78279733657837,0.0007522096857428551,531.0,-0.004435724578797817,0.29593080282211304,537.0631713867188,,1763260375.6901233,0.0,,1563
-0.6643471717834473,0.00021812596241943538,136576,0.0015123281627893448,285.4131622314453,0.00038777198642492294,531.0,-0.002635800279676914,0.39118218421936035,0.0006626116810366511,,1763260376.3204882,0.0,,1566
0.000438690185546875,0.00021682027727365494,138752,0.0025032684206962585,287.9899878501892,0.0003408249467611313,534.0,0.0056040044873952866,0.3221784234046936,650.7447509765625,,1763260378.8973138,0.0,,1588
-0.3309997320175171,0.00021674347226507962,138880,-0.0012742355465888977,288.13681054115295,0.00016617495566606522,534.0,-0.0021734433248639107,0.3184790015220642,0.006225571967661381,,1763260379.0441365,0.0,,1589
,,139657,,289.04800152778625,,,,,,500.0,1763260379.9553275,,500.0,1597
0.00010144710540771484,0.00021566820214502513,140672,0.00012566149234771729,290.52235674858093,3.164634108543396e-06,536.0,6.517209112644196e-05,0.35726937651634216,752.724365234375,,1763260381.4296827,0.0,,1607
-0.8036885261535645,0.0002155145921278745,140928,-0.002328544855117798,290.9800715446472,0.000983954407274723,536.0,-0.007043183781206608,0.4406256675720215,0.0004918447812087834,,1763260381.8873975,0.0,,1609
-2.128828525543213,0.00021543778711929917,141056,0.0017537660896778107,291.15948152542114,0.0003713387995958328,537.0,-0.005348674952983856,0.3964861035346985,0.0005007986910641193,,1763260382.0668075,0.0,,1610
0.00014418363571166992,0.00021536098211072385,141184,0.0010639429092407227,291.444349527359,7.677264511585236e-05,536.0,0.0007510799914598465,0.453043669462204,695.564453125,,1763260382.3516755,0.0,,1612
,,142657,,293.9374210834503,,,,,,500.0,1763260384.844747,,500.0,1626
-0.26048433780670166,0.00021374807693064213,143872,-0.011684834957122803,295.77520418167114,0.0010776584967970848,538.0,0.007714859209954739,0.42727044224739075,0.006665967870503664,,1763260386.6825302,0.0,,1638
-0.2847059965133667,0.00021075268159620464,148864,-0.005516426637768745,301.33852648735046,0.0009738719090819359,545.0,0.018231213092803955,0.4020453691482544,0.006675060838460922,,1763260392.2458525,0.0,,1687
-11.8087797164917,0.00020798771583940834,153472,-0.0013711722567677498,307.620080947876,0.001090729609131813,549.0,-0.0032567083835601807,0.5509234666824341,0.002134947804734111,,1763260398.527407,0.0,,1732
0.0002560615539550781,0.00020721966575365514,154752,0.0007095262408256531,309.07328486442566,4.913192242383957e-05,551.0,0.0019185421988368034,0.5374716520309448,316.7373352050781,,1763260399.9806108,0.0,,1745
-0.14366483688354492,0.0002066820306936279,155648,0.0011449158191680908,310.28597140312195,0.00010072160512208939,552.0,0.005245582200586796,0.5165493488311768,0.0003011390217579901,,1763260401.1932974,0.0,,1753
