_timestamp,losses/policy_loss,losses/value_loss,losses/approx_kl,losses/old_approx_kl,charts/episodic_length,losses/entropy,losses/clipfrac,_step,losses/explained_variance,global_step,charts/SPS,_runtime,charts/learning_rate,charts/episodic_return
1763260115.210039,,,,,,,,0,,0,,24.27349281311035,,
1763260120.9736965,,,,,37.0,,,7,,171,,30.037150382995605,,37.0
1763260123.0379162,,,,,54.0,,,33,,767,,32.101370096206665,,54.0
1763260123.8508937,,,,,18.0,,,41,,944,,32.914347648620605,,18.0
1763260124.4345784,,,,,36.0,,,47,,1077,,33.498032331466675,,36.0
1763260126.6388938,,,,,56.0,,,64,,1662,,35.70234775543213,,56.0
1763260128.417794,,,,,51.0,,,74,,2064,,37.481247901916504,,51.0
1763260128.8384683,,,,,50.0,,,77,,2179,,37.90192222595215,,50.0
1763260130.6331415,-0.0020726360380649567,274.7717590332031,0.00011884886771440506,-0.000539771281182766,,0.6092570424079895,0.0,88,-0.13720548152923584,2816,251.0,39.696595430374146,0.00029838710906915367,
1763260132.4994822,-0.0038884207606315613,139.19032287597656,6.103795021772385e-05,0.004815750755369663,,0.6204541325569153,0.0,102,0.07517164945602417,3584,274.0,41.56293606758118,0.00029792627901770175,
1763260132.8080053,-0.004030818119645119,134.20396423339844,0.00021045468747615814,-0.0070171356201171875,,0.6258452534675598,0.0,104,-0.02405405044555664,3712,277.0,41.87145924568176,0.0002978494740091264,
1763260136.8854427,0.0010376274585723877,129.8887481689453,9.834393858909607e-05,2.2239983081817627e-06,,0.6095381379127502,0.0,133,0.08815521001815796,5504,315.0,45.948896646499634,0.00029677420388907194,
1763260138.8106143,,,,,82.0,,,147,,6326,,47.87406826019287,,82.0
1763260139.0959678,,,,,98.0,,,149,,6424,,48.15942168235779,,98.0
1763260139.3470244,-0.0016639940440654755,143.45623779296875,1.3645738363265991e-05,0.000512903556227684,,0.6033900380134583,0.0,150,0.053154706954956055,6528,327.0,48.410478353500366,0.0002961597638204694,
1763260140.014778,,,,,125.0,,,155,,6830,,49.07823181152344,,125.0
1763260140.32547,,,,,171.0,,,157,,7001,,49.38892388343811,,171.0
1763260142.628316,,,,,210.0,,,172,,7988,,51.69176983833313,,210.0
1763260145.6932693,0.003981828689575195,125.14655303955078,0.00012916512787342072,-2.403557300567627e-05,,0.6208763718605042,0.0,195,0.026820719242095947,9216,350.0,54.756723165512085,0.00029454685864038765,
1763260146.908719,,,,,162.0,,,203,,9853,,55.97217297554016,,162.0
1763260148.46268,,,,,248.0,,,213,,10603,,57.52613401412964,,248.0
1763260149.0208662,-0.011508960276842117,47.96567153930664,0.0004737917333841324,-0.006592536345124245,,0.5408937931060791,0.0,217,4.673004150390625e-05,10752,363.0,58.084320068359375,0.0002936251985374838,
1763260150.691337,0.006834298372268677,123.32169342041016,0.0009886249899864197,0.003766613081097603,,0.6171483993530273,0.0,228,0.11289161443710327,11648,372.0,59.754791021347046,0.00029308756347745657,
1763260151.2813916,,,,,50.0,,,233,,11929,,60.34484553337097,,50.0
1763260153.398054,,,,,59.0,,,251,,12814,,62.46150779724121,,59.0
1763260154.2859094,,,,,124.0,,,259,,13236,,63.34936332702637,,124.0
1763260155.0630057,,,,,101.0,,,265,,13618,,64.12645959854126,,101.0
1763260156.043448,,,,,92.0,,,273,,14123,,65.10690188407898,,92.0
1763260156.0937254,,,,,79.0,,,274,,14202,,65.15717935562134,,79.0
1763260158.2369592,,,,,217.0,,,292,,15210,,67.30041313171387,,217.0
1763260162.732706,0.002729225903749466,110.98164367675781,0.001334003172814846,-0.0053523508831858635,,0.5816066861152649,0.0,321,-0.02391958236694336,17408,402.0,71.79615998268127,0.00028963133809156716,
1763260163.8104184,0.002583678811788559,147.2941436767578,0.0010448815301060677,0.0018892260268330574,,0.5810328722000122,0.0,327,0.11623501777648926,17920,403.0,72.87387228012085,0.0002893241180572659,
1763260164.3972864,0.0029352977871894836,91.52428436279297,0.00018018484115600586,0.00558876059949398,,0.6017224788665771,0.0,330,0.2805098295211792,18176,404.0,73.46074032783508,0.00028917050804011524,
1763260164.7345078,0.00448974035680294,103.48306274414062,0.00021148286759853363,0.0005379635840654373,,0.6426810026168823,0.0,332,0.15279316902160645,18304,404.0,73.79796171188354,0.0002890937030315399,
1763260165.8823566,7.120892405509949e-06,92.06841278076172,2.3871660232543945e-05,0.0009029004722833633,,0.5836641192436218,0.0,337,-0.007315874099731445,18816,405.0,74.94581055641174,0.00028878648299723864,
1763260166.5675974,0.0034731347113847733,112.51366424560547,0.0007833149284124374,-0.003541843965649605,,0.588420569896698,0.0,340,0.19651871919631958,19072,404.0,75.63105130195618,0.000288632872980088,
1763260172.0636394,-0.0009572133421897888,82.33771514892578,7.72867351770401e-05,-0.000378534197807312,,0.5941120982170105,0.0,370,-0.1397916078567505,21504,408.0,81.12709331512451,0.0002871735778171569,
1763260175.9563355,-0.001296892762184143,16.2759952545166,0.00026213377714157104,0.002577129751443863,,0.5876942276954651,0.0,396,0.8937252759933472,23296,412.0,85.01978945732117,0.00028609830769710243,
1763260180.7535863,-0.005889527499675751,30.104354858398438,0.004032148979604244,-0.0034296615049242973,,0.6072673797607422,0.005859375,425,0.8767547011375427,25600,417.0,89.81704020500183,0.00028471581754274666,
1763260183.0262945,-0.00017498433589935303,57.12736129760742,9.269453585147858e-06,0.0009617870673537254,,0.612933337688446,0.0,441,0.327120304107666,26624,418.0,92.08974838256836,0.0002841013774741441,
1763260184.369879,,,,,290.0,,,450,,27266,,93.43333292007446,,290.0
1763260187.5792801,0.000909067690372467,133.28399658203125,9.594019502401352e-05,0.005093873478472233,,0.5522844195365906,0.0,471,0.018218398094177246,28800,422.0,96.64273405075073,0.00028279569232836366,
1763260189.1906219,-0.009158771485090256,41.367759704589844,0.0010343557223677635,0.004009597934782505,,0.5611092448234558,0.0,481,0.1326373815536499,29568,423.0,98.25407576560974,0.00028233486227691174,
1763260190.533941,-0.00567810982465744,243.65956115722656,6.60410150885582e-05,0.004390564747154713,,0.5837193727493286,0.0,490,0.018252015113830566,30208,424.0,99.5973949432373,0.00028195083723403513,
1763260192.6275527,-0.009302843362092972,4.215091228485107,0.0013509755954146385,0.00612256582826376,,0.5991997122764587,0.0,504,0.9795271158218384,31232,426.0,101.69100666046143,0.00028133639716543257,
1763260194.420969,0.0007530152797698975,35.86403274536133,2.822279930114746e-05,-0.0004655495285987854,,0.5681015849113464,0.0,515,0.4237092137336731,32128,428.0,103.4844229221344,0.00028079876210540533,
1763260196.8446364,,,,,424.0,,,530,,33372,,105.90809035301208,,424.0
1763260198.3656924,-0.0008388310670852661,23.046281814575195,0.0004936559125781059,0.0040868306532502174,,0.5866197347640991,0.0,539,0.8202419281005859,34048,431.0,107.42914628982544,0.0002796466869767755,
1763260199.8867364,0.0010908320546150208,29.935083389282227,0.00012776721268892288,0.0026835156604647636,,0.5990792512893677,0.0,547,0.0031800270080566406,34816,432.0,108.95019030570984,0.0002791858569253236,
1763260201.2411463,,,,,334.0,,,555,,35562,,110.30460023880005,,334.0
1763260201.8215718,0.004065763205289841,347.1282653808594,0.0004799524322152138,-0.003534275107085705,,0.5727742910385132,0.0,559,0.010113239288330078,35712,433.0,110.8850257396698,0.00027864822186529636,
1763260203.106406,-0.004648428410291672,181.61871337890625,7.27502629160881e-05,-0.0008822018280625343,,0.6222500205039978,0.0,568,0.0035321712493896484,36224,432.0,112.16985988616943,0.0002783410018309951,
1763260207.2597394,,,,,57.0,,,595,,38256,,116.32319331169128,,57.0
1763260210.1655004,,,,,80.0,,,612,,39607,,119.22895431518555,,80.0
1763260210.475394,,,,,101.0,,,614,,39708,,119.53884792327881,,101.0
1763260213.3244598,,,,,263.0,,,630,,41100,,122.38791370391846,,263.0
1763260214.7538214,0.0059106312692165375,6.24324369430542,0.00040865689516067505,0.010545024648308754,,0.5729864835739136,0.0,636,0.9685443043708801,41856,439.0,123.81727528572083,0.00027496161055751145,
1763260215.5112162,-0.0018850788474082947,49.57839584350586,0.006187352351844311,0.00034336093813180923,,0.5850212574005127,0.00390625,640,0.8980987668037415,42240,439.0,124.57467007637024,0.0002747311955317855,
1763260217.157777,,,,,282.0,,,650,,43052,,126.22123098373413,,282.0
1763260219.5613122,,,,,123.0,,,664,,44167,,128.6247661113739,,123.0
