charts/SPS,charts/episodic_length,losses/entropy,charts/learning_rate,losses/old_approx_kl,_timestamp,losses/approx_kl,losses/value_loss,losses/policy_loss,losses/explained_variance,_step,global_step,charts/episodic_return,_runtime,losses/clipfrac
,,,,,1763260075.9755533,,,,,0,0,,24.89054226875305,
850.0,,0.6930727958679199,0.0003000000142492354,0.002598511055111885,1763260077.117601,5.821138620376587e-05,33.795166015625,-0.0028887130320072174,-0.019245505332946777,7,128,,26.03258991241455,0.0
,13.0,,,,1763260077.545129,,,,,33,617,13.0,26.460118055343628,
985.0,,0.6873270273208618,0.0002996159892063588,0.01191321387887001,1763260077.746763,0.0008628610521554947,61.69611358642578,-0.019319679588079453,0.008645892143249512,41,768,,26.661751985549927,0.0
991.0,,0.678547739982605,0.00029953918419778347,0.017969733104109764,1763260077.8710964,0.0018195239827036858,49.22792053222656,-0.02696213871240616,-0.012334823608398438,47,896,,26.78608536720276,0.0
995.0,,0.6739355325698853,0.0002992319641634822,-0.0014600912109017372,1763260078.3812196,3.683660179376602e-05,60.05153274536133,0.0009795352816581726,0.023613393306732178,64,1408,,27.29620862007141,0.0
1014.0,,0.6380946636199951,0.00029900154913775623,0.001456376165151596,1763260078.7342045,0.0002179965376853943,73.30500030517578,-0.007017850875854492,0.0005091428756713867,74,1792,,27.64919352531433,0.0
1019.0,,0.6629374623298645,0.0002989247441291809,0.0007988624274730682,1763260078.8509953,0.0001938454806804657,96.40825653076172,-0.003879070281982422,-0.0709463357925415,77,1920,,27.765984296798706,0.0
1027.0,,0.6680968999862671,0.00029861752409487963,0.009605580009520054,1763260079.3330758,0.0003914171829819679,262.8410339355469,0.002986358478665352,0.10227739810943604,88,2432,,28.248064756393433,0.0
,96.0,,,,1763260079.923125,,,,,102,3083,96.0,28.838114023208618,
1043.0,,0.638765811920166,0.0002981566940434277,-0.0003353813663125038,1763260080.0350525,4.7530047595500946e-05,145.15835571289062,-0.0016744546592235565,-0.03933215141296387,104,3200,,28.95004153251648,0.0
,23.0,,,,1763260081.3873343,,,,,133,4688,23.0,30.30232334136963,
,111.0,,,,1763260082.0790732,,,,,147,5425,111.0,30.994062185287476,
,89.0,,,,1763260082.1802008,,,,,149,5514,89.0,31.095189809799194,
1058.0,,0.626106858253479,0.0002966973988804966,0.002949891611933708,1763260082.2895005,3.459863364696503e-05,180.2909698486328,3.2510608434677124e-05,0.0008494257926940918,150,5632,,31.2044894695282,0.0
,94.0,,,,1763260082.5708065,,,,,155,5965,94.0,31.485795497894287,
,109.0,,,,1763260082.6796608,,,,,157,6074,109.0,31.59464979171753,
,132.0,,,,1763260083.5015738,,,,,172,6972,132.0,32.41656279563904,
,79.0,,,,1763260084.9005497,,,,,195,8528,79.0,33.81553864479065,
1071.0,,0.5829275846481323,0.000294623663648963,-0.0006093978881835938,1763260085.4468246,0.00010519474744796753,65.66703033447266,0.0036788377910852432,0.03593724966049194,203,9088,,34.36181354522705,0.0
1036.0,,0.6190308332443237,0.00029416283359751105,-0.009047959931194782,1763260086.472027,0.0011342456564307213,158.01565551757812,0.012776881456375122,0.2147810459136963,213,9856,,35.38701605796814,0.0
1030.0,,0.5997179746627808,0.0002940092235803604,-0.001523805782198906,1763260086.7801354,8.369050920009613e-05,87.60527038574219,-0.0027425475418567657,0.17231863737106323,217,10112,,35.69512438774109,0.0
,108.0,,,,1763260087.4417648,,,,,228,10816,108.0,36.35675382614136,
1025.0,,0.60078364610672,0.00029339478351175785,-0.00042113102972507477,1763260087.8233778,1.9807368516921997e-05,55.895076751708984,-0.0007985364645719528,0.47164034843444824,233,11136,,36.7383668422699,0.0
,188.0,,,,1763260089.0123749,,,,,251,12355,188.0,37.927363872528076,
,250.0,,,,1763260089.5920684,,,,,259,12989,250.0,38.507057428359985,
,323.0,,,,1763260090.0824714,,,,,265,13475,323.0,38.99746036529541,
1028.0,,0.5613226890563965,0.0002917050733231008,0.0019433675333857536,1763260090.530028,4.558917135000229e-05,94.67342376708984,-0.004288017749786377,0.00255584716796875,273,13952,,39.44501709938049,0.0
,126.0,,,,1763260090.5671084,,,,,274,14060,126.0,39.48209738731384,
,105.0,,,,1763260091.6546004,,,,,292,15209,105.0,40.569589376449585,
,142.0,,,,1763260093.3490505,,,,,321,16946,142.0,42.264039516448975,
1033.0,,0.5595579147338867,0.0002897081431001425,0.0008660834282636642,1763260093.67994,5.1626935601234436e-05,94.91752624511719,-0.0038678720593452454,0.18367928266525269,327,17280,,42.59492897987366,0.0
1034.0,,0.5844205021858215,0.00028955453308299184,-0.0012649055570363998,1763260093.9121835,0.0011720135807991028,110.41224670410156,-0.029019249603152275,-0.008589982986450195,330,17536,,42.82717251777649,0.0
1035.0,,0.5719348192214966,0.0002894777280744165,0.007615905255079269,1763260094.0300262,0.0036141742020845413,93.9156494140625,0.01946282759308815,0.07655298709869385,332,17664,,42.94501519203186,0.0234375
1033.0,,0.5379347801208496,0.0002893241180572659,-0.0007846076041460037,1763260094.3075244,0.00019882619380950928,48.07574462890625,0.0029546990990638733,0.35414403676986694,337,17920,,43.22251343727112,0.0
,112.0,,,,1763260094.452414,,,,,340,18131,112.0,43.36740303039551,
1037.0,,0.5985976457595825,0.0002879416279029101,0.023976193740963936,1763260096.466822,0.00489137414842844,60.041778564453125,-0.025469737127423286,0.906919002532959,370,20224,,45.381810903549194,0.02734375
1039.0,,0.5900190472602844,0.00028763440786860883,-0.004211892373859882,1763260096.9189866,0.00030445586889982224,171.6425323486328,-0.0026284288614988327,0.0061509013175964355,375,20736,,45.83397555351257,0.0
