losses/old_approx_kl,_runtime,losses/value_loss,_timestamp,losses/clipfrac,losses/explained_variance,_step,losses/entropy,losses/policy_loss,charts/episodic_return,charts/episodic_length,charts/SPS,global_step,losses/approx_kl,charts/learning_rate
,24.32034182548523,,1763260114.8146238,,,0,,,,,,0,,
,30.478897094726562,,1763260120.973179,,,7,,,105.0,105.0,,196,,
,32.61829972267151,,1763260123.1125817,,,33,,,58.0,58.0,,803,,
,33.505024671554565,,1763260123.9993067,,,41,,,26.0,26.0,,1038,,
-0.0010274425148963928,34.381836891174316,109.24653625488281,1763260124.876119,0.0,0.005978941917419434,47,0.6435806155204773,-0.012747950851917267,,,235.0,1280,0.0016731936484575272,0.0002993087691720575
,36.60532855987549,,1763260127.0996106,,,64,,,27.0,27.0,,1741,,
,38.24102067947388,,1763260128.7353027,,,74,,,80.0,80.0,,2133,,
,38.65552067756653,,1763260129.1498027,,,77,,,46.0,46.0,,2247,,
,40.25351929664612,,1763260130.7478013,,,88,,,37.0,37.0,,2806,,
0.00210005696862936,42.395761013031006,69.95674133300781,1763260132.890043,0.0,0.017281651496887207,102,0.5920171737670898,-0.0002203136682510376,,,266.0,3584,0.00015171710401773453,0.00029792627901770175
-0.003976534120738506,42.7205114364624,209.39622497558594,1763260133.2147934,0.0,0.06428420543670654,104,0.6349892020225525,0.007400829344987869,,,269.0,3712,0.0012054843828082085,0.0002978494740091264
,47.123311042785645,,1763260137.617593,,,133,,,170.0,170.0,,5589,,
,49.58952188491821,,1763260140.083804,,,147,,,319.0,319.0,,6554,,
-0.0004971660673618317,50.09824562072754,186.99459838867188,1763260140.5925276,0.0,-0.024428844451904297,149,0.5852102637290955,-0.0002426840364933014,,,320.0,6784,0.0006610807031393051,0.00029600615380331874
,50.15632653236389,,1763260140.6506085,,,150,,,291.0,291.0,,6845,,
0.0014325398951768875,50.99492430686951,97.6388931274414,1763260141.4892063,0.0,0.2586296796798706,155,0.6247632503509521,-0.006496071815490723,,,325.0,7168,0.0005011092871427536,0.0002957757387775928
,51.33119082450867,,1763260141.8254728,,,157,,,283.0,283.0,,7396,,
-0.0015782201662659645,53.64417266845703,119.42597961425781,1763260144.1384547,0.0,-0.002497076988220215,172,0.6034556031227112,0.0010540559887886047,,,331.0,8192,6.114784628152847e-05,0.0002951612987089902
,57.47721600532532,,1763260147.971498,,,195,,,165.0,165.0,,9971,,
-0.00016944017261266708,58.812108278274536,123.48091125488281,1763260149.3063903,0.0,0.02141338586807251,203,0.5751813054084778,-0.0010573416948318481,,,351.0,10496,6.21844083070755e-06,0.00029377880855463445
0.0003455476835370064,60.25821042060852,58.22658157348633,1763260150.7524924,0.0,0.2979812026023865,213,0.581994891166687,-0.00011239759624004364,,,355.0,11136,5.224719643592834e-07,0.00029339478351175785
,60.651599645614624,,1763260151.1458817,,,217,,,104.0,104.0,,11357,,
0.0004168907180428505,62.55764365196228,134.59426879882812,1763260153.0519257,0.0,0.34459972381591797,228,0.5943628549575806,-0.0023053251206874847,,,361.0,12160,2.34236940741539e-05,0.0002927803434431553
,63.14617586135864,,1763260153.6404579,,,233,,,127.0,127.0,,12466,,
,65.69185876846313,,1763260156.1861408,,,251,,,136.0,136.0,,13792,,
,66.80348086357117,,1763260157.2977629,,,259,,,96.0,96.0,,14255,,
,67.61075615882874,,1763260158.1050382,,,265,,,131.0,131.0,,14674,,
-0.010916909202933311,68.86391830444336,44.68670654296875,1763260159.3582003,0.005859375,0.3167644143104553,273,0.46301984786987305,-0.016445495188236237,54.0,54.0,381.0,15232,0.002362823113799095,0.0002909370232373476
,68.94093251228333,,1763260159.4352145,,,274,,,119.0,119.0,,15351,,
-0.0002550790086388588,72.2556631565094,97.15199279785156,1763260162.7499452,0.0,0.0008320808410644531,292,0.5833500027656555,-0.00036318227648735046,,,387.0,16768,1.6116537153720856e-05,0.00029001536313444376
0.0034272531047463417,78.43976616859436,148.93539428710938,1763260168.9340482,0.0,0.05186671018600464,321,0.47436147928237915,-0.005883380770683289,,,387.0,19200,0.00012261886149644852,0.0002885560679715127
0.006204696372151375,79.55030536651611,122.31382751464844,1763260170.0445874,0.0,-0.014991044998168945,327,0.5329155921936035,-0.00742243230342865,,,389.0,19712,0.0005433037877082825,0.0002882488479372114
0.0007076319307088852,80.12509179115295,97.48553466796875,1763260170.6193738,0.0,0.1413588523864746,330,0.6051053404808044,0.0011379830539226532,,,390.0,19968,0.0005646944046020508,0.00028809523792006075
-0.0014867838472127914,80.41177344322205,65.4307861328125,1763260170.9060555,0.0,-0.008002281188964844,332,0.5826712250709534,0.011030677706003189,,,390.0,20096,0.0020714737474918365,0.00028801843291148543
-0.0030405353754758835,81.27368950843811,74.77992248535156,1763260171.7679715,0.0,0.015647590160369873,337,0.5637301206588745,-0.0004948005080223083,,,391.0,20480,7.351860404014587e-05,0.00028778801788575947
-0.004834720864892006,81.83760261535645,73.3404769897461,1763260172.3318846,0.0,0.00028324127197265625,340,0.5597041249275208,0.003861859440803528,,,392.0,20736,0.0004533305764198303,0.00028763440786860883
0.013182472437620163,87.07032752037048,79.83914184570312,1763260177.5646095,0.021484375,0.43373799324035645,370,0.5359045267105103,-0.020223721861839294,,,396.0,23040,0.0047328174114227295,0.00028625191771425307
-0.012045901268720627,87.95839357376099,62.30531311035156,1763260178.4526756,0.0,0.6119285225868225,375,0.5417715311050415,0.02567319944500923,,,396.0,23424,0.0011128224432468414,0.0002860215026885271
