losses/old_approx_kl,losses/policy_loss,losses/value_loss,_runtime,losses/clipfrac,_step,charts/episodic_return,losses/entropy,losses/explained_variance,global_step,losses/approx_kl,_timestamp,charts/SPS,charts/learning_rate,charts/episodic_length
,,,24.673821449279785,,0,,,,0,,1763260075.6507864,,,
,,,26.165067672729492,,7,27.0,,,174,,1763260077.1420326,,,27.0
,,,26.696204900741577,,33,16.0,,,762,,1763260077.6731699,,,16.0
,,,26.915783882141113,,41,17.0,,,920,,1763260077.8927488,,,17.0
,,,27.065086841583252,,47,28.0,,,1058,,1763260078.0420518,,,28.0
,,,27.546323776245117,,64,32.0,,,1553,,1763260078.5232887,,,32.0
,,,27.908568382263184,,74,56.0,,,1943,,1763260078.8855333,,,56.0
-0.0009993910789489746,-0.0030543655157089233,61.70098114013672,28.043838262557983,0.0,77,,0.6262303590774536,0.02290034294128418,2048,9.218975901603699e-05,1763260079.0208032,997.0,0.0002988479391206056,
,,,28.325443983078003,,88,33.0,,,2402,,1763260079.302409,,,33.0
-0.005827250890433788,-0.00040516629815101624,179.3184356689453,29.00142216682434,0.0,102,,0.6401667594909668,-0.052069902420043945,3072,0.00017474312335252762,1763260079.978387,1020.0,0.000298233499052003,
,,,29.054529905319214,,104,55.0,,,3146,,1763260080.0314949,,,55.0
0.003535010851919651,-0.005916371941566467,62.25965881347656,30.467952728271484,0.0,133,,0.597152829170227,0.02456355094909668,4608,6.960984319448471e-05,1763260081.4449177,1029.0,0.0002973118389490992,
-0.001001027412712574,0.001740097999572754,133.19667053222656,31.419309854507446,0.0,147,,0.6056324243545532,0.28172528743743896,5632,1.71000137925148e-05,1763260082.3962748,1037.0,0.0002966973988804966,
0.005259660072624683,0.0013546422123908997,125.02072143554688,31.535956621170044,0.0,149,,0.5581560134887695,0.22435587644577026,5760,0.0002480698749423027,1763260082.5129216,1038.0,0.0002966205938719213,
,,,31.57006287574768,,150,173.0,,,5856,,1763260082.5470278,,,173.0
0.002377079799771309,-0.0014236792922019958,94.61474609375,31.88248586654663,0.0,155,,0.5187469720840454,0.11116600036621094,6144,4.004128277301788e-05,1763260082.8594508,1042.0,0.00029639017884619534,
,,,31.913370609283447,,157,61.0,,,6222,,1763260082.8903356,,,61.0
,,,32.61359524726868,,172,79.0,,,6923,,1763260083.5905602,,,79.0
-0.0022481530904769897,0.0012681558728218079,65.3758773803711,33.80478858947754,0.0,195,,0.5408250093460083,0.241075336933136,8192,7.502734661102295e-05,1763260084.7817535,1048.0,0.0002951612987089902,
0.0006035957485437393,-0.0006706267595291138,48.80643844604492,34.157023429870605,0.0,203,,0.5480444431304932,0.1481887698173523,8576,2.8703361749649048e-06,1763260085.1339884,1050.0,0.00029493088368326426,
0.00016336143016815186,-3.241002559661865e-05,51.009552001953125,34.8533239364624,0.0,213,,0.5558555722236633,0.16691040992736816,9088,6.508082151412964e-06,1763260085.830289,1025.0,0.000294623663648963,
,,,35.09998321533203,,217,43.0,,,9239,,1763260086.0769482,,,43.0
,,,35.8156201839447,,228,133.0,,,9864,,1763260086.7925851,,,133.0
-0.0004361039027571678,0.0015044808387756348,118.02330780029297,36.18991732597351,0.0,233,,0.5693023204803467,0.7433841228485107,10240,4.136282950639725e-05,1763260087.1668823,1003.0,0.0002939324185717851,
,,,37.14383816719055,,251,86.0,,,11183,,1763260088.120803,,,86.0
-0.0007731905207037926,-0.01211722195148468,87.59904479980469,37.67004346847534,0.0,259,,0.5658819675445557,0.08321624994277954,11648,0.0003327326849102974,1763260088.6470084,997.0,0.00029308756347745657,
-0.010576710104942322,0.002561451867222786,99.59466552734375,38.04531979560852,0.0,265,,0.5198220014572144,-0.0017919540405273438,12032,0.0013313572853803635,1763260089.0222847,998.0,0.0002928571484517306,
,,,38.543829917907715,,273,142.0,,,12638,,1763260089.5207949,,,142.0
0.0021379422396421432,0.0016557015478610992,63.5832633972168,38.64557862281799,0.0,274,,0.6240028738975525,0.2117701768875122,12672,0.00027843378484249115,1763260089.6225436,1001.0,0.000292473123408854,
0.0015534255653619766,-0.0016640499234199524,121.87823486328125,39.993364572525024,0.0,292,,0.614243745803833,0.22165971994400024,14080,0.0007416903972625732,1763260090.9703295,1005.0,0.0002916282683145255,
,,,42.0897216796875,,321,150.0,,,16382,,1763260093.0666866,,,150.0
0.002650300972163677,-0.0045053064823150635,65.32217407226562,42.509889125823975,0.0,327,,0.554736316204071,0.6817153692245483,16768,0.0002952655777335167,1763260093.486854,1015.0,0.00029001536313444376,
0.00547411385923624,-0.005069956183433533,96.0778579711914,42.63119721412659,0.0,330,,0.529546856880188,0.4534001350402832,16896,0.00015856605023145676,1763260093.6081622,1015.0,0.00028993855812586844,
0.0027183499187231064,-0.0002469010651111603,46.607242584228516,42.7471489906311,0.0,332,,0.48340845108032227,0.4402121901512146,17024,0.00011820532381534576,1763260093.724114,1015.0,0.0002898617531172931,
-0.008218102157115936,-0.027463383972644806,47.43391799926758,43.14247107505798,0.009765625,337,,0.5401948094367981,0.5217778086662292,17408,0.0034319087862968445,1763260094.119436,1014.0,0.00028963133809156716,
0.000565933994948864,0.0002339966595172882,97.9639892578125,43.37390971183777,0.0,340,,0.5530977249145508,-0.00022935867309570312,17664,6.366614252328873e-05,1763260094.3508747,1016.0,0.0002894777280744165,
0.002095547504723072,0.003125712275505066,43.31288146972656,45.86190414428711,0.0,370,,0.5397694110870361,0.7636529803276062,20352,0.00015354249626398087,1763260096.838869,1024.0,0.0002878648228943348,
,,,47.606791734695435,,396,136.0,,,22251,,1763260098.5837567,,,136.0
,,,49.59737682342529,,425,226.0,,,24257,,1763260100.5743418,,,226.0
,,,50.693191051483154,,441,124.0,,,25434,,1763260101.670156,,,124.0
,,,51.25660705566406,,450,135.0,,,26005,,1763260102.233572,,,135.0
-0.011418241076171398,0.022093359380960464,41.33768844604492,52.8436074256897,0.001953125,471,,0.4985818564891815,0.8292111158370972,27648,0.003492799587547779,1763260103.8205724,1029.0,0.00028348693740554154,
,,,53.69917821884155,,481,307.0,,,28597,,1763260104.6761432,,,307.0
-0.007122445851564407,0.008102543652057648,37.468685150146484,54.51866006851196,0.001953125,490,,0.5326611995697021,-0.07801008224487305,29440,0.0010500997304916382,1763260105.495625,1031.0,0.00028241166728548706,
0.0007126675918698311,-0.00026975199580192566,30.924942016601562,55.71486735343933,0.00390625,504,,0.5430749654769897,0.03218954801559448,30720,0.00015571247786283493,1763260106.6918323,1033.0,0.00028164361719973385,
,,,56.452033281326294,,515,149.0,,,31609,,1763260107.4289982,,,149.0
0.0008485838770866394,0.0026982780545949936,299.5083312988281,57.756200313568115,0.0,530,,0.5556983947753906,0.06287992000579834,32896,0.00012921355664730072,1763260108.7331653,1035.0,0.0002803379320539534,
,,,58.467063665390015,,539,259.0,,,33727,,1763260109.4440286,,,259.0
,,,59.0725531578064,,547,128.0,,,34330,,1763260110.049518,,,128.0
0.00279224943369627,-0.0009282957762479782,165.1175079345703,59.79098200798035,0.0,555,,0.5557679533958435,0.4065092206001282,35072,0.00012322235852479935,1763260110.767947,1037.0,0.00027903224690817297,
,,,60.15201020240784,,559,495.0,,,35504,,1763260111.1289752,,,495.0
-0.003085404634475708,0.003974296152591705,25.527591705322266,60.98497414588928,0.0,568,,0.5317301750183105,-0.5473275184631348,36352,6.745569407939911e-05,1763260111.961939,1038.0,0.00027826419682241976,
,,,63.17516541481018,,595,248.0,,,38781,,1763260114.1521304,,,248.0
-0.00087705347687006,0.008396372199058533,20.17316436767578,64.44127249717712,0.0,612,,0.5986226797103882,-0.4515702724456787,40064,0.00016335304826498032,1763260115.4182374,1041.0,0.00027603688067756593,
-1.9177794456481934e-05,0.00070924311876297,289.6325988769531,64.55762672424316,0.0,614,,0.5677340030670166,0.0203436017036438,40192,3.233365714550018e-05,1763260115.5345917,1042.0,0.0002759600756689906,
-0.0063422974199056625,0.00300540030002594,10.983918190002441,66.00286197662354,0.0,630,,0.5710198283195496,0.22905468940734863,41728,0.00020193308591842651,1763260116.979827,1042.0,0.00027503841556608677,
0.0024214740842580795,-0.0025199800729751587,175.804931640625,66.46381855010986,0.0,636,,0.5780519247055054,0.3338431715965271,42240,0.00034325942397117615,1763260117.4407835,1043.0,0.0002747311955317855,
,,,66.71864986419678,,640,209.0,,,42557,,1763260117.6956148,,,209.0
0.0020737498998641968,-0.0011043325066566467,210.383056640625,67.52861166000366,0.0,650,,0.5713845491409302,0.3195118308067322,43392,2.5190412998199463e-05,1763260118.5055766,1044.0,0.0002740399504546076,
0.005194244906306267,0.0008709169924259186,7.76644229888916,68.59529280662537,0.0,664,,0.6092424392700195,0.9145181775093079,44544,0.00018617697060108185,1763260119.5722578,1045.0,0.0002733487053774297,
-0.0018655722960829735,0.0019109323620796204,10.285191535949707,70.35570549964905,0.0,684,,0.5107038021087646,0.053648293018341064,46464,3.953743726015091e-05,1763260121.3326705,1047.0,0.0002721966302487999,
0.0001166127622127533,-0.0009548775851726532,125.66517639160156,70.70606541633606,0.0,689,,0.57049161195755,0.2715648412704468,46848,2.5169923901557922e-05,1763260121.6830304,1047.0,0.00027196621522307396,
,,,71.45298624038696,,698,150.0,,,47706,,1763260122.4299512,,,150.0
0.002974383533000946,-0.00977800041437149,347.5456848144531,71.76808667182922,0.0,702,,0.569817066192627,0.05997002124786377,48000,0.0008981376886367798,1763260122.7450516,1048.0,0.0002712749701458961,
-0.0009143175557255745,0.0004114462062716484,328.9062194824219,72.24608159065247,0.0,707,,0.5316287875175476,-0.038126349449157715,48512,0.0002552969381213188,1763260123.2230465,1048.0,0.0002709677501115948,
0.0012065991759300232,0.017514538019895554,6.643337726593018,74.29952955245972,0.0,729,,0.5188307166099548,-0.01911330223083496,50688,0.0023924075067043304,1763260125.2764945,1049.0,0.00026966206496581435,
,,,76.71744537353516,,757,320.0,,,53186,,1763260127.6944103,,,320.0
,,,77.21959471702576,,762,500.0,,,53686,,1763260128.1965597,,,500.0
,,,77.70906925201416,,767,500.0,,,54186,,1763260128.6860342,,,500.0
,,,78.44612789154053,,775,319.0,,,55005,,1763260129.4230928,,,319.0
0.011245056986808777,-0.037675559520721436,284.6181640625,79.60461497306824,0.01171875,788,,0.5245288014411926,-0.0014655590057373047,56192,0.006793444976210594,1763260130.58158,1048.0,0.0002663594495970756,
0.0035799378529191017,-0.004699006676673889,429.9273681640625,80.40369534492493,0.015625,797,,0.5342674255371094,0.306429922580719,57088,0.003646918572485447,1763260131.3806603,1049.0,0.00026582181453704834,
0.0009625358507037163,0.0025659333914518356,2.2844693660736084,81.25331401824951,0.0,806,,0.5064393877983093,0.04694986343383789,57984,2.9078684747219086e-05,1763260132.230279,1049.0,0.0002652841794770211,
0.0015305550768971443,-0.002406857907772064,324.1880187988281,82.09006452560425,0.0,815,,0.48378607630729675,-0.00011515617370605469,58880,9.242165833711624e-05,1763260133.0670295,1049.0,0.00026474654441699386,
0.004222871735692024,-0.0005232542753219604,653.96337890625,86.58719563484192,0.0,863,,0.4953874945640564,-0.00043189525604248047,63744,0.001827087253332138,1763260137.5641606,1051.0,0.0002618279540911317,
,,,87.43449258804321,,872,500.0,,,64665,,1763260138.4114575,,,500.0
0.020850660279393196,0.007656268775463104,0.15240636467933655,87.91346216201782,0.0,876,,0.4809865355491638,-12.879830360412598,65152,0.0005878927186131477,1763260138.890427,1052.0,0.00026098309899680316,
,,,91.83814740180969,,922,394.0,,,69467,,1763260142.8151124,,,394.0
0.003132394514977932,0.0012932363897562027,602.8465576171875,92.53916788101196,0.0,930,,0.4794345498085022,0.07932400703430176,70144,0.0006874306127429008,1763260143.5161328,1054.0,0.0002579877036623657,
0.04897770285606384,-0.019522830843925476,0.0005259504541754723,93.37408971786499,0.02734375,938,,0.5257823467254639,-6.815823554992676,71040,0.010289766825735569,1763260144.3510547,1054.0,0.00025745006860233843,
-0.0031414488330483437,-0.015980549156665802,0.004224099684506655,93.60533475875854,0.0,941,,0.5277565121650696,0.3657001852989197,71296,0.0037700561806559563,1763260144.5822997,1054.0,0.0002572964585851878,
0.021620063111186028,0.008658826351165771,0.007212701719254255,93.71885395050049,0.021484375,942,,0.5060244202613831,-0.7102720737457275,71424,0.008659985847771168,1763260144.695819,1054.0,0.00025721965357661247,
0.0373208187520504,-0.021061088889837265,0.0021785488352179527,94.32694411277771,0.009765625,948,,0.4635695219039917,-5.863402366638184,72064,0.003664214164018631,1763260145.303909,1054.0,0.00025683562853373587,
0.014431089162826538,0.009076492860913277,0.0009826122550293803,96.70401883125305,0.00390625,974,,0.45176976919174194,-0.15745913982391357,74624,0.0031802132725715637,1763260147.6809838,1055.0,0.00025529952836222947,
-0.017122287303209305,0.0009146556258201599,0.00015832509961910546,97.3076446056366,0.0,980,,0.4425490200519562,-0.005492448806762695,75264,0.0017019174993038177,1763260148.2846096,1055.0,0.00025491550331935287,
,,,97.6917564868927,,985,500.0,,,75765,,1763260148.6687214,,,500.0
,,,98.6439311504364,,995,500.0,,,76765,,1763260149.620896,,,500.0
0.007093567401170731,-0.01580577716231346,0.0028865684289485216,98.84225273132324,0.0,997,,0.42613938450813293,-0.04228532314300537,76928,0.0006710086017847061,1763260149.8192177,1055.0,0.0002539170382078737,
,,,100.53430581092834,,1015,500.0,,,78765,,1763260151.5112708,,,500.0
,,,100.99450659751892,,1020,500.0,,,79265,,1763260151.9714715,,,500.0
0.02374233491718769,-0.02885698899626732,0.00033950788201764226,102.05207180976868,0.03125,1031,,0.5368418097496033,-0.2035742998123169,80384,0.010138238780200481,1763260153.0290368,1056.0,0.0002518433320801705,
0.012295431457459927,-0.0022578537464141846,762.8877563476562,103.73581576347351,0.001953125,1050,,0.5678117871284485,-0.0001550912857055664,82176,0.00080877635627985,1763260154.7127807,1056.0,0.00025076806196011603,
,,,103.98960518836975,,1053,426.0,,,82503,,1763260154.9665701,,,426.0
-0.004258698783814907,-0.0035134470090270042,404.3543395996094,104.43316340446472,0.0,1058,,0.5385133028030396,-0.00011587142944335938,82944,0.0010273875668644905,1763260155.4101284,1057.0,0.0002503072319086641,
0.003124512732028961,-0.007081564515829086,0.001669993158429861,106.61384558677673,0.025390625,1083,,0.6102244853973389,0.3431748151779175,85248,0.004476170986890793,1763260157.5908105,1057.0,0.00024892474175430834,
-0.0008164625614881516,0.011113841086626053,929.2139282226562,107.19427061080933,0.0,1091,,0.5249305367469788,7.092952728271484e-06,85888,0.0011238660663366318,1763260158.1712356,1057.0,0.00024854071671143174,
-0.008748151361942291,-0.008100546896457672,0.002632221207022667,108.27603697776794,0.001953125,1106,,0.6023051738739014,0.025159776210784912,87040,0.002098977565765381,1763260159.253002,1057.0,0.00024784947163425386,
,,,109.24894142150879,,1118,269.0,,,88091,,1763260160.2259064,,,269.0
0.0023114942014217377,-0.001490376889705658,0.008668109774589539,109.96455907821655,0.0,1125,,0.521102786064148,-0.8393967151641846,88832,0.0010654516518115997,1763260160.941524,1057.0,0.0002467742015141994,
-0.0010542524978518486,0.004728915169835091,498.2137756347656,110.65322875976562,0.001953125,1133,,0.5365728139877319,-0.00013077259063720703,89600,0.002193004824221134,1763260161.6301937,1058.0,0.00024631337146274745,
0.005984241142868996,-0.03050466999411583,0.0005610838416032493,111.86726140975952,0.0078125,1145,,0.5241953730583191,-0.08956897258758545,90880,0.006296191364526749,1763260162.8442264,1058.0,0.00024554532137699425,
0.008346259593963623,-0.010697321966290474,0.004045320674777031,113.63316655158997,0.0,1164,,0.5743438005447388,-0.03716135025024414,92800,0.0011194832623004913,1763260164.6101315,1058.0,0.00024439324624836445,
0.00904005765914917,-0.02322946861386299,0.0010746489278972149,113.74599647521973,0.001953125,1165,,0.5717248916625977,-0.060689687728881836,92928,0.0032403282821178436,1763260164.7229614,1058.0,0.00024431644123978913,
,,,114.36436986923218,,1172,500.0,,,93591,,1763260165.3413348,,,500.0
,,,115.2962896823883,,1181,500.0,,,94591,,1763260166.2732546,,,500.0
,,,115.75107216835022,,1186,500.0,,,95091,,1763260166.728037,,,500.0
0.003068310208618641,-0.004160717129707336,673.40087890625,116.78480577468872,0.0,1197,,0.51120525598526,-0.0001957416534423828,96128,0.0004430217668414116,1763260167.7617707,1058.0,0.00024239631602540612,
0.0054947929456830025,0.0015094960108399391,0.004909071139991283,118.3458890914917,0.0,1213,,0.5239675641059875,-1.2448172569274902,97792,0.0006585130468010902,1763260169.322854,1058.0,0.00024139785091392696,
0.0005830544978380203,0.012701015919446945,0.00020793371368199587,118.57391595840454,0.001953125,1215,,0.5682345032691956,-0.1745607852935791,98048,0.0011619869619607925,1763260169.550881,1059.0,0.00024124424089677632,
,,,119.53799486160278,,1226,500.0,,,99091,,1763260170.5149598,,,500.0
0.0014542099088430405,-0.00014669448137283325,0.0002706326777115464,119.98761487007141,0.0,1230,,0.4605370759963989,-0.33982980251312256,99584,0.0004978086799383163,1763260170.9645798,1059.0,0.00024032258079387248,
0.014605873264372349,-0.010706227272748947,0.0009743108530528843,120.36489343643188,0.00390625,1234,,0.5380758047103882,0.0043721795082092285,99968,0.0033066915348172188,1763260171.3418584,1059.0,0.00024009216576814651,
,,,121.35412120819092,,1245,500.0,,,101091,,1763260172.3310862,,,500.0
0.0014573903754353523,-0.017198361456394196,0.00034935527946799994,122.24001622200012,0.02734375,1254,,0.5793504118919373,-0.5361988544464111,102016,0.004513329826295376,1763260173.2169812,1059.0,0.0002388632856309414,
,,,123.2229278087616,,1271,104.0,,,103093,,1763260174.1998928,,,104.0
,,,125.76120209693909,,1299,500.0,,,105789,,1763260176.738167,,,500.0
-0.0028029736131429672,-0.004242852330207825,706.9509887695312,129.50050044059753,0.0,1339,,0.5111578106880188,-0.00017011165618896484,109824,0.00030688755214214325,1763260180.4774654,1060.0,0.00023417819465976208,
-0.00588007178157568,-0.00029677897691726685,0.0037230155430734158,129.64719820022583,0.0,1340,,0.5713669061660767,0.12525618076324463,109952,4.985090345144272e-05,1763260180.6241632,1060.0,0.00023410138965118676,
0.007897350937128067,0.003262624144554138,391.5118408203125,130.45196747779846,0.0,1349,,0.5535464882850647,0.0003941059112548828,110848,0.00031297467648983,1763260181.4289324,1061.0,0.00023356375459115952,
,,,131.80340456962585,,1363,500.0,,,112289,,1763260182.7803695,,,500.0
-0.0012914761900901794,-0.01708628237247467,0.005791946314275265,132.01816773414612,0.0,1365,,0.5504000782966614,-0.5676364898681641,112512,0.00044270604848861694,1763260182.9951327,1061.0,0.00023256528947968036,
0.0006216941401362419,0.00013833492994308472,0.007478673011064529,132.47440099716187,0.005859375,1370,,0.5164512395858765,-0.5892543792724609,113024,0.0013594599440693855,1763260183.451366,1061.0,0.00023225806944537908,
0.0010665003210306168,-0.003599502146244049,0.0005878458032384515,133.42155694961548,0.001953125,1380,,0.5446381568908691,-0.18752014636993408,114048,0.001576332375407219,1763260184.398522,1061.0,0.00023164362937677652,
0.0030791331082582474,-0.006047703325748444,0.0005805579712614417,133.53501510620117,0.0,1381,,0.4481475055217743,-1.5367188453674316,114176,0.00030522421002388,1763260184.51198,1061.0,0.0002315668243682012,
-0.00028496235609054565,-0.003281891345977783,604.1143798828125,134.14720845222473,0.0,1388,,0.5273826122283936,0.00012022256851196289,114816,0.0002376902848482132,1763260185.1241734,1061.0,0.0002311827993253246,
-0.005652296356856823,0.002265995368361473,0.00038971149479039013,134.8893277645111,0.00390625,1395,,0.5282341241836548,-0.1352519989013672,115584,0.0016878033056855202,1763260185.8662927,1061.0,0.00023072196927387267,
-0.020131010562181473,-0.0073251985013484955,0.00527912424877286,135.23358607292175,0.0,1399,,0.5458257794380188,-0.007811307907104492,115968,0.0012906044721603394,1763260186.210551,1061.0,0.0002304915542481467,
0.0020944885909557343,-0.002490527927875519,0.0006363478023558855,135.83517050743103,0.0078125,1405,,0.47947102785110474,-0.4219064712524414,116608,0.00296013243496418,1763260186.8121355,1061.0,0.0002301075292052701,
