losses/explained_variance,losses/entropy,global_step,losses/clipfrac,charts/learning_rate,losses/approx_kl,losses/value_loss,_timestamp,losses/policy_loss,charts/episodic_length,_runtime,_step,charts/episodic_return,charts/SPS,losses/old_approx_kl
,,0,,,,,1763260075.8258572,,,24.76640224456787,0,,,
,,216,,,,,1763260077.154085,,19.0,26.094630002975464,7,19.0,,
,,770,,,,,1763260077.7349083,,39.0,26.675453424453735,33,39.0,,
,,1068,,,,,1763260077.9886832,,110.0,26.92922830581665,41,110.0,,
,,1249,,,,,1763260078.1605883,,17.0,27.101133346557617,47,17.0,,
0.012440204620361328,0.6582940816879272,1792,0.0,0.00029900154913775623,6.476044654846191e-05,225.3550567626953,1763260078.716229,-0.0004788637161254883,,27.656774044036865,64,,1024.0,0.0023049861192703247
,,2185,,,,,1763260079.0713127,,35.0,28.011857748031616,74,35.0,,
0.08977550268173218,0.6308503150939941,2432,0.0,0.00029861752409487963,0.0006289724260568619,205.69500732421875,1763260079.3209157,-0.008238321170210838,,28.261460781097412,77,,1033.0,0.0037126466631889343
-0.0265500545501709,0.621168851852417,2944,0.0,0.00029831030406057835,0.0001796754077076912,100.39075469970703,1763260079.7859511,-0.0004836544394493103,,28.72649621963501,88,,1044.0,0.002506800927221775
,,3848,,,,,1763260080.6199684,,56.0,29.560513496398926,102,56.0,,
,,4079,,,,,1763260080.7688582,,231.0,29.70940327644348,104,231.0,,
0.014053642749786377,0.6060121059417725,6144,0.0,0.00029639017884619534,1.1947937309741974e-05,148.0793914794922,1763260082.7194011,9.898468852043152e-05,,31.65994620323181,133,,1068.0,0.00031434278935194016
,,7272,,,,,1763260083.685319,,174.0,32.625864028930664,147,174.0,,
0.019486963748931885,0.5309828519821167,7424,0.0,0.00029562212876044214,0.0002667168155312538,194.8358612060547,1763260083.8777726,-0.0015084296464920044,,32.81831765174866,149,,1074.0,0.005416984669864178
,,7469,,,,,1763260083.8953006,,197.0,32.835845708847046,150,197.0,,
0.12507939338684082,0.558234691619873,7808,0.0,0.0002953917137347162,3.459770232439041e-05,143.1192169189453,1763260084.2220337,0.0025361981242895126,,33.16257882118225,155,,1076.0,-0.0013698237016797066
0.17572402954101562,0.5819783210754395,7936,0.0,0.00029531490872614086,6.17392361164093e-05,117.91602325439453,1763260084.3357553,-0.003467865288257599,,33.27630043029785,157,,1077.0,0.003379596397280693
0.016485869884490967,0.5386310815811157,9216,0.0,0.00029454685864038765,0.0001706928014755249,53.90906524658203,1763260085.5140688,0.0030593574047088623,,34.45461392402649,172,,1078.0,0.004113176837563515
0.018509089946746826,0.5982750654220581,11008,0.0,0.00029347158852033317,0.0003326293081045151,135.32171630859375,1763260087.587094,0.0008784085512161255,,36.52763915061951,195,,1036.0,-0.00035168975591659546
,,11585,,,,,1763260088.1034791,,192.0,37.04402422904968,203,192.0,,
-0.0047959089279174805,0.6123101711273193,12416,0.0,0.00029262673342600465,0.000489535741508007,116.85942077636719,1763260088.976147,-0.009093917906284332,,37.91669201850891,213,,1033.0,0.0009177504107356071
0.5739951133728027,0.5813673138618469,12672,0.0,0.000292473123408854,0.0008759330958127975,62.207847595214844,1763260089.205711,0.0013554394245147705,,38.14625597000122,217,,1035.0,-0.00773480162024498
,,13508,,,,,1763260089.9623652,,144.0,38.902910232543945,228,144.0,,
0.1931554079055786,0.5932531356811523,13952,0.0,0.0002917050733231008,0.000227256678044796,53.01356887817383,1763260090.3915095,0.0012950003147125244,,39.33205461502075,233,,1039.0,-0.0020226975902915
0.4727187156677246,0.6198278665542603,15232,0.0,0.0002909370232373476,7.795728743076324e-05,103.70307922363281,1763260091.5835643,0.006577093154191971,,40.52410936355591,251,,1042.0,-0.0052545443177223206
0.294026255607605,0.5792480111122131,15744,0.0,0.0002906298032030463,7.567554712295532e-05,96.88069915771484,1763260092.0874693,-0.005657508969306946,,41.02801442146301,259,,1041.0,0.004166958853602409
-0.09311830997467041,0.5846654176712036,16256,0.0,0.00029032258316874504,1.4016404747962952e-06,92.93473052978516,1763260092.5427315,8.952617645263672e-05,,41.48327660560608,265,,1043.0,-0.0003030532971024513
,,16927,,,,,1763260093.1589158,,144.0,42.09946084022522,273,144.0,,
-0.012923359870910645,0.5781932473182678,17024,0.0,0.0002898617531172931,9.733252227306366e-05,106.42951202392578,1763260093.2612534,-0.003379981964826584,,42.20179843902588,274,,1044.0,0.0002199765294790268
,,18536,,,,,1763260094.5959258,,122.0,43.536470890045166,292,122.0,,
,,21115,,,,,1763260096.9469616,,71.0,45.88750672340393,321,71.0,,
,,21520,,,,,1763260097.4063628,,325.0,46.3469078540802,327,325.0,,
0.5422348976135254,0.5829545259475708,21760,0.0,0.00028701996780000627,0.00016152393072843552,52.297969818115234,1763260097.631416,-0.001505434513092041,,46.57196116447449,330,,1053.0,0.002638007514178753
-0.0126875638961792,0.6153695583343506,22016,0.0,0.00028686635778285563,0.0003487691283226013,73.57981872558594,1763260097.8576193,-0.0014535635709762573,,46.79816436767578,332,,1053.0,-0.002268793061375618
-0.0077294111251831055,0.5544004440307617,22528,0.0,0.00028655913774855435,1.136772334575653e-05,74.86756134033203,1763260098.3438137,0.0010766852647066116,,47.284358739852905,337,,1053.0,-0.0006752330809831619
,,22688,,,,,1763260098.472086,,138.0,47.412631034851074,340,138.0,,
-0.0007016658782958984,0.5949344635009766,25088,0.009765625,0.00028502303757704794,0.0034075910225510597,64.6478271484375,1763260100.71313,0.023510243743658066,,49.6536750793457,370,,1056.0,-0.03936583921313286
