_timestamp,losses/old_approx_kl,losses/entropy,losses/value_loss,charts/episodic_length,charts/learning_rate,losses/clipfrac,losses/approx_kl,losses/explained_variance,_step,charts/episodic_return,_runtime,global_step,losses/policy_loss,charts/SPS
1763260115.2837107,,,,,,,,,0,,24.34587860107422,0,,
1763260120.9602067,,,,17.0,,,,,7,17.0,30.022374629974365,148,,
1763260123.0093017,,,,17.0,,,,,33,17.0,32.07146954536438,714,,
1763260123.8771162,-0.0015125162899494171,0.6770076155662537,90.8390121459961,,0.00029953918419778347,0.0,0.0004352740943431854,-0.03561282157897949,41,,32.93928408622742,896,-0.012801529839634895,201.0
1763260124.2741172,,,,43.0,,,,,47,43.0,33.33628511428833,1021,,
1763260126.793664,,,,62.0,,,,,64,62.0,35.85583186149597,1555,,
1763260128.139324,,,,20.0,,,,,74,20.0,37.201491832733154,1806,,
1763260128.5740728,0.007302865386009216,0.5781734585762024,90.0581283569336,,0.0002989247441291809,0.0,0.0018774289637804031,0.02809441089630127,77,,37.6362407207489,1920,0.008930256590247154,210.0
1763260130.1423194,0.019784675911068916,0.5442874431610107,94.03083801269531,,0.00029861752409487963,0.0,0.0026294169947504997,-0.020471692085266113,88,,39.204487323760986,2432,-0.008521836251020432,227.0
1763260131.9614837,,,,134.0,,,,,102,134.0,41.02365159988403,3228,,
1763260132.2775986,0.003602174110710621,0.5829381346702576,141.4712677001953,,0.0002980798890348524,0.0,0.000266210176050663,0.07894915342330933,104,,41.33976650238037,3328,0.001491643488407135,259.0
1763260136.5608146,0.0051924679428339005,0.5038869976997375,228.62142944335938,,0.0002970046189147979,0.0,0.0007062628865242004,0.0750887393951416,133,,45.62298250198364,5120,0.006173424422740936,298.0
1763260138.837611,0.00039063766598701477,0.5465911030769348,187.33914184570312,,0.00029639017884619534,0.0,0.0005052387714385986,0.17939406633377075,147,,47.899778842926025,6144,-0.0026545338332653046,316.0
1763260139.1185777,0.02614123933017254,0.5829191207885742,126.82788848876953,,0.00029631337383762,0.013671875,0.006867405027151108,0.047166287899017334,149,,48.18074560165405,6272,-0.039302073419094086,318.0
1763260139.173648,,,,129.0,,,,,150,129.0,48.23581600189209,6316,,
1763260140.0268862,0.006423181854188442,0.5887861847877502,97.68867492675781,,0.00029608295881189406,0.0,0.0021564578637480736,0.12579476833343506,155,,49.089054107666016,6656,0.014796264469623566,323.0
1763260140.1416736,,,,60.0,,,,,157,60.0,49.2038414478302,6760,,
1763260142.8313477,-0.000662241131067276,0.5490322113037109,181.82859802246094,,0.00029531490872614086,0.0,0.00045324862003326416,0.0013129115104675293,172,,51.89351558685303,7936,-0.003058008849620819,339.0
1763260146.575229,-0.001009467989206314,0.5339772701263428,126.87854766845703,,0.0002943164436146617,0.0,0.0002624969929456711,-0.07218670845031738,195,,55.637396812438965,9600,-0.0025440342724323273,353.0
1763260147.7853515,,,,139.0,,,,,203,139.0,56.847519397735596,10238,,
1763260149.666921,0.0037496760487556458,0.5341923832893372,112.39903259277344,,0.00029339478351175785,0.0,0.00048400647938251495,0.043555617332458496,213,,58.72908878326416,11136,0.006997767835855484,368.0
1763260150.379953,0.011973782442510128,0.5511223673820496,150.69000244140625,,0.0002931643684860319,0.009765625,0.0010025454685091972,-0.009647369384765625,217,,59.44212079048157,11520,-0.002512603998184204,372.0
1763260152.185074,,,,174.0,,,,,228,174.0,61.24724197387695,12463,,
1763260152.913585,,,,241.0,,,,,233,241.0,61.97575283050537,12820,,
1763260155.5735152,-0.0024434737861156464,0.5724265575408936,71.43222045898438,,0.00029155146330595016,0.0,0.00013100728392601013,0.08350169658660889,251,,64.63568305969238,14208,-0.004932917654514313,393.0
1763260156.7985582,,,,93.0,,,,,259,93.0,65.86072611808777,14975,,
1763260157.7353966,,,,127.0,,,,,265,127.0,66.79756450653076,15414,,
1763260159.0318773,0.0062536317855119705,0.5437078475952148,89.4831771850586,,0.00029039938817732036,0.0,0.0003819800913333893,0.052588582038879395,273,,68.09404516220093,16128,-0.008530344814062119,407.0
1763260159.1836853,0.013465418480336666,0.5492954254150391,106.09764099121094,,0.00029032258316874504,0.0,0.001573442481458187,-0.05105280876159668,274,,68.24585318565369,16256,-0.007510490715503693,408.0
1763260162.3435576,-0.005521420389413834,0.5109456777572632,90.11482238769531,,0.0002894009230658412,0.0,0.0006320904940366745,0.3282455801963806,292,,71.40572547912598,17792,0.021300680935382843,414.0
1763260168.8314862,-0.0003917291760444641,0.5647844076156616,81.56326293945312,,0.00028771121287718415,0.0,0.00020837970077991486,0.2392774224281311,321,,77.89365410804749,20608,0.0012381523847579956,417.0
1763260169.9313378,,,,500.0,,,,,327,500.0,78.99350571632385,21143,,
1763260170.6518874,0.009186453185975552,0.5293267369270325,84.0401611328125,,0.0002871735778171569,0.0,0.0004229983314871788,0.002567470073699951,330,,79.71405529975891,21504,-0.0024485811591148376,419.0
1763260170.9478443,,,,497.0,,,,,332,497.0,80.01001214981079,21640,,
1763260171.7756672,,,,251.0,,,,,337,251.0,80.83783507347107,22025,,
1763260172.3197665,,,,306.0,,,,,340,306.0,81.38193440437317,22331,,
1763260177.7679412,-0.0004115672782063484,0.6175416707992554,70.16232299804688,,0.00028509984258562326,0.0,0.0005803992971777916,0.09140640497207642,370,,86.83010911941528,24960,-0.004175305366516113,427.0
1763260178.599164,-4.008319228887558e-05,0.4934341311454773,146.41339111328125,,0.0002848694275598973,0.0,4.339125007390976e-05,0.008840680122375488,375,,87.66133189201355,25344,-0.0031125545501708984,428.0
1763260182.331664,,,,332.0,,,,,396,332.0,91.3938319683075,27201,,
