losses/old_approx_kl,charts/episodic_return,_timestamp,charts/episodic_length,losses/approx_kl,losses/value_loss,losses/clipfrac,charts/learning_rate,losses/explained_variance,_step,losses/policy_loss,global_step,losses/entropy,_runtime,charts/SPS
,,1763260114.7247128,,,,,,,0,,0,,24.220314741134644,
,10.0,1763260120.3333244,10.0,,,,,,7,,107,,29.82892632484436,
,20.0,1763260122.9719312,20.0,,,,,,33,,715,,32.467533111572266,
-0.0008196327835321426,,1763260123.8183265,,0.0019130650907754898,54.60065460205078,0.0,0.00029953918419778347,-0.0247725248336792,41,-0.008246615529060364,896,0.6413407325744629,33.3139283657074,204.0
,20.0,1763260124.1991596,20.0,,,,,,47,,1017,,33.694761514663696,
,24.0,1763260126.212375,24.0,,,,,,64,,1486,,35.70797681808472,
,50.0,1763260127.7481375,50.0,,,,,,74,,1900,,37.24373936653137,
-0.009930755011737347,,1763260128.4727988,,0.0007693683728575706,220.14810180664062,0.0,0.0002988479391206056,0.0032405853271484375,77,0.009066879749298096,2048,0.6158813238143921,37.968400716781616,226.0
-0.00033468473702669144,,1763260130.0435855,,0.0003076652064919472,155.42747497558594,0.0,0.0002985407190863043,0.004029691219329834,88,-0.0040670037269592285,2560,0.6085070371627808,39.53918743133545,241.0
,153.0,1763260132.04112,153.0,,,,,,102,,3430,,41.53672194480896,
,115.0,1763260132.3491402,115.0,,,,,,104,,3545,,41.84474205970764,
,237.0,1763260136.4003758,237.0,,,,,,133,,5131,,45.89597773551941,
,111.0,1763260138.7142534,111.0,,,,,,147,,6147,,48.20985531806946,
,160.0,1763260139.003909,160.0,,,,,,149,,6307,,48.49951100349426,
,59.0,1763260139.0584357,59.0,,,,,,150,,6366,,48.55403757095337,
-0.0010016178712248802,,1763260139.9168594,,1.1722557246685028e-05,121.78028106689453,0.0,0.00029608295881189406,0.0596279501914978,155,-0.0005189217627048492,6656,0.5816865563392639,49.412461280822754,324.0
,38.0,1763260140.034813,38.0,,,,,,157,,6716,,49.53041481971741,
0.0003043394535779953,,1763260142.3178313,,1.4360994100570679e-06,115.33729553222656,0.0,0.0002954685187432915,0.20207470655441284,172,-0.00011721812188625336,7680,0.5579614043235779,51.8134331703186,335.0
,108.0,1763260145.8268447,108.0,,,,,,195,,9246,,55.32244658470154,
0.0010101739317178726,,1763260147.0037875,,3.7942081689834595e-05,131.02337646484375,0.0,0.0002942396386060864,0.28139442205429077,203,-0.0016552433371543884,9728,0.6082441806793213,56.49938941001892,352.0
,137.0,1763260148.400987,137.0,,,,,,213,,10381,,57.89658880233765,
,120.0,1763260148.9636016,120.0,,,,,,217,,10716,,58.459203481674194,
0.004482602700591087,,1763260150.6709323,,0.0009123589843511581,158.23899841308594,0.0,0.0002931643684860319,-0.09629285335540771,228,-0.0007956922054290771,11520,0.6068769097328186,60.166534185409546,368.0
0.00021464098244905472,,1763260151.296877,,7.589813321828842e-05,62.929107666015625,0.0,0.00029301075846888125,0.2249872088432312,233,-0.003169391304254532,11776,0.5838969945907593,60.792478799819946,369.0
-0.00046439189463853836,,1763260153.8934581,,0.00035091396421194077,95.016357421875,0.0,0.00029224270838312805,0.4459446668624878,251,0.001904033124446869,13056,0.5650436878204346,63.38906002044678,378.0
0.0007386095821857452,,1763260155.0409484,,2.535805106163025e-05,139.4830780029297,0.0,0.00029185868334025145,0.24289023876190186,259,-0.0031650839373469353,13696,0.5622645616531372,64.536550283432,384.0
,195.0,1763260155.7987177,195.0,,,,,,265,,14117,,65.29431962966919,
,250.0,1763260157.045643,250.0,,,,,,273,,14771,,66.5412449836731,
0.0005629360675811768,,1763260157.242555,,0.0016822963953018188,93.9141616821289,0.001953125,0.00029116743826307356,0.37286704778671265,274,-0.014085423201322556,14848,0.611669659614563,66.73815679550171,392.0
6.981845945119858e-05,,1763260159.5660584,,0.00010893959552049637,106.8612060546875,0.0,0.00029039938817732036,0.0069762468338012695,292,-0.004073900170624256,16128,0.5895622968673706,69.0616602897644,401.0
,435.0,1763260164.3234,435.0,,,,,,321,,18427,,73.81900191307068,
,23.0,1763260165.2823336,23.0,,,,,,327,,18796,,74.77793550491333,
,154.0,1763260165.9456031,154.0,,,,,,330,,18950,,75.44120502471924,
-0.0030089402571320534,,1763260166.5515504,,8.629914373159409e-05,88.68087768554688,0.0,0.0002885560679715127,0.024336040019989014,332,-0.004990708082914352,19200,0.6185756921768188,76.0471522808075,407.0
,166.0,1763260167.3415198,166.0,,,,,,337,,19475,,76.8371217250824,
,113.0,1763260167.763759,113.0,,,,,,340,,19626,,77.25936079025269,
-0.00304202176630497,,1763260172.568653,,0.00013261288404464722,73.66130828857422,0.0,0.00028701996780000627,0.13016366958618164,370,1.5363097190856934e-05,21760,0.5761082172393799,82.06425499916077,409.0
0.0003793342038989067,,1763260176.5300808,,7.219146937131882e-05,48.27261734008789,0.0,0.0002859446976799518,0.9080088138580322,396,-0.0019421130418777466,23552,0.6026163101196289,86.0256826877594,412.0
0.0055129630491137505,,1763260181.0005074,,0.00031789299100637436,24.66686248779297,0.0,0.00028471581754274666,0.9113982915878296,425,0.001314215362071991,25600,0.5757365822792053,90.49610924720764,415.0
-0.0018159281462430954,,1763260183.9135458,,8.17757099866867e-05,185.74058532714844,0.0,0.00028387096244841814,0.023827850818634033,441,-0.0001286640763282776,27008,0.5515738725662231,93.4091477394104,418.0
-0.002011256292462349,,1763260185.6230264,,0.00011194869875907898,63.17738723754883,0.0,0.0002833333273883909,-0.18197500705718994,450,-0.002720482647418976,27904,0.596998393535614,95.11862826347351,421.0
