_runtime,losses/explained_variance,losses/entropy,losses/clipfrac,_step,losses/approx_kl,losses/value_loss,_timestamp,losses/policy_loss,global_step,charts/episodic_length,charts/episodic_return,charts/SPS,losses/old_approx_kl,charts/learning_rate
24.32486605644226,,,,0,,,1763260114.818584,,0,,,,,
29.8349928855896,,,,7,,,1763260120.3287108,,123,11.0,11.0,,,
32.56828331947327,,,,33,,,1763260123.0620012,,789,57.0,57.0,,,
33.44620370864868,0.024317026138305664,0.674612283706665,0.0,41,0.0006321817636489868,95.79057312011719,1763260123.9399216,-0.004232808947563171,1024,,,227.0,-0.007796457037329674,0.00029946237918920815
34.007187604904175,0.0135306715965271,0.6646150946617126,0.0,47,0.0012652063742280006,61.21749496459961,1763260124.5009055,-0.022461242973804474,1152,,,227.0,0.010710480622947216,0.00029938557418063283
36.170299768447876,,,,64,,,1763260126.6640177,,1788,47.0,47.0,,,
37.94831037521362,,,,74,,,1763260128.4420283,,2286,45.0,45.0,,,
38.40955662727356,,,,77,,,1763260128.9032745,,2370,34.0,34.0,,,
39.95872116088867,,,,88,,,1763260130.452439,,2902,74.0,74.0,,,
42.016772747039795,0.11203956604003906,0.594030499458313,0.0,102,5.486421287059784e-05,168.7236328125,1763260132.5104907,-0.00047137215733528137,3712,,,283.0,0.001689603552222252,0.0002978494740091264
42.31724739074707,0.0051558613777160645,0.5986420512199402,0.0,104,0.0002673286944627762,155.65794372558594,1763260132.8109653,-0.006823129951953888,3840,,,287.0,0.0031294692307710648,0.0002977726690005511
46.48190259933472,0.08728832006454468,0.5681056380271912,0.0,133,4.724226891994476e-05,120.4544906616211,1763260136.9756205,0.0023845992982387543,5632,,,321.0,-0.0012920554727315903,0.0002966973988804966
48.35432505607605,,,,147,,,1763260138.848043,,6508,80.0,80.0,,,
48.63645839691162,,,,149,,,1763260139.1301763,,6644,136.0,136.0,,,
48.87407851219177,0.057901978492736816,0.5352280139923096,0.0,150,4.319101572036743e-05,128.40330505371094,1763260139.3677964,0.00025114044547080994,6656,,,333.0,0.0024112965911626816,0.00029608295881189406
49.53162717819214,,,,155,,,1763260140.025345,,6982,94.0,94.0,,,
49.81543040275574,,,,157,,,1763260140.3091483,,7079,97.0,97.0,,,
51.85100030899048,,,,172,,,1763260142.3447182,,8056,196.0,196.0,,,
55.79097390174866,0.32786935567855835,0.5592935681343079,0.0,195,0.0026758238673210144,147.39723205566406,1763260146.2846918,0.0032274164259433746,9856,,,367.0,0.00025113485753536224,0.00029416283359751105
57.11655330657959,0.17762434482574463,0.5994998216629028,0.0,203,5.402229726314545e-05,162.38038635253906,1763260147.6102712,0.0008338503539562225,10496,,,372.0,0.001082874834537506,0.00029377880855463445
58.65637755393982,0.1353701949119568,0.6070253849029541,0.0,213,0.000830652192234993,153.74484252929688,1763260149.1500955,-0.007556073367595673,11264,,,379.0,0.005133794620633125,0.00029331797850318253
59.18835973739624,0.3810962438583374,0.5474348664283752,0.0,217,0.0006649866700172424,100.3510971069336,1763260149.6820776,0.006775332614779472,11520,,,380.0,0.0005597397685050964,0.0002931643684860319
60.54553532600403,,,,228,,,1763260151.0392532,,12240,165.0,165.0,,,
61.33684515953064,,,,233,,,1763260151.830563,,12618,94.0,94.0,,,
63.68629765510559,,,,251,,,1763260154.1800156,,13813,95.0,95.0,,,
64.8345947265625,,,,259,,,1763260155.3283126,,14354,146.0,146.0,,,
65.58702373504639,,,,265,,,1763260156.0807416,,14826,142.0,142.0,,,
66.7707130908966,0.325941801071167,0.5974187850952148,0.0,273,1.7724931240081787e-05,92.2367172241211,1763260157.264431,0.0004227161407470703,15360,,,406.0,0.0002136770635843277,0.0002908602182287723
66.8132495880127,,,,274,,,1763260157.3069675,,15402,193.0,193.0,,,
69.21700763702393,0.5753670930862427,0.6007444858551025,0.0,292,9.654927998781204e-05,67.14390563964844,1763260159.7107255,0.0019653216004371643,16768,,,416.0,-0.0012423479929566383,0.00029001536313444376
74.32797050476074,-0.0018563270568847656,0.5364747643470764,0.0,321,0.0008138837292790413,104.08501434326172,1763260164.8216884,-0.00425981730222702,19200,,,423.0,0.009275770746171474,0.0002885560679715127
75.52433824539185,0.0002733469009399414,0.5470172762870789,0.0,327,0.0004850691184401512,96.86076354980469,1763260166.0180562,0.0005620419979095459,19712,,,423.0,-0.0030949702486395836,0.0002882488479372114
75.97909665107727,,,,330,,,1763260166.4728146,,19937,112.0,112.0,,,
76.56436514854431,0.029771089553833008,0.5922217965126038,0.0,332,0.0004173777997493744,77.61089324951172,1763260167.058083,-0.006997335702180862,20096,,,421.0,0.001205379143357277,0.00028801843291148543
77.5671443939209,-0.0031620264053344727,0.5066770315170288,0.0,337,7.135514169931412e-05,126.28907012939453,1763260168.0608623,0.0016203485429286957,20480,,,421.0,0.0014688046649098396,0.00028778801788575947
78.42447137832642,-0.05024528503417969,0.5997622609138489,0.0,340,0.0010227644816040993,73.43059539794922,1763260168.9181893,0.0016809217631816864,20864,,,421.0,0.00960871484130621,0.0002875576028600335
83.0809977054596,-0.003202080726623535,0.5964945554733276,0.0,370,4.8442743718624115e-05,110.5562515258789,1763260173.5747156,-0.004016801714897156,23040,,,425.0,0.0033877016976475716,0.00028625191771425307
83.68823432922363,,,,375,,,1763260174.1819522,,23349,118.0,118.0,,,
86.92766451835632,,,,396,,,1763260177.4213824,,24921,65.0,65.0,,,
92.10984587669373,-0.009075045585632324,0.523354172706604,0.0,425,0.00041221268475055695,141.82171630859375,1763260182.6035638,-0.004833187907934189,27392,,,433.0,0.002555493265390396,0.0002836405474226922
