_step,losses/value_loss,losses/approx_kl,losses/policy_loss,losses/old_approx_kl,_runtime,charts/episodic_length,global_step,losses/entropy,losses/clipfrac,charts/learning_rate,losses/explained_variance,_timestamp,charts/episodic_return,charts/SPS
0,,,,,24.217437028884888,,0,,,,,1763260115.124726,,
7,94.0460205078125,0.0002692863345146179,-0.004714630544185638,-0.004717258736491203,30.04221820831299,,128,0.6929062604904175,0.0,0.0003000000142492354,-0.0010259151458740234,1763260120.9495072,,84.0
33,,,,,31.983728408813477,31.0,715,,,,,1763260122.8910174,31.0,
41,,,,,32.59609293937683,24.0,878,,,,,1763260123.503382,24.0,
47,,,,,33.17865347862244,35.0,1014,,,,,1763260124.0859425,35.0,
64,,,,,35.61489677429199,73.0,1601,,,,,1763260126.5221858,73.0,
74,,,,,37.48958778381348,42.0,2090,,,,,1763260128.3968768,42.0,
77,,,,,37.906755685806274,28.0,2198,,,,,1763260128.8140447,28.0,
88,,,,,39.61401677131653,93.0,2826,,,,,1763260130.5213058,93.0,
102,188.009033203125,0.0008870894089341164,0.005360245704650879,0.005140281282365322,41.73566770553589,,3712,0.6048526763916016,0.0,0.0002978494740091264,0.2041417956352234,1763260132.6429567,,281.0
104,213.9050750732422,0.0013852762058377266,-0.005798328667879105,0.008013085462152958,42.0528507232666,,3840,0.6058701872825623,0.0,0.0002977726690005511,0.17420536279678345,1763260132.9601398,,283.0
133,,,,,45.74013829231262,195.0,5302,,,,,1763260136.6474273,195.0,
147,,,,,47.611947536468506,163.0,6046,,,,,1763260138.5192366,163.0,
149,,,,,47.92797565460205,149.0,6195,,,,,1763260138.8352647,149.0,
150,122.79717254638672,4.434958100318909e-05,-0.00122876837849617,0.0017444808036088943,48.14945983886719,,6272,0.6178854703903198,0.0,0.00029631337383762,-0.010417461395263672,1763260139.0567489,,319.0
155,,,,,48.60677981376648,93.0,6454,,,,,1763260139.5140688,93.0,
157,222.6711883544922,0.0011487631127238274,0.00021379534155130386,0.003264925442636013,49.10971403121948,,6656,0.6182582974433899,0.0,0.00029608295881189406,0.020734190940856934,1763260140.017003,,323.0
172,,,,,51.24398374557495,80.0,7579,,,,,1763260142.1512728,80.0,
195,131.0672607421875,4.195794463157654e-05,0.000569172203540802,-0.00023103132843971252,54.72027802467346,,9088,0.6013951897621155,0.0,0.000294623663648963,0.14235776662826538,1763260145.627567,,346.0
203,156.52944946289062,0.0010145530104637146,-0.006550626829266548,-0.003725070506334305,55.86243486404419,,9600,0.5833871960639954,0.0,0.0002943164436146617,0.11411970853805542,1763260146.769724,,351.0
213,,,,,57.11934041976929,113.0,10213,,,,,1763260148.0266294,113.0,
217,,,,,57.657044887542725,91.0,10386,,,,,1763260148.564334,91.0,
228,121.99887084960938,0.00023494474589824677,-0.004762992262840271,0.0020566005259752274,59.06424951553345,,11008,0.5996257066726685,0.0,0.00029347158852033317,0.49782997369766235,1763260149.9715385,,360.0
233,39.500038146972656,0.001760491169989109,0.007018335163593292,-0.009620231576263905,59.65594840049744,,11264,0.581568717956543,0.013671875,0.00029331797850318253,0.11159223318099976,1763260150.5632374,,361.0
251,,,,,62.328137159347534,210.0,12655,,,,,1763260153.2354262,210.0,
259,,,,,63.494412660598755,30.0,13196,,,,,1763260154.4017017,30.0,
265,127.42888641357422,0.00012208707630634308,-0.0010252445936203003,0.004006937146186829,64.24243712425232,,13568,0.5786576271057129,0.0,0.00029193548834882677,0.012058496475219727,1763260155.1497262,,379.0
273,132.43748474121094,6.346870213747025e-05,0.0019599273800849915,0.0011629341170191765,65.25047302246094,,14080,0.5921191573143005,0.0,0.0002916282683145255,0.044144511222839355,1763260156.157762,,383.0
274,135.20013427734375,0.002889092080295086,-0.01819596439599991,0.016776151955127716,65.47224998474121,,14208,0.6119546294212341,0.00390625,0.00029155146330595016,-0.05219089984893799,1763260156.379539,,384.0
292,101.78387451171875,0.0002719610929489136,0.007613709196448326,-0.0017639603465795517,67.92447447776794,,15488,0.5658673048019409,0.0,0.00029078341322019696,0.03597825765609741,1763260158.8317635,,393.0
321,,,,,72.80655145645142,113.0,17963,,,,,1763260163.7138405,113.0,
327,109.77639770507812,0.0006551919505000114,-0.006657250225543976,0.0033069970086216927,74.17766523361206,,18560,0.5634094476699829,0.0,0.0002889400930143893,0.01300138235092163,1763260165.0849543,,406.0
330,57.591552734375,0.0006620464846491814,-0.0069888196885585785,0.010118459351360798,74.78304123878479,,18816,0.5618688464164734,0.0,0.00028878648299723864,0.034802258014678955,1763260165.6903303,,406.0
332,44.33427047729492,0.00043407827615737915,-0.011112476699054241,0.00915822945535183,75.09634780883789,,18944,0.5822877883911133,0.0,0.0002887096779886633,0.7684250473976135,1763260166.0036368,,406.0
337,98.56454467773438,0.0008182469755411148,-0.0004041548818349838,-0.0005511101335287094,76.37359261512756,,19456,0.60302734375,0.0,0.00028840245795436203,0.002398848533630371,1763260167.2808816,,406.0
340,,,,,76.79627251625061,108.0,19637,,,,,1763260167.7035615,108.0,
370,70.23957061767578,8.36523249745369e-05,-0.00252639502286911,0.003110949881374836,81.79271793365479,,21888,0.5807546377182007,0.0,0.00028694316279143095,0.033700764179229736,1763260172.700007,,410.0
396,,,,,85.65371680259705,122.0,23781,,,,,1763260176.5610058,122.0,
425,52.00285339355469,0.0001162281259894371,-7.465481758117676e-05,0.006136245094239712,90.0659658908844,,25728,0.5675201416015625,0.0,0.00028463901253417134,0.6384199857711792,1763260180.973255,,418.0
