losses/old_approx_kl,_timestamp,losses/entropy,losses/policy_loss,charts/episodic_return,losses/clipfrac,losses/explained_variance,losses/value_loss,charts/learning_rate,_runtime,charts/SPS,losses/approx_kl,_step,global_step,charts/episodic_length
,1763260115.1779466,,,,,,,,24.20480465888977,,,0,0,
,1763260120.339149,,,19.0,,,,,29.366007089614868,,,7,112,19.0
,1763260122.7656264,,,14.0,,,,,31.792484521865845,,,33,529,14.0
,1763260123.358417,,,15.0,,,,,32.38527512550354,,,41,675,15.0
,1763260123.9512074,,,10.0,,,,,32.978065490722656,,,47,799,10.0
,1763260125.6004353,,,35.0,,,,,34.62729334831238,,,64,1107,35.0
0.004208077676594257,1763260126.9157057,0.66068035364151,-0.02807905524969101,,0.005859375,0.01616758108139038,44.707130432128906,0.0002993087691720575,35.94256377220154,171.0,0.003081102855503559,74,1280,
,1763260127.164191,,,36.0,,,,,36.191049098968506,,,77,1354,36.0
,1763260128.782358,,,16.0,,,,,37.809216022491455,,,88,1682,16.0
,1763260130.3519688,,,25.0,,,,,39.37882685661316,,,102,2061,25.0
0.002246825024485588,1763260130.6869102,0.6485921144485474,-0.0004939809441566467,,0.0,0.03610050678253174,160.2959747314453,0.00029877113411203027,39.71376824378967,193.0,5.0261616706848145e-05,104,2176,
,1763260134.239226,,,60.0,,,,,43.26608419418335,,,133,3533,60.0
0.004700839519500732,1763260136.4043972,0.5807523131370544,-0.003660731017589569,,0.0,0.07579094171524048,95.59676361083984,0.0002974654489662498,45.43125534057617,256.0,0.0001809448003768921,147,4352,
0.0009302468970417976,1763260136.7093449,0.6143349409103394,-0.002135343849658966,,0.0,0.11242455244064331,126.4591293334961,0.0002973886439576745,45.73620295524597,259.0,0.00016656424850225449,149,4480,
0.002029131166636944,1763260136.952667,0.635033369064331,0.0008319839835166931,,0.0,0.12371331453323364,203.67233276367188,0.0002973118389490992,45.979525089263916,263.0,0.0007616030052304268,150,4608,
0.002157381735742092,1763260137.8298624,0.6319501399993896,0.01067778468132019,,0.001953125,0.18736153841018677,118.17395782470703,0.0002970814239233732,46.85672044754028,271.0,0.0013827281072735786,155,4992,
0.0011643506586551666,1763260138.1359005,0.6419090628623962,0.0070896875113248825,,0.0,0.15167617797851562,120.0027084350586,0.0002970046189147979,47.162758588790894,273.0,0.0005434155464172363,157,5120,
0.0013840403407812119,1763260140.3930447,0.6530956029891968,-8.949637413024902e-05,,0.0,0.11577558517456055,129.98086547851562,0.00029646698385477066,49.41990280151367,287.0,7.282942533493042e-06,172,6016,
-4.384666681289673e-06,1763260143.8487687,0.6135038137435913,-0.002210259437561035,,0.0,0.16592806577682495,95.56098937988281,0.00029562212876044214,52.87562680244446,304.0,5.326420068740845e-05,195,7424,
-0.0037462254986166954,1763260145.0222936,0.6170515418052673,0.0006108246743679047,,0.0,0.18977826833724976,46.222164154052734,0.00029531490872614086,54.04915165901184,310.0,0.00019873026758432388,203,7936,
,1763260146.512054,,,124.0,,,,,55.53891205787659,,,213,8630,124.0
