global_step,losses/value_loss,_runtime,_timestamp,losses/approx_kl,losses/old_approx_kl,_step,charts/SPS,charts/episodic_return,losses/entropy,losses/policy_loss,charts/learning_rate,charts/episodic_length,losses/clipfrac,losses/explained_variance
19968,100.60265350341797,77.37807536125183,1763260167.4334304,0.0006714407354593277,0.005996840074658394,321,416.0,,0.5340231657028198,-0.018164508044719696,0.00028809523792006075,,0.0,0.015727519989013672
20480,86.6470718383789,78.61112070083618,1763260168.6664758,0.00031072646379470825,-0.004680313169956207,327,415.0,,0.5593437552452087,-0.004108628258109093,0.00028778801788575947,,0.0,-0.04105401039123535
20736,83.77155303955078,79.171133518219,1763260169.2264886,0.00033860187977552414,0.004028123803436756,330,416.0,,0.5542169213294983,0.0007947161793708801,0.00028763440786860883,,0.0,0.38370323181152344
20864,150.80191040039062,79.46385025978088,1763260169.5192053,0.00031026266515254974,0.0012019071727991104,332,416.0,,0.4902057647705078,-0.0033446401357650757,0.0002875576028600335,,0.0,-0.0007417201995849609
21248,150.81192016601562,80.28014302253723,1763260170.335498,0.0018109539523720741,0.004602632485330105,337,417.0,,0.5202345252037048,-0.010316584259271622,0.00028732718783430755,,0.0,-0.007631540298461914
21504,129.85409545898438,80.80183529853821,1763260170.8571904,5.317572504281998e-05,0.0017902804538607597,340,418.0,,0.5629473924636841,-0.004178483039140701,0.0002871735778171569,,0.0,0.020386874675750732
24178,,86.12742853164673,1763260176.1827836,,,370,,425.0,,,,425.0,,
26088,,90.32356476783752,1763260180.3789198,,,396,,108.0,,,,108.0,,
28672,47.50347137451172,95.61290979385376,1763260185.6682649,3.105867654085159e-05,0.0017097564414143562,425,432.0,,0.5762203335762024,-0.002242978662252426,0.000282872497336939,,0.0,0.001191556453704834
30208,43.160587310791016,98.54370713233948,1763260188.5990622,0.0006208224222064018,0.00457588117569685,441,436.0,,0.6147262454032898,-0.004068218171596527,0.00028195083723403513,,0.0,-0.8473110198974609
30840,,99.75645518302917,1763260189.8118103,,,450,,113.0,,,,113.0,,
32676,,103.442378282547,1763260193.4977334,,,471,,189.0,,,,189.0,,
33639,,105.28099465370178,1763260195.3363497,,,481,,442.0,,,,442.0,,
34432,37.16109848022461,107.0237934589386,1763260197.0791485,0.00033748336136341095,0.0015714764595031738,490,443.0,,0.58061683177948,0.008244376629590988,0.00027941627195104957,,0.0,0.3787257671356201
35584,141.2335205078125,109.42859745025635,1763260199.4839525,0.0008189147338271141,0.0026592323556542397,504,444.0,,0.5930449962615967,-0.007369436323642731,0.0002787250268738717,,0.0,0.38544780015945435
36608,104.53460693359375,111.52548003196716,1763260201.580835,0.0008119931444525719,0.00856755580753088,515,445.0,,0.5748774409294128,-0.010029949247837067,0.0002781105868052691,,0.0,0.27491480112075806
37806,,113.91723704338074,1763260203.972592,,,530,,143.0,,,,143.0,,
38656,22.365591049194336,115.66640830039978,1763260205.7217634,0.00016248133033514023,0.003693769685924053,539,447.0,,0.5335744619369507,-0.0013265758752822876,0.000276881706668064,,0.0,-0.2595304250717163
39255,,116.85942363739014,1763260206.9147787,,,547,,232.0,,,,232.0,,
39857,,118.20249128341675,1763260208.2578464,,,555,,221.0,,,,221.0,,
40128,,118.7766273021698,1763260208.8319824,,,559,,171.0,,,,171.0,,
40832,13.480666160583496,120.38324284553528,1763260210.438598,0.0015375260263681412,0.0059471577405929565,568,448.0,,0.560612142086029,-0.004231112077832222,0.000275576050626114,,0.0,0.7414520978927612
43264,300.5321960449219,125.18541836738586,1763260215.2407734,0.0001789666712284088,-0.0008763018995523453,595,451.0,,0.43572449684143066,-0.004103608429431915,0.0002741167554631829,,0.0,0.12240517139434814
44800,80.34263610839844,128.43687891960144,1763260218.492234,2.031773328781128e-05,-0.0011595115065574646,612,452.0,,0.59836345911026,0.002581983804702759,0.0002731950953602791,,0.0,0.6351465582847595
45056,12.316439628601074,128.92855143547058,1763260218.9839065,0.000551014207303524,-0.008551380597054958,614,452.0,,0.5680184364318848,0.007888460531830788,0.00027304148534312844,,0.0,-0.16054964065551758
46464,205.27357482910156,131.84053111076355,1763260221.8958862,8.078385144472122e-05,-0.0007272744551301003,630,453.0,,0.5493732690811157,0.000527508556842804,0.0002721966302487999,,0.0,0.7768495082855225
47104,3.6691319942474365,133.1089038848877,1763260223.164259,7.590185850858688e-05,-0.003515428863465786,636,454.0,,0.6100499629974365,0.00027108192443847656,0.0002718126052059233,,0.0,0.9173233509063721
47488,10.417252540588379,133.91635537147522,1763260223.9717104,0.00020346138626337051,-0.0013866564258933067,640,454.0,,0.5374122858047485,0.0026315711438655853,0.00027158219018019736,,0.0,-0.05300545692443848
48384,31.950546264648438,135.72912073135376,1763260225.7844758,0.002901572734117508,-0.0005610641092061996,650,454.0,,0.550990879535675,-0.01606423780322075,0.0002710445551201701,,0.0,-3.952983856201172
49664,12.903409957885742,138.4304563999176,1763260228.4858115,0.0002168659120798111,-0.00029070302844047546,664,455.0,,0.5345723628997803,-0.004755005240440369,0.0002702765050344169,,0.0,-5.738494396209717
51712,18.086380004882812,142.43249011039734,1763260232.4878452,0.0008160294964909554,0.006240165792405605,684,457.0,,0.5503159165382385,-0.005979161709547043,0.0002690476248972118,,0.0,-3.507601737976074
52224,5.316829204559326,143.49897241592407,1763260233.5543275,2.8265640139579773e-06,-0.00018630269914865494,689,457.0,,0.54250168800354,-0.00022204406559467316,0.0002687404048629105,,0.0,0.4564492106437683
53120,4.4800190925598145,145.2902126312256,1763260235.3455677,8.172355592250824e-06,-0.00029092002660036087,698,458.0,,0.5294588208198547,2.64681875705719e-05,0.00026820276980288327,,0.0,0.6315608024597168
53504,415.90399169921875,146.07262992858887,1763260236.127985,0.0008893832564353943,-0.002816043794155121,702,458.0,,0.5395048260688782,-0.006551668047904968,0.0002679723547771573,,0.0,-0.018407106399536133
54016,79.64449310302734,147.09766292572021,1763260237.153018,0.0004844199866056442,0.007528282701969147,707,458.0,,0.5380933880805969,0.0012425612658262253,0.000267665134742856,,0.0,0.0014963746070861816
