losses/clipfrac,losses/value_loss,losses/old_approx_kl,_timestamp,charts/episodic_length,global_step,losses/policy_loss,losses/explained_variance,losses/entropy,losses/approx_kl,charts/episodic_return,_runtime,charts/learning_rate,_step,charts/SPS
0.0,109.44940185546875,-0.004471746273338795,1763260140.0594769,,6400,0.007586054503917694,0.12709200382232666,0.600663959980011,0.00023058895021677017,,49.23050093650818,0.0002962365688290447,157,310.0
,,,1763260142.3850844,203.0,7482,,,,,203.0,51.556108474731445,,172,
0.0,149.709228515625,-0.0005896063521504402,1763260146.357006,,9216,-0.0024940259754657745,0.2139940857887268,0.611965537071228,1.9068829715251923e-05,,55.52803015708923,0.00029454685864038765,195,342.0
,,,1763260147.5724318,178.0,9848,,,,,178.0,56.74345588684082,,203,
,,,1763260149.0235083,67.0,10469,,,,,67.0,58.19453239440918,,213,
,,,1763260149.5489557,131.0,10729,,,,,131.0,58.719979763031006,,217,
,,,1763260151.178649,72.0,11417,,,,,72.0,60.34967303276062,,228,
0.0,75.28748321533203,-0.0005043810233473778,1763260151.9846113,,11776,0.0019452832639217377,-0.005933165550231934,0.5989258289337158,1.0066665709018707e-05,,61.155635356903076,0.00029301075846888125,233,361.0
0.0,71.79440307617188,0.003432145342230797,1763260154.3029494,,12800,-0.004207577556371689,0.9201077818870544,0.5749210715293884,0.0003214739263057709,,63.473973512649536,0.0002923963184002787,251,367.0
,,,1763260155.3106823,125.0,13337,,,,,125.0,64.48170638084412,,259,
0.0,124.55241394042969,0.009521628729999065,1763260156.243246,,13824,-0.016023248434066772,-0.011480093002319336,0.5971540808677673,0.0006711361929774284,,65.4142701625824,0.0002917818783316761,265,375.0
0.0,105.76331329345703,0.0005296841263771057,1763260157.505342,,14464,-0.003142431378364563,0.8847267627716064,0.5644039511680603,6.34957104921341e-05,,66.67636609077454,0.0002913978532887995,273,379.0
,,,1763260157.5515358,140.0,14501,,,,,140.0,66.72255992889404,,274,
0.00390625,92.2142333984375,-0.0023748567327857018,1763260160.4081917,,16000,-0.0003434419631958008,-0.005397915840148926,0.586155891418457,0.00314189400523901,,69.57921576499939,0.0002904761931858957,292,390.0
0.0078125,94.23725128173828,0.013573252595961094,1763260166.0050297,,18432,0.021994546055793762,0.10409384965896606,0.5640025734901428,0.009423724375665188,,75.17605376243591,0.0002890168980229646,321,395.0
,,,1763260167.150257,134.0,18836,,,,,134.0,76.32128119468689,,327,
,,,1763260167.8096156,247.0,19083,,,,,247.0,76.98063969612122,,330,
,,,1763260168.1875114,205.0,19288,,,,,205.0,77.35853552818298,,332,
,,,1763260169.0970697,138.0,19631,,,,,138.0,78.2680938243866,,337,
,,,1763260169.4595838,41.0,19766,,,,,41.0,78.63060784339905,,340,
0.005859375,82.24751281738281,0.00456886924803257,1763260174.7385519,,22144,-0.003505125641822815,0.4407960772514343,0.5808270573616028,0.000762350857257843,,83.90957593917847,0.0002867895527742803,370,400.0
0.0,137.1453094482422,-0.008914120495319366,1763260175.5650015,,22528,-0.0018348991870880127,0.11778891086578369,0.6003720760345459,0.0012041367590427399,,84.73602557182312,0.00028655913774855435,375,401.0
,,,1763260178.7754314,167.0,24034,,,,,167.0,87.94645547866821,,396,
0.0,63.887916564941406,4.963856190443039e-05,1763260183.6346374,,26112,-0.0008032117038965225,0.006252110004425049,0.5911102294921875,7.811002433300018e-06,,92.80566143989563,0.0002844085975084454,425,406.0
0.0,49.469505310058594,-2.6096589863300323e-05,1763260186.6281562,,27520,-0.0008205529302358627,0.018882334232330322,0.6149945855140686,5.803070962429047e-06,,95.79918026924133,0.00028356374241411686,441,409.0
,,,1763260188.0075831,216.0,28214,,,,,216.0,97.17860722541809,,450,
0.0,13.500692367553711,-0.005363946780562401,1763260191.5068128,,29824,-0.0024898573756217957,0.7050122022628784,0.5620245933532715,0.0007456075400114059,,100.67783689498901,0.0002821812522597611,471,413.0
