losses/approx_kl,charts/SPS,charts/episodic_return,_runtime,losses/explained_variance,losses/old_approx_kl,charts/learning_rate,charts/episodic_length,_timestamp,losses/value_loss,losses/policy_loss,losses/entropy,losses/clipfrac,_step,global_step
,,,26.9129056930542,,,,,1763260060.6173568,,,,,0,0
,,13.0,27.816888570785522,,,,13.0,1763260061.5213397,,,,,7,108
0.0012015951797366142,887.0,,28.48885750770569,0.009314000606536865,0.0023075034841895103,0.0002996927942149341,,1763260062.1933086,24.939483642578125,0.0013720318675041199,0.676465630531311,0.0,33,640
,,31.0,28.63280701637268,,,,31.0,1763260062.337258,,,,,41,816
,,57.0,28.765562772750854,,,,57.0,1763260062.4700139,,,,,47,975
,,112.0,29.25072455406189,,,,112.0,1763260062.9551756,,,,,64,1531
,,39.0,29.623570919036865,,,,39.0,1763260063.328022,,,,,74,1897
,,108.0,29.736458778381348,,,,108.0,1763260063.4409099,,,,,77,2021
,,204.0,30.409199714660645,,,,204.0,1763260064.1136508,,,,,88,2712
,,120.0,31.224287033081055,,,,120.0,1763260064.928738,,,,,102,3705
,,57.0,31.31430959701538,,,,57.0,1763260065.0187607,,,,,104,3762
,,170.0,33.04808855056763,,,,170.0,1763260066.7525396,,,,,133,5700
,,132.0,34.09149432182312,,,,132.0,1763260067.7959454,,,,,147,6907
0.0001309756189584732,1078.0,,34.29547643661499,0.3062424063682556,0.00018857978284358978,0.0002958525437861681,,1763260067.9999275,34.685150146484375,0.0001919567584991455,0.5527500510215759,0.0,149,7040
,,147.0,34.33141851425171,,,,147.0,1763260068.0358696,,,,,150,7054
7.485039532184601e-06,1050.0,,34.83389592170715,0.04961198568344116,-0.00025985296815633774,0.00029562212876044214,,1763260068.538347,30.249284744262695,-0.0004727020859718323,0.6356015205383301,0.0,155,7424
,,213.0,35.013375759124756,,,,213.0,1763260068.7178268,,,,,157,7576
0.0003020651638507843,960.0,,36.8316855430603,0.24615395069122314,-0.004425941035151482,0.00029485407867468894,,1763260070.5361366,28.770347595214844,-0.00293654203414917,0.5761250257492065,0.0,172,8704
,,127.0,39.832194566726685,,,,127.0,1763260073.5366457,,,,,195,10201
,,182.0,40.85487604141235,,,,182.0,1763260074.5593271,,,,,203,10840
1.0603107511997223e-05,815.0,,41.89367961883545,-0.2532154321670532,-0.0008689118549227715,0.0002931643684860319,,1763260075.5981307,24.327770233154297,0.0009801983833312988,0.5669718384742737,0.0,213,11520
,,176.0,42.22313594818115,,,,176.0,1763260075.927587,,,,,217,11835
,,230.0,43.008018016815186,,,,230.0,1763260076.712469,,,,,228,12718
0.00011882185935974121,836.0,,43.37310004234314,0.14386987686157227,0.003073129802942276,0.00029224270838312805,,1763260077.0775511,24.01780891418457,-0.009213335812091827,0.5878411531448364,0.0,233,13056
9.656418114900589e-05,849.0,,44.64198017120361,0.8923248052597046,0.0007455470040440559,0.00029147465829737484,,1763260078.3464313,14.679889678955078,-0.000906696543097496,0.6021845936775208,0.0,251,14336
,,192.0,45.13106107711792,,,,192.0,1763260078.8355122,,,,,259,14960
0.000262625515460968,862.0,,45.71585512161255,0.15031951665878296,-0.0070479437708854675,0.00029078341322019696,,1763260079.4203062,20.379648208618164,-0.0015700608491897583,0.5749523639678955,0.0,265,15488
,,194.0,46.18777012825012,,,,194.0,1763260079.8922212,,,,,273,16074
4.573538899421692e-05,871.0,,46.27504229545593,0.6381516456604004,-0.002952784299850464,0.00029039938817732036,,1763260079.9794934,25.411109924316406,0.004928715527057648,0.6088294982910156,0.0,274,16128
,,130.0,47.358216524124146,,,,130.0,1763260081.0626676,,,,,292,17362
,,214.0,49.64723038673401,,,,214.0,1763260083.3516815,,,,,321,19825
,,192.0,50.07665824890137,,,,192.0,1763260083.7811093,,,,,327,20267
0.008057988248765469,910.0,,50.4020471572876,0.3153148293495178,-0.00939473882317543,0.00028771121287718415,,1763260084.1064982,18.220247268676758,-0.04071328043937683,0.6128966808319092,0.142578125,330,20608
,,492.0,50.536510705947876,,,,492.0,1763260084.2409618,,,,,332,20759
,,143.0,50.93652844429016,,,,143.0,1763260084.6409795,,,,,337,21122
0.0051752133294939995,914.0,,51.279332399368286,-0.010598063468933105,0.021337410435080528,0.0002871735778171569,,1763260084.9837835,12.744095802307129,0.01867613196372986,0.5806944370269775,0.01171875,340,21504
0.0029426971450448036,922.0,,53.8656165599823,0.02860945463180542,-0.0063067032024264336,0.0002856374776456505,,1763260087.5700676,10.398656845092773,-0.00469622015953064,0.5256944894790649,0.0,370,24064
,,302.0,54.22496724128723,,,,302.0,1763260087.9294183,,,,,375,24497
0.0008013788610696793,923.0,,56.054670095443726,0.6110889911651611,0.009564204141497612,0.0002844085975084454,,1763260089.7591212,26.138011932373047,0.004523550160229206,0.5644928216934204,0.0,396,26112
