losses/old_approx_kl,losses/value_loss,losses/explained_variance,losses/policy_loss,_step,losses/approx_kl,_runtime,_timestamp,charts/SPS,global_step,charts/episodic_return,losses/entropy,charts/learning_rate,charts/episodic_length,losses/clipfrac
,,,,0,,36.80921936035156,1763260066.8855875,,0,,,,,
,,,,7,,37.64880990982056,1763260067.725178,,119,16.0,,,16.0,
,,,,33,,39.07850408554077,1763260069.1548722,,538,21.0,,,21.0,
,,,,41,,39.49812388420105,1763260069.574492,,729,13.0,,,13.0,
,,,,47,,39.79007959365845,1763260069.8664477,,826,19.0,,,19.0,
,,,,64,,40.987677574157715,1763260071.0640457,,1257,85.0,,,85.0,
,,,,74,,41.83899784088135,1763260071.915366,,1649,48.0,,,48.0,
,,,,77,,42.12062120437622,1763260072.1969893,,1738,10.0,,,10.0,
,,,,88,,43.00244331359863,1763260073.0788114,,2146,116.0,,,116.0,
,,,,102,,43.960612297058105,1763260074.0369804,,2695,61.0,,,61.0,
,,,,104,,44.03113293647766,1763260074.107501,,2791,58.0,,,58.0,
-0.0014741532504558563,29.970260620117188,-0.011109113693237305,-0.002121899276971817,133,0.00010547786951065063,46.00364398956299,1763260076.080012,471.0,3968,,0.5970513224601746,0.0002976958639919758,,0.0
,,,,147,,46.93427848815918,1763260077.0106466,,4588,64.0,,,64.0,
,,,,149,,47.13083577156067,1763260077.2072039,,4651,63.0,,,63.0,
,,,,150,,47.1754846572876,1763260077.2518528,,4688,37.0,,,37.0,
,,,,155,,47.688904762268066,1763260077.7652729,,4984,188.0,,,188.0,
,,,,157,,47.858360052108765,1763260077.9347281,,5061,77.0,,,77.0,
,,,,172,,49.402077198028564,1763260079.4784453,,6053,84.0,,,84.0,
0.003618902526795864,18.831771850585938,0.32776010036468506,-0.0010434556752443314,195,0.00013419333845376968,51.315680265426636,1763260081.3920484,550.0,7552,,0.627776026725769,0.0002955453237518668,,0.0
,,,,203,,51.895206928253174,1763260081.971575,,8010,143.0,,,143.0,
0.008058007806539536,28.010269165039062,0.06946998834609985,0.0008512884378433228,213,0.000601351261138916,52.78787851333618,1763260082.8642466,572.0,8704,,0.5964204668998718,0.00029485407867468894,,0.0
,,,,217,,53.083465337753296,1763260083.1598334,,9015,264.0,,,264.0,
0.0005670171231031418,28.64655113220215,0.07520544528961182,0.0005699098110198975,228,0.00014887750148773193,54.03338551521301,1763260084.1097536,591.0,9728,,0.6103577017784119,0.0002942396386060864,,0.0
0.00013136863708496094,28.716197967529297,-0.1503809690475464,0.0011293180286884308,233,4.577077925205231e-05,54.43881607055664,1763260084.5151842,600.0,10112,,0.6290805339813232,0.0002940092235803604,,0.0
0.00428298395127058,16.624744415283203,0.684883177280426,-0.01117972657084465,251,0.0006154598668217659,55.81663489341736,1763260085.893003,625.0,11392,,0.6101146936416626,0.0002932411734946072,,0.0
0.0036353543400764465,22.124969482421875,0.6186093688011169,-0.0015690885484218597,259,0.00012145750224590302,56.62311887741089,1763260086.699487,639.0,12160,,0.5858250260353088,0.0002927803434431553,,0.0
-0.0007725711911916733,24.026620864868164,0.09414279460906982,0.004700392484664917,265,5.5538490414619446e-05,57.168100118637085,1763260087.2444682,647.0,12672,,0.6078188419342041,0.000292473123408854,,0.0
,,,,273,,58.0450873374939,1763260088.1214554,,13383,320.0,,,320.0,
0.0017755739390850067,33.616241455078125,0.06645417213439941,-0.008547037839889526,274,7.611885666847229e-05,58.141504526138306,1763260088.2178726,654.0,13440,,0.5829169750213623,0.0002920122933574021,,0.0
-0.0030323565006256104,16.074052810668945,0.38230443000793457,0.0020443201065063477,292,0.00011006183922290802,59.87183213233948,1763260089.9482002,666.0,14848,,0.621264636516571,0.00029116743826307356,,0.0
,,,,321,,62.72979021072388,1763260092.8061583,,16774,73.0,,,73.0,
,,,,327,,63.27496337890625,1763260093.3513315,,17055,144.0,,,144.0,
,,,,330,,63.58804750442505,1763260093.6644156,,17272,110.0,,,110.0,
-0.003821910358965397,15.52073860168457,0.7489478588104248,-0.0027847327291965485,332,0.00011137593537569046,64.01054501533508,1763260094.086913,659.0,17408,,0.567734956741333,0.00028963133809156716,,0.0
0.001943148672580719,16.36150550842285,0.5933189988136292,0.005105070769786835,337,0.0005512777715921402,64.78794264793396,1763260094.8643107,654.0,17792,,0.5744602680206299,0.0002894009230658412,,0.0
,,,,340,,65.11204528808594,1763260095.1884134,,17934,120.0,,,120.0,
,,,,370,,69.16393613815308,1763260099.2403042,,19877,253.0,,,253.0,
,,,,375,,69.92353057861328,1763260099.9998987,,20343,226.0,,,226.0,
0.01215188018977642,24.18375587463379,0.00918036699295044,-0.005984914489090443,396,0.0009184423834085464,73.84398460388184,1763260103.9203527,614.0,22272,,0.4332609474658966,0.000286712747765705,,0.0
-0.0017738929018378258,10.225481033325195,0.1759403944015503,-0.00224878266453743,425,8.058454841375351e-05,79.06508255004883,1763260109.1414506,598.0,24832,,0.5478662252426147,0.0002851766475941986,,0.0
,,,,441,,81.66246795654297,1763260111.738836,,26273,225.0,,,225.0,
0.0018455274403095245,78.0510025024414,0.4106985330581665,0.011464204639196396,450,0.0015383567661046982,82.9896399974823,1763260113.066008,594.0,27008,,0.6137270331382751,0.00028387096244841814,,0.0
,,,,471,,85.95739531517029,1763260116.0337634,,28744,339.0,,,339.0,
0.010254492051899433,16.142948150634766,0.5505623817443848,-0.008500033989548683,481,0.001554376445710659,87.35720014572144,1763260117.4335682,591.0,29440,,0.6140885353088379,0.00028241166728548706,,0.0
,,,,490,,88.39210057258606,1763260118.4684687,,30010,154.0,,,154.0,
-0.0014177421107888222,94.11622619628906,0.00831151008605957,-0.003659956157207489,504,0.0005595115944743156,90.5590512752533,1763260120.6354194,589.0,31232,,0.6102358102798462,0.00028133639716543257,,0.0
-0.0013791164383292198,6.084054946899414,0.6831681132316589,-0.012800998985767365,515,0.00019969698041677475,92.11372518539429,1763260122.1900933,589.0,32128,,0.5709165930747986,0.00028079876210540533,,0.0
-0.004192563705146313,5.126633644104004,0.6189038753509521,0.0008936189115047455,530,0.0004532886669039726,94.25778102874756,1763260124.3341491,589.0,33408,,0.5915592312812805,0.00028003071201965213,,0.0
,,,,539,,95.4050018787384,1763260125.48137,,34122,187.0,,,187.0,
,,,,547,,96.4727509021759,1763260126.549119,,34789,244.0,,,244.0,
0.011687545105814934,10.647263526916504,0.9566701054573059,-0.016314052045345306,555,0.0008260961621999741,97.67275142669678,1763260127.7491195,590.0,35456,,0.5776352882385254,0.000278801831882447,,0.0
,,,,559,,98.22932434082031,1763260128.3056924,,35842,485.0,,,485.0,
-0.0025795940309762955,3.923203706741333,-0.008261799812316895,-0.00022447854280471802,568,6.219744682312012e-05,99.45058870315552,1763260129.5269568,591.0,36608,,0.6218863725662231,0.0002781105868052691,,0.0
-0.0014402251690626144,42.3216667175293,0.0015112757682800293,-0.0002928096801042557,595,0.0001042541116476059,102.8120653629303,1763260132.8884335,594.0,38784,,0.5284485816955566,0.0002768049016594887,,0.0
,,,,612,,105.29095101356506,1763260135.367319,,40474,410.0,,,410.0,
0.0007954789325594902,2.735898971557617,-0.008316397666931152,-0.0006305091083049774,614,7.98981636762619e-06,105.69486117362976,1763260135.7712293,597.0,40704,,0.5987695455551147,0.00027565285563468933,,0.0
-0.0002592066302895546,74.91470336914062,-0.0035076141357421875,-0.0004200376570224762,630,0.0012454381212592125,108.12158203125,1763260138.1979501,598.0,42240,,0.5166701078414917,0.0002747311955317855,,0.001953125
0.0009754197672009468,2.1082680225372314,0.061772167682647705,0.0012868139892816544,636,0.00012057553976774216,109.24975514411926,1763260139.3261232,598.0,42880,,0.5762619972229004,0.0002743471704889089,,0.0
-0.0008352296426892281,86.69068145751953,0.0008445978164672852,-0.003981254994869232,640,0.0007903045043349266,109.92715287208557,1763260140.003521,598.0,43264,,0.5589905977249146,0.0002741167554631829,,0.0
0.0011544972658157349,1.8702274560928345,0.21975135803222656,1.9516795873641968e-05,650,7.255002856254578e-06,111.78593158721924,1763260141.8622997,596.0,44288,,0.48538655042648315,0.00027350231539458036,,0.0
0.0008940678089857101,1.5623522996902466,0.784659206867218,-0.005436860024929047,664,0.0003011263906955719,114.17699599266052,1763260144.253364,596.0,45696,,0.5156739950180054,0.00027265746030025184,,0.0
