charts/SPS,_runtime,losses/entropy,losses/policy_loss,losses/value_loss,losses/old_approx_kl,charts/episodic_length,losses/approx_kl,charts/learning_rate,_timestamp,losses/explained_variance,_step,global_step,charts/episodic_return,losses/clipfrac
905.0,53.83141589164734,0.59648197889328,0.0004413388669490814,11.2158784866333,0.0007767006754875183,,6.911158561706543e-05,0.0002856374776456505,1763260087.355131,0.01006096601486206,375,24064,,0.0
910.0,55.9296293258667,0.5822714567184448,-0.010000132024288177,8.748516082763672,0.0094138253480196,,0.0013924092054367065,0.0002844085975084454,1763260089.4533443,-0.019402623176574707,396,26112,,0.0
913.0,58.49373197555542,0.5723558068275452,-0.00024204328656196594,68.22541046142578,0.0032828720286488533,,8.154194802045822e-05,0.0002829493023455143,1763260092.017447,-0.00037288665771484375,425,28544,,0.0
912.0,60.09276509284973,0.5839105844497681,-0.0034046992659568787,6.3302531242370605,0.005475172773003578,,0.00044169090688228607,0.0002821044472511858,1763260093.61648,0.5527925491333008,441,29952,,0.0
907.0,61.09385538101196,0.5482416152954102,-0.003503095358610153,4.156994342803955,3.3264048397541046e-05,,6.041582673788071e-05,0.00028164361719973385,1763260094.6175704,0.9113997220993042,450,30720,,0.0
,63.205713748931885,,,,,74.0,,,1763260096.7294288,,471,32307,74.0,
896.0,64.22090649604797,0.6194496154785156,-0.002688940614461899,21.599708557128906,0.00204418133944273,,0.0008605113252997398,0.00028018432203680277,1763260097.7446215,0.7686725854873657,481,33152,,0.0
,65.18281173706055,,,,,196.0,,,1763260098.7065268,,490,33827,196.0,
,67.05428743362427,,,,,115.0,,,1763260100.5780025,,504,34924,115.0,
,68.67097735404968,,,,,246.0,,,1763260102.1946924,,515,35784,246.0,
,71.1688621044159,,,,,170.0,,,1763260104.6925771,,530,37181,170.0,
834.0,72.79723715782166,0.5298767685890198,0.0005845967680215836,3.382455825805664,-0.0007104882970452309,,8.905399590730667e-05,0.0002772657317109406,1763260106.3209522,0.3677441477775574,539,38016,,0.0
,73.9972984790802,,,,,306.0,,,1763260107.5210135,,547,38662,306.0,
,75.32250022888184,,,,,275.0,,,1763260108.8462152,,555,39343,275.0,
,76.17389011383057,,,,,462.0,,,1763260109.6976051,,559,39805,462.0,
,78.1396381855011,,,,,147.0,,,1763260111.6633532,,568,40477,147.0,
769.0,82.83239459991455,0.5116274356842041,0.0016449196264147758,37.36528015136719,-0.0013265330344438553,,5.0203874707221985e-05,0.0002744239754974842,1763260116.3561096,0.598534107208252,595,42752,,0.0
757.0,85.38744258880615,0.5264663100242615,-0.010565802454948425,28.62714195251465,0.010784133337438107,,0.0005806004628539085,0.000273655925411731,1763260118.9111576,0.659917950630188,612,44032,,0.0
756.0,85.64962863922119,0.5432052612304688,-0.030405180528759956,23.516138076782227,0.02305711805820465,,0.0029741860926151276,0.0002735791204031557,1763260119.1733437,0.6464539766311646,614,44160,,0.005859375
,88.1675751209259,,,,,473.0,,,1763260121.6912901,,630,45508,473.0,
742.0,89.28985524177551,0.573683500289917,-0.008281216025352478,1.129381537437439,0.0022188182920217514,,0.0008612107485532761,0.0002724270452745259,1763260122.8135703,0.6500632762908936,636,46080,,0.0
740.0,89.79588794708252,0.5474264025688171,-0.001354685053229332,105.21853637695312,-0.0009263576939702034,,7.433351129293442e-05,0.00027227343525737524,1763260123.319603,0.7075343132019043,640,46336,,0.0
736.0,91.42058253288269,0.5297228693962097,-0.0020384155213832855,52.08310317993164,0.0019509140402078629,,0.0003793574869632721,0.000271735800197348,1763260124.9442976,0.8764681220054626,650,47232,,0.0
728.0,93.63320779800415,0.5431018471717834,-0.003995513543486595,0.837150514125824,-0.0036285212263464928,,0.0004815002903342247,0.0002710445551201701,1763260127.1569228,-0.21739864349365234,664,48384,,0.0
720.0,97.02810072898865,0.5591484308242798,-0.01784326694905758,7.515154838562012,-0.005049663595855236,,0.003967241384088993,0.0002698924799915403,1763260130.5518157,0.8898959159851074,684,50304,,0.009765625
719.0,97.74156594276428,0.5781137943267822,-0.01041574776172638,58.77167510986328,-0.00782230868935585,,0.0007571671158075333,0.00026966206496581435,1763260131.265281,0.12240833044052124,689,50688,,0.0
716.0,99.08789467811584,0.5040783882141113,0.002000674605369568,91.66716766357422,0.0055078016594052315,,0.0005462067201733589,0.00026920123491436243,1763260132.6116097,0.37850332260131836,698,51456,,0.0
