losses/clipfrac,charts/episodic_return,charts/SPS,losses/policy_loss,losses/entropy,_timestamp,_step,losses/value_loss,charts/episodic_length,charts/learning_rate,losses/explained_variance,_runtime,global_step,losses/approx_kl,losses/old_approx_kl
,,,,,1763260059.1406865,0,,,,,25.616788625717163,0,,
0.0,,744.0,-0.0027901586145162582,0.6927393078804016,1763260060.94761,7,20.45083999633789,,0.0003000000142492354,0.09332305192947388,27.423712015151978,128,0.0004594177007675171,-0.000583205372095108
,16.0,,,,1763260061.4665873,33,,16.0,,,27.942689418792725,594,,
0.0,,827.0,-0.001038234680891037,0.6908106207847595,1763260061.703973,41,24.498750686645508,,0.0002996159892063588,0.043751418590545654,28.18007516860962,768,2.709217369556427e-05,-0.0011804010719060898
,9.0,,,,1763260061.870004,47,,9.0,,,28.34610605239868,902,,
0.00390625,,843.0,-0.023353025317192078,0.6644644737243652,1763260062.293204,64,22.394229888916016,,0.0002993087691720575,0.042700111865997314,28.769306182861328,1280,0.004926526919007301,0.004165071994066238
0.0,,877.0,-0.005498722195625305,0.6303861141204834,1763260062.6722186,74,29.591299057006836,,0.00029907835414633155,-0.0003553628921508789,29.14832067489624,1664,0.0009225504472851753,-0.0017513325437903404
0.0,,890.0,0.0011468930169939995,0.6196038126945496,1763260062.7877462,77,33.38599395751953,,0.00029900154913775623,-0.04214644432067871,29.263848304748535,1792,0.0013574343174695969,0.006100311875343323
,36.0,,,,1763260063.1492999,88,,36.0,,,29.625401973724365,2207,,
,86.0,,,,1763260063.7376044,102,,86.0,,,30.213706493377686,2841,,
0.0,,960.0,-0.015347287058830261,0.5840609073638916,1763260063.840249,104,30.295974731445312,,0.00029831030406057835,0.09555524587631226,30.316351175308228,2944,0.0007790364325046539,0.005994269624352455
,71.0,,,,1763260065.4695628,133,,71.0,,,31.945664882659912,4841,,
,162.0,,,,1763260066.3576035,147,,162.0,,,32.83370566368103,5779,,
,168.0,,,,1763260066.4844718,149,,168.0,,,32.96057391166687,5947,,
0.0,,1037.0,0.0013125091791152954,0.5808807611465454,1763260066.573566,150,29.50652313232422,,0.00029646698385477066,0.11631381511688232,33.049668073654175,6016,0.00012499932199716568,0.0033861668780446053
0.0,,1040.0,-0.004482136107981205,0.5701370239257812,1763260066.9276235,155,26.9921932220459,,0.0002962365688290447,0.11987727880477905,33.40372562408447,6400,0.00028499867767095566,0.007328023202717304
0.0,,1041.0,0.0031323209404945374,0.5662120580673218,1763260067.0408611,157,30.650497436523438,,0.0002961597638204694,-0.0074661970138549805,33.5169632434845,6528,0.0001951325684785843,-0.002763163298368454
,67.0,,,,1763260067.9055204,172,,67.0,,,34.381622552871704,7425,,
0.0,,932.0,0.0031829997897148132,0.5625356435775757,1763260070.5175102,195,28.776504516601562,,0.000294623663648963,0.24933713674545288,36.99361228942871,9088,6.46691769361496e-05,0.0013920105993747711
0.0,,893.0,0.008172575384378433,0.5496574640274048,1763260071.6595268,203,28.738115310668945,,0.0002942396386060864,0.04780924320220947,38.13562893867493,9728,0.0007650637999176979,0.006169033236801624
,170.0,,,,1763260073.224016,213,,170.0,,,39.70011806488037,10538,,
0.0,,833.0,-0.002797286957502365,0.6059277057647705,1763260073.8305292,217,25.208675384521484,,0.0002935483935289085,0.2691740393638611,40.306631326675415,10880,0.0001444350928068161,-0.0031597521156072617
0.0,,814.0,-0.0010474473237991333,0.6308819055557251,1763260075.2326066,228,22.349157333374023,,0.00029301075846888125,0.3990345597267151,41.70870876312256,11776,0.00011060759425163269,0.0009279139339923859
,207.0,,,,1763260075.640101,233,,207.0,,,42.11620306968689,12158,,
0.01171875,,835.0,0.03525153547525406,0.6045374274253845,1763260077.0248833,251,19.312318801879883,,0.00029193548834882677,0.3238840699195862,43.50098538398743,13568,0.004605135880410671,-0.024199459701776505
,154.0,,,,1763260077.682934,259,,154.0,,,44.15903615951538,14315,,
0.0,,844.0,-0.0009899847209453583,0.5726434588432312,1763260078.1985052,265,56.78665542602539,,0.0002912442432716489,0.09871184825897217,44.674607276916504,14720,2.6640482246875763e-05,0.001395956613123417
0.0,,854.0,-0.004026368260383606,0.5567570924758911,1763260078.897248,273,25.491561889648438,,0.00029078341322019696,-0.06317567825317383,45.37335014343262,15488,0.001012669876217842,-0.003427896648645401
0.0,,856.0,-0.001347273588180542,0.5706576704978943,1763260079.007874,274,19.186363220214844,,0.00029070660821162164,0.015004873275756836,45.48397612571716,15616,3.8215890526771545e-05,-0.002370869740843773
,487.0,,,,1763260080.409322,292,,487.0,,,46.88542413711548,17200,,
0.0,,896.0,0.0013780072331428528,0.5630496740341187,1763260082.6232626,321,14.27981948852539,,0.0002883256529457867,0.27695780992507935,49.09936475753784,19584,0.00014002155512571335,0.000630444847047329
,386.0,,,,1763260083.096158,327,,386.0,,,49.57226014137268,20112,,
0.0,,903.0,-0.007954996079206467,0.5155656337738037,1763260083.312262,330,50.18192672729492,,0.0002878648228943348,0.01812124252319336,49.78836417198181,20352,0.00019027013331651688,-0.0030687926337122917
0.0,,904.0,0.0022944770753383636,0.5174657106399536,1763260083.4252427,332,32.18472671508789,,0.00028778801788575947,0.4744391441345215,49.901344776153564,20480,0.0003250734880566597,-0.004593119956552982
0.0,,907.0,1.7702579498291016e-05,0.5283923745155334,1763260083.9137294,337,12.598798751831055,,0.0002874807978514582,0.14797484874725342,50.38983154296875,20992,0.0001375824213027954,0.0031231287866830826
