losses/approx_kl,charts/episodic_length,losses/value_loss,charts/SPS,charts/learning_rate,losses/explained_variance,_step,_timestamp,_runtime,losses/entropy,losses/clipfrac,losses/policy_loss,losses/old_approx_kl,charts/episodic_return,global_step
,,,,,,0,1763260115.7862992,24.807350158691406,,,,,,0
2.6114284992218018e-06,29.0,38.92593765258789,84.0,0.0003000000142492354,-0.0012977123260498047,7,1763260120.948592,29.969642877578735,0.6931471228599548,0.0,5.373544991016388e-05,-9.138137102127075e-05,29.0,128
0.00043451040983200073,,23.307600021362305,179.0,0.0002996927942149341,0.007406294345855713,33,1763260123.0015237,32.02257466316223,0.6920536756515503,0.0,-0.011109648272395134,0.0038080736994743347,,640
,17.0,,,,,41,1763260123.6695063,32.69055724143982,,,,,17.0,788
,23.0,,,,,47,1763260124.2669086,33.287959575653076,,,,,23.0,927
0.0013836212456226349,,88.87049865722656,189.0,0.0002993087691720575,-2.7894973754882812e-05,64,1763260126.1716468,35.19269776344299,0.6679773926734924,0.0,-0.013012826442718506,-0.0074880700558424,,1280
,32.0,,,,,74,1763260127.7566004,36.77765130996704,,,,,32.0,1698
,86.0,,,,,77,1763260128.2192392,37.24029016494751,,,,,86.0,1818
,21.0,,,,,88,1763260129.9006226,38.92167353630066,,,,,21.0,2326
,226.0,,,,,102,1763260131.810401,40.83145189285278,,,,,226.0,3109
0.0010584359988570213,,62.667518615722656,252.0,0.0002981566940434277,0.05329042673110962,104,1763260132.1290815,41.15013241767883,0.6139243841171265,0.0,-0.011531174182891846,0.01064507570117712,,3200
1.3716518878936768e-05,,95.35881805419922,292.0,0.0002970814239233732,0.10627990961074829,133,1763260136.5020907,45.523141622543335,0.6334761381149292,0.0,0.0012969747185707092,0.000741131603717804,,4992
,178.0,,,,,147,1763260138.6370058,47.65805673599243,,,,,178.0,6013
1.1412426829338074e-05,,134.46022033691406,311.0,0.00029639017884619534,0.02944016456604004,149,1763260139.127885,48.1489360332489,0.5946676135063171,0.0,0.0013896068558096886,0.000189242884516716,,6144
,132.0,,,,,150,1763260139.1832345,48.20428538322449,,,,,132.0,6145
,110.0,,,,,155,1763260139.8569272,48.87797808647156,,,,,110.0,6514
0.00041059311479330063,,132.75746154785156,318.0,0.00029608295881189406,0.12009084224700928,157,1763260140.3603592,49.381410121917725,0.5890594720840454,0.0,-0.005954913794994354,0.0032996246591210365,,6656
2.5363638997077942e-05,,52.36613082885742,329.0,0.0002954685187432915,0.11810088157653809,172,1763260142.724794,51.74584484100342,0.5759592056274414,0.0,-0.0014648213982582092,0.00031541287899017334,,7680
