losses/old_approx_kl,_runtime,charts/episodic_length,losses/value_loss,_timestamp,global_step,losses/policy_loss,charts/episodic_return,_step,losses/explained_variance,losses/entropy,charts/SPS,losses/approx_kl,losses/clipfrac,charts/learning_rate
,24.451708555221558,,,1763260114.9621265,0,,,0,,,,,,
,30.4550518989563,29.0,,1763260120.9654698,161,,29.0,7,,,,,,
,32.468039989471436,15.0,,1763260122.978458,651,,15.0,33,,,,,,
,33.09449744224548,49.0,,1763260123.6049154,882,,49.0,41,,,,,,
,33.88212728500366,69.0,,1763260124.3925452,1087,,69.0,47,,,,,,
,36.29948830604553,49.0,,1763260126.8099062,1667,,49.0,64,,,,,,
,37.869566440582275,53.0,,1763260128.3799844,2059,,53.0,74,,,,,,
0.0017605582252144814,38.33411192893982,,76.31407928466797,1763260128.8445299,2176,-0.0007955431938171387,,77,0.013880014419555664,0.6128767132759094,231.0,0.00012248102575540543,0.0,0.00029877113411203027
,39.731091022491455,40.0,,1763260130.241509,2630,,40.0,88,,,,,,
,41.558104038238525,126.0,,1763260132.068522,3326,,126.0,102,,,,,,
,41.83985471725464,61.0,,1763260132.3502727,3387,,61.0,104,,,,,,
0.006108956411480904,46.09756851196289,,50.87092971801758,1763260136.6079865,5120,-0.0037411563098430634,,133,0.10780060291290283,0.5954155921936035,298.0,0.00023440271615982056,0.0,0.0002970046189147979
,48.18264389038086,235.0,,1763260138.6930618,6090,,235.0,147,,,,,,
,48.49718737602234,152.0,,1763260139.0076053,6242,,152.0,149,,,,,,
-0.0019322792068123817,48.73962140083313,,86.19696807861328,1763260139.2500393,6272,-0.0011705830693244934,,150,0.06800085306167603,0.5521692633628845,316.0,2.683233469724655e-05,0.0,0.00029631337383762
-0.007579239085316658,49.665879011154175,144.0,100.843994140625,1763260140.176297,6656,-0.0018316209316253662,144.0,155,0.5106043219566345,0.5561761856079102,320.0,0.0008245650678873062,0.0,0.00029608295881189406
,49.92086863517761,158.0,,1763260140.4312866,6814,,158.0,157,,,,,,
,52.277392864227295,134.0,,1763260142.7878108,7883,,134.0,172,,,,,,
0.06657887995243073,55.99832248687744,,64.75865936279297,1763260146.5087404,9472,-0.006489139050245285,,195,0.3083886504173279,0.48383936285972595,349.0,0.019305989146232605,0.1015625,0.000294393248623237
0.006676269695162773,57.47024202346802,,106.82554626464844,1763260147.98066,10240,-0.005446970462799072,,203,0.0899779200553894,0.5566096305847168,358.0,0.0003667771816253662,0.0,0.0002939324185717851
-0.001336716115474701,59.2317578792572,,95.27368927001953,1763260149.7421758,11136,-0.00048294849693775177,,213,0.000982046127319336,0.5446208715438843,367.0,0.0001452900469303131,0.0,0.00029339478351175785
0.0016959970816969872,59.950446128845215,,103.75240325927734,1763260150.460864,11520,0.0016232170164585114,,217,-0.030995845794677734,0.54632568359375,371.0,0.00020957645028829575,0.0,0.0002931643684860319
2.9029324650764465e-06,61.95404601097107,,105.93130493164062,1763260152.464464,12544,-0.000812143087387085,,228,0.011405885219573975,0.5584588050842285,379.0,2.146698534488678e-06,0.0,0.00029254992841742933
-0.0004316447302699089,62.908623695373535,,91.12887573242188,1763260153.4190416,13056,0.0006541907787322998,,233,-0.002608776092529297,0.544029951095581,384.0,3.7658028304576874e-05,0.0,0.00029224270838312805
6.007961928844452e-06,65.87824320793152,,78.45500946044922,1763260156.3886611,14720,0.00228959321975708,,251,-0.01089012622833252,0.552510678768158,398.0,0.00013500172644853592,0.0,0.0002912442432716489
0.0031616659834980965,67.09729933738708,,96.76617431640625,1763260157.6077173,15360,0.00047591328620910645,,259,0.028550267219543457,0.5705917477607727,402.0,0.0011794036254286766,0.0,0.0002908602182287723
-0.00032589957118034363,68.19611167907715,,77.05052947998047,1763260158.7065296,16000,0.00022246688604354858,,265,-0.005502104759216309,0.5224311351776123,407.0,5.298107862472534e-05,0.0,0.0002904761931858957
0.0024098223075270653,69.43470120429993,,78.11235809326172,1763260159.9451191,16768,-0.0012411493808031082,,273,0.029640674591064453,0.5412878394126892,413.0,0.00027711596339941025,0.0,0.00029001536313444376
-0.0009268224239349365,69.67919087409973,,65.64309692382812,1763260160.1896088,16896,-0.001051332801580429,,274,0.0699472427368164,0.5252652764320374,414.0,7.005408406257629e-06,0.0,0.00028993855812586844
0.00263851135969162,73.19977164268494,,53.745933532714844,1763260163.7101896,18560,-0.006386943161487579,,292,0.009556949138641357,0.5718654990196228,419.0,0.000342564657330513,0.0,0.0002889400930143893
-0.0026188520714640617,78.94583749771118,,51.80773162841797,1763260169.4562554,20864,-0.0012144576758146286,,321,0.419145405292511,0.4878779947757721,417.0,1.1962838470935822e-05,0.0,0.0002875576028600335
0.005293474532663822,80.03588151931763,,52.0625,1763260170.5462995,21376,-0.004861043766140938,,327,0.024316012859344482,0.49033841490745544,418.0,0.00014629121869802475,0.0,0.00028725038282573223
,80.40274500846863,185.0,,1763260170.913163,21626,,185.0,330,,,,,,
-5.5594369769096375e-05,80.88706517219543,,55.005897521972656,1763260171.397483,21760,0.00033561885356903076,,332,0.0161399245262146,0.5445730090141296,418.0,4.505738615989685e-06,0.0,0.00028701996780000627
0.006577648222446442,81.85871315002441,,45.945030212402344,1763260172.369131,22272,-0.0002535581588745117,,337,0.012168645858764648,0.5261961817741394,420.0,0.0008802805095911026,0.0,0.000286712747765705
-8.889473974704742e-06,82.43508648872375,,49.01784133911133,1763260172.9455044,22528,-2.736598253250122e-05,,340,-0.0574418306350708,0.5123081207275391,420.0,5.597248673439026e-07,0.0,0.00028655913774855435
0.002263469621539116,88.1331741809845,,36.98668670654297,1763260178.6435921,25344,-0.00443664938211441,,370,0.29257768392562866,0.5554588437080383,428.0,0.0007983241230249405,0.0,0.0002848694275598973
-0.0001321425661444664,88.9614896774292,,38.613380432128906,1763260179.4719076,25728,-0.00038048624992370605,,375,-0.005433201789855957,0.5042272806167603,428.0,2.2864900529384613e-05,0.0,0.00028463901253417134
-0.005271489731967449,92.7900538444519,,23.72333335876465,1763260183.3004718,27648,0.0011132508516311646,,396,0.9147434830665588,0.5716139078140259,432.0,0.00025546271353960037,0.0,0.00028348693740554154
0.0010691257193684578,98.09929013252258,,99.904541015625,1763260188.609708,30336,0.0033340901136398315,,425,0.4678761959075928,0.48759716749191284,438.0,0.00018949154764413834,0.0,0.0002818740322254598
-0.0006661899387836456,101.05284810066223,,22.81459617614746,1763260191.563266,31872,8.816644549369812e-05,,441,-0.02350175380706787,0.4373209476470947,441.0,4.000961780548096e-06,0.0,0.00028095237212255597
0.0001514442265033722,102.54375791549683,,81.89767456054688,1763260193.0541759,32640,-0.0006544440984725952,,450,0.10813212394714355,0.5516157746315002,443.0,1.5135854482650757e-05,0.0,0.00028049154207110405
0.0033194003626704216,106.64739966392517,,75.65474700927734,1763260197.1578176,34688,-0.026714250445365906,,471,0.0010358095169067383,0.519764244556427,446.0,0.0014467639848589897,0.0,0.0002792626619338989
,108.41674613952637,250.0,,1763260198.927164,35642,,250.0,481,,,,,,
0.009010978043079376,110.25403237342834,,117.00599670410156,1763260200.7644503,36480,-0.0033107027411460876,,490,0.013720870018005371,0.5777868628501892,448.0,0.001114383339881897,0.0,0.00027818739181384444
0.0029401564970612526,113.06536173820496,,11.712203979492188,1763260203.5757797,37888,-0.00025782734155654907,,504,0.361136794090271,0.5437752604484558,450.0,0.00010943692177534103,0.0,0.0002773425367195159
