losses/clipfrac,charts/learning_rate,_step,losses/entropy,charts/episodic_length,_timestamp,losses/policy_loss,losses/old_approx_kl,_runtime,charts/episodic_return,losses/approx_kl,losses/value_loss,losses/explained_variance,global_step,charts/SPS
,,0,,,1763260115.9903018,,,24.93326187133789,,,,,0,
,,7,,16.0,1763260120.3443244,,,29.28728437423706,16.0,,,,125,
,,33,,24.0,1763260122.6971796,,,31.64013957977295,24.0,,,,578,
,,41,,23.0,1763260123.3183613,,,32.26132130622864,23.0,,,,763,
,,47,,35.0,1763260123.8641484,,,32.8071084022522,35.0,,,,881,
,,64,,62.0,1763260126.248416,,,35.191375970840454,62.0,,,,1447,
,,74,,63.0,1763260127.592848,,,36.535808086395264,63.0,,,,1773,
,,77,,67.0,1763260128.079906,,,37.022866010665894,67.0,,,,1873,
0.0,0.00029861752409487963,88,0.6172525882720947,,1763260129.982765,-0.006567738950252533,0.003896535374224186,38.92572498321533,,0.0007811514660716057,84.93636322021484,0.021750926971435547,2432,230.0
,,102,,93.0,1763260131.5303347,,,40.473294734954834,93.0,,,,3068,
,,104,,123.0,1763260131.8265357,,,40.769495725631714,123.0,,,,3191,
,,133,,33.0,1763260136.293215,,,45.23617506027222,33.0,,,,5048,
,,147,,139.0,1763260138.4117556,,,47.35471558570862,139.0,,,,5922,
,,149,,152.0,1763260138.7384303,,,47.68139028549194,152.0,,,,6074,
0.0,0.00029639017884619534,150,0.616172730922699,70.0,1763260139.0437438,-0.011969402432441711,0.011755830608308315,47.986703872680664,70.0,0.0007647452875971794,74.38455200195312,0.1371457576751709,6144,313.0
,,155,,221.0,1763260139.9227743,,,48.865734338760376,221.0,,,,6648,
0.0,0.00029600615380331874,157,0.6188070774078369,,1763260140.4155595,0.0037238821387290955,-0.00018978770822286606,49.358519554138184,,7.657986134290695e-05,140.0404815673828,0.15994960069656372,6784,323.0
0.0,0.0002953917137347162,172,0.6077920198440552,,1763260142.766399,-0.0021588020026683807,-0.005305889993906021,51.70935893058777,,0.0018844269216060638,105.63842010498047,-0.014890909194946289,7808,334.0
0.0,0.00029447005363181233,195,0.6121493577957153,,1763260146.327261,-0.001757986843585968,0.0005187094211578369,55.27022099494934,,7.972680032253265e-05,53.6686897277832,0.4037460684776306,9344,347.0
0.0,0.00029408602858893573,203,0.5870870351791382,,1763260147.704732,0.0033227913081645966,0.0004724403843283653,56.64769196510315,,3.453437238931656e-05,107.86589813232422,-0.0183713436126709,9984,353.0
0.0,0.00029377880855463445,213,0.5825150012969971,,1763260148.935608,-0.0039232224225997925,0.0015056738629937172,57.878567934036255,,0.0001165224239230156,55.214717864990234,0.004560112953186035,10496,355.0
0.0,0.0002935483935289085,217,0.6308270692825317,,1763260149.6735508,0.015070796012878418,0.02382087893784046,58.61651086807251,,0.003876657225191593,87.99578857421875,0.23180031776428223,10880,359.0
0.0,0.0002931643684860319,228,0.6277872323989868,,1763260151.1201985,0.0040465109050273895,-0.0024220049381256104,60.06315851211548,,0.0006835982203483582,88.05046081542969,0.43017512559890747,11520,363.0
0.0,0.00029301075846888125,233,0.6171996593475342,,1763260151.746364,0.0004597082734107971,-0.0005215778946876526,60.689324140548706,,3.511086106300354e-06,77.74746704101562,-0.0018274784088134766,11776,364.0
,,251,,214.0,1763260154.1607437,,,63.10370373725891,214.0,,,,13038,
