losses/clipfrac,_step,losses/value_loss,losses/entropy,losses/old_approx_kl,charts/episodic_length,global_step,_runtime,_timestamp,charts/learning_rate,charts/SPS,losses/approx_kl,losses/policy_loss,losses/explained_variance,charts/episodic_return
,0,,,,,0,25.257269620895386,1763260110.2193456,,,,,,
,7,,,,21.0,138,28.044968128204346,1763260113.007044,,,,,,21.0
,33,,,,68.0,673,28.573644399642944,1763260113.5357203,,,,,,68.0
,41,,,,43.0,852,28.715102195739746,1763260113.6771781,,,,,,43.0
0.0078125,47,71.60408782958984,0.6033806800842285,0.008668968454003334,,1024,28.92004632949829,1763260113.8821223,0.00029946237918920815,950.0,0.004481792449951172,-0.021117331460118294,-0.003758072853088379,
,64,,,,41.0,1562,29.400895357131958,1763260114.3629713,,,,,,41.0
0.0,74,94.4599380493164,0.6024778485298157,-0.0009080255404114723,,1920,29.774117946624756,1763260114.736194,0.0002989247441291809,994.0,6.291735917329788e-05,0.0004848763346672058,-0.03187572956085205,
,77,,,,47.0,2016,29.812402963638306,1763260114.774479,,,,,,47.0
0.0,88,51.12670135498047,0.5623933672904968,-0.00992819108068943,,2432,30.237955331802368,1763260115.2000313,0.00029861752409487963,1015.0,0.0002481285482645035,0.0006720609962940216,0.007029831409454346,
,102,,,,142.0,3215,30.946670055389404,1763260115.908746,,,,,,142.0
0.00390625,104,134.06898498535156,0.6210124492645264,-0.007821017876267433,,3328,31.05413556098938,1763260116.0162115,0.0002980798890348524,1036.0,0.003649093210697174,-0.0033294707536697388,0.003161489963531494,
,133,,,,162.0,4823,32.36047077178955,1763260117.3225467,,,,,,162.0
0.0,147,57.786075592041016,0.5409966111183167,-0.0010663000866770744,,5632,33.13888120651245,1763260118.1009572,0.0002966973988804966,1063.0,0.00012055505067110062,-0.003912828862667084,0.02328413724899292,
0.0,149,81.69082641601562,0.5846279859542847,-0.0012922827154397964,,5760,33.2534019947052,1763260118.215478,0.0002966205938719213,1064.0,9.613111615180969e-05,-0.004063516855239868,-0.01731574535369873,
0.0,150,139.9055633544922,0.6156320571899414,-0.001657845452427864,,5888,33.36663293838501,1763260118.328709,0.000296543788863346,1066.0,1.823343336582184e-05,0.0025682002305984497,0.15627503395080566,
0.0,155,86.09153747558594,0.5526127219200134,0.007138743996620178,,6272,33.70182180404663,1763260118.6638978,0.00029631337383762,1070.0,0.0010079015046358109,-0.005174845457077026,0.2869706153869629,
0.0,157,126.93450164794922,0.609897792339325,0.01188349537551403,,6400,33.832809925079346,1763260118.7948859,0.0002962365688290447,1068.0,0.0012154709547758102,0.004841634072363377,0.08483505249023438,
0.0,172,111.0567398071289,0.591284990310669,-0.006555751897394657,,7424,34.73198699951172,1763260119.694063,0.00029562212876044214,1077.0,0.0010620495304465294,-0.003951497375965118,-0.05168032646179199,
0.0,195,81.50714874267578,0.5610221028327942,-0.010335148312151432,,8960,36.50846195220947,1763260121.470538,0.0002947004686575383,1034.0,0.0006438540294766426,-0.006370186805725098,0.2649688124656677,
0.0,203,61.223114013671875,0.5520132780075073,0.0020680679008364677,,9600,37.21057677268982,1763260122.1726527,0.0002943164436146617,1024.0,0.00013314280658960342,-0.0016323328018188477,0.3136304020881653,
,213,,,,151.0,10252,38.1140775680542,1763260123.0761535,,,,,,151.0
,217,,,,244.0,10593,38.486151933670044,1763260123.448228,,,,,,244.0
,228,,,,113.0,11374,39.48914647102356,1763260124.4512224,,,,,,113.0
0.01953125,233,116.43376159667969,0.5531454682350159,0.015874769538640976,,11776,40.00388479232788,1763260124.9659607,0.00029301075846888125,968.0,0.008951305411756039,0.025937270373106003,0.20873808860778809,
,251,,,,91.0,13122,41.450464487075806,1763260126.4125404,,,,,,91.0
0.0,259,66.59943389892578,0.5668218731880188,0.0020065447315573692,,13696,42.010838747024536,1763260126.9729147,0.00029185868334025145,966.0,0.00013020168989896774,0.0007876399904489517,0.6673916578292847,
0.0,265,78.54337310791016,0.5692429542541504,-0.0001982441172003746,,14208,42.5047287940979,1763260127.4668047,0.00029155146330595016,969.0,1.2635253369808197e-05,0.00036754831671714783,0.07181757688522339,
0.0,273,65.35322570800781,0.5892902612686157,0.002213630825281143,,14848,43.066476345062256,1763260128.0285523,0.00029116743826307356,975.0,5.189143121242523e-05,0.002204909920692444,0.020354926586151123,
0.0,274,81.9122543334961,0.5525152087211609,-0.005918202921748161,,14976,43.177809953689575,1763260128.139886,0.00029109063325449824,976.0,0.00154084712266922,-0.010854760184884071,-0.06728553771972656,
0.0,292,34.9033317565918,0.5545855760574341,0.004234710708260536,,16384,44.488547801971436,1763260129.4506238,0.0002902457781601697,984.0,0.00010502152144908905,-0.00401875376701355,0.7045496702194214,
0.0,321,38.56510925292969,0.5635896325111389,0.0009379135444760323,,18560,46.46919226646423,1763260131.4312682,0.0002889400930143893,996.0,5.242694169282913e-05,-0.0013341903686523438,0.8999663591384888,
,327,,,,123.0,18911,46.75601291656494,1763260131.7180889,,,,,,123.0
0.0,330,39.351097106933594,0.56898033618927,0.00014388374984264374,,19072,46.95001816749573,1763260131.912094,0.000288632872980088,998.0,8.66129994392395e-07,-0.0003764592111110687,0.42624199390411377,
0.0,332,81.77696228027344,0.5420588254928589,0.00017585325986146927,,19200,47.06403136253357,1763260132.0261073,0.0002885560679715127,998.0,2.3390166461467743e-05,-0.0030173342674970627,0.2480771541595459,
,337,,,,124.0,19546,47.32211399078369,1763260132.28419,,,,,,124.0
0.0,340,91.43922424316406,0.5573971271514893,-0.0021340949460864067,,19712,47.550846338272095,1763260132.5129223,0.0002882488479372114,1000.0,5.863141268491745e-05,0.0017708763480186462,0.1768166422843933,
