losses/approx_kl,_runtime,charts/episodic_return,losses/value_loss,losses/explained_variance,global_step,charts/episodic_length,_step,losses/entropy,losses/clipfrac,losses/old_approx_kl,charts/SPS,charts/learning_rate,losses/policy_loss,_timestamp
,25.226136922836304,,,,0,,0,,,,,,,1763260110.163751
,27.976398944854736,15.0,,,126,15.0,7,,,,,,,1763260112.914013
,28.496389150619507,27.0,,,592,27.0,33,,,,,,,1763260113.434003
0.0018655862659215927,28.706413507461548,,59.359901428222656,-0.005957245826721191,768,,41,0.6676468849182129,0.0,-0.01612543687224388,915.0,0.0002996159892063588,0.009127460420131683,1763260113.6440275
,28.8356990814209,29.0,,,913,29.0,47,,,,,,,1763260113.773313
0.00041653774678707123,29.304399013519287,,98.56329345703125,0.013676106929779053,1408,,64,0.6373485326766968,0.0,-0.0044675711542367935,980.0,0.0002992319641634822,-0.0068273358047008514,1763260114.242013
,29.585988998413086,38.0,,,1698,38.0,74,,,,,,,1763260114.523603
,29.69146490097046,46.0,,,1795,46.0,77,,,,,,,1763260114.6290789
,30.163625240325928,95.0,,,2342,95.0,88,,,,,,,1763260115.1012392
,30.771417379379272,114.0,,,3005,114.0,102,,,,,,,1763260115.7090313
,30.790574550628662,22.0,,,3050,22.0,104,,,,,,,1763260115.7281885
0.00011989660561084747,32.262529134750366,,149.1048583984375,0.08983534574508667,4608,,133,0.6083637475967407,0.0,-0.003299543634057045,1048.0,0.0002973118389490992,-0.002033337950706482,1763260117.200143
0.00041645392775535583,33.1892511844635,,119.9001235961914,0.44737040996551514,5632,,147,0.6026748418807983,0.0,-0.0030268505215644836,1058.0,0.0002966973988804966,-0.003811633214354515,1763260118.1268651
0.00021165329962968826,33.3017635345459,,123.61347961425781,0.2783817648887634,5760,,149,0.5905171036720276,0.0,0.002365722320973873,1059.0,0.0002966205938719213,-0.006847824901342392,1763260118.2393775
,33.30515766143799,124.0,,,5763,124.0,150,,,,,,,1763260118.2427716
,33.6595983505249,170.0,,,6150,170.0,155,,,,,,,1763260118.5972123
,33.79393434524536,189.0,,,6339,189.0,157,,,,,,,1763260118.7315483
,34.93832588195801,146.0,,,7638,146.0,172,,,,,,,1763260119.8759398
0.0004877261817455292,36.858123540878296,,104.92771911621094,0.10852223634719849,9216,,195,0.5610130429267883,0.0,-0.004862748086452484,1025.0,0.00029454685864038765,0.01014789566397667,1763260121.7957375
0.0040206992998719215,37.59664845466614,,116.81892395019531,0.33285725116729736,9984,,203,0.5684860944747925,0.001953125,-0.002284727059304714,1026.0,0.00029408602858893573,-0.02705763280391693,1763260122.5342624
0.0016897348687052727,38.59612011909485,,98.99493408203125,-0.0661780834197998,10880,,213,0.6035081148147583,0.0,-0.004373048432171345,1014.0,0.0002935483935289085,-0.003192611038684845,1763260123.533734
2.880580723285675e-05,38.872743129730225,,57.52996063232422,0.29828983545303345,11136,,217,0.6087219715118408,0.0,-0.0017552729696035385,1011.0,0.00029339478351175785,0.0008456334471702576,1763260123.810357
3.0333176255226135e-06,39.691118001937866,,48.143943786621094,0.13501620292663574,11904,,228,0.5940802693367004,0.0,0.0007566483691334724,1006.0,0.00029293395346030593,-0.000314958393573761,1763260124.628732
4.083849489688873e-06,40.08375334739685,,99.76113891601562,-0.012223958969116211,12288,,233,0.5776698589324951,0.0,-0.00013042334467172623,1005.0,0.00029270353843457997,0.00016872398555278778,1763260125.0213673
9.756255894899368e-05,41.45122790336609,,93.3829345703125,0.150443434715271,13696,,251,0.6145603656768799,0.0,-0.000720280222594738,1008.0,0.00029185868334025145,0.00363883376121521,1763260126.3888419
0.0009333658963441849,41.90262985229492,,84.4183120727539,0.2763023376464844,14208,,259,0.6018991470336914,0.0,0.0010499563068151474,1012.0,0.00029155146330595016,-0.004128813743591309,1763260126.8402438
,42.21111273765564,98.0,,,14589,98.0,265,,,,,,,1763260127.1487267
,42.743990898132324,160.0,,,15134,160.0,273,,,,,,,1763260127.6816049
,42.75396656990051,25.0,,,15159,25.0,274,,,,,,,1763260127.6915805
0.0003698691725730896,44.01855683326721,,69.52262115478516,0.2370176911354065,16512,,292,0.6054046154022217,0.0,-0.0016579926013946533,1022.0,0.0002901689731515944,-0.004750583320856094,1763260128.9561708
,46.06500840187073,134.0,,,18764,134.0,321,,,,,,,1763260131.0026224
0.0005841143429279327,46.531224966049194,,87.26643371582031,0.004246413707733154,19200,,327,0.5501458048820496,0.0,-0.0024113692343235016,1028.0,0.0002885560679715127,0.003270566463470459,1763260131.468839
,46.792784214019775,500.0,,,19580,500.0,330,,,,,,,1763260131.7303982
6.059184670448303e-05,46.97256898880005,,59.284912109375,0.02688753604888916,19712,,332,0.5514489412307739,0.0,-0.0012077409774065018,1031.0,0.0002882488479372114,0.003958030603826046,1763260131.910183
0.00024128053337335587,47.3102068901062,,83.34712982177734,0.02043008804321289,20096,,337,0.5087393522262573,0.0,0.00511163379997015,1033.0,0.00028801843291148543,-0.012855976819992065,1763260132.2478209
0.000416547991335392,47.5712456703186,,56.04888153076172,-0.08694624900817871,20352,,340,0.5790250301361084,0.0,-0.0017651719972491264,1032.0,0.0002878648228943348,-0.01126014068722725,1763260132.5088596
0.00048623327165842056,49.78529238700867,,103.64533233642578,0.08663707971572876,22784,,370,0.560011625289917,0.0,-0.008467220701277256,1039.0,0.0002864055277314037,0.011144265532493591,1763260134.7229064
0.00020854268223047256,50.13458728790283,,97.95532989501953,0.13505393266677856,23168,,375,0.5515769124031067,0.0,-0.0008568977937102318,1040.0,0.00028617511270567775,-0.0007824189960956573,1763260135.0722013
