losses/entropy,charts/episodic_return,losses/policy_loss,losses/old_approx_kl,charts/episodic_length,charts/SPS,_step,_timestamp,losses/approx_kl,losses/value_loss,charts/learning_rate,global_step,losses/clipfrac,_runtime,losses/explained_variance
,,,,,,0,1763260114.8056097,,,,0,,24.318164587020874,
,20.0,,,20.0,,7,1763260120.9699514,,,,159,,30.482506275177002,
,23.0,,,23.0,,33,1763260122.9738564,,,,688,,32.486411333084106,
,18.0,,,18.0,,41,1763260123.601275,,,,868,,33.11382985115051,
,26.0,,,26.0,,47,1763260124.1976435,,,,1003,,33.710198402404785,
,65.0,,,65.0,,64,1763260126.4004922,,,,1457,,35.913047075271606,
,62.0,,,62.0,,74,1763260127.6881964,,,,1736,,37.200751304626465,
,29.0,,,29.0,,77,1763260128.1618276,,,,1843,,37.67438244819641,
0.6303080916404724,,-0.002821974456310272,-0.001807892695069313,,222.0,88,1763260129.8119576,0.00019539706408977509,153.27645874023438,0.00029869432910345495,2304,0.0,39.32451248168945,0.09030759334564209
0.5981734991073608,,-0.00459449365735054,0.0036481833085417747,,242.0,102,1763260131.5811734,0.0002650925889611244,69.24945831298828,0.00029831030406057835,2944,0.0,41.0937283039093,0.04632693529129028
,46.0,,,46.0,,104,1763260131.6842465,,,,3003,,41.19680142402649,
0.6217306852340698,,-0.014447469264268875,0.011153838597238064,,275.0,133,1763260135.6878562,0.0005792221054434776,82.37615966796875,0.0002973886439576745,4480,0.0,45.20041108131409,0.2248321771621704
0.6229283809661865,,-0.0037124603986740112,0.0021641822531819344,,288.0,147,1763260137.5998924,3.3221207559108734e-05,139.025634765625,0.0002969278139062226,5248,0.0,47.1124472618103,0.24656617641448975
0.6266615390777588,,0.02827727422118187,-0.013514460995793343,,291.0,149,1763260137.9011168,0.002771001309156418,103.71267700195312,0.00029685100889764726,5376,0.0,47.41367173194885,0.18577957153320312
,126.0,,,126.0,,150,1763260137.9539123,,,,5444,,47.4664671421051,
,117.0,,,117.0,,155,1763260138.6034272,,,,5714,,48.11598205566406,
0.619337797164917,,-0.005370330065488815,0.00306684710085392,,295.0,157,1763260138.8939548,0.00013587437570095062,73.48238372802734,0.0002966205938719213,5760,0.0,48.40650963783264,0.004265725612640381
0.5945379734039307,,0.0012389980256557465,-0.0010168682783842087,,307.0,172,1763260141.1045554,2.2837892174720764e-05,79.81493377685547,0.00029608295881189406,6656,0.0,50.61711025238037,0.16519397497177124
,97.0,,,97.0,,195,1763260144.4210258,,,,8133,,53.93358063697815,
,81.0,,,81.0,,203,1763260145.433661,,,,8573,,54.946215867996216,
,287.0,,,287.0,,213,1763260146.9135642,,,,9181,,56.42611908912659,
,72.0,,,72.0,,217,1763260147.4942107,,,,9374,,57.006765604019165,
0.6162211894989014,,-0.002475559711456299,-0.0025340216234326363,,338.0,228,1763260148.9602063,0.00013157259672880173,81.83161163330078,0.00029408602858893573,9984,0.0,58.472761154174805,0.16443008184432983
0.5764549970626831,,-0.0007922984659671783,0.001224042847752571,,342.0,233,1763260149.727555,8.273497223854065e-05,105.44974517822266,0.00029385561356320977,10368,0.0,59.24010992050171,-0.06301355361938477
0.6146208643913269,,0.0007065106183290482,-0.0007738471031188965,,353.0,251,1763260152.4079537,1.8524006009101868e-05,44.55945587158203,0.00029308756347745657,11648,0.0,61.92050862312317,0.6464543342590332
0.6006324291229248,,0.0005101412534713745,-0.0007868865504860878,,357.0,259,1763260153.4866178,0.00012370292097330093,65.3765640258789,0.0002927803434431553,12160,0.0,62.99917268753052,0.4179796576499939
0.612321674823761,,0.008329641073942184,0.005853259935975075,,362.0,265,1763260154.4052372,0.0007077846676111221,85.99168395996094,0.000292473123408854,12672,0.0,63.917792081832886,0.13598841428756714
0.5857500433921814,,0.0010481178760528564,0.001628403551876545,,366.0,273,1763260155.4059472,7.050391286611557e-05,65.75060272216797,0.0002921659033745527,13184,0.0,64.91850209236145,0.35600996017456055
,118.0,,,118.0,,274,1763260155.4443636,,,,13197,,64.95691847801208,
,103.0,,,103.0,,292,1763260157.7762237,,,,14460,,67.28877854347229,
0.5962530374526978,,-0.001629464328289032,-0.001883416436612606,,382.0,321,1763260161.595686,4.774611443281174e-05,69.7230224609375,0.00029039938817732036,16128,0.0,71.10824084281921,0.02507627010345459
,144.0,,,144.0,,327,1763260162.504209,,,,16609,,72.01676392555237,
0.590279221534729,,-0.001366959884762764,-0.0008288174867630005,,384.0,330,1763260163.0536742,5.85503876209259e-05,67.48358154296875,0.00029001536313444376,16768,0.0,72.56622910499573,-0.002603769302368164
0.6154577732086182,,0.0026865601539611816,-0.00012834742665290833,,384.0,332,1763260163.3520908,0.00015116482973098755,58.479530334472656,0.00028993855812586844,16896,0.0,72.8646457195282,0.012426137924194336
,295.0,,,295.0,,337,1763260164.2128458,,,,17407,,73.72540068626404,
,161.0,,,161.0,,340,1763260164.788293,,,,17568,,74.30084776878357,
,155.0,,,155.0,,370,1763260170.498344,,,,19903,,80.01089882850647,
0.5870135426521301,,-0.000841781497001648,-0.00014206860214471817,,389.0,375,1763260171.317597,3.405846655368805e-06,57.43461608886719,0.0002879416279029101,20224,0.0,80.83015179634094,0.013873457908630371
0.5808544158935547,,-0.003292214125394821,-0.007429585792124271,,393.0,396,1763260174.4283803,0.0003282492980360985,52.75597381591797,0.0002870967728085816,21632,0.0,83.9409351348877,0.012170910835266113
0.5689046382904053,,0.008337808772921562,0.006724733859300613,,399.0,425,1763260179.046446,0.0005278773605823517,31.20493507385254,0.00028579108766280115,23808,0.0,88.5590009689331,0.8246629238128662
