losses/clipfrac,charts/episodic_return,charts/learning_rate,losses/explained_variance,global_step,_step,losses/entropy,_timestamp,charts/SPS,_runtime,losses/value_loss,losses/policy_loss,losses/approx_kl,losses/old_approx_kl,charts/episodic_length
,143.0,,,18245,330,,1763260165.7308533,,74.72572231292725,,,,,143.0
,71.0,,,18316,332,,1763260166.090737,,75.08560609817505,,,,,71.0
,97.0,,,18685,337,,1763260166.9191797,,75.91404867172241,,,,,97.0
0.0,,0.00028878648299723864,0.016749143600463867,18816,340,0.5668522119522095,1763260167.5808978,390.0,76.5757668018341,89.15302276611328,-0.014633528888225555,0.0002623898908495903,0.0062630875036120415,
,115.0,,,21132,370,,1763260172.7686117,,81.76348066329956,,,,,115.0
0.0,,0.0002871735778171569,0.0435175895690918,21504,375,0.5058398246765137,1763260173.6020515,396.0,82.59692049026489,98.86994934082031,0.0016893669962882996,1.0040588676929474e-05,-0.0005646171048283577,
0.0,,0.00028617511270567775,-0.006252884864807129,23168,396,0.5430691838264465,1763260177.1818035,401.0,86.17667245864868,42.756771087646484,0.001017298549413681,4.128459841012955e-05,0.0005092741921544075,
0.0,,0.00028471581754274666,-0.14637327194213867,25600,425,0.5147170424461365,1763260182.244832,407.0,91.23970103263855,39.21257400512695,0.0013713231310248375,0.0006214985623955727,0.004840324632823467,
0.001953125,,0.0002837941574398428,0.013165295124053955,27136,441,0.5249974727630615,1763260185.3876913,411.0,94.38256025314331,125.55949401855469,-0.0068938955664634705,0.0014194576069712639,-0.006461481563746929,
0.0,,0.0002833333273883909,0.020843684673309326,27904,450,0.4683644771575928,1763260186.9466898,413.0,95.94155883789062,70.61774444580078,0.00889866054058075,0.0015988899394869804,0.0007787393406033516,
0.001953125,,0.0002822580572683364,0.9324802160263062,29696,471,0.527955949306488,1763260190.5304403,417.0,99.52530932426453,12.323594093322754,0.0043851472437381744,0.00283771101385355,0.002931988798081875,
,382.0,,,30490,481,,1763260192.1888843,,101.18375325202942,,,,,382.0
,87.0,,,31165,490,,1763260193.556946,,102.55181503295898,,,,,87.0
0.0,,0.0002806451520882547,0.6911909580230713,32384,504,0.430957555770874,1763260196.2297182,421.0,105.22458720207214,17.629610061645508,-0.0005908049643039703,1.0915100574493408e-06,0.0004069078713655472,
0.017578125,,0.00028010751702822745,0.9760267734527588,33280,515,0.5168471336364746,1763260198.134595,422.0,107.12946391105652,4.506290912628174,-0.0055787330493330956,0.004131879657506943,-0.0070647262036800385,
0.0,,0.00027941627195104957,-0.45839130878448486,34432,530,0.3829323351383209,1763260200.6469486,423.0,109.64181756973267,19.006357192993164,-0.025749389082193375,0.0009838556870818138,0.012173124589025974,
0.0,,0.0002788786368910223,-0.5103169679641724,35328,539,0.4942924678325653,1763260202.4765348,425.0,111.47140383720398,15.668317794799805,-0.0023632794618606567,0.0008747447282075882,0.003084518015384674,
0.0,,0.0002784178068395704,0.2895265221595764,36096,547,0.5259195566177368,1763260204.0681634,426.0,113.06303238868713,106.39309692382812,0.0014156177639961243,0.0012838300317525864,0.008062733337283134,
0.0,,0.0002779569767881185,0.27863121032714844,36864,555,0.48328012228012085,1763260205.6093478,427.0,114.60421681404114,146.72451782226562,-0.008967436850070953,0.0013481471687555313,0.014741556718945503,
,452.0,,,37252,559,,1763260206.3880424,,115.38291144371033,,,,,452.0
0.0,,0.0002771889267023653,0.007123172283172607,38144,568,0.45071491599082947,1763260208.224967,429.0,117.21983599662781,189.71878051757812,-0.004435308277606964,0.0003144117072224617,0.0013739829882979393,
,500.0,,,40843,595,,1763260213.5333257,,122.52819466590881,,,,,500.0
0.0,,0.00027457758551463485,0.3113279342651367,42496,612,0.4708484709262848,1763260216.8782039,436.0,125.87307286262512,109.24606323242188,-0.00046946853399276733,7.778406143188477e-06,0.0007132422178983688,
,344.0,,,42720,614,,1763260217.1713433,,126.16621232032776,,,,,344.0
0.001953125,,0.00027350231539458036,0.1381726861000061,44288,630,0.520675539970398,1763260220.5348892,438.0,129.52975821495056,5.003676891326904,-0.011314265429973602,0.0010771658271551132,0.006374852731823921,
0.0,,0.00027311829035170376,0.9272823929786682,44928,636,0.5292344689369202,1763260221.802016,438.0,130.79688501358032,1.801723599433899,-0.01520741730928421,0.002880358137190342,0.00942543987184763,
,306.0,,,45239,640,,1763260222.4243188,,131.41918778419495,,,,,306.0
0.0,,0.00027235024026595056,0.6644922494888306,46208,650,0.5325883030891418,1763260224.5167866,439.0,133.51165556907654,3.482257127761841,-0.003946026787161827,0.00039122067391872406,-0.00581016018986702,
0.0,,0.00027150538517162204,0.0009607672691345215,47616,664,0.4987332820892334,1763260227.361012,441.0,136.35588097572327,2.1942384243011475,0.00016899779438972473,2.4071894586086273e-05,0.0009096106514334679,
0.0,,0.00027035331004299223,-0.39811134338378906,49536,684,0.5176596641540527,1763260231.3724823,442.0,140.36735129356384,2.0140156745910645,-5.8416277170181274e-05,0.0001994781196117401,-0.00014801323413848877,
0.0,,0.00027004609000869095,-3.7963485717773438,50048,689,0.5516440272331238,1763260232.375165,443.0,141.3700339794159,1.9208317995071411,-0.020204611122608185,0.0013729585334658623,-0.00029238034039735794,
0.0,,0.00026958525995723903,0.5338752865791321,50816,698,0.45770320296287537,1763260234.0025072,443.0,142.997376203537,210.6696319580078,0.0031406041234731674,0.0001346161589026451,0.0018767816945910454,
,242.0,,,51150,702,,1763260234.5850437,,143.5799126625061,,,,,242.0
0.080078125,,0.0002691244299057871,0.5998619794845581,51584,707,0.4293479025363922,1763260235.6014555,444.0,144.59632444381714,140.52525329589844,-0.02333395555615425,0.016587670892477036,0.04048377647995949,
0.0,,0.00026781874476000667,-0.1372241973876953,53760,729,0.5155631899833679,1763260240.1152833,445.0,149.11015224456787,0.6218910813331604,-0.0027213729918003082,0.00012686289846897125,0.0019459184259176254,
0.0,,0.0002661290345713496,0.43019407987594604,56576,757,0.5597764253616333,1763260245.726456,447.0,154.7213249206543,0.09926502406597137,0.0009052157402038574,0.0003723707050085068,-0.006771288812160492,
,427.0,,,57049,762,,1763260246.5740366,,155.56890559196472,,,,,427.0
,500.0,,,57549,767,,1763260247.5938184,,156.58868741989136,,,,,500.0
0.0,,0.0002652073744684458,0.05020463466644287,58112,775,0.5183492302894592,1763260248.9307637,448.0,157.92563271522522,164.55528259277344,-0.00013433769345283508,1.971609890460968e-05,0.0009531248360872269,
0.0,,0.0002644393243826926,0.06648272275924683,59392,788,0.5650144815444946,1763260251.4172175,449.0,160.4120864868164,0.060824450105428696,-0.009184218943119049,0.00011857226490974426,-0.00014453940093517303,
0.0,,0.00026436251937411726,0.2646055221557617,59520,789,0.5800809264183044,1763260251.6536243,450.0,160.6484932899475,0.02042628638446331,-0.00578596256673336,0.0012751389294862747,-0.007763344794511795,
