_step,losses/approx_kl,charts/episodic_length,_runtime,losses/old_approx_kl,losses/clipfrac,losses/value_loss,_timestamp,losses/entropy,charts/learning_rate,charts/SPS,global_step,losses/explained_variance,charts/episodic_return,losses/policy_loss
0,,,25.613285541534424,,,,1763260110.7884974,,,,0,,,
7,,105.0,27.855377197265625,,,,1763260113.030589,,,,196,,105.0,
33,,58.0,28.444044828414917,,,,1763260113.6192567,,,,803,,58.0,
41,,26.0,28.673444986343384,,,,1763260113.848657,,,,1038,,26.0,
47,,36.0,28.828680753707886,,,,1763260114.0038927,,,,1272,,36.0,
64,,40.0,29.40564727783203,,,,1763260114.5808592,,,,1800,,40.0,
74,,179.0,30.002723693847656,,,,1763260115.1779356,,,,2474,,179.0,
77,,57.0,30.11721658706665,,,,1763260115.2924285,,,,2599,,57.0,
88,,116.0,30.595271587371826,,,,1763260115.7704835,,,,3177,,116.0,
102,0.0002262042835354805,,31.478991270065308,0.003591070882976055,0.0,75.73084259033203,1763260116.6542032,0.5681725144386292,0.00029761905898340046,1064.0,4096,0.004479646682739258,,0.0021362043917179108
104,3.2063573598861694e-05,,31.59049940109253,0.0007308144122362137,0.0,99.5936050415039,1763260116.7657113,0.6032460331916809,0.00029754225397482514,1066.0,4224,0.09210824966430664,,-0.003693673759698868
133,,159.0,33.55348539352417,,,,1763260118.7286973,,,,6466,,159.0,
147,,210.0,34.466801166534424,,,,1763260119.642013,,,,7485,,210.0,
149,,141.0,34.583407163619995,,,,1763260119.758619,,,,7626,,141.0,
150,1.4693476259708405e-05,,34.66943144798279,0.00044829118996858597,0.0,74.44843292236328,1763260119.8446434,0.5473780035972595,0.0002954685187432915,1091.0,7680,0.070712149143219,,-0.0005588904023170471
155,,348.0,35.02300834655762,,,,1763260120.1982203,,,,8122,,348.0,
157,,190.0,35.175050020217896,,,,1763260120.350262,,,,8312,,190.0,
172,,179.0,36.54790449142456,,,,1763260121.7231164,,,,9470,,179.0,
195,4.378240555524826e-05,,38.556344985961914,0.0023374026641249657,0.0,57.564918518066406,1763260123.731557,0.5423465967178345,0.0002935483935289085,995.0,10880,0.08183091878890991,,0.0003642439842224121
203,,94.0,39.14789867401123,,,,1763260124.3231106,,,,11339,,94.0,
213,7.660221308469772e-05,,40.032368183135986,-0.0004574796184897423,0.0,92.79366302490234,1763260125.20758,0.5478894710540771,0.0002928571484517306,970.0,12032,0.2635347843170166,,-0.0009132474660873413
217,0.00026565976440906525,,40.34873127937317,-0.003967657685279846,0.0,57.40443420410156,1763260125.5239432,0.5661296248435974,0.00029270353843457997,966.0,12288,0.549584150314331,,0.0067953020334243774
228,2.7194619178771973e-06,,41.286120891571045,0.0009871814399957657,0.0,84.97966766357422,1763260126.4613328,0.5929155945777893,0.0002921659033745527,965.0,13184,0.009109914302825928,,0.000319458544254303
233,,399.0,41.78015184402466,,,,1763260126.9553638,,,,13711,,399.0,
251,2.7185305953025818e-06,,42.94554042816162,-0.0004521431401371956,0.0,36.22988510131836,1763260128.1207523,0.5643362998962402,0.00029109063325449824,977.0,14976,0.4647291302680969,,-0.0004082638770341873
259,0.0011627590283751488,,43.502549171447754,-0.0016070688143372536,0.0,72.9874038696289,1763260128.677761,0.5967270731925964,0.00029070660821162164,983.0,15616,0.06321173906326294,,0.011371448636054993
265,0.004036124795675278,,43.990253925323486,-0.030229724943637848,0.00390625,91.428955078125,1763260129.1654658,0.5683114528656006,0.00029039938817732036,985.0,16128,-0.028725147247314453,,-0.008223623037338257
273,0.00010489113628864288,,44.546730279922485,-0.0025388728827238083,0.0,63.46101760864258,1763260129.7219422,0.5909135341644287,0.00029001536313444376,991.0,16768,0.12545573711395264,,-0.0012517422437667847
274,0.00033358950167894363,,44.68622970581055,0.002313048578798771,0.0,75.66625213623047,1763260129.8614416,0.6079568862915039,0.00028993855812586844,990.0,16896,-0.27200961112976074,,0.002349577844142914
292,0.0003559710457921028,,45.861114740371704,0.0014959396794438362,0.0,78.9693374633789,1763260131.0363266,0.5712877511978149,0.00028917050804011524,996.0,18176,0.1952309012413025,,0.0033387765288352966
321,0.0004564747214317322,,48.165796518325806,-0.006079306825995445,0.0,50.75714874267578,1763260133.3410084,0.5434638857841492,0.00028763440786860883,1009.0,20736,0.29749780893325806,,0.007695978507399559
327,9.802915155887604e-05,,48.611149072647095,0.0015782155096530914,0.0,54.48523712158203,1763260133.786361,0.5934564471244812,0.00028732718783430755,1012.0,21248,0.14422017335891724,,-0.008171245455741882
330,,124.0,48.74141263961792,,,,1763260133.9166245,,,,21423,,124.0,
332,0.0012021446600556374,,48.987815856933594,-0.0034789172932505608,0.0,46.87472152709961,1763260134.1630278,0.5891369581222534,0.0002870967728085816,1012.0,21632,0.573090672492981,,-0.013424985110759735
337,,372.0,49.336289167404175,,,,1763260134.511501,,,,22034,,372.0,
340,6.390921771526337e-05,,49.65882897377014,-0.0012716744095087051,0.0,48.190643310546875,1763260134.8340409,0.576591968536377,0.00028663594275712967,1016.0,22400,-0.018921613693237305,,-0.002463826909661293
370,0.000764983706176281,,51.655888080596924,-0.00733072217553854,0.0,125.15955352783203,1763260136.8311,0.5636998414993286,0.0002853302576113492,1022.0,24576,0.15166687965393066,,0.005967568606138229
375,0.0007832013070583344,,52.13390254974365,-0.0016169939190149307,0.0,35.2471809387207,1763260137.3091145,0.6140316724777222,0.00028502303757704794,1023.0,25088,-0.028520822525024414,,0.0007406249642372131
396,,189.0,53.64453172683716,,,,1763260138.8197436,,,,26771,,189.0,
425,0.0002705194056034088,,55.75201773643494,-0.00041848793625831604,0.0,25.30950927734375,1763260140.9272296,0.5400128960609436,0.000282642082311213,1033.0,29056,0.4612400531768799,,-0.005913041532039642
441,,206.0,57.01967453956604,,,,1763260142.1948864,,,,30478,,206.0,
450,0.002308826893568039,,57.723790884017944,0.013525193557143211,0.0078125,37.33035659790039,1763260142.8990028,0.5322351455688477,0.00028133639716543257,1037.0,31232,0.8813052773475647,,-0.0009386986494064331
471,5.5283308029174805e-05,,59.46542286872864,-0.0012254789471626282,0.0,161.13824462890625,1763260144.6406348,0.5040394067764282,0.00028018432203680277,1041.0,33152,0.06270849704742432,,0.0008764192461967468
481,6.979331374168396e-06,,60.363357067108154,-0.0007636696100234985,0.0,13.637672424316406,1763260145.538569,0.5737006068229675,0.0002795698819682002,1044.0,34176,0.7274265289306641,,0.00023334473371505737
490,,197.0,61.129786014556885,,,,1763260146.304998,,,,34982,,197.0,
504,2.0301900804042816e-05,,62.37320399284363,0.0003873305395245552,0.0,12.806482315063477,1763260147.548416,0.5413945317268372,0.00027826419682241976,1046.0,36352,-0.0009783506393432617,,-0.002032909542322159
515,0.020496699959039688,,63.409178256988525,-0.010413560084998608,0.068359375,49.247291564941406,1763260148.5843902,0.5716553926467896,0.0002775729517452419,1048.0,37504,-1.7843599319458008,,-0.02912130579352379
530,0.0001571429893374443,,64.6641309261322,-0.000899958424270153,0.0,11.726273536682129,1763260149.8393428,0.5921794176101685,0.00027672809665091336,1050.0,38912,0.3509114980697632,,-0.005998782813549042
539,2.7082860469818115e-05,,65.51449680328369,0.002454591915011406,0.0,10.215447425842285,1763260150.6897087,0.516228437423706,0.00027619049069471657,1050.0,39808,0.08385705947875977,,-0.0022152215242385864
547,4.688184708356857e-05,,66.24442076683044,-0.001976138912141323,0.0,9.799663543701172,1763260151.4196327,0.5612255930900574,0.00027572966064326465,1050.0,40576,0.28244107961654663,,-0.0009275451302528381
555,,358.0,66.87460422515869,,,,1763260152.0498161,,,,41251,,358.0,
559,0.000809607096016407,,67.31293773651123,0.004259550012648106,0.0,6.862790584564209,1763260152.4881496,0.49499475955963135,0.00027503841556608677,1051.0,41728,0.4477264881134033,,0.001138610765337944
568,0.0065194228664040565,,68.11409187316895,0.008752456866204739,0.005859375,6.120929718017578,1763260153.2893038,0.4886033833026886,0.00027450078050605953,1052.0,42624,0.5686140656471252,,0.0025947988033294678
595,0.00028393976390361786,,70.28337955474854,0.0023156683892011642,0.0,84.46125030517578,1763260155.4585915,0.531328022480011,0.00027304148534312844,1056.0,45056,0.6852579116821289,,0.0022553615272045135
612,0.0011335667222738266,,71.76427745819092,-0.0024428442120552063,0.0,229.6428985595703,1763260156.9394894,0.5426576733589172,0.0002720430202316493,1058.0,46720,0.13813096284866333,,-0.006104603409767151
614,0.00016959942877292633,,71.98481273651123,-0.002793882042169571,0.0,3.6245622634887695,1763260157.1600246,0.503503680229187,0.00027188941021449864,1059.0,46976,0.27847206592559814,,-0.0024882256984710693
630,,341.0,73.37997698783875,,,,1763260158.555189,,,,48543,,341.0,
636,9.985174983739853e-05,,73.9198648929596,-0.001894311048090458,0.0,178.4644775390625,1763260159.0950768,0.5082660913467407,0.0002705837250687182,1061.0,49152,0.02282559871673584,,0.0051594749093055725
640,,500.0,74.27717876434326,,,,1763260159.4523907,,,,49543,,500.0,
650,0.00030316878110170364,,75.18495893478394,0.00017910730093717575,0.0,1.9115140438079834,1763260160.3601708,0.4966250956058502,0.00026973886997438967,1063.0,50560,-0.11702966690063477,,-0.010570693761110306
664,0.0003481907770037651,,76.45712113380432,-0.003802441991865635,0.0,2.543584108352661,1763260161.632333,0.4084177613258362,0.00026889401488006115,1064.0,51968,0.7721871733665466,,4.984438419342041e-05
684,0.0015692003071308136,,78.44738793373108,0.006488801911473274,0.0,287.9849853515625,1763260163.6225998,0.4146670401096344,0.00026774193975143135,1060.0,53888,0.009452641010284424,,-0.018103137612342834
689,0.0004586251452565193,,78.97367835044861,0.004147748462855816,0.0,509.1123046875,1763260164.1488903,0.5270569324493408,0.00026743471971713006,1059.0,54400,-0.0012718439102172852,,-0.01128031313419342
698,0.0001088269054889679,,79.81869220733643,0.003356562927365303,0.0,0.567646861076355,1763260164.993904,0.46061307191848755,0.0002668970846571028,1059.0,55296,-0.011475801467895508,,-0.0040815360844135284
