losses/policy_loss,charts/SPS,charts/episodic_length,losses/clipfrac,charts/episodic_return,_step,_timestamp,losses/old_approx_kl,losses/value_loss,charts/learning_rate,losses/entropy,losses/approx_kl,_runtime,losses/explained_variance,global_step
,,,,,0,1763260110.8333318,,,,,,25.52265191078186,,0
,,17.0,,17.0,7,1763260113.010798,,,,,,27.70011806488037,,148
,,17.0,,17.0,33,1763260113.5331233,,,,,,28.222443342208862,,714
-0.012573283165693283,958.0,,0.0,,41,1763260113.7398117,-0.0008796360343694687,74.24783325195312,0.00029953918419778347,0.6771942377090454,0.00039380788803100586,28.429131746292114,-0.05071067810058594,896
,,81.0,,81.0,47,1763260113.8841877,,,,,,28.57350778579712,,1090
-0.004174020141363144,999.0,,0.0,,64,1763260114.4700184,-0.000876985490322113,67.94462585449219,0.00029907835414633155,0.6440436840057373,0.0013791155070066452,29.15933847427368,-0.0016003847122192383,1664
,,33.0,,33.0,74,1763260114.7481453,,,,,,29.43746542930603,,2034
,,167.0,,167.0,77,1763260114.9413195,,,,,,29.63063955307007,,2201
-0.02926892414689064,1032.0,,0.0,,88,1763260115.409318,-0.0012337760999798775,116.67660522460938,0.000298463914077729,0.6365164518356323,0.0019070031121373177,30.09863805770874,0.07273560762405396,2688
,,141.0,,141.0,102,1763260115.896238,,,,,,30.58555817604065,,3275
0.0057150572538375854,1046.0,,0.0,,104,1763260115.9844117,0.008660277351737022,90.39956665039062,0.0002980798890348524,0.5904377102851868,0.00048471614718437195,30.673731803894043,-0.01177525520324707,3328
,,208.0,,208.0,133,1763260117.7175236,,,,,,32.40684366226196,,5260
,,129.0,,129.0,147,1763260118.7368364,,,,,,33.426156520843506,,6404
,,184.0,,184.0,149,1763260118.8673508,,,,,,33.556670904159546,,6588
0.023275412619113922,1081.0,,0.0,,150,1763260118.9581742,-0.01055430993437767,77.981201171875,0.00029608295881189406,0.6196513175964355,0.0022168904542922974,33.647494316101074,0.29387110471725464,6656
0.004577711224555969,1084.0,,0.0,,155,1763260119.2947335,-0.0032953014597296715,130.33621215820312,0.0002958525437861681,0.5820448398590088,0.00010218191891908646,33.98405361175537,0.00031644105911254883,7040
,,306.0,,306.0,157,1763260119.4243548,,,,,,34.1136748790741,,7174
0.001879621297121048,1088.0,,0.0,,172,1763260120.446665,-0.00011493824422359467,125.35582733154297,0.0002950844937004149,0.5974582433700562,2.3560598492622375e-05,35.135985136032104,-0.011958837509155273,8320
,,243.0,,243.0,195,1763260122.520471,,,,,,37.20979118347168,,10085
,,166.0,,166.0,203,1763260123.2279162,,,,,,37.917236328125,,10564
,,82.0,,82.0,213,1763260124.1154747,,,,,,38.804794788360596,,11202
0.08782303333282471,982.0,,0.046875,,217,1763260124.5263379,-0.012008785270154476,102.86265563964844,0.0002931643684860319,0.5551908612251282,0.004761497490108013,39.21565794944763,-0.0162200927734375,11520
,,91.0,,91.0,228,1763260125.3401458,,,,,,40.02946591377258,,12287
,,77.0,,77.0,233,1763260125.7587152,,,,,,40.44803524017334,,12563
,,220.0,,220.0,251,1763260127.0508368,,,,,,41.74015688896179,,13831
0.0004835054278373718,975.0,,0.0,,259,1763260127.5052586,0.0003325054422020912,50.26490783691406,0.00029147465829737484,0.5101598501205444,5.454849451780319e-05,42.194578647613525,0.4103167653083801,14336
0.00035836733877658844,976.0,,0.0,,265,1763260127.876144,0.00043356791138648987,70.27057647705078,0.0002912442432716489,0.5166906118392944,4.507601261138916e-06,42.56546401977539,-0.003488898277282715,14720
-0.0004851147532463074,982.0,,0.0,,273,1763260128.445523,-0.0005794884636998177,43.1013298034668,0.0002908602182287723,0.5346568822860718,3.3723190426826477e-06,43.13484311103821,0.32993578910827637,15360
-0.002226009964942932,983.0,,0.0,,274,1763260128.5541677,0.004794520325958729,72.61643981933594,0.00029078341322019696,0.5368236303329468,0.00018312688916921616,43.24348783493042,0.6939624547958374,15488
,,242.0,,242.0,292,1763260129.7445664,,,,,,44.43388652801514,,16835
-0.007758375257253647,1001.0,,0.0,,321,1763260131.714521,0.005895260721445084,52.065494537353516,0.0002887096779886633,0.5154449939727783,0.00032788142561912537,46.40384101867676,0.2933674454689026,18944
-0.007697276771068573,1003.0,,0.0,,327,1763260132.197757,0.00028247199952602386,61.915401458740234,0.00028840245795436203,0.5462313890457153,0.0002563837915658951,46.88707709312439,0.745622992515564,19456
,,188.0,,188.0,330,1763260132.3456275,,,,,,47.034947633743286,,19670
0.0008121989667415619,1005.0,,0.0,,332,1763260132.5387056,-0.00030496902763843536,55.49641418457031,0.0002881720429286361,0.5271615982055664,1.905485987663269e-05,47.228025674819946,0.022736012935638428,19840
,,108.0,,108.0,337,1763260132.795479,,,,,,47.48479914665222,,20183
-0.0006089955568313599,1008.0,,0.009765625,,340,1763260132.991336,-0.0005330434069037437,54.267295837402344,0.0002878648228943348,0.5443379878997803,0.0034504011273384094,47.68065619468689,0.2639159560203552,20352
0.011196456849575043,1014.0,,0.001953125,,370,1763260134.8765185,0.002928381785750389,78.34614562988281,0.00028663594275712967,0.5777940154075623,0.0023222025483846664,49.56583857536316,0.5628740191459656,22400
,,117.0,,117.0,375,1763260135.107012,,,,,,49.796332120895386,,22668
-0.005352959036827087,1019.0,,0.0,,396,1763260136.2787175,0.00758371502161026,162.934326171875,0.0002857142826542258,0.4695659279823303,0.00014997832477092743,50.968037605285645,0.06360656023025513,23936
,,130.0,,130.0,425,1763260137.979684,,,,,,52.66900420188904,,25772
