global_step,losses/policy_loss,losses/entropy,losses/approx_kl,losses/clipfrac,_timestamp,charts/SPS,losses/explained_variance,losses/value_loss,charts/episodic_return,losses/old_approx_kl,_runtime,_step,charts/learning_rate,charts/episodic_length
0,,,,,1763260114.893615,,,,,,24.413103103637695,0,,
119,,,,,1763260120.3452334,,,,16.0,,29.864721536636353,7,,16.0
512,-0.0020902082324028015,0.6900299191474915,0.00046296417713165283,0.0,1763260122.6557057,158.0,0.016234219074249268,28.204221725463867,,0.002639627084136009,32.175193786621094,33,0.00029976959922350943,
640,0.0005440264940261841,0.6896646618843079,8.221715688705444e-05,0.0,1763260123.2839258,166.0,0.009124577045440674,28.90995216369629,,0.0019174721091985703,32.80341386795044,41,0.0002996927942149341,
768,-0.007254540920257568,0.685775876045227,0.0005872631445527077,0.0,1763260123.7989168,175.0,0.011672735214233398,40.72685623168945,,0.003279515542089939,33.31840491294861,47,0.0002996159892063588,
1113,,,,,1763260125.5427196,,,,24.0,,35.06220769882202,64,,24.0
1408,0.0016508065164089203,0.6352770328521729,0.0005834931507706642,0.0,1763260127.2413597,180.0,-0.005735993385314941,60.34630584716797,,-0.0053343987092375755,36.76084780693054,74,0.0002992319641634822,
1536,-0.010503962635993958,0.625155508518219,0.0002573961392045021,0.0,1763260127.8497422,182.0,0.01651906967163086,94.21430969238281,38.0,-0.0015820106491446495,37.36923027038574,77,0.00029915515915490687,38.0
2008,,,,,1763260129.499603,,,,50.0,,39.01909112930298,88,,50.0
2688,0.004486147314310074,0.5481774210929871,0.0001387735828757286,0.0,1763260131.6920364,219.0,-0.005377292633056641,122.54866027832031,,-0.002938295714557171,41.21152448654175,102,0.000298463914077729,
2816,-0.005129935219883919,0.559184730052948,0.0005936753004789352,0.0,1763260132.02245,223.0,0.049846768379211426,123.98799896240234,,-0.0012168437242507935,41.541938066482544,104,0.00029838710906915367,
4992,0.001066252589225769,0.551216721534729,0.00022020284086465836,0.0,1763260137.3249624,279.0,-0.02683234214782715,120.73179626464844,,-0.006592464633285999,46.8444504737854,133,0.0002970814239233732,
6144,0.0002769678831100464,0.590368390083313,0.00010778196156024933,0.0,1763260140.0465202,298.0,0.40653908252716064,136.46572875976562,,9.981915354728699e-06,49.56600832939148,147,0.00029639017884619534,
6271,,,,,1763260140.1768486,,,,104.0,,49.69633674621582,149,,104.0
6272,0.0071656107902526855,0.5740819573402405,0.0010669874027371407,0.0,1763260140.4412172,298.0,0.3805088996887207,86.15628814697266,,-0.007805231027305126,49.960705280303955,150,0.00029631337383762,
6656,-0.005287196487188339,0.5955478549003601,0.00021229032427072525,0.0,1763260141.348515,303.0,0.26852136850357056,79.91739654541016,,0.0048968615010380745,50.868003129959106,155,0.00029608295881189406,
6912,-0.0073485225439071655,0.6188015937805176,0.00018145795911550522,0.0,1763260141.8839846,307.0,0.05010944604873657,128.8063201904297,,0.004121282137930393,51.403472661972046,157,0.0002959293487947434,
8192,-0.0004645809531211853,0.5835509300231934,0.00021955091506242752,0.0,1763260144.9258678,321.0,-0.0035355091094970703,113.71923828125,,0.004924441687762737,54.4453558921814,172,0.0002951612987089902,
10240,-0.002138148993253708,0.6169346570968628,0.00014974083751440048,0.0,1763260149.441381,341.0,0.07944178581237793,114.67298889160156,,0.001196729950606823,58.9608690738678,195,0.0002939324185717851,
10880,0.00012002699077129364,0.5406025052070618,3.5468488931655884e-05,0.0,1763260150.8342528,346.0,0.00844109058380127,102.42250061035156,,-0.0011110231280326843,60.35374093055725,203,0.0002935483935289085,
11723,,,,,1763260152.5953336,,,,175.0,,62.114821672439575,213,,175.0
12018,,,,,1763260153.218441,,,,126.0,,62.73792910575867,217,,126.0
12903,,,,,1763260155.020705,,,,246.0,,64.5401930809021,228,,246.0
