_runtime,charts/episodic_length,losses/policy_loss,losses/old_approx_kl,_step,_timestamp,losses/entropy,charts/episodic_return,charts/SPS,losses/value_loss,charts/learning_rate,losses/explained_variance,global_step,losses/approx_kl,losses/clipfrac
25.666476011276245,,,,0,1763260111.011931,,,,,,,0,,
27.673176765441895,37.0,,,7,1763260113.0186317,,37.0,,,,,171,,
28.202842950820923,54.0,,,33,1763260113.548298,,54.0,,,,,767,,
28.410640478134155,18.0,,,41,1763260113.7560954,,18.0,,,,,944,,
28.532752513885498,36.0,,,47,1763260113.8782074,,36.0,,,,,1077,,
29.054022312164307,56.0,,,64,1763260114.3994772,,56.0,,,,,1662,,
29.46570611000061,,0.008204186335206032,0.0027329204604029655,74,1763260114.811161,0.6506856679916382,,1021.0,68.65099334716797,0.0002988479391206056,-0.13652896881103516,2048,0.0007041012868285179,0.0
29.58217740058899,,-0.003918128088116646,-0.0013014227151870728,77,1763260114.9276323,0.6276931762695312,,1025.0,97.18798828125,0.00029877113411203027,0.021155476570129395,2176,0.0002252776175737381,0.0
29.959395170211792,122.0,,,88,1763260115.30485,,122.0,,,,,2663,,
30.63979458808899,49.0,,,102,1763260115.9852495,,49.0,,,,,3371,,
30.73824405670166,,0.00197778083384037,-0.0014855554327368736,104,1763260116.083699,0.6196293830871582,,1054.0,67.92658996582031,0.00029800308402627707,-0.01752793788909912,3456,0.00022484827786684036,0.0
32.24580907821655,,0.0011677611619234085,-0.0003051450476050377,133,1763260117.591264,0.5802496075630188,,1069.0,63.264732360839844,0.0002970046189147979,0.032232701778411865,5120,5.126930773258209e-06,0.0
33.02679419517517,,0.00039454083889722824,-0.0022424282506108284,147,1763260118.3722491,0.6471977829933167,,1080.0,141.63780212402344,0.00029646698385477066,-0.00661623477935791,6016,2.505909651517868e-05,0.0
33.160502672195435,,0.0031710900366306305,-0.0001730397343635559,149,1763260118.5059576,0.6171674728393555,,1077.0,77.58514404296875,0.00029639017884619534,0.055388689041137695,6144,0.00015765056014060974,0.0
33.16351675987244,53.0,,,150,1763260118.5089717,,53.0,,,,,6148,,
33.49623394012451,,0.0229170098900795,-0.016038306057453156,155,1763260118.8416889,0.5971083045005798,,1081.0,85.27996826171875,0.0002961597638204694,0.05703526735305786,6528,0.0029430175200104713,0.0
33.613290786743164,166.0,,,157,1763260118.9587457,,166.0,,,,,6666,,
34.52585458755493,245.0,,,172,1763260119.8713095,,245.0,,,,,7700,,
36.377338886260986,126.0,,,195,1763260121.7227938,,126.0,,,,,9431,,
37.015939235687256,24.0,,,203,1763260122.3613942,,24.0,,,,,9917,,
38.13204598426819,,-0.000902026891708374,-0.0033256961032748222,213,1763260123.477501,0.6017090678215027,,1007.0,77.61251068115234,0.0002936251985374838,0.42171841859817505,10752,0.0001144232228398323,0.0
38.48709845542908,149.0,,,217,1763260123.8325534,,149.0,,,,,11047,,
39.35708951950073,103.0,,,228,1763260124.7025445,,103.0,,,,,11724,,
39.71041679382324,34.0,,,233,1763260125.0558717,,34.0,,,,,11937,,
41.05003833770752,194.0,,,251,1763260126.3954933,,194.0,,,,,13078,,
41.66977262496948,,-0.005927518010139465,0.0004117581993341446,259,1763260127.0152276,0.5625960230827332,,963.0,76.37187957763672,0.00029185868334025145,0.17513364553451538,13696,0.0001967642456293106,0.0
42.01627016067505,,0.002795994281768799,-0.002345755696296692,265,1763260127.361725,0.5928009152412415,,967.0,58.32633972167969,0.0002916282683145255,0.13676440715789795,14080,9.15229320526123e-05,0.0
42.47877025604248,186.0,,,273,1763260127.8242252,,186.0,,,,,14636,,
42.502262115478516,70.0,,,274,1763260127.847717,,70.0,,,,,14706,,
43.88758182525635,,-0.0006270930171012878,-0.0018093707039952278,292,1763260129.2330368,0.6170783042907715,,981.0,78.79759216308594,0.00029039938817732036,0.012534916400909424,16128,4.0017999708652496e-05,0.0
45.732102394104004,116.0,,,321,1763260131.0775573,,116.0,,,,,18178,,
46.11646223068237,,-0.0005495287477970123,0.0019389400258660316,327,1763260131.4619172,0.5254620313644409,,994.0,74.54202270507812,0.0002889400930143893,0.27896785736083984,18560,0.0005117235705256462,0.0
46.250386238098145,129.0,,,330,1763260131.5958412,,129.0,,,,,18743,,
46.350470781326294,91.0,,,332,1763260131.6959257,,91.0,,,,,18834,,
46.59023094177246,82.0,,,337,1763260131.9356859,,82.0,,,,,19131,,
46.71260213851929,80.0,,,340,1763260132.058057,,80.0,,,,,19288,,
48.26470637321472,,0.0008887127041816711,0.000678657554090023,370,1763260133.6101613,0.5384990572929382,,1002.0,53.59776306152344,0.0002875576028600335,0.4155758023262024,20864,1.1335127055644989e-05,0.0
49.49282169342041,137.0,,,396,1763260134.8382766,,137.0,,,,,22250,,
51.136924505233765,,-0.008271601051092148,0.009207045659422874,425,1763260136.4823794,0.6102726459503174,,1010.0,30.711963653564453,0.0002857142826542258,0.797698438167572,23936,0.0001943930983543396,0.0
52.194931983947754,,-0.005027741193771362,0.004491313360631466,441,1763260137.540387,0.605880618095398,,1014.0,26.333688735961914,0.00028502303757704794,0.6117100715637207,25088,0.0005386387929320335,0.0
52.91013813018799,,0.012649938464164734,-0.004180360585451126,450,1763260138.255593,0.6106286644935608,,1015.0,34.387046813964844,0.000284562207525596,0.9347108006477356,25856,0.0023406725376844406,0.0
54.29311275482178,64.0,,,471,1763260139.6385677,,64.0,,,,,27396,,
55.002405405044556,,-0.00029242783784866333,0.0023908233270049095,481,1763260140.3478603,0.6248140335083008,,1022.0,245.92384338378906,0.00028317971737124026,0.03452271223068237,28160,4.6751461923122406e-05,0.0
