losses/approx_kl,losses/clipfrac,_step,charts/episodic_length,charts/episodic_return,_timestamp,losses/entropy,_runtime,charts/SPS,losses/policy_loss,charts/learning_rate,losses/value_loss,losses/old_approx_kl,losses/explained_variance,global_step
,,0,,,1763260110.1382241,,25.200509071350098,,,,,,,0
0.0002931952476501465,0.0,7,,,1763260113.000121,0.6928693056106567,28.062406063079834,657.0,-0.0003297552466392517,0.0003000000142492354,54.70069122314453,0.0008959975093603134,0.013258934020996094,128
,,33,12.0,12.0,1763260113.5428371,,28.605122089385986,,,,,,,737
,,41,46.0,46.0,1763260113.7675326,,28.829817533493042,,,,,,,961
,,47,77.0,77.0,1763260113.901771,,28.96405601501465,,,,,,,1134
,,64,23.0,23.0,1763260114.3796885,,29.441973447799683,,,,,,,1651
,,74,18.0,18.0,1763260114.7333684,,29.795653343200684,,,,,,,1983
,,77,70.0,70.0,1763260114.8582177,,29.92050266265869,,,,,,,2148
0.0011429982259869576,0.0,88,,,1763260115.3859496,0.570283055305481,30.44823455810547,1041.0,0.004296507686376572,0.000298463914077729,72.170654296875,0.010987001471221447,0.016415059566497803,2688
0.0011266404762864113,0.0,102,,,1763260116.1936722,0.5596649050712585,31.25595712661743,1057.0,-0.019115814939141273,0.00029792627901770175,112.64110565185547,0.013472877442836761,0.04318666458129883,3584
0.0014004847034811974,0.0,104,,,1763260116.3119075,0.5944898128509521,31.374192476272583,1058.0,-0.006026245653629303,0.0002978494740091264,91.62100982666016,0.015575860626995564,0.04258847236633301,3712
,,133,230.0,230.0,1763260118.1965644,,33.25884938240051,,,,,,,5876
0.0002902373671531677,0.0,147,,,1763260119.1832497,0.5582476854324341,34.24553465843201,1083.0,-0.002268478274345398,0.0002959293487947434,75.11407470703125,0.00555361807346344,0.2978833317756653,6912
0.0008271867409348488,0.0,149,,,1763260119.295778,0.5791897773742676,34.358062982559204,1084.0,0.015591666102409363,0.0002958525437861681,78.29476165771484,-0.010430428199470043,0.4348222613334656,7040
0.0016552219167351723,0.0,150,,,1763260119.4049218,0.55571448802948,34.467206716537476,1086.0,-0.009588874876499176,0.0002957757387775928,122.0595703125,0.012265030294656754,-0.015184283256530762,7168
0.00014176126569509506,0.0,155,,,1763260119.7570941,0.5674660801887512,34.81937909126282,1086.0,2.053380012512207e-05,0.0002955453237518668,114.06148529052734,-1.1126510798931122e-05,-0.004114508628845215,7552
,,157,265.0,265.0,1763260119.8756628,,34.93794775009155,,,,,,,7700
0.0003329440951347351,0.0,172,,,1763260121.3936663,0.5843096375465393,36.45595121383667,1043.0,0.003158699721097946,0.0002947004686575383,90.19532775878906,0.002551402896642685,-0.00043845176696777344,8960
,,195,129.0,129.0,1763260123.8698995,,38.93218445777893,,,,,,,10783
,,203,308.0,308.0,1763260124.7652147,,39.82749962806702,,,,,,,11443
0.00023851823061704636,0.0,213,,,1763260125.7998714,0.5523626208305359,40.8621563911438,935.0,0.0002718493342399597,0.0002927803434431553,61.416725158691406,0.0027344757691025734,0.2540813088417053,12160
0.00019974913448095322,0.0,217,,,1763260126.2603457,0.594897449016571,41.322630643844604,932.0,0.007410762831568718,0.00029254992841742933,82.17164611816406,-0.005571202374994755,0.4326885938644409,12544
0.0003961930051445961,0.0,228,,,1763260127.204839,0.5871739983558655,42.26712393760681,933.0,0.0018411679193377495,0.0002920122933574021,48.731441497802734,-0.003438062034547329,0.27438855171203613,13440
4.591420292854309e-05,0.0,233,,,1763260127.6120245,0.5813140273094177,42.674309492111206,933.0,-0.0028669238090515137,0.0002917818783316761,87.90585327148438,0.001753067597746849,0.01470494270324707,13824
7.681827992200851e-05,0.0,251,,,1763260128.9757907,0.5994231104850769,44.0380756855011,941.0,0.0012820512056350708,0.0002909370232373476,47.76520538330078,0.0008321525529026985,0.14874762296676636,15232
