losses/approx_kl,losses/clipfrac,_step,charts/episodic_length,charts/episodic_return,_timestamp,losses/entropy,_runtime,charts/SPS,losses/policy_loss,charts/learning_rate,losses/value_loss,losses/old_approx_kl,losses/explained_variance,global_step
,,259,183.0,183.0,1763260129.560486,,44.62277102470398,,,,,,,15848
,,265,127.0,127.0,1763260129.8992054,,44.96149039268494,,,,,,,16222
4.584901034832001e-06,0.0,273,,,1763260130.4279742,0.5929936170578003,45.49025917053223,951.0,-0.00024301372468471527,0.00029001536313444376,75.71128845214844,0.00025526341050863266,0.27071893215179443,16768
,,274,120.0,120.0,1763260130.4443705,,45.50665545463562,,,,,,,16813
7.53011554479599e-05,0.0,292,,,1763260131.7514951,0.5605906844139099,46.813780069351196,959.0,0.00125136598944664,0.00028917050804011524,52.43843460083008,-0.0005806032568216324,0.012543082237243652,18176
,,321,78.0,78.0,1763260133.516579,,48.578863859176636,,,,,,,20223
0.0001263655722141266,0.0,327,,,1763260133.9676352,0.5736165046691895,49.02992010116577,973.0,-0.001797940582036972,0.00028771121287718415,95.3153305053711,-0.0023741070181131363,0.05802065134048462,20608
9.673647582530975e-06,0.0,330,,,1763260134.0841944,0.5294286608695984,49.14647936820984,974.0,-0.0008679777383804321,0.00028763440786860883,124.40518951416016,0.00046195928007364273,0.4531100392341614,20736
1.9958242774009705e-06,0.0,332,,,1763260134.1968377,0.5642025470733643,49.25912261009216,975.0,-0.0002609267830848694,0.0002875576028600335,46.677791595458984,0.00014204438775777817,0.5151950120925903,20864
,,337,118.0,118.0,1763260134.4932115,,49.55549645423889,,,,,,,21237
8.65226611495018e-05,0.0,340,,,1763260134.7009323,0.5827538967132568,49.76321721076965,976.0,0.0004976168274879456,0.00028725038282573223,32.86225509643555,-0.0004046903923153877,0.5013445615768433,21376
,,370,98.0,98.0,1763260136.7257607,,51.78804564476013,,,,,,,23437
0.0005482248961925507,0.0,375,,,1763260137.1267943,0.5704299807548523,52.18907928466797,978.0,-0.007130403071641922,0.00028579108766280115,14.18348503112793,-0.002203594893217087,0.9535591006278992,23808
0.00011521764099597931,0.0,396,,,1763260138.6202826,0.5126197338104248,53.68256759643555,986.0,0.0006356276571750641,0.000284792622551322,35.321327209472656,0.0020280051976442337,0.8426070809364319,25472
,,425,133.0,133.0,1763260140.5014596,,55.56374454498291,,,,,,,27531
1.2367963790893555e-06,0.0,441,,,1763260141.7704563,0.5799964666366577,56.832741260528564,998.0,-0.00023290328681468964,0.00028271888731978834,25.06780433654785,-1.4565885066986084e-06,-0.023483633995056152,28928
,,450,141.0,141.0,1763260142.2799652,,57.34225010871887,,,,,,,29520
3.6724843084812164e-05,0.0,471,,,1763260144.0793428,0.6019277572631836,59.1416277885437,1006.0,0.0018196627497673035,0.00028118278714828193,21.732839584350586,0.0005920873954892159,-0.008076190948486328,31488
,,481,269.0,269.0,1763260144.7957852,,59.85807013511658,,,,,,,32274
,,490,283.0,283.0,1763260145.521007,,60.58329200744629,,,,,,,33102
1.1641532182693481e-05,0.0,504,,,1763260146.6482964,0.5450032353401184,61.71058130264282,1013.0,0.00022098422050476074,0.0002794930769596249,14.142192840576172,0.0003872271627187729,0.4622431993484497,34304
,,515,185.0,185.0,1763260147.330786,,62.393070936203,,,,,,,35098
,,530,129.0,129.0,1763260148.3844223,,63.446707248687744,,,,,,,36275
,,539,91.0,91.0,1763260149.087172,,64.14945697784424,,,,,,,37040
0.003598748706281185,0.0,547,,,1763260149.7763338,0.6187257170677185,64.83861875534058,1021.0,-0.0016920268535614014,0.00027741934172809124,18.2852840423584,0.014766794629395008,0.6956340074539185,37760
,,555,337.0,337.0,1763260150.339538,,65.40182304382324,,,,,,,38416
,,559,242.0,242.0,1763260150.5812252,,65.64351010322571,,,,,,,38727
,,568,99.0,99.0,1763260151.1880794,,66.25036430358887,,,,,,,39391
,,595,500.0,500.0,1763260153.4857183,,68.54800319671631,,,,,,,41889
0.0002980111166834831,0.0,612,,,1763260154.9666073,0.5296931862831116,70.02889227867126,1032.0,0.009360263124108315,0.0002739631454460323,7.0643415451049805,0.006716419942677021,0.5535762906074524,43520
,,614,500.0,500.0,1763260155.0870497,,70.14933466911316,,,,,,,43672
0.0022919662296772003,0.0,630,,,1763260156.541725,0.5547831058502197,71.60400986671448,1036.0,-0.012402087450027466,0.0002728878753259778,6.145618915557861,0.022779276594519615,0.6546601057052612,45312
,,636,351.0,351.0,1763260157.0370028,,72.09928774833679,,,,,,,45900
0.00037204474210739136,0.0,640,,,1763260157.4520602,0.4893236756324768,72.51434516906738,1037.0,-0.004340559244155884,0.00027227343525737524,6.709346294403076,-0.005165573209524155,0.03710132837295532,46336
,,650,211.0,211.0,1763260158.18474,,73.24702501296997,,,,,,,47213
,,664,433.0,433.0,1763260159.3956277,,74.45791268348694,,,,,,,48524
0.002974436618387699,0.00390625,684,,,1763260161.2788744,0.5133683085441589,76.34115934371948,1043.0,0.01952245831489563,0.00026973886997438967,213.91574096679688,-0.012949931435286999,0.011287033557891846,50560
0.00013352278620004654,0.0,689,,,1763260161.7731354,0.5378497242927551,76.83542037010193,1042.0,-0.001254931092262268,0.0002694316499400884,333.2613830566406,0.0028494196012616158,0.0045250654220581055,51072
,,698,500.0,500.0,1763260162.78508,,77.84736490249634,,,,,,,51978
,,702,500.0,500.0,1763260163.3180938,,78.38037872314453,,,,,,,52478
0.001972595229744911,0.0078125,707,,,1763260163.9349492,0.5496777296066284,78.99723410606384,1033.0,-0.005625344812870026,0.0002683563798200339,93.41736602783203,0.0019254963845014572,0.0751420259475708,52864
0.0002534473314881325,0.0,729,,,1763260166.0384786,0.5510621666908264,81.10076355934143,1033.0,-0.00211917981505394,0.00026705069467425346,2.5541961193084717,0.0035433759912848473,-0.21806871891021729,55040
7.83456489443779e-05,0.0,757,,,1763260168.4408112,0.5672088265419006,83.50309610366821,1037.0,0.0007883794605731964,0.00026543778949417174,343.51824951171875,0.0002152537927031517,0.008117437362670898,57728
0.0001149158924818039,0.0,762,,,1763260168.9199755,0.6046302914619446,83.98226046562195,1037.0,-0.0017897933721542358,0.00026513056945987046,114.9321060180664,0.0007696114480495453,-0.002001643180847168,58240
4.872772842645645e-05,0.0,767,,,1763260169.2552714,0.5247974395751953,84.31755638122559,1038.0,-0.004199668765068054,0.0002649001544341445,529.3137817382812,0.001924934796988964,0.0005609393119812012,58624
0.0024489443749189377,0.0,775,,,1763260169.9655344,0.5647504329681396,85.02781939506531,1039.0,0.0002248138189315796,0.0002644393243826926,1.5543653964996338,-0.00370761938393116,-0.41640937328338623,59392
,,788,210.0,210.0,1763260170.9251776,,85.98746252059937,,,,,,,60505
8.533895015716553e-05,0.0,789,,,1763260171.0113978,0.535369873046875,86.07368278503418,1040.0,-0.004602055996656418,0.0002637480793055147,348.62548828125,0.003802044317126274,-0.002207040786743164,60544
0.00010184105485677719,0.0,797,,,1763260171.676633,0.5172657370567322,86.7389178276062,1041.0,-0.0009120255708694458,0.00026328724925406277,1.3219605684280396,0.00025423336774110794,0.472465455532074,61312
5.949009209871292e-05,0.0,806,,,1763260172.494631,0.5282117128372192,87.55691599845886,1042.0,-0.00026192888617515564,0.00026274961419403553,1.1281676292419434,-0.001440088264644146,-0.12150394916534424,62208
4.2263418436050415e-05,0.0,815,,,1763260173.1979146,0.5104272365570068,88.26019954681396,1042.0,-0.0007217712700366974,0.0002622887841425836,196.88299560546875,-0.0007853452116250992,0.023075222969055176,62976
0.0002964036539196968,0.0,863,,,1763260177.3928719,0.49458974599838257,92.4551568031311,1046.0,-0.0006195977330207825,0.0002595238038338721,0.4422222971916199,0.005463919602334499,0.048426687717437744,67584
3.805570304393768e-05,0.0,872,,,1763260178.1676486,0.5478784441947937,93.22993350028992,1047.0,0.0028738565742969513,0.00025898616877384484,0.28904402256011963,0.0008982717990875244,-0.14433503150939941,68480
0.0009755911305546761,0.001953125,876,,,1763260178.5366924,0.5484133362770081,93.5989773273468,1047.0,0.004506595432758331,0.0002587557537481189,290.8180236816406,-0.004144852049648762,-0.0010128021240234375,68864
5.378853529691696e-05,0.0,916,,,1763260181.9790852,0.5008803009986877,97.04137015342712,1051.0,0.0014011301100254059,0.00025645160349085927,0.022713935002684593,-0.0006056996062397957,-0.021024465560913086,72704
0.0019946033135056496,0.0,922,,,1763260182.5646315,0.4519215524196625,97.62691640853882,1051.0,-0.007899371907114983,0.00025606757844798267,0.004211632534861565,-0.010246661491692066,0.25440436601638794,73344
0.00039760395884513855,0.0,930,,,1763260183.238163,0.49241939187049866,98.30044794082642,1052.0,0.004763573408126831,0.00025560674839653075,288.66900634765625,-0.0015026852488517761,0.07581770420074463,74112
,,938,500.0,500.0,1763260183.9776416,,99.03992652893066,,,,,,,75005
0.001908598467707634,0.001953125,941,,,1763260184.2707014,0.48206382989883423,99.33298635482788,1053.0,0.005558054894208908,0.00025491550331935287,0.0004440450866241008,0.01141541451215744,0.5790327787399292,75264
1.4390796422958374e-05,0.0,942,,,1763260184.3807244,0.4491841793060303,99.44300937652588,1053.0,-0.0006071627140045166,0.00025483869831077754,0.0007071789004839957,-0.0006214678287506104,-0.5777937173843384,75392
,,948,500.0,500.0,1763260184.8935957,,99.95588064193726,,,,,,,76005
0.0008591078221797943,0.0,974,,,1763260187.2598388,0.5004680752754211,102.32212376594543,1055.0,-0.0023679882287979126,0.00025291857309639454,591.9998779296875,0.003745580092072487,-0.00023543834686279297,78592
0.0006420798599720001,0.0,980,,,1763260187.846472,0.4791623651981354,102.90875697135925,1055.0,-0.010691061615943909,0.00025253454805351794,0.004667578265070915,-6.416812539100647e-06,-1.942276954650879,79232
0.0030671777203679085,0.009765625,985,,,1763260188.2905192,0.426816463470459,103.35280418395996,1056.0,0.005356844514608383,0.00025222732801921666,0.004880374297499657,0.012830431573092937,-0.09224963188171387,79744
0.004917316138744354,0.009765625,995,,,1763260189.2059784,0.46042245626449585,104.26826333999634,1057.0,-0.005627922713756561,0.00025161291705444455,0.0005701470072381198,-0.011421626433730125,0.058179497718811035,80768
,,997,500.0,500.0,1763260189.353961,,104.41624593734741,,,,,,,81005
0.000793718732893467,0.0,1015,,,1763260191.0511599,0.44430071115493774,106.11344480514526,1058.0,-0.002844773232936859,0.00025038403691723943,0.0005930089391767979,0.009274001233279705,-0.49633026123046875,82816
0.005271598696708679,0.005859375,1020,,,1763260191.492552,0.4666743874549866,106.5548369884491,1058.0,-0.03003641590476036,0.00025007681688293815,0.00044475411414168775,0.029697181656956673,-0.41194701194763184,83328
0.007770167663693428,0.021484375,1031,,,1763260192.524575,0.44339752197265625,107.58685994148254,1059.0,0.005472850054502487,0.00024938557180576026,0.0004068000998813659,0.04054480791091919,-0.6642898321151733,84480
0.0014911461621522903,0.0,1050,,,1763260194.2535872,0.507349967956543,109.31587219238281,1060.0,0.008620969951152802,0.00024823349667713046,0.0002242213668068871,0.004752118140459061,-0.35113370418548584,86400
6.910040974617004e-05,0.0,1053,,,1763260194.475817,0.6096897125244141,109.5381019115448,1061.0,-0.00021810270845890045,0.0002480798866599798,0.004625656642019749,-0.0023809578269720078,-0.32023847103118896,86656
0.0006182808429002762,0.0,1058,,,1763260194.9505017,0.5596848726272583,110.0127866268158,1061.0,-0.002962246537208557,0.00024777266662567854,0.005194819066673517,0.006973396986722946,-0.02991306781768799,87168
0.0008067050948739052,0.0078125,1083,,,1763260197.257368,0.5624626874923706,112.3196530342102,1062.0,-0.00839788094162941,0.00024623656645417213,0.00031231986940838397,-0.0031892238184809685,-0.4620242118835449,89728
0.00020342599600553513,0.0,1091,,,1763260197.9279072,0.5505311489105225,112.9901921749115,1063.0,-0.0027048401534557343,0.0002457757364027202,719.2207641601562,0.004572083242237568,-0.00036835670471191406,90496
,,1106,500.0,500.0,1763260199.3669174,,114.42920231819153,,,,,,,92136
0.005138436332345009,0.037109375,1118,,,1763260200.481056,0.5000027418136597,115.54334092140198,1064.0,0.002531725913286209,0.00024408602621406317,0.0007964752148836851,-0.031608209013938904,-0.13252782821655273,93312
,,1125,500.0,500.0,1763260201.0687568,,116.13104176521301,,,,,,,94052
0.007860180921852589,0.017578125,1133,,,1763260201.8455877,0.4774046242237091,116.90787267684937,1065.0,-0.013563370332121849,0.00024316436611115932,0.0007659698603674769,0.030261866748332977,-0.14875876903533936,94848
,,1145,500.0,500.0,1763260202.8932083,,117.95549321174622,,,,,,,96052
0.004794851876795292,0.005859375,1164,,,1763260204.7163346,0.509157657623291,119.77861952781677,1066.0,-0.026094529777765274,0.00024124424089677632,0.00020770910487044603,0.024605825543403625,-0.022052526473999023,98048
,,1165,500.0,500.0,1763260204.718711,,119.78099584579468,,,,,,,98052
0.0089134331792593,0.021484375,1172,,,1763260205.410293,0.5565287470817566,120.47257804870605,1067.0,-0.014709447510540485,0.0002407834108453244,0.0006078435690142214,0.054201893508434296,0.11375778913497925,98816
0.003148972988128662,0.00390625,1181,,,1763260206.1951911,0.4884151220321655,121.25747609138489,1067.0,-0.004673376679420471,0.00024024577578529716,0.00493803434073925,-0.017633559182286263,0.17366939783096313,99712
0.00012867897748947144,0.0,1186,,,1763260206.6713746,0.5077674388885498,121.73365950584412,1067.0,-0.0006400197744369507,0.00023993855575099587,0.006229490973055363,-0.0026678163558244705,0.0828399658203125,100224
0.0005700476467609406,0.0,1197,,,1763260207.702339,0.4467400908470154,122.76462388038635,1068.0,-0.003746211528778076,0.000239247310673818,0.0003750653122551739,-0.0047426167875528336,-0.5581300258636475,101376
0.0032264012843370438,0.013671875,1213,,,1763260209.175408,0.541292130947113,124.23769283294678,1069.0,0.0033794082701206207,0.00023824884556233883,0.00024391955230385065,-0.0038045570254325867,0.07925993204116821,103040
0.0004644300788640976,0.0,1215,,,1763260209.2892756,0.5232235193252563,124.35156059265137,1069.0,0.010473527014255524,0.0002381720405537635,545.9973754882812,0.001394929364323616,1.3768672943115234e-05,103168
0.004239535890519619,0.0,1226,,,1763260210.428479,0.5672922730445862,125.49076390266418,1069.0,-0.008524689823389053,0.0002374039904680103,0.0002405032719252631,-0.006957848556339741,0.24272644519805908,104448
0.00014770589768886566,0.0,1230,,,1763260210.797411,0.5877171158790588,125.85969591140747,1069.0,-0.006113868206739426,0.00023717357544228435,0.00044253331725485623,0.006368760019540787,0.032738327980041504,104832
0.003204827196896076,0.005859375,1234,,,1763260211.128935,0.600544810295105,126.19122004508972,1070.0,0.0033165328204631805,0.00023694316041655838,0.00038264936301857233,0.010189448483288288,-0.003064751625061035,105216
0.0027186330407857895,0.0,1245,,,1763260212.159514,0.5669424533843994,127.22179889678955,1070.0,0.016546141356229782,0.0002362519153393805,0.0001884230150608346,-0.02062172256410122,-0.24083364009857178,106368
0.002560041844844818,0.001953125,1254,,,1763260212.9714015,0.5822008848190308,128.03368639945984,1070.0,-0.011454819701611996,0.00023571428027935326,0.0005544353625737131,-0.003562323749065399,-0.04624009132385254,107264
0.00019552651792764664,0.0,1271,,,1763260214.4507697,0.5920610427856445,129.5130546092987,1071.0,-0.0028216466307640076,0.0002347158151678741,322.3329162597656,-0.0010616062209010124,1.9073486328125e-05,108928
2.361088991165161e-05,0.0,1299,,,1763260217.1032977,0.5701112151145935,132.16558265686035,1072.0,-0.00041025876998901367,0.00023294931452255696,0.00016806575877126306,0.0006206147372722626,0.09886008501052856,111872
,,1339,500.0,500.0,1763260220.7065017,,135.76878666877747,,,,,,,115856
0.0009961845353245735,0.0,1340,,,1763260220.811742,0.5715828537940979,135.8740270137787,1073.0,0.0030807368457317352,0.0002304915542481467,151.08226013183594,0.002321365289390087,-0.00011432170867919922,115968
0.00018114876002073288,0.0,1349,,,1763260221.6229594,0.5431389212608337,136.68524432182312,1073.0,-0.003200128674507141,0.00022995391918811947,805.5972900390625,-0.002557002939283848,5.40614128112793e-05,116864
,,1363,500.0,500.0,1763260222.9161224,,137.9784073829651,,,,,,,118356
0.0008106045424938202,0.0,1365,,,1763260223.1140094,0.5345712900161743,138.17629432678223,1074.0,-0.0015790760517120361,0.0002289554540766403,0.006384255364537239,0.004286443814635277,-0.03590822219848633,118528
0.00010444130748510361,0.0,1370,,,1763260223.5931525,0.5193890333175659,138.65543746948242,1074.0,0.001621246337890625,0.00022864823404233903,0.005675371270626783,0.0003799004480242729,-0.10883700847625732,119040
0.00048049166798591614,0.0,1380,,,1763260224.5387511,0.573849618434906,139.60103607177734,1074.0,-0.0043132975697517395,0.00022803379397373646,0.004278095439076424,0.001384211704134941,-0.1136704683303833,120064
0.0029056183993816376,0.001953125,1381,,,1763260224.6470802,0.4932311177253723,139.70936512947083,1074.0,0.00032806210219860077,0.00022795698896516114,0.0004427855310495943,0.0176431592553854,-0.2788888216018677,120192
,,1388,500.0,500.0,1763260225.2090983,,140.27138328552246,,,,,,,120856
0.00471121072769165,0.0078125,1395,,,1763260225.9237309,0.48770269751548767,140.98601579666138,1074.0,-0.005173936486244202,0.00022711213387083262,0.0056721530854702,0.009476382285356522,0.24460607767105103,121600
7.7858567237854e-05,0.0,1399,,,1763260226.4252393,0.5572106838226318,141.48752427101135,1074.0,0.0016765594482421875,0.00022680491383653134,0.0008055447251535952,-0.0012284070253372192,0.2183089256286621,122112
0.0007507847622036934,0.0,1405,,,1763260227.0006542,0.5576370358467102,142.0629391670227,1074.0,0.0032630227506160736,0.00022642088879365474,0.00021977387950755656,0.013131367973983288,-0.28231048583984375,122752
0.000335165299475193,0.0,1432,,,1763260229.4772246,0.5357904434204102,144.53950953483582,1075.0,0.007587321102619171,0.00022480798361357301,298.57257080078125,0.006392487324774265,7.647275924682617e-05,125440
0.0004708021879196167,0.0,1433,,,1763260229.5915613,0.5767621994018555,144.6538462638855,1075.0,-8.146464824676514e-05,0.0002247311786049977,0.004559047985821962,0.0008285120129585266,-0.03799593448638916,125568
,,1455,500.0,500.0,1763260231.585456,,146.64774084091187,,,,,,,127856
0.0008883969858288765,0.0,1456,,,1763260231.6593802,0.5214812159538269,146.72166514396667,1075.0,-0.002614308148622513,0.00022334868845064193,446.8752136230469,0.008198446594178677,4.035234451293945e-05,127872
0.000371723435819149,0.0,1457,,,1763260231.7693038,0.6273598670959473,146.8315887451172,1075.0,-0.009772216901183128,0.0002232718834420666,0.006408088840544224,0.002280985005199909,-0.07389259338378906,128000
0.0003839917480945587,0.0,1514,,,1763260236.9432046,0.5613265633583069,152.0054895877838,1077.0,0.0017342716455459595,0.00021981567260809243,0.00046724866842851043,0.0003502126783132553,0.051102399826049805,133760
0.000819728709757328,0.0,1521,,,1763260237.496873,0.5483696460723877,152.55915784835815,1077.0,0.0028677135705947876,0.00021943164756521583,201.3154296875,0.016143687069416046,0.00010073184967041016,134400
,,1525,500.0,500.0,1763260237.8706043,,152.93288922309875,,,,,,,134804
0.00017467234283685684,0.0,1527,,,1763260238.0828726,0.5039228796958923,153.1451575756073,1077.0,-5.8803707361221313e-05,0.00021904762252233922,0.006338787265121937,-0.0032510729506611824,-0.6087856292724609,135040
0.0019063958898186684,0.001953125,1529,,,1763260238.304149,0.5377987027168274,153.36643385887146,1078.0,-0.013446062803268433,0.00021889401250518858,0.0002154732501367107,0.02312915399670601,-0.08403825759887695,135296
,,1534,500.0,500.0,1763260238.6773965,,153.73968148231506,,,,,,,135804
5.359575152397156e-05,0.0,1536,,,1763260238.8964078,0.4920536279678345,153.95869278907776,1078.0,-0.0008177980780601501,0.00021850998746231198,0.005125857889652252,0.0038102995604276657,-0.06415224075317383,135936
0.0005148276686668396,0.0,1543,,,1763260239.5577786,0.4811984896659851,154.6200635433197,1078.0,-0.004013724625110626,0.00021804915741086006,0.00018308374274056405,-0.005376257002353668,0.028172791004180908,136704
0.00043596792966127396,0.0,1545,,,1763260239.6700187,0.5444959402084351,154.73230361938477,1078.0,-0.0014232955873012543,0.00021797235240228474,606.6157836914062,-0.0007771803066134453,-2.849102020263672e-05,136832
0.00027472153306007385,0.0,1546,,,1763260239.7805867,0.4969836473464966,154.8428716659546,1078.0,0.004858631640672684,0.00021789554739370942,0.004857912193983793,0.011249057948589325,-1.1739518642425537,136960
0.0029561715200543404,0.0,1558,,,1763260240.9596324,0.5258947610855103,156.02191734313965,1078.0,0.0014934539794921875,0.00021712749730795622,0.0004998398944735527,-0.009122083894908428,-3.6821303367614746,138240
,,1559,500.0,500.0,1763260240.9723568,,156.0346417427063,,,,,,,138271
0.0017361082136631012,0.0,1563,,,1763260241.4049373,0.5062100291252136,156.46722221374512,1078.0,-0.006809331476688385,0.00021682027727365494,0.0004759186995215714,0.01361175999045372,-3.3523240089416504,138752
0.00017045903950929642,0.0,1566,,,1763260241.625952,0.5113006830215454,156.688236951828,1079.0,-0.002654634416103363,0.0002166666672565043,0.0061343819834291935,0.0039938585832715034,-0.11780214309692383,139008
,,1588,500.0,500.0,1763260243.6091194,,158.67140436172485,,,,,,,141271
0.00013352185487747192,0.0,1589,,,1763260243.691189,0.502144992351532,158.7534739971161,1079.0,-0.0017978735268115997,0.00021528417710214853,367.0707092285156,0.008361170068383217,1.722574234008789e-05,141312
2.687610685825348e-05,0.0,1597,,,1763260244.496152,0.4690748155117035,159.55843687057495,1079.0,-0.001104116439819336,0.0002147465420421213,0.0002905077126342803,0.002799972891807556,-0.031656861305236816,142208
0.001447632908821106,0.0,1607,,,1763260245.416577,0.47523561120033264,160.47886204719543,1080.0,-0.015012005344033241,0.00021413210197351873,0.00020088804012630135,0.012291040271520615,-0.02486741542816162,143232
0.00019828788936138153,0.0,1609,,,1763260245.5281866,0.36521726846694946,160.59047150611877,1080.0,-0.0024005286395549774,0.0002140552969649434,229.32632446289062,0.001879904419183731,-0.0002206563949584961,143360
0.0008054310455918312,0.0,1610,,,1763260245.6377227,0.4662373661994934,160.70000767707825,1080.0,-0.0006022229790687561,0.0002139784919563681,0.0036389923188835382,-0.002210981212556362,-0.19925332069396973,143488
0.0019085472449660301,0.009765625,1612,,,1763260245.8578699,0.4714343845844269,160.92015480995178,1080.0,0.008470259606838226,0.00021382488193921745,9.735453932080418e-05,0.027542859315872192,-0.10467565059661865,143744
0.0008451482281088829,0.0,1626,,,1763260247.1386745,0.5223128795623779,162.20095944404602,1080.0,0.010196439921855927,0.00021298002684488893,0.0002187611098634079,-0.0049474844709038734,-0.4103494882583618,145152
0.0007898956537246704,0.0,1638,,,1763260248.1910412,0.5646069049835205,163.25332617759705,1080.0,0.0007010921835899353,0.00021228878176771104,498.21600341796875,0.010221675038337708,-2.6226043701171875e-06,146304
0.0002474738284945488,0.0,1687,,,1763260252.6538987,0.5330188870429993,167.71618366241455,1081.0,-0.004741005599498749,0.00020929340098518878,304.48187255859375,-0.003256157971918583,-9.143352508544922e-05,151296
0.000950271263718605,0.0,1732,,,1763260256.7915275,0.5763040781021118,171.85381245613098,1082.0,-0.012170571833848953,0.00020652842067647725,0.006610496900975704,-0.005986463278532028,-0.15294206142425537,155904
,,1745,500.0,500.0,1763260257.9627397,,173.02502465248108,,,,,,,157271
0.0007143877446651459,0.0,1753,,,1763260258.7464283,0.5489563345909119,173.80871319770813,1083.0,-0.0022389255464076996,0.0002052227355306968,0.0005191265372559428,-0.001278141513466835,-0.05532646179199219,158080
0.003836320713162422,0.009765625,1754,,,1763260258.85558,0.5762492418289185,173.9178650379181,1083.0,-0.011899858713150024,0.0002051459305221215,0.00013859407044947147,-0.0033516287803649902,-0.06566882133483887,158208
0.00036256853491067886,0.0,1765,,,1763260259.7768161,0.5653106570243835,174.8391010761261,1083.0,0.0077188387513160706,0.00020453149045351893,0.0062506962567567825,0.000804348848760128,-0.9933991432189941,159232
0.00013293419033288956,0.0,1768,,,1763260259.99788,0.6003141403198242,175.06016492843628,1083.0,0.0005473531782627106,0.0002043778804363683,151.90811157226562,0.003677341155707836,-0.00015306472778320312,159488
0.0001842007040977478,0.0,1777,,,1763260260.8613029,0.5352038145065308,175.92358779907227,1083.0,-0.0019333362579345703,0.00020384024537634104,0.0014221882447600365,0.0015723463147878647,-9.793447494506836,160384
