losses/entropy,losses/clipfrac,losses/explained_variance,charts/episodic_length,_runtime,losses/approx_kl,charts/episodic_return,_step,charts/SPS,losses/old_approx_kl,losses/value_loss,global_step,_timestamp,losses/policy_loss,charts/learning_rate
,,,,24.42215633392334,,,0,,,,0,1763260114.6740053,,
,,,21.0,30.083703994750977,,21.0,7,,,,102,1763260120.335553,,
,,,21.0,32.40822219848633,,21.0,33,,,,584,1763260122.6600711,,
,,,28.0,33.20442008972168,,28.0,41,,,,787,1763260123.456269,,
,,,82.0,33.72713828086853,,82.0,47,,,,979,1763260123.9789872,,
0.6404931545257568,0.0,0.024883687496185303,,36.15200185775757,0.00022978056222200394,,64,220.0,-0.008199487812817097,162.68336486816406,1536,1763260126.4038508,0.004128705710172653,0.00029915515915490687
,,,105.0,37.700584411621094,,105.0,74,,,,1977,1763260127.9524333,,
,,,57.0,38.16064953804016,,57.0,77,,,,2133,1763260128.4124985,,
,,,82.0,39.76995229721069,,82.0,88,,,,2651,1763260130.0218012,,
0.5975828766822815,0.0,0.04744923114776611,,41.690768241882324,0.0004815002903342247,,102,266.0,0.01206789817661047,118.03291320800781,3328,1763260131.9426172,-0.0095759816467762,0.0002980798890348524
0.5540019869804382,0.0,0.15122681856155396,,41.97613334655762,0.00019112136214971542,,104,270.0,0.0007099946960806847,101.4590072631836,3456,1763260132.2279823,-0.0030032582581043243,0.00029800308402627707
0.5950823426246643,0.0,-0.037183284759521484,,46.274720907211304,0.00010724551975727081,,133,307.0,-0.0017701257020235062,72.91477966308594,5248,1763260136.5265698,0.0014934688806533813,0.0002969278139062226
,,,246.0,48.16944694519043,,246.0,147,,,,6066,1763260138.421296,,
,,,125.0,48.498186111450195,,125.0,149,,,,6191,1763260138.750035,,
,,,34.0,48.56102252006531,,34.0,150,,,,6225,1763260138.8128715,,
0.567629873752594,0.0,0.33662647008895874,,49.37660026550293,0.0010296907275915146,,155,323.0,0.0044508036226034164,89.17871856689453,6528,1763260139.6284492,0.0048817917704582214,0.0002961597638204694
,,,86.0,49.50218224525452,,86.0,157,,,,6640,1763260139.7540312,,
