losses/approx_kl,losses/policy_loss,losses/old_approx_kl,_timestamp,losses/value_loss,charts/episodic_return,_step,losses/clipfrac,losses/explained_variance,_runtime,losses/entropy,charts/learning_rate,global_step,charts/SPS,charts/episodic_length
,,,1763260115.7901936,,,0,,,24.73650860786438,,,0,,
,,,1763260120.3459458,,13.0,7,,,29.292260885238647,,,124,,13.0
0.0005031796172261238,-0.0001139715313911438,8.228514343500137e-05,1763260122.8834462,45.377593994140625,,33,0.0,-0.03443276882171631,31.829761266708374,0.6789280772209167,0.0002996927942149341,640,185.0,
,,,1763260123.688037,,49.0,41,,,32.63435196876526,,,897,,49.0
,,,1763260124.2745004,,36.0,47,,,33.22081542015076,,,1043,,36.0
,,,1763260126.4011497,,64.0,64,,,35.34746479988098,,,1560,,64.0
,,,1763260127.942144,,98.0,74,,,36.88845896720886,,,1955,,98.0
,,,1763260128.4092937,,64.0,77,,,37.35560870170593,,,2049,,64.0
,,,1763260130.0013797,,106.0,88,,,38.94769477844238,,,2592,,106.0
4.244595766067505e-05,-0.0026979371905326843,0.001524306833744049,1763260132.0220807,102.09066772460938,,102,0.0,0.07247376441955566,40.968395709991455,0.6012974977493286,0.00029800308402627707,3456,274.0,
0.0014121895655989647,0.0066275689750909805,-0.007771148346364498,1763260132.50616,150.8029022216797,,104,0.0,-0.02677011489868164,41.45247507095337,0.6154115200042725,0.0002978494740091264,3712,283.0,
,,,1763260136.7999828,,141.0,133,,,45.74629783630371,,,5690,,141.0
,,,1763260138.8402107,,89.0,147,,,47.78652572631836,,,6650,,89.0
0.0004427572712302208,0.007125727832317352,0.0035026976838707924,1763260139.3068278,122.86601257324219,,149,0.0,0.299910306930542,48.25314283370972,0.56522136926651,0.00029600615380331874,6784,341.0,
,,,1763260139.3624492,,204.0,150,,,48.30876421928406,,,6854,,204.0
0.0038140881806612015,-0.01648091897368431,0.0017315354198217392,1763260140.2117112,71.60220336914062,,155,0.0,0.22067612409591675,49.15802621841431,0.5432358384132385,0.0002957757387775928,7168,344.0,
,,,1763260140.511172,,142.0,157,,,49.45748710632324,,,7308,,142.0
0.00019912421703338623,0.008174367249011993,-0.009868994355201721,1763260142.7479076,93.4480209350586,,172,0.0,0.020995497703552246,51.69422268867493,0.5686502456665039,0.0002950844937004149,8320,356.0,
1.6903504729270935e-06,-0.00029552727937698364,0.0002649044618010521,1763260146.2028017,68.2113037109375,,195,0.0,0.06566345691680908,55.14911675453186,0.5591975450515747,0.00029416283359751105,9856,368.0,
0.001987529918551445,0.029297634959220886,-0.01519310288131237,1763260147.3385854,98.09742736816406,,203,0.0,0.37570852041244507,56.284900426864624,0.5984424948692322,0.00029385561356320977,10368,371.0,
