losses/clipfrac,global_step,losses/policy_loss,losses/old_approx_kl,charts/episodic_return,losses/approx_kl,_timestamp,charts/episodic_length,losses/explained_variance,losses/value_loss,_step,charts/learning_rate,losses/entropy,_runtime,charts/SPS
0.013671875,9600,-0.025054406374692917,0.006404784508049488,,0.00440624076873064,1763260079.5770392,,0.503657877445221,0.5359082221984863,337,0.0002943164436146617,0.49297839403152466,19.307213306427002,1017.0
0.03515625,9856,-0.030526071786880493,0.03757381811738014,,0.01878722757101059,1763260079.9726334,,0.9887198209762573,0.569398820400238,340,0.00029416283359751105,0.4582594335079193,19.702807426452637,1002.0
0.068359375,12160,-0.024683495983481407,0.025447169318795204,,0.015019860118627548,1763260082.3912065,,-0.0006526708602905273,11.430268287658691,370,0.0002927803434431553,0.40801098942756653,22.12138056755066,992.0
0.0,13696,-0.012677285820245743,0.002658400684595108,,0.0004009585827589035,1763260083.8531356,,0.3203449845314026,0.4241006076335907,396,0.00029185868334025145,0.43175366520881653,23.583309650421143,999.0
,15230,,,37.0,,1763260085.2628398,37.0,,,425,,,24.993013858795166,
,15984,,,70.0,,1763260086.0049672,70.0,,,441,,,25.735141277313232,
,16363,,,106.0,,1763260086.351051,106.0,,,450,,,26.081225156784058,
0.005859375,17408,0.002300933003425598,0.005231743678450584,,0.0042001958936452866,1763260087.4077764,,0.4509871006011963,13.41238021850586,471,0.00028963133809156716,0.3791190981864929,27.13795042037964,1008.0
,17916,,,95.0,,1763260087.857047,95.0,,,481,,,27.587221145629883,
,18374,,,85.0,,1763260088.2972198,85.0,,,490,,,28.02739381790161,
,18964,,,114.0,,1763260088.916413,114.0,,,504,,,28.646587133407593,
,19568,,,124.0,,1763260089.4076564,124.0,,,515,,,29.13783049583435,
,20372,,,108.0,,1763260090.2312925,108.0,,,530,,,29.961466550827026,
0.0,20992,0.005912574008107185,-0.0031982259824872017,,0.00014998111873865128,1763260090.7902513,,0.9910762906074524,1.1752408742904663,539,0.0002874807978514582,0.3743496239185333,30.52042531967163,1016.0
,21480,,,85.0,,1763260091.2202787,85.0,,,547,,,30.95045280456543,
,21922,,,103.0,,1763260091.652835,103.0,,,555,,,31.38300895690918,
0.005859375,22144,0.0018525943160057068,-0.009047784842550755,,0.005693503655493259,1763260091.8696349,,0.9746574759483337,0.653179943561554,559,0.0002867895527742803,0.40647092461586,31.599808931350708,1019.0
0.0078125,22656,0.0009940043091773987,-0.004515320062637329,,0.0002121496945619583,1763260092.370167,,0.8584094047546387,1.9814544916152954,568,0.00028648233273997903,0.4107692837715149,32.10034108161926,1019.0
,23995,,,95.0,,1763260093.5927439,95.0,,,595,,,33.32291793823242,
,24983,,,66.0,,1763260094.5483997,66.0,,,614,,,34.278573751449585,
0.001953125,25728,-0.002473197877407074,0.006955192424356937,,0.0011125346645712852,1763260095.2673554,,0.3742331862449646,0.14203563332557678,630,0.00028463901253417134,0.4120590388774872,34.99752950668335,1024.0
0.00390625,25984,-0.007702530361711979,0.001460326835513115,,0.002861354500055313,1763260095.4990795,,0.46904438734054565,4.627774238586426,636,0.0002844854025170207,0.4085759222507477,35.22925353050232,1024.0
0.013671875,26112,0.037289902567863464,0.004185905680060387,,0.0019805356860160828,1763260095.615393,,0.5864260196685791,8.87966251373291,640,0.0002844085975084454,0.40411606431007385,35.34556698799133,1025.0
,27131,,,53.0,,1763260096.5185611,53.0,,,664,,,36.248735189437866,
0.0,27904,0.0005566533654928207,-3.9616599678993225e-05,,2.9703602194786072e-05,1763260097.3218975,,0.8303403854370117,1.218672513961792,684,0.0002833333273883909,0.4030240476131439,37.0520715713501,1026.0
,28089,,,51.0,,1763260097.4581482,51.0,,,689,,,37.18832230567932,
,28394,,,41.0,,1763260097.7127004,41.0,,,698,,,37.44287443161011,
,28680,,,45.0,,1763260098.029223,45.0,,,707,,,37.75939702987671,
0.0,29568,0.0008244756609201431,-0.005467343144118786,,0.00013289321213960648,1763260098.8870242,,0.9376102089881897,2.177157402038574,729,0.00028233486227691174,0.42192864418029785,38.61719822883606,1028.0
,31017,,,35.0,,1763260100.288162,35.0,,,767,,,40.018336057662964,
,31266,,,49.0,,1763260100.5680456,49.0,,,775,,,40.29821968078613,
,31668,,,34.0,,1763260100.9301789,34.0,,,788,,,40.66035294532776,
,31971,,,44.0,,1763260101.1824436,44.0,,,797,,,40.912617683410645,
,32230,,,38.0,,1763260101.4197552,38.0,,,806,,,41.14992928504944,
,33720,,,25.0,,1763260102.943291,25.0,,,863,,,42.67346501350403,
,33930,,,23.0,,1763260103.1654043,23.0,,,872,,,42.895578384399414,
,34035,,,33.0,,1763260103.208225,33.0,,,876,,,42.93839907646179,
,35155,,,25.0,,1763260104.3412151,25.0,,,922,,,44.07138919830322,
,35376,,,39.0,,1763260104.5731454,39.0,,,930,,,44.303319454193115,
