charts/SPS,losses/approx_kl,losses/clipfrac,losses/entropy,global_step,charts/learning_rate,_runtime,charts/episodic_length,charts/episodic_return,losses/value_loss,losses/policy_loss,losses/explained_variance,_step,_timestamp,losses/old_approx_kl
991.0,0.0002674665302038193,0.0,0.5612662434577942,6528,0.0002961597638204694,14.03760051727295,,,4.720177173614502,0.0001751929521560669,-0.07008790969848633,340,1763260074.2964065,0.007855812087655067
999.0,0.02935287170112133,0.115234375,0.5449810028076172,7552,0.0002955453237518668,15.00669002532959,,,0.7170370817184448,-0.10843300819396973,0.9306135177612305,370,1763260075.265496,0.006320026703178883
,,,,8298,,15.671355247497559,44.0,44.0,,,,396,1763260075.9301612,
,,,,9255,,16.61523175239563,26.0,26.0,,,,425,1763260076.8740377,
969.0,1.3292767107486725e-05,0.0,0.5260039567947388,9728,0.0002942396386060864,17.48670721054077,,,1.1529908180236816,1.1194497346878052e-05,0.34919309616088867,441,1763260077.7455132,-0.0007903547957539558
,,,,9981,,17.82563090324402,31.0,31.0,,,,450,1763260078.084437,
953.0,0.00012169219553470612,0.0,0.5400428771972656,10624,0.00029370200354605913,18.59281611442566,,,2.453555107116699,0.0018887631595134735,0.674129843711853,471,1763260078.851622,-0.0022955480962991714
,,,,10970,,18.940162420272827,60.0,60.0,,,,481,1763260079.1989684,
,,,,11280,,19.324597597122192,55.0,55.0,,,,490,1763260079.5834036,
,,,,11694,,19.736550092697144,38.0,38.0,,,,504,1763260079.995356,
,,,,12044,,20.183086156845093,38.0,38.0,,,,515,1763260080.4418921,
945.0,0.0005577709525823593,0.0,0.5275094509124756,12544,0.00029254992841742933,20.720233917236328,,,0.27270546555519104,-0.007589749991893768,0.9331719279289246,530,1763260080.97904,-0.0012003052979707718
,,,,12876,,21.01157259941101,52.0,52.0,,,,539,1763260081.2703786,
,,,,13127,,21.321195125579834,42.0,42.0,,,,547,1763260081.580001,
,,,,13368,,21.555495738983154,30.0,30.0,,,,555,1763260081.8143017,
,,,,13483,,21.669297218322754,41.0,41.0,,,,559,1763260081.9281032,
,,,,13790,,21.92783808708191,39.0,39.0,,,,568,1763260082.186644,
951.0,0.0013432074338197708,0.0,0.4928761422634125,14720,0.0002912442432716489,22.921565771102905,,,0.5374115109443665,-0.007880166172981262,0.9835039973258972,595,1763260083.1803718,0.004718530923128128
,,,,15282,,23.496801137924194,35.0,35.0,,,,614,1763260083.7556071,
953.0,0.00010562967509031296,0.0,0.5177144408226013,15744,0.0002906298032030463,23.956350803375244,,,0.4288240969181061,0.0006261095404624939,0.984100878238678,630,1763260084.2151568,-0.00045918021351099014
,,,,15900,,24.090423345565796,30.0,30.0,,,,636,1763260084.3492293,
,,,,16061,,24.22075080871582,73.0,73.0,,,,640,1763260084.4795568,
,,,,16408,,24.63957118988037,99.0,99.0,,,,650,1763260084.8983772,
957.0,0.0003628106787800789,0.0,0.4657424986362457,16896,0.00028993855812586844,25.102139711380005,,,0.6996962428092957,-0.004819151014089584,0.989799976348877,664,1763260085.3609457,0.011876295320689678
,,,,17569,,25.773857593536377,36.0,36.0,,,,684,1763260086.0326636,
,,,,17714,,25.90119433403015,39.0,39.0,,,,689,1763260086.1600003,
961.0,0.00039961934089660645,0.0,0.4821264445781708,18048,0.00028924731304869056,26.231436491012573,,,0.3034023642539978,0.0024197623133659363,0.991171658039093,698,1763260086.4902425,-0.0061682723462581635
962.0,0.0009551849216222763,0.0,0.484138548374176,18304,0.0002890937030315399,26.473154067993164,,,0.49833667278289795,-0.0035798028111457825,0.9935109615325928,707,1763260086.73196,0.00524679571390152
963.0,0.0012094266712665558,0.0,0.42821192741394043,19200,0.0002885560679715127,27.36854648590088,,,0.339922696352005,-0.0010053925216197968,0.9953805804252625,729,1763260087.6273525,0.011516295373439789
,,,,20537,,28.60872507095337,109.0,109.0,,,,757,1763260088.867531,
,,,,20768,,28.883633375167847,102.0,102.0,,,,762,1763260089.1424394,
,,,,20979,,29.02867102622986,40.0,40.0,,,,767,1763260089.287477,
971.0,0.00029358454048633575,0.0,0.5089694857597351,21376,0.00028725038282573223,29.4473614692688,,,0.3238762319087982,0.0009915977716445923,-0.018317461013793945,775,1763260089.7061675,-0.0037051010876893997
,,,,22022,,30.086660623550415,48.0,48.0,,,,788,1763260090.3454666,
,,,,22401,,30.434665203094482,35.0,35.0,,,,797,1763260090.6934712,
974.0,0.00028640683740377426,0.0,0.5288092494010925,22784,0.0002864055277314037,30.827386379241943,,,0.38684868812561035,-0.0016392692923545837,0.8818960189819336,806,1763260091.0861924,0.0032529672607779503
980.0,0.011374075897037983,0.029296875,0.5133212208747864,25344,0.0002848694275598973,33.296586990356445,,,30.135467529296875,0.006600761786103249,0.0719064474105835,863,1763260093.555393,0.040982794016599655
,,,,26185,,33.99198532104492,350.0,350.0,,,,872,1763260094.2507913,
,,,,26372,,34.22438907623291,82.0,82.0,,,,876,1763260094.483195,
997.0,0.00413949228823185,0.001953125,0.5303325653076172,29824,0.0002821812522597611,37.350611209869385,,,0.20371268689632416,-0.04296930134296417,0.7605801820755005,922,1763260097.6094172,-0.014392634853720665
,,,,30643,,38.037962675094604,500.0,500.0,,,,930,1763260098.2967687,
1003.0,0.0008020317181944847,0.0,0.46723809838294983,31488,0.00028118278714828193,38.82687854766846,,,0.1699981689453125,0.003940228372812271,0.2927902340888977,938,1763260099.0856845,-0.007871964015066624
1004.0,0.0027597378939390182,0.0,0.4458526372909546,31744,0.0002810291771311313,39.05077791213989,,,6.577428340911865,-0.007608985528349876,-0.0011186599731445312,941,1763260099.309584,0.0013792887330055237
1005.0,0.004932006821036339,0.0078125,0.40729820728302,31872,0.00028095237212255597,39.161288261413574,,,0.16258110105991364,-0.012439325451850891,0.18574297428131104,942,1763260099.4200943,0.033515412360429764
1006.0,0.002853916957974434,0.00390625,0.4188580811023712,32512,0.00028056834707967937,39.74131155014038,,,0.15646514296531677,0.004229724407196045,0.07481437921524048,948,1763260100.0001175,-0.00403522327542305
,,,,35143,,42.050246477127075,500.0,500.0,,,,974,1763260102.3090525,
1014.0,0.00013398658484220505,0.0,0.3581351339817047,35712,0.00027864822186529636,42.66920280456543,,,53.96479034423828,0.0027182400226593018,0.00011426210403442383,980,1763260102.9280088,0.0015570605173707008
1014.0,8.897576481103897e-05,0.0,0.3835850656032562,36224,0.0002783410018309951,43.15408682823181,,,8.588132858276367,-0.006986973807215691,-0.0002518892288208008,985,1763260103.4128928,0.0012585902586579323
1014.0,0.0027655623853206635,0.0078125,0.291174054145813,37248,0.0002777265617623925,44.18075513839722,,,0.1354958862066269,0.016484597697854042,0.0006483793258666992,995,1763260104.4395611,0.0013374369591474533
1014.0,0.0037260372191667557,0.044921875,0.27230316400527954,37504,0.0002775729517452419,44.42424750328064,,,0.08654642105102539,-0.03591106832027435,0.09196716547012329,997,1763260104.6830535,-0.0013046972453594208
1017.0,2.4111010134220123e-05,0.0,0.2564188539981842,39296,0.0002764976816251874,46.083287715911865,,,0.08775107562541962,-0.0012915581464767456,0.01326972246170044,1015,1763260106.3420937,0.0010212166234850883
1020.0,0.0024084560573101044,0.00390625,0.2598881721496582,40960,0.0002754992456175387,47.603413343429565,,,0.05271349847316742,-0.010041087865829468,-0.018390774726867676,1031,1763260107.8622193,0.02354845404624939
1022.0,0.00033636484295129776,0.0,0.3310054540634155,42880,0.0002743471704889089,49.38348174095154,,,0.06590536236763,-0.0029107481241226196,-0.02429831027984619,1050,1763260109.6422877,-0.00666754599660635
,,,,43143,,49.610732078552246,500.0,500.0,,,,1053,1763260109.869538,
1023.0,0.004854376427829266,0.0546875,0.28704580664634705,43648,0.00027388634043745697,50.089311599731445,,,12.20348834991455,0.00543571449816227,-5.519390106201172e-05,1058,1763260110.3481176,0.01032279897481203
1028.0,0.0007391776889562607,0.0,0.1648874431848526,46208,0.00027235024026595056,52.3973183631897,,,2.4086008071899414,-0.010755440220236778,-0.00018095970153808594,1083,1763260112.6561244,0.004753293469548225
