charts/episodic_return,_timestamp,losses/policy_loss,losses/entropy,losses/value_loss,charts/SPS,losses/old_approx_kl,charts/episodic_length,_step,losses/clipfrac,losses/approx_kl,losses/explained_variance,_runtime,charts/learning_rate,global_step
,1763260067.2634237,,,,,,,0,,,,7.029049634933472,,0
81.0,1763260068.2247958,,,,,,81.0,7,,,,7.990421772003174,,172
17.0,1763260068.6538284,,,,,,17.0,33,,,,8.419454336166382,,622
47.0,1763260068.8663938,,,,,,47.0,41,,,,8.632019758224487,,781
47.0,1763260068.9830127,,,,,,47.0,47,,,,8.74863862991333,,898
28.0,1763260069.3679988,,,,,,28.0,64,,,,9.133624792098999,,1318
30.0,1763260069.600873,,,,,,30.0,74,,,,9.366498947143555,,1547
,1763260069.7435396,-0.007274337112903595,0.6596243381500244,0.9605250954627991,1002.0,-0.005404050461947918,,77,0.0,0.0006610499694943428,0.07369041442871094,9.509165525436401,0.00029907835414633155,1664
29.0,1763260070.0027769,,,,,,29.0,88,,,,9.768402814865112,,1960
,1763260070.3468652,-0.007776118814945221,0.6440860629081726,0.9913843274116516,1018.0,-0.008717082440853119,,102,0.0,0.0008340924978256226,-0.03196573257446289,10.112491130828857,0.00029869432910345495,2304
26.0,1763260071.022962,,,,,,26.0,133,,,,10.788588047027588,,3027
44.0,1763260071.3560548,0.0029081515967845917,0.5312303304672241,1.7072402238845825,1016.0,-0.0014869291335344315,44.0,147,0.0,0.0009607691317796707,0.09325820207595825,11.121680736541748,0.0002980798890348524,3328
19.0,1763260071.3744326,,,,,,19.0,149,,,,11.140058517456055,,3371
23.0,1763260071.3840725,,,,,,23.0,150,,,,11.149698495864868,,3394
34.0,1763260071.5001664,,,,,,34.0,155,,,,11.26579236984253,,3502
25.0,1763260071.51861,,,,,,25.0,157,,,,11.284235954284668,,3548
25.0,1763260072.3974426,,,,,,25.0,195,,,,12.163068532943726,,4416
,1763260072.6139054,4.1678547859191895e-05,0.47993573546409607,0.7648800611495972,1017.0,0.0002224138006567955,,203,0.0,0.00016602594405412674,0.30441486835479736,12.379531383514404,0.0002973118389490992,4608
,1763260072.8834703,0.002453848719596863,0.5387312173843384,1.5493202209472656,1013.0,-0.004619537852704525,,213,0.0,0.0002314215525984764,0.43868130445480347,12.649096250534058,0.00029715822893194854,4864
31.0,1763260072.926206,,,,,,31.0,217,,,,12.691832065582275,,4965
41.0,1763260073.2534044,,,,,,41.0,228,,,,13.019030332565308,,5272
55.0,1763260073.3882437,,,,,,55.0,233,,,,13.15386962890625,,5441
37.0,1763260073.9127846,,,,,,37.0,251,,,,13.678410530090332,,6009
,1763260074.219133,0.007954709231853485,0.5236375331878662,0.5033634305000305,1022.0,-0.01779201254248619,,259,0.0,0.0012386469170451164,0.9211053252220154,13.984758853912354,0.00029631337383762,6272
29.0,1763260074.3738573,,,,,,29.0,265,,,,14.139483213424683,,6499
,1763260074.6904624,-0.009686830453574657,0.4841873049736023,0.49091479182243347,1026.0,0.010287944227457047,,273,0.0,0.0014843996614217758,0.8358029723167419,14.456088304519653,0.00029600615380331874,6784
45.0,1763260074.6935167,,,,,,45.0,274,,,,14.459142684936523,,6787
,1763260075.4660406,0.002907894551753998,0.4559806287288666,3.541018009185791,1022.0,-0.007294078357517719,,292,0.0,0.0004970571026206017,0.9720140099525452,15.231666564941406,0.0002955453237518668,7552
108.0,1763260077.8666954,,,,,,108.0,327,,,,17.63232135772705,,9867
,1763260078.156135,0.0035707708448171616,0.46457234025001526,10.526052474975586,1003.0,0.0016258638352155685,,330,0.0,0.0029572639614343643,-0.0007030963897705078,17.92176103591919,0.0002940092235803604,10112
,1763260078.302854,-0.010614126920700073,0.5021731853485107,0.5553101897239685,1002.0,0.01173265092074871,,332,0.0,0.0005334913730621338,0.0093231201171875,18.068480014801025,0.0002939324185717851,10240
79.0,1763260078.7149596,,,,,,79.0,340,,,,18.48058557510376,,10645
122.0,1763260080.252387,,,,,,122.0,370,,,,20.01801300048828,,12070
69.0,1763260081.3940628,,,,,,69.0,396,,,,21.159688711166382,,13249
41.0,1763260082.6885216,,,,,,41.0,425,,,,22.454147577285767,,14571
57.0,1763260083.2830868,,,,,,57.0,441,,,,23.048712730407715,,15225
29.0,1763260083.6714125,,,,,,29.0,450,,,,23.43703842163086,,15541
50.0,1763260084.3874412,,,,,,50.0,471,,,,24.153067111968994,,16335
,1763260084.8887904,0.0008866488933563232,0.36530718207359314,14.723715782165527,997.0,0.003410033881664276,,481,0.0,0.0007477384060621262,0.192318856716156,24.65441632270813,0.00029001536313444376,16768
57.0,1763260085.1592247,,,,,,57.0,490,,,,24.924850702285767,,17111
,1763260085.7691703,0.004978543147444725,0.4033965766429901,11.063220024108887,998.0,0.004322814755141735,,504,0.0078125,0.0023698629811406136,0.41193270683288574,25.534796237945557,0.0002894777280744165,17664
51.0,1763260086.1477537,,,,,,51.0,515,,,,25.913379669189453,,18097
48.0,1763260086.7142363,,,,,,48.0,530,,,,26.479862213134766,,18696
,1763260087.1236658,-0.00021290965378284454,0.34583380818367004,10.53421401977539,1001.0,0.00046916212886571884,,539,0.0,2.4726614356040955e-06,0.7813518047332764,26.889291763305664,0.000288632872980088,19072
69.0,1763260087.7358482,,,,,,69.0,555,,,,27.501474142074585,,19795
49.0,1763260087.9168963,,,,,,49.0,559,,,,27.682522296905518,,19953
33.0,1763260088.2455792,,,,,,33.0,568,,,,28.011205196380615,,20267
,1763260089.3521395,-0.00041553378105163574,0.3014356791973114,11.886574745178223,1005.0,-0.0004898160696029663,,595,0.0,0.000314885750412941,0.7978503108024597,29.117765426635742,0.00028725038282573223,21376
63.0,1763260090.1213753,,,,,,63.0,614,,,,29.887001276016235,,22150
65.0,1763260090.714436,,,,,,65.0,630,,,,30.480062007904053,,22798
43.0,1763260090.9532394,,,,,,43.0,636,,,,30.718865394592285,,23067
44.0,1763260091.1339004,,,,,,44.0,640,,,,30.899526357650757,,23218
,1763260091.9434135,0.0017848052084445953,0.4443635940551758,0.9090887904167175,1008.0,0.00705944187939167,,664,0.0,0.00027638114988803864,0.9444548487663269,31.709039449691772,0.0002856374776456505,24064
33.0,1763260092.6382937,,,,,,33.0,684,,,,32.40391969680786,,24809
36.0,1763260092.8481667,,,,,,36.0,689,,,,32.61379265785217,,24984
,1763260093.2285829,-0.0011189784854650497,0.43345680832862854,0.19683954119682312,1007.0,0.0037407223135232925,,698,0.0,0.0005720965564250946,0.9957948327064514,32.99420881271362,0.0002848694275598973,25344
83.0,1763260093.6080432,,,,,,83.0,707,,,,33.373669147491455,,25825
,1763260094.5886023,-0.03530446067452431,0.39421847462654114,13.613332748413086,1009.0,0.008559009060263634,,729,0.021484375,0.005317075178027153,0.9772235751152039,34.354228258132935,0.0002840245724655688,26752
,1763260096.1354964,-0.011358157731592655,0.3970862627029419,0.2607194185256958,1012.0,-0.0098268436267972,,767,0.03515625,0.00472875963896513,0.9882181882858276,35.90112233161926,0.0002830261073540896,28416
117.0,1763260096.536798,,,,,,117.0,775,,,,36.30242395401001,,28905
,1763260097.405588,-0.05344725772738457,0.5281208157539368,1.4875361919403076,1017.0,0.07229211926460266,,788,0.064453125,0.02663685567677021,0.9975466132164001,37.17121386528015,0.0002821812522597611,29824
