charts/episodic_return,_timestamp,losses/policy_loss,losses/entropy,losses/value_loss,charts/SPS,losses/old_approx_kl,charts/episodic_length,_step,losses/clipfrac,losses/approx_kl,losses/explained_variance,_runtime,charts/learning_rate,global_step
,1763260098.167543,-0.012348465621471405,0.46852317452430725,0.8069595098495483,1021.0,-0.0036837346851825714,,797,0.103515625,0.007351129315793514,0.9691071510314941,37.93316888809204,0.00028164361719973385,30720
,1763260098.9624891,-0.05775954946875572,0.42364972829818726,0.17031916975975037,1023.0,0.0010238606482744217,,806,0.2239583283662796,0.03482355922460556,0.049786388874053955,38.72811508178711,0.0002811059821397066,31616
,1763260104.1890943,-0.0008690152317285538,0.47607871890068054,0.08045872300863266,1035.0,0.01803572103381157,,863,0.0,0.003223949111998081,0.026788413524627686,43.95472025871277,0.0002776497567538172,37376
,1763260105.07758,0.0005006343126296997,0.4817085266113281,9.918113708496094,1034.0,-0.003546665422618389,,872,0.0,0.0019022384658455849,-0.0013041496276855469,44.84320592880249,0.00027711212169378996,38272
,1763260105.4242718,4.0451064705848694e-05,0.4621082842350006,10.09550952911377,1035.0,0.0009316969662904739,,876,0.0,1.146271824836731e-05,-0.0012149810791015625,45.189897775650024,0.000276881706668064,38656
462.0,1763260109.6795287,,,,,,462.0,922,,,,49.445154666900635,,43380
,1763260110.4577184,0.007353328168392181,0.437012642621994,0.026767976582050323,1042.0,-0.0020534899085760117,,930,0.01171875,0.0036529414355754852,-0.030017495155334473,50.22334432601929,0.0002735791204031557,44160
,1763260111.1526926,0.0056397318840026855,0.501352071762085,0.03248390927910805,1043.0,2.6792287826538086e-05,,938,0.009765625,0.0031680967658758163,-0.02742147445678711,50.91831851005554,0.00027311829035170376,44928
,1763260111.3758476,0.0009071007370948792,0.3795486390590668,2.369631052017212,1043.0,0.036548715084791183,,941,0.041015625,0.013838629238307476,-0.001423954963684082,51.14147353172302,0.0002729646803345531,45184
,1763260111.485685,0.006681092083454132,0.3904401659965515,0.03185443580150604,1044.0,0.012598482891917229,,942,0.0703125,0.016467241570353508,0.03859430551528931,51.25131106376648,0.0002728878753259778,45312
,1763260111.9376614,-0.0024162232875823975,0.4014173746109009,0.027701273560523987,1044.0,0.0006080335006117821,,948,0.0,0.00016543548554182053,0.1846904158592224,51.70328736305237,0.0002725806552916765,45824
181.0,1763260113.661023,,,,,,181.0,974,,,,53.42664885520935,,47656
363.0,1763260114.1295424,,,,,,363.0,980,,,,53.89516830444336,,48237
299.0,1763260114.5088367,,,,,,299.0,985,,,,54.27446269989014,,48618
191.0,1763260116.513493,,,,,,191.0,1015,,,,56.27911901473999,,50791
128.0,1763260117.2984977,,,,,,128.0,1031,,,,57.06412363052368,,51641
175.0,1763260118.6124797,-0.0023309066891670227,0.4382018446922302,2.230311870574951,1048.0,0.000651317648589611,175.0,1050,0.0,2.560485154390335e-05,-5.555152893066406e-05,58.37810564041138,0.0002682795748114586,52992
18.0,1763260118.7531965,,,,,,18.0,1053,,,,58.51882243156433,,53191
170.0,1763260118.970816,,,,,,170.0,1058,,,,58.73644185066223,,53408
173.0,1763260120.6294627,,,,,,173.0,1083,,,,60.39508867263794,,55244
235.0,1763260121.1054962,,,,,,235.0,1091,,,,60.87112212181091,,55737
285.0,1763260122.2701168,,,,,,285.0,1106,,,,62.03574275970459,,57016
235.0,1763260123.115027,,,,,,235.0,1118,,,,62.8806529045105,,57959
,1763260124.23979,-0.035086870193481445,0.4694284200668335,0.02237226627767086,1053.0,0.006301280111074448,,1133,0.056640625,0.009061316959559917,-0.036745548248291016,64.00541591644287,0.0002645929343998432,59136
397.0,1763260125.2067301,,,,,,397.0,1145,,,,64.97235608100891,,60255
,1763260126.6780722,0.021205756813287735,0.4719288945198059,16.848466873168945,1055.0,0.04568169265985489,,1164,0.015625,0.006755048409104347,-0.00044226646423339844,66.4436981678009,0.0002629800292197615,61824
60.0,1763260127.0784216,,,,,,60.0,1172,,,,66.84404754638672,,62248
18.0,1763260127.5278718,,,,,,18.0,1181,,,,67.29349780082703,,62751
500.0,1763260128.0127308,,,,,,500.0,1186,,,,67.7783567905426,,63251
,1763260128.9112146,0.044891148805618286,0.47755298018455505,0.040565863251686096,1056.0,-0.02691444382071495,,1197,0.021484375,0.00893035065382719,0.00018805265426635742,68.67684054374695,0.0002615207340568304,64256
,1763260130.4243407,-0.013832878321409225,0.4482962489128113,0.01088329590857029,1057.0,0.006900167092680931,,1213,0.001953125,0.001832522451877594,0.10557138919830322,70.18996667861938,0.00026052226894535124,65920
,1763260130.6465282,-0.0500461682677269,0.4955069422721863,0.0010113944299519062,1057.0,0.050200026482343674,,1215,0.177734375,0.015327788889408112,-0.010392308235168457,70.41215419769287,0.0002603686589282006,66176
500.0,1763260131.5903997,,,,,,500.0,1226,,,,71.35602569580078,,67250
,1763260132.0192783,-0.04309757798910141,0.4506157636642456,0.0004324378096498549,1059.0,0.0633501186966896,,1230,0.05859375,0.013478958979249,-0.012506365776062012,71.78490424156189,0.00025944699882529676,67712
,1763260132.2894697,0.0023598670959472656,0.38964617252349854,0.010723612271249294,1058.0,0.018626904115080833,,1234,0.0625,0.01075330376625061,0.13716471195220947,72.05509567260742,0.0002592933888081461,67968
,1763260133.2182498,0.003110494464635849,0.39610928297042847,0.4542942941188812,1059.0,0.004995003342628479,,1245,0.0,0.0009584371000528336,-0.00016427040100097656,72.98387575149536,0.00025867894873954356,68992
,1763260136.182392,-0.04647405445575714,0.3789788782596588,0.007518065627664328,1046.0,0.01507469080388546,,1271,0.029296875,0.006030364893376827,-0.020376920700073242,75.94801783561707,0.0002572964585851878,71296
,1763260140.8224895,0.004529949277639389,0.4027661681175232,0.02347162552177906,1018.0,-0.00408465601503849,,1299,0.0,0.00016739219427108765,-0.0005379915237426758,80.58811545372009,0.00025560674839653075,74112
,1763260148.6944776,-0.0019768644124269485,0.3793754279613495,0.0020935432985424995,970.0,0.009384910576045513,,1339,0.001953125,0.00270268227905035,0.25653231143951416,88.4601035118103,0.0002531489881221205,78208
,1763260148.9014177,0.019150055944919586,0.389006644487381,4.584393900586292e-05,969.0,0.003943566232919693,,1340,0.080078125,0.026766613125801086,-0.034819602966308594,88.66704368591309,0.0002530721831135452,78336
,1763260152.5705667,-0.002481527626514435,0.4603153169155121,0.012843159958720207,954.0,0.017062699422240257,,1363,0.0078125,0.003498862497508526,-0.0003006458282470703,92.33619260787964,0.00025168972206301987,80640
,1763260152.9588144,-0.02043997496366501,0.4384289085865021,2.8534581360872835e-05,953.0,0.007070559076964855,,1365,0.013671875,0.0014460058882832527,-0.022479772567749023,92.72444033622742,0.00025153611204586923,80896
,1763260153.7524235,0.0248500257730484,0.4720524549484253,0.00030781462555751204,950.0,-0.01779346913099289,,1370,0.07421875,0.009212366305291653,0.015880227088928223,93.51804947853088,0.00025122889201156795,81408
,1763260155.3667748,0.0034295208752155304,0.43336865305900574,0.0003145466325804591,944.0,-0.001719573512673378,,1380,0.001953125,0.004281694069504738,0.0010797381401062012,95.13240075111389,0.0002506144519429654,82432
500.0,1763260155.4320035,,,,,,500.0,1381,,,,95.19762945175171,,82558
500.0,1763260156.4278564,,,,,,500.0,1388,,,,96.19348239898682,,83078
,1763260157.4978955,-0.0037405621260404587,0.26344582438468933,21.516149520874023,936.0,-0.0450468473136425,,1395,0.060546875,0.017201000824570656,-0.00027370452880859375,97.26352143287659,0.0002498464018572122,83712
500.0,1763260158.1198447,,,,,,500.0,1399,,,,97.8854706287384,,84148
,1763260163.520933,-0.00018902309238910675,0.399053156375885,4.45606838184176e-06,917.0,0.022175153717398643,,1432,0.0,0.0015804404392838478,-0.006587028503417969,103.28655886650085,0.0002475422515999526,87552
500.0,1763260163.5737312,,,,,,500.0,1433,,,,103.33935713768005,,87648
,1763260167.282034,-0.01933465152978897,0.3764507472515106,0.0005161353619769216,905.0,0.01881079562008381,,1455,0.01171875,0.004329325631260872,0.025366365909576416,107.0476598739624,0.0002461597614455968,89856
,1763260167.4805086,-0.008587397634983063,0.4163247048854828,3.127419768134132e-05,905.0,0.006209862418472767,,1456,0.013671875,0.0028905635699629784,-0.012417078018188477,107.24613451957703,0.0002460829564370215,89984
,1763260167.6811044,-0.013283746317029,0.3809608221054077,6.0813876189058647e-05,904.0,-0.003270982764661312,,1457,0.005859375,0.002589198760688305,0.010777115821838379,107.44673037528992,0.0002460061514284462,90112
,1763260176.2022536,0.0014395713806152344,0.42130017280578613,5.8838093536905944e-05,884.0,0.023800602182745934,,1514,0.025390625,0.003990331664681435,0.00497061014175415,115.9678795337677,0.0002427035360597074,95616
,1763260177.2782812,0.005733229219913483,0.4323115348815918,0.021286195144057274,881.0,0.02072085440158844,,1521,0.03515625,0.009218188934028149,-1.7523765563964844e-05,117.04390716552734,0.0002423195110168308,96256
500.0,1763260178.1706436,,,,,,500.0,1527,,,,117.93626952171326,,96819
,1763260178.5748994,0.0004472658038139343,0.3515327274799347,0.0013859415194019675,878.0,0.009603321552276611,,1529,0.0,0.00039597414433956146,-0.00936734676361084,118.34052538871765,0.00024185868096537888,97024
,1763260179.4868298,0.019969388842582703,0.44478219747543335,0.001357575412839651,875.0,-0.023068372160196304,,1534,0.009765625,0.007224340923130512,-0.013120174407958984,119.25245571136475,0.0002415514609310776,97536
,1763260179.9140081,0.014407789334654808,0.45371580123901367,2.552334262873046e-05,874.0,0.04304441809654236,,1536,0.162109375,0.018673185259103775,-0.003354668617248535,119.67963409423828,0.00024139785091392696,97792
,1763260181.052571,-0.0014712531119585037,0.4638756513595581,141.63284301757812,871.0,-0.013622610829770565,,1543,0.0234375,0.005630667321383953,-9.238719940185547e-05,120.81819701194763,0.00024101382587105036,98432
,1763260181.512966,0.0352662168443203,0.4580008089542389,0.00027070901705883443,870.0,0.020625222474336624,,1545,0.037109375,0.011424707248806953,0.003969013690948486,121.2785918712616,0.00024086021585389972,98688
,1763260181.7538161,0.013984248042106628,0.4503169059753418,3.067526631639339e-05,869.0,-0.0018907291814684868,,1546,0.005859375,0.0031272312626242638,-0.0034695863723754883,121.51944208145142,0.0002407834108453244,98816
500.0,1763260183.9376369,,,,,,500.0,1558,,,,123.70326280593872,,99844
23.0,1763260183.9924939,,,,,,23.0,1559,,,,123.75811982154846,,99867
,1763260184.8913596,0.0007317736744880676,0.4273064136505127,1.658018481975887e-05,859.0,-0.010689016431570053,,1563,0.005859375,0.001036500558257103,-0.001839280128479004,124.65698552131653,0.00023986175074242055,100352
,1763260185.362346,0.03663778305053711,0.4115551710128784,0.0003720243403222412,857.0,0.014050595462322235,,1566,0.076171875,0.013733621686697006,-0.023740649223327637,125.1279718875885,0.00023970814072526991,100608
,1763260188.6687238,-0.032236065715551376,0.3874576687812805,0.001228496665135026,849.0,-0.019796222448349,,1589,0.029296875,0.00935762096196413,-0.01749241352081299,128.43434977531433,0.00023863287060521543,102400
,1763260189.9610357,-0.0028576701879501343,0.4228062927722931,0.5294364094734192,846.0,0.005988915450870991,,1597,0.0,0.00026276614516973495,-0.00011897087097167969,129.7266616821289,0.0002381720405537635,103168
,1763260191.635569,0.02429543435573578,0.4049076437950134,22.046987533569336,843.0,-0.01111560594290495,,1607,0.013671875,0.002086683176457882,-0.00015926361083984375,131.4011950492859,0.00023755760048516095,104192
,1763260192.0278583,0.021210744976997375,0.47948944568634033,0.00032632972579449415,842.0,-0.005129826255142689,,1609,0.03125,0.007584699429571629,-0.010699748992919922,131.79348421096802,0.0002374039904680103,104448
,1763260192.2385309,-0.01970664970576763,0.3966027796268463,2.0310950276325457e-05,842.0,0.00643306877464056,,1610,0.01953125,0.0058937082067132,-0.011754035949707031,132.00415682792664,0.00023732718545943499,104576
,1763260196.9460707,0.00210014171898365,0.3200879693031311,0.0013999324291944504,833.0,0.03234770521521568,,1638,0.087890625,0.016235098242759705,-0.011836528778076172,136.71169662475586,0.00023563747527077794,107392
,1763260205.5935187,0.004465565085411072,0.3276877999305725,0.0011701699113473296,817.0,0.015440509654581547,,1687,0.0546875,0.004611247219145298,-0.020401954650878906,145.3591446876526,0.00023264209448825568,112384
,1763260213.6774964,-0.004119552671909332,0.34530097246170044,0.00021075770200695843,803.0,-0.04058236628770828,,1732,0.041015625,0.0052450280636549,-0.0031758546829223633,153.44312238693237,0.00022987711417954415,116992
500.0,1763260215.7947164,,,,,,500.0,1745,,,,155.56034231185913,,118177
,1763260217.3397663,-0.0003419630229473114,0.4800102114677429,0.00034010535455308855,797.0,0.002105606719851494,,1753,0.0,0.0004012342542409897,0.0019726157188415527,157.1053922176361,0.00022864823404233903,119040
,1763260217.5720363,0.007922232151031494,0.45784592628479004,6.550428224727511e-06,797.0,0.03304307162761688,,1754,0.005859375,0.0069333696737885475,-0.0008498430252075195,157.33766222000122,0.0002285714290337637,119168
,1763260220.0911357,0.011148445308208466,0.44561466574668884,3.5760022001340985e-05,793.0,-0.025437528267502785,,1768,0.033203125,0.0056981779634952545,-0.0020107030868530273,159.85676169395447,0.00022772657393943518,120576
,1763260221.686736,-0.00011329725384712219,0.4458092749118805,0.00014383714005816728,790.0,0.0013828286901116371,,1777,0.0,3.2624229788780212e-06,-0.0027219057083129883,161.45236206054688,0.00022718893887940794,121472
,1763260228.817918,0.0005682408809661865,0.32029324769973755,0.0017956154188141227,780.0,0.010577937588095665,,1818,0.0,0.0007528476417064667,-0.019944429397583008,168.5835440158844,0.00022480798361357301,125440
,1763260229.70639,0.020107168704271317,0.41120174527168274,0.0012900261208415031,779.0,-0.012711877003312111,,1823,0.009765625,0.0024877050891518593,-0.01403796672821045,169.47201585769653,0.00022450076357927173,125952
,1763260234.566544,-0.0006263367831707001,0.35936421155929565,0.5382709503173828,773.0,-0.0020404914394021034,,1851,0.0,0.0002630697563290596,-7.343292236328125e-05,174.33217000961304,0.0002228110533906147,128768
,1763260237.6585908,0.010837137699127197,0.45331597328186035,8.760607306612656e-05,769.0,-0.03627655655145645,,1868,0.103515625,0.008384812623262405,-0.002384185791015625,177.42421674728394,0.00022173579782247543,130560
,1763260238.5635405,0.001815054565668106,0.40894535183906555,7.059501513140276e-05,768.0,0.0021602539345622063,,1873,0.0,3.027450293302536e-05,0.0036875009536743164,178.32916641235352,0.00022142857778817415,131072
,1763260239.2196705,-0.002178974449634552,0.3509948253631592,0.0018866617465391755,768.0,0.05822688341140747,,1877,0.095703125,0.01370046753436327,-0.008692383766174316,178.98529648780823,0.0002211981627624482,131456
,1763260240.7122438,0.0001753978431224823,0.2900046110153198,0.001945492927916348,766.0,-0.0010974444448947906,,1886,0.0,0.00014114193618297577,0.026933908462524414,180.4778697490692,0.00022066052770242095,132352
,1763260243.6840806,0.0745450034737587,0.44295185804367065,2.8587983251782134e-06,763.0,0.004002979025244713,,1903,0.048828125,0.01163861621171236,-0.0005501508712768555,183.44970655441284,0.00021958525758236647,134144
,1763260244.1430283,0.001820647157728672,0.3650929927825928,0.000586401904001832,763.0,0.0026817070320248604,,1906,0.0,0.0004747482016682625,-0.011433959007263184,183.90865421295166,0.00021943164756521583,134400
,1763260246.210252,-0.026858007535338402,0.5171177387237549,1.2974381206731778e-05,761.0,0.02169724367558956,,1918,0.017578125,0.005997133441269398,-0.0015355348587036133,185.9758780002594,0.00021866359747946262,135680
,1763260246.4605322,0.001949423924088478,0.33898118138313293,144.02105712890625,761.0,0.0006049582734704018,,1920,0.0,1.63419172167778e-05,-3.540515899658203e-05,186.22615814208984,0.0002185867924708873,135808
,1763260250.6152637,-0.037673771381378174,0.3695775866508484,0.0013248648028820753,758.0,-0.0051828306168317795,,1945,0.01953125,0.009662816300988197,-0.015725016593933105,190.38088965415955,0.0002170506922993809,138368
500.0,1763260252.7184174,,,,,,500.0,1959,,,,192.48404335975647,,139728
,1763260255.1259875,-0.025539543479681015,0.47044920921325684,1.9808967408607714e-06,754.0,-0.008356423117220402,,1973,0.00390625,0.0025374935939908028,-0.004167914390563965,194.89161348342896,0.00021536098211072385,141184
,1763260257.03559,-0.0050630122423172,0.3977452516555786,0.00032945768907666206,753.0,-0.006333266384899616,,1985,0.0,0.0010730298236012459,-0.005648136138916016,196.8012158870697,0.00021466973703354597,142336
500.0,1763260257.9389622,,,,,,500.0,1991,,,,197.70458817481995,,142974
,1763260259.7224085,0.004452746361494064,0.4949907958507538,0.007986139506101608,751.0,-0.010162808001041412,,2002,0.001953125,0.0018890183418989182,-2.5391578674316406e-05,199.48803448677063,0.0002136712719220668,144000
,1763260260.542856,0.00017778761684894562,0.3631565570831299,0.5396490693092346,750.0,0.0007815500721335411,,2007,0.0,0.00031717587262392044,-4.172325134277344e-05,200.3084819316864,0.00021336405188776553,144512
,1763260261.9810739,-0.00661098025739193,0.46978896856307983,1.7364853192702867e-05,749.0,0.04759621247649193,,2016,0.0703125,0.014326643198728561,-0.0027638673782348633,201.74669981002808,0.00021282641682773829,145408
,1763260263.2263067,0.017432747408747673,0.4388088881969452,0.0021349370945245028,749.0,0.03474624827504158,,2024,0.001953125,0.004008803516626358,-0.007858872413635254,202.99193263053894,0.00021236558677628636,146176
500.0,1763260263.6592429,,,,,,500.0,2027,,,,203.42486882209778,,146486
,1763260264.8571587,-0.036887045949697495,0.37272295355796814,0.0011167410993948579,748.0,-0.0038711493834853172,,2034,0.0078125,0.0038022706285119057,-0.004338383674621582,204.622784614563,0.0002117511467076838,147200
,1763260266.5394673,-0.03822397440671921,0.3989475965499878,0.0009108638041652739,746.0,0.05973276123404503,,2045,0.041015625,0.01151999831199646,-0.013901710510253906,206.30509328842163,0.00021113670663908124,148224
,1763260267.547407,-0.01520567573606968,0.5159355998039246,0.00021940715669188648,746.0,-0.003108578734099865,,2051,0.0,0.001214384101331234,-0.005701184272766113,207.3130328655243,0.00021075268159620464,148864
,1763260270.6409347,-0.0008378569036722183,0.39274975657463074,0.000862355635035783,744.0,6.599072366952896e-05,,2070,0.0,0.0001880759373307228,-0.0049468278884887695,210.40656065940857,0.00020960062101949006,150784
,1763260271.6457183,-0.01664746180176735,0.48115095496177673,2.7559437512536533e-05,743.0,0.0030252616852521896,,2076,0.01171875,0.002401091158390045,0.00047975778579711914,211.41134428977966,0.00020921659597661346,151424
,1763260274.410947,-0.0009172633290290833,0.5578998327255249,5.443856025522109e-06,741.0,0.0013600504025816917,,2093,0.0,5.5332668125629425e-05,2.7298927307128906e-05,214.1765730381012,0.0002082181308651343,153088
500.0,1763260274.4531999,,,,,,500.0,2094,,,,214.21882581710815,,153127
500.0,1763260278.0450249,,,,,,500.0,2117,,,,217.8106508255005,,155388
,1763260282.4791205,-0.03187877684831619,0.5462397933006287,0.00010430288966745138,737.0,0.03118731454014778,,2146,0.029296875,0.011046822182834148,-0.0033527612686157227,222.2447464466095,0.0002051459305221215,158208
500.0,1763260282.7164962,,,,,,500.0,2148,,,,222.48212218284607,,158355
,1763260283.6253624,0.004883036017417908,0.4353645443916321,4.1711184167070314e-05,736.0,-0.008183869533240795,,2155,0.0,0.0015782443806529045,-0.004444122314453125,223.39098834991455,0.0002047619054792449,158848
500.0,1763260286.2739964,,,,,,500.0,2172,,,,226.03962230682373,,160524
258.0,1763260288.166663,,,,,,258.0,2185,,,,227.93228888511658,,161728
,1763260289.2128775,-0.013041697442531586,0.4925837516784668,0.00013388408115133643,733.0,0.01334739662706852,,2192,0.001953125,0.0027471929788589478,0.0008746981620788574,228.97850346565247,0.00020268817024771124,162304
500.0,1763260290.2473128,,,,,,500.0,2199,,,,230.01293873786926,,162951
,1763260291.9038537,0.0005621667951345444,0.4631671607494354,141.76046752929688,733.0,-0.00579511933028698,,2211,0.00390625,0.0039726123213768005,-2.491474151611328e-05,231.66947960853577,0.00020161290012765676,164096
,1763260292.44052,-0.037336576730012894,0.5304922461509705,4.5851003960706294e-05,733.0,0.0015760427340865135,,2214,0.03515625,0.00839811097830534,0.004545390605926514,232.2061460018158,0.0002013824851019308,164480
,1763260293.2754877,-0.01020059548318386,0.4503679871559143,22.034107208251953,732.0,0.006892986595630646,,2220,0.0,0.0016771554946899414,-1.2159347534179688e-05,233.041113615036,0.00020107526506762952,164992
,1763260293.695568,0.01186833344399929,0.4891492426395416,0.0009330837056040764,732.0,-0.03012852743268013,,2223,0.060546875,0.01372451987117529,-0.00024640560150146484,233.4611940383911,0.00020092165505047888,165248
,1763260293.9373384,-0.0015808865427970886,0.4094621241092682,22.05465316772461,732.0,0.011143827810883522,,2225,0.005859375,0.0043039508163928986,-1.9669532775878906e-05,233.70296430587769,0.00020084485004190356,165376
66.0,1763260293.9805906,,,,,,66.0,2226,,,,233.74621653556824,,165413
17.0,1763260294.0245607,,,,,,17.0,2227,,,,233.79018664360046,,165430
