_step,charts/episodic_length,losses/explained_variance,charts/learning_rate,losses/clipfrac,losses/entropy,losses/old_approx_kl,_runtime,_timestamp,losses/value_loss,losses/policy_loss,charts/SPS,charts/episodic_return,losses/approx_kl,global_step
273,11.0,,,,,,13.466780424118042,1763260073.7406104,,,,11.0,,3683
274,10.0,,,,,,13.471893310546875,1763260073.7457232,,,,10.0,,3693
292,36.0,0.6018919944763184,0.00029761905898340046,0.017578125,0.5468394160270691,0.03267901763319969,13.91661024093628,1763260074.1904402,0.574240505695343,-0.07248971611261368,956.0,36.0,0.006174564361572266,4096
327,,-0.11370038986206055,0.0002966973988804966,0.0,0.5198040008544922,0.009040058590471745,15.39146614074707,1763260075.665296,3.9389944076538086,0.0007518380880355835,978.0,,0.001045706681907177,5632
330,36.0,,,,,,15.429861068725586,1763260075.703691,,,,36.0,,5726
332,81.0,,,,,,15.550729513168335,1763260075.8245595,,,,81.0,,5807
337,61.0,,,,,,15.686749696731567,1763260075.9605796,,,,61.0,,5977
340,60.0,,,,,,15.792966604232788,1763260076.0667965,,,,60.0,,6070
370,28.0,,,,,,16.75032877922058,1763260077.0241587,,,,28.0,,7073
396,36.0,,,,,,17.469665050506592,1763260077.743495,,,,36.0,,7849
425,,0.1941259503364563,0.00029485407867468894,0.0,0.5025787949562073,0.0009740889072418213,18.318446397781372,1763260078.5922763,5.015069007873535,0.003339286893606186,1002.0,,0.00014160573482513428,8704
441,43.0,,,,,,18.743300199508667,1763260079.0171301,,,,43.0,,9199
450,,0.7071818709373474,0.000294393248623237,0.0,0.526390790939331,0.0010046735405921936,19.45548701286316,1763260079.729317,3.1678311824798584,-0.011588383466005325,964.0,,0.0012578628957271576,9472
471,,0.4797595739364624,0.00029408602858893573,0.0,0.5221010446548462,0.0018813498318195343,20.151618719100952,1763260080.4254487,0.49113619327545166,-0.0012234821915626526,949.0,,0.0006664097309112549,9984
481,30.0,,,,,,20.44452714920044,1763260080.718357,,,,30.0,,10292
490,53.0,,,,,,20.729390859603882,1763260081.0032208,,,,53.0,,10583
504,,0.9518881440162659,0.00029339478351175785,0.0,0.5581802129745483,-0.0018503554165363312,21.41022777557373,1763260081.6840577,0.35355284810066223,-0.001712951809167862,945.0,,5.9835612773895264e-05,11136
515,81.0,,,,,,21.8364737033844,1763260082.1103036,,,,81.0,,11534
530,40.0,,,,,,22.44662117958069,1763260082.720451,,,,40.0,,12107
539,,0.8523801565170288,0.00029262673342600465,0.0,0.5071619153022766,-0.007420904003083706,22.8304603099823,1763260083.1042902,0.7976614832878113,-0.0039670430123806,940.0,,0.00039513129740953445,12416
547,33.0,,,,,,23.016215324401855,1763260083.2900453,,,,33.0,,12648
555,47.0,,,,,,23.335705280303955,1763260083.6095352,,,,47.0,,12871
559,51.0,,,,,,23.464993953704834,1763260083.738824,,,,51.0,,13026
568,39.0,,,,,,23.695456504821777,1763260083.9692864,,,,39.0,,13242
595,53.0,,,,,,24.598723888397217,1763260084.8725538,,,,53.0,,14122
614,27.0,,,,,,25.108088970184326,1763260085.381919,,,,27.0,,14714
630,46.0,,,,,,25.738749742507935,1763260086.0125797,,,,46.0,,15247
636,32.0,,,,,,25.88733148574829,1763260086.1611614,,,,32.0,,15450
640,41.0,,,,,,26.010855674743652,1763260086.2846856,,,,41.0,,15592
664,,0.9886686205863953,0.0002902457781601697,0.0,0.46471625566482544,0.01649545133113861,26.863889455795288,1763260087.1377194,0.5338088870048523,-0.008174732327461243,950.0,,0.0007722349837422371,16384
684,,0.9937309622764587,0.0002897849481087178,0.0,0.3692982792854309,0.010084100067615509,27.6427903175354,1763260087.9166203,0.22447948157787323,0.015800252556800842,952.0,,0.00190025195479393,17152
689,,0.9948972463607788,0.00028963133809156716,0.0,0.3902435302734375,0.005252405069768429,27.871708631515503,1763260088.1455386,0.6209228038787842,-0.005087625235319138,954.0,,0.0009873630478978157,17408
698,,0.9933781623840332,0.0002894009230658412,0.0,0.3732501268386841,-0.004978574812412262,28.224499702453613,1763260088.4983296,0.25092872977256775,-0.0033802203834056854,957.0,,0.0013290196657180786,17792
707,137.0,,,,,,28.655861139297485,1763260088.929691,,,,137.0,,18248
729,57.0,,,,,,29.807135581970215,1763260090.0809655,,,,57.0,,19439
757,60.0,,,,,,31.02376937866211,1763260091.2975993,,,,60.0,,20725
767,79.0,,,,,,31.453871726989746,1763260091.7277017,,,,79.0,,21137
775,,0.9971136450767517,0.0002871735778171569,0.01953125,0.3687635064125061,-0.026340056210756302,31.79395365715027,1763260092.0677836,0.21120738983154297,0.004097973927855492,970.0,,0.00490035954862833,21504
788,90.0,,,,,,32.43095135688782,1763260092.7047813,,,,90.0,,22154
797,164.0,,,,,,33.04767322540283,1763260093.3215032,,,,164.0,,22805
806,79.0,,,,,,33.41197323799133,1763260093.6858032,,,,79.0,,23234
863,29.0,,,,,,36.702739000320435,1763260096.976569,,,,29.0,,26831
872,197.0,,,,,,37.29857063293457,1763260097.5724006,,,,197.0,,27458
876,,0.9934655427932739,0.0002834101323969662,0.044921875,0.4907236695289612,0.034251075237989426,37.612274169921875,1763260097.886104,0.17094947397708893,-0.024412943050265312,992.0,,0.009563684463500977,27776
922,185.0,,,,,,40.35019397735596,1763260100.624024,,,,185.0,,30834
930,,0.38558465242385864,0.00028125959215685725,0.0,0.4889005422592163,-0.0028452007099986076,40.874181509017944,1763260101.1480114,5.289175510406494,-0.0037679504603147507,1003.0,,0.0007202373817563057,31360
938,,0.4724085330963135,0.00028095237212255597,0.09375,0.43877270817756653,0.01171507965773344,41.36140727996826,1763260101.6352372,0.12878842651844025,-0.006764566525816917,1004.0,,0.017642006278038025,31872
941,117.0,,,,,,41.50842356681824,1763260101.7822535,,,,117.0,,32093
942,,0.5651851892471313,0.00028079876210540533,0.03125,0.5648719072341919,-0.005227436311542988,41.58838081359863,1763260101.8622108,0.10553502291440964,-0.016903549432754517,1005.0,,0.008176540024578571,32128
948,110.0,,,,,,41.86023759841919,1763260102.1340675,,,,110.0,,32511
974,,0.8121570348739624,0.00027972349198535085,0.001953125,0.4883909821510315,-0.0035261474549770355,43.22710180282593,1763260103.5009317,0.11734574288129807,0.03993087261915207,1009.0,,0.00469493493437767,33920
980,117.0,,,,,,43.51339101791382,1763260103.787221,,,,117.0,,34230
985,,0.8570172786712646,0.00027933946694247425,0.001953125,0.4988093972206116,-0.009907187893986702,43.834571838378906,1763260104.1084018,0.10522095859050751,-0.0038047749549150467,1010.0,,0.0015422925353050232,34560
995,120.0,,,,,,44.3275351524353,1763260104.601365,,,,120.0,,35170
997,125.0,,,,,,44.44059896469116,1763260104.714429,,,,125.0,,35295
1015,,0.950056254863739,0.00027826419682241976,0.0,0.5035153031349182,0.015044227242469788,45.60622835159302,1763260105.8800583,0.5080441236495972,0.008464522659778595,1010.0,,0.002684362232685089,36352
1031,,0.9721892476081848,0.0002776497567538172,0.177734375,0.5192081928253174,0.017416872084140778,46.61663794517517,1763260106.890468,0.2868744432926178,-0.01558530330657959,1010.0,,0.02489931881427765,37376
1050,96.0,,,,,,47.58067965507507,1763260107.8545096,,,,96.0,,38329
1053,,0.9855219721794128,0.0002769585116766393,0.009765625,0.5806774497032166,0.021473707631230354,47.8401939868927,1763260108.114024,5.868470668792725,-0.009334474802017212,1008.0,,0.005405276082456112,38528
1058,11.0,,,,,,48.01714038848877,1763260108.2909703,,,,11.0,,38749
1083,,0.10651731491088867,0.0002758832706604153,0.056640625,0.5577675104141235,0.05579463392496109,49.52527475357056,1763260109.7991047,68.86457061767578,0.0062624793499708176,1010.0,,0.019849058240652084,40320
1091,,0.9986039400100708,0.0002754992456175387,0.076171875,0.5447328090667725,-0.008868470788002014,50.13089299201965,1763260110.404723,0.14838123321533203,-0.02419772744178772,1011.0,,0.01779910735785961,40960
1106,,0.9865870475769043,0.00027496161055751145,0.0,0.5707533359527588,0.035318128764629364,50.924253702163696,1763260111.1980836,0.27257072925567627,-0.017406273633241653,1013.0,,0.0022351229563355446,41856
1118,,0.9950632452964783,0.00027450078050605953,0.001953125,0.5642503499984741,0.02104700729250908,51.65948700904846,1763260111.933317,3.126354455947876,-0.02517843060195446,1014.0,,0.00477969367057085,42624
1125,,0.9851242899894714,0.00027427036548033357,0.078125,0.5537595748901367,0.040483295917510986,51.99980854988098,1763260112.2736385,2.32572865486145,-0.004823772236704826,1015.0,,0.016831159591674805,43008
1133,91.0,,,,,,52.40784811973572,1763260112.681678,,,,91.0,,43433
