charts/SPS,global_step,charts/episodic_length,_runtime,losses/value_loss,losses/old_approx_kl,losses/explained_variance,_step,losses/approx_kl,charts/learning_rate,_timestamp,losses/clipfrac,charts/episodic_return,losses/policy_loss,losses/entropy
1013.0,27008,,34.3432400226593,48.21645736694336,-0.006637066602706909,-0.0050661563873291016,757,0.0014388468116521835,0.00028387096244841814,1763260094.606548,0.0,,-0.0012256614863872528,0.42947399616241455
,27470,67.0,34.719966650009155,,,,767,,,1763260094.9832747,,67.0,,
,27930,108.0,35.188451528549194,,,,775,,,1763260095.4517596,,108.0,,
,28703,125.0,35.86689305305481,,,,788,,,1763260096.130201,,125.0,,
,29243,105.0,36.365139961242676,,,,797,,,1763260096.628448,,105.0,,
,29771,118.0,36.8244309425354,,,,806,,,1763260097.087739,,118.0,,
1025.0,32896,,39.786482095718384,40.39226531982422,0.036763451993465424,0.244121253490448,863,0.008194231428205967,0.0002803379320539534,1763260100.0497901,0.033203125,,-0.01260673999786377,0.5562877655029297
1025.0,33536,,40.38278388977051,0.17585048079490662,0.03360864520072937,0.04383230209350586,872,0.017472965642809868,0.0002799539070110768,1763260100.646092,0.0546875,,-0.03540472313761711,0.5278802514076233
,33816,89.0,40.585102796554565,,,,876,,,1763260100.8484108,,89.0,,
1032.0,37632,,44.12699747085571,0.281593382358551,-0.011544983834028244,0.0022611618041992188,922,0.0023400839418172836,0.00027749614673666656,1763260104.3903055,0.009765625,,0.009374460205435753,0.5069975852966309
1032.0,38400,,44.878371238708496,0.07256408780813217,-0.0031557977199554443,0.06780648231506348,930,0.0007875431329011917,0.00027703531668521464,1763260105.1416793,0.0,,0.009879525750875473,0.5020613670349121
1033.0,39168,,45.60759687423706,0.10661567747592926,0.016200121492147446,-0.0017323493957519531,938,0.005832749418914318,0.0002765744866337627,1763260105.870905,0.017578125,,0.01210811734199524,0.4633852243423462
1033.0,39424,,45.84230136871338,0.0864819809794426,0.04394496977329254,0.1944495439529419,941,0.015128719620406628,0.0002764208766166121,1763260106.1056094,0.052734375,,-0.039654407650232315,0.46901974081993103
1033.0,39552,,45.95896673202515,0.06323686987161636,0.016774915158748627,0.18703538179397583,942,0.0026150355115532875,0.00027634407160803676,1763260106.2222748,0.021484375,,0.004073932766914368,0.4873320460319519
,40189,500.0,46.48073196411133,,,,948,,,1763260106.74404,,500.0,,
1036.0,42496,,48.675973653793335,0.06312359869480133,0.05065501108765602,0.2966783046722412,974,0.02188759297132492,0.00027457758551463485,1763260108.9392817,0.142578125,,-0.044161271303892136,0.45840218663215637
1038.0,43136,,49.23809289932251,0.03862857446074486,0.0917966365814209,0.016072452068328857,980,0.03307982534170151,0.00027419356047175825,1763260109.501401,0.11328125,,-0.06926007568836212,0.49011197686195374
,43423,60.0,49.478520154953,,,,985,,,1763260109.7418282,,60.0,,
1039.0,44160,,50.181206703186035,14.201244354248047,0.012974688783288002,0.0005104541778564453,995,0.011557902209460735,0.0002735791204031557,1763260110.4445148,0.033203125,,-0.03916269168257713,0.4478265047073364
1040.0,44416,,50.403769731521606,0.034184448421001434,-0.012247612699866295,0.2589101791381836,997,0.01890404336154461,0.00027342551038600504,1763260110.6670778,0.083984375,,0.003339722752571106,0.48358482122421265
1041.0,45952,,51.809025287628174,0.04892934113740921,-0.016300301998853683,0.23514771461486816,1015,0.0033770939335227013,0.0002725038502831012,1763260112.0723333,0.013671875,,0.007492551580071449,0.4120924770832062
1045.0,47360,,52.994425773620605,0.08672410249710083,0.05240320414304733,0.9765958786010742,1031,0.039683207869529724,0.0002716589951887727,1763260113.2577338,0.1979166716337204,,-0.0624113455414772,0.3622085750102997
1045.0,48384,,53.952789068222046,78.02223205566406,0.0029352111741900444,0.04755216836929321,1050,0.021443016827106476,0.0002710445551201701,1763260114.216097,0.09765625,,-0.021994318813085556,0.485486775636673
1046.0,48640,,54.16548752784729,78.12581634521484,0.026727404445409775,0.11920511722564697,1053,0.014544815756380558,0.0002708909451030195,1763260114.4287956,0.046875,,-0.032540131360292435,0.41752195358276367
,48922,193.0,54.38825464248657,,,,1058,,,1763260114.6515627,,193.0,,
1050.0,50560,,55.828288555145264,14.326445579528809,0.019308432936668396,0.08822888135910034,1083,0.013495096005499363,0.00026973886997438967,1763260116.0915966,0.07421875,,0.012850815430283546,0.4508659839630127
,51126,138.0,56.36148715019226,,,,1091,,,1763260116.6247952,,138.0,,
,52013,18.0,57.19908428192139,,,,1106,,,1763260117.4623923,,18.0,,
,52705,128.0,57.78592085838318,,,,1118,,,1763260118.049229,,128.0,,
,53112,129.0,58.180737018585205,,,,1125,,,1763260118.444045,,129.0,,
1051.0,53504,,58.595701932907104,0.3094158172607422,0.042118482291698456,0.47088539600372314,1133,0.00794170517474413,0.0002679723547771573,1763260118.85901,0.11328125,,-0.025751497596502304,0.4945702850818634
1051.0,53888,,58.94574522972107,198.6981964111328,-0.00406082347035408,0.07904964685440063,1145,0.0010481886565685272,0.00026774193975143135,1763260119.2090533,0.0,,-0.003488406538963318,0.4334983825683594
,54577,104.0,59.675477027893066,,,,1164,,,1763260119.938785,,104.0,,
1049.0,54784,,59.89571976661682,109.45357513427734,0.004777109250426292,0.3829996585845947,1172,0.005443321540951729,0.0002672043046914041,1763260120.1590278,0.01171875,,-0.00154096819460392,0.49727922677993774
1049.0,55296,,60.39796781539917,0.04867207631468773,-0.00483581330627203,0.6928253173828125,1181,0.002708655782043934,0.0002668970846571028,1763260120.6612759,0.08203125,,0.004017867147922516,0.35692769289016724
,55575,110.0,60.64382195472717,,,,1186,,,1763260120.90713,,110.0,,
,56247,115.0,61.2209358215332,,,,1197,,,1763260121.4842439,,115.0,,
,57298,112.0,62.17803382873535,,,,1213,,,1763260122.4413419,,112.0,,
,57413,115.0,62.28829479217529,,,,1215,,,1763260122.5516028,,115.0,,
1051.0,58112,,62.984933614730835,6.890495777130127,-0.007494139485061169,0.8653992414474487,1226,0.001353125087916851,0.0002652073744684458,1763260123.2482417,0.0,,0.0017195045948028564,0.5619243383407593
1051.0,58368,,63.209924936294556,7.068935394287109,-0.006934691220521927,0.8619574308395386,1230,0.007052943110466003,0.00026505376445129514,1763260123.473233,0.02734375,,-0.04544976353645325,0.4850579500198364
,58614,108.0,63.36487340927124,,,,1234,,,1763260123.6281815,,108.0,,
1051.0,59264,,64.04897427558899,0.8151601552963257,-0.0014410065487027168,0.8894261717796326,1245,0.003938724286854267,0.0002645161293912679,1763260124.3122823,0.033203125,,-0.01891593262553215,0.5048823356628418
,59783,117.0,64.50477266311646,,,,1254,,,1763260124.7680807,,117.0,,
1052.0,60928,,65.55990767478943,35.25041198730469,-0.020903363823890686,0.8861328363418579,1271,0.009995019994676113,0.00026351766427978873,1763260125.8232157,0.05859375,,0.0036194901913404465,0.49086204171180725
1055.0,63104,,67.50636649131775,0.03548440337181091,0.0454714410007,0.9970282316207886,1299,0.0355740524828434,0.0002622119791340083,1763260127.7696745,0.1536458283662796,,-0.05586465448141098,0.5310800075531006
1060.0,66816,,70.71067476272583,0.0732785016298294,-0.013942903839051723,0.00018715858459472656,1339,0.001249304972589016,0.000259984633885324,1763260130.9739828,0.0,,0.008837953209877014,0.4155281186103821
1059.0,66944,,70.85547876358032,0.00534799974411726,0.06931579113006592,0.6634953022003174,1340,0.06468583643436432,0.0002599078288767487,1763260131.1187868,0.1171875,,-0.08933908492326736,0.46250516176223755
,69256,500.0,72.92206811904907,,,,1363,,,1763260133.1853762,,500.0,,
1061.0,69504,,73.14665579795837,0.004112706985324621,-0.008765251375734806,0.3108152151107788,1365,0.009532813914120197,0.0002583717287052423,1763260133.4099638,0.052734375,,0.005366399884223938,0.4057965874671936
1062.0,70016,,73.59072613716125,0.0001445302477804944,0.012651944532990456,0.7937614917755127,1370,0.02321072667837143,0.000258064508670941,1763260133.8540342,0.15234375,,0.004256274085491896,0.4322286546230316
1057.0,71040,,74.84260535240173,4.4056621845811605e-05,0.009622681885957718,0.24503928422927856,1380,0.013649344444274902,0.00025745006860233843,1763260135.1059134,0.044921875,,-0.021953176707029343,0.38993167877197266
1056.0,71168,,75.03357267379761,0.00028301842394284904,0.03724641725420952,0.14802294969558716,1381,0.02599461004137993,0.0002573732635937631,1763260135.2968807,0.078125,,0.012952679768204689,0.41560104489326477
1051.0,71808,,75.9897632598877,3.5728893280029297,0.000784105621278286,0.0005165934562683105,1388,0.0004138173535466194,0.0002569892385508865,1763260136.2530713,0.0,,0.00215994194149971,0.4273740351200104
1045.0,72576,,77.1400887966156,0.00020819531346205622,-0.007806950248777866,0.364044189453125,1395,0.000725998543202877,0.0002565284084994346,1763260137.4033968,0.0,,0.00508686900138855,0.4355108439922333
1042.0,72960,,77.68922209739685,0.004126480780541897,0.021769996732473373,0.5193110704421997,1399,0.04076746478676796,0.00025629799347370863,1763260137.9525301,0.11328125,,-0.039882294833660126,0.3814540207386017
1037.0,73600,,78.64643740653992,6.94085902068764e-05,0.022668296471238136,0.5948554277420044,1405,0.021489838138222694,0.00025591396843083203,1763260138.9097455,0.12890625,,-0.04715327173471451,0.37617161870002747
1007.0,76288,,83.3998110294342,1.011013318930054e-05,0.06571432948112488,0.4177249073982239,1432,0.019089218229055405,0.0002543010632507503,1763260143.663119,0.095703125,,-0.017293259501457214,0.37883836030960083
,76301,500.0,83.45695042610168,,,,1433,,,1763260143.7202585,,500.0,,
984.0,78592,,87.54394125938416,5.581940058618784e-05,0.02406625635921955,0.6069514751434326,1455,0.00854457262903452,0.00025291857309639454,1763260147.8072493,0.046875,,-0.009958352893590927,0.3123027980327606
983.0,78720,,87.74314880371094,1.3688118087884504e-05,0.0008503561839461327,-0.1271073818206787,1456,0.028576504439115524,0.0002528417680878192,1763260148.0064569,0.150390625,,0.005668371915817261,0.3415021300315857
,78801,500.0,87.79141163825989,,,,1457,,,1763260148.0547197,,500.0,,
953.0,84608,,96.44492053985596,9.738443623064086e-06,0.017355896532535553,0.04890275001525879,1514,0.007981286384165287,0.00024930876679718494,1763260156.7082286,0.03515625,,-0.0423930361866951,0.32746565341949463
949.0,85248,,97.45165252685547,3.841843366622925,-0.008066017180681229,0.0003554224967956543,1521,0.0029048845171928406,0.00024892474175430834,1763260157.7149606,0.04296875,,-0.001513265073299408,0.29386013746261597
946.0,85888,,98.39996218681335,8.085687295533717e-05,0.03639116883277893,0.23990005254745483,1527,0.013119646348059177,0.00024854071671143174,1763260158.6632702,0.0390625,,-0.018775910139083862,0.3212294280529022
,86126,500.0,98.63118505477905,,,,1529,,,1763260158.894493,,500.0,,
,86626,500.0,99.34646415710449,,,,1534,,,1763260159.6097722,,500.0,,
943.0,86784,,99.7102484703064,0.003407079726457596,0.015090227127075195,0.701441764831543,1536,0.004778139293193817,0.0002480030816514045,1763260159.9735565,0.037109375,,-0.029995175078511238,0.2958870828151703
940.0,87552,,100.81425189971924,5.040762698627077e-05,0.0025591449812054634,-0.34279966354370117,1543,0.0013835662975907326,0.0002475422515999526,1763260161.07756,0.0078125,,-0.0026169680058956146,0.2502131760120392
939.0,87680,,101.04292058944702,0.024083979427814484,0.024605097249150276,0.00013381242752075195,1545,0.005069253966212273,0.00024746544659137726,1763260161.3062286,0.01953125,,-0.006960699334740639,0.26131346821784973
938.0,87808,,101.2281186580658,0.0029455851763486862,0.012999601662158966,0.4077973961830139,1546,0.015080468729138374,0.00024738864158280194,1763260161.4914267,0.052734375,,-0.00010395795106887817,0.33417603373527527
934.0,89088,,103.06426310539246,9.532320291327778e-06,0.0022891517728567123,0.40593641996383667,1558,0.0004071425646543503,0.00024662059149704874,1763260163.3275712,0.0,,-0.004989646375179291,0.3379814922809601
,89126,500.0,103.10877561569214,,,,1559,,,1763260163.3720837,,500.0,,
931.0,89600,,103.8380811214447,0.00014158872363623232,0.0019859271124005318,0.13479775190353394,1563,0.019202912226319313,0.00024631337146274745,1763260164.1013892,0.09765625,,-0.014656968414783478,0.24848514795303345
930.0,89856,,104.27077555656433,0.0016207530861720443,0.012113179080188274,0.2873099446296692,1566,0.001931927166879177,0.0002461597614455968,1763260164.5340836,0.005859375,,-0.00970987044274807,0.30276814103126526
919.0,92160,,107.87032175064087,0.011763266287744045,0.0068522244691848755,0.00013238191604614258,1589,0.0006553120911121368,0.00024477727129124105,1763260168.1336298,0.00390625,,-0.0003111381083726883,0.24934586882591248
917.0,93056,,109.13009190559387,7.535806071246043e-05,0.011708766222000122,0.29614710807800293,1597,0.001951608806848526,0.0002442396362312138,1763260169.3934,0.001953125,,-0.008675530552864075,0.24318304657936096
913.0,94080,,110.64318799972534,8.740617340663448e-05,-0.013640989549458027,0.0512734055519104,1607,0.005880712531507015,0.00024362519616261125,1763260170.906496,0.013671875,,0.014496700838208199,0.28099367022514343
913.0,94208,,110.85813164710999,144.30242919921875,-0.01444990560412407,0.00020080804824829102,1609,0.0018224306404590607,0.00024354839115403593,1763260171.1214397,0.00390625,,-0.002540756016969681,0.20690570771694183
912.0,94336,,111.0420401096344,0.0015567048685625196,-0.005900789983570576,0.3688737154006958,1610,0.002278541214764118,0.0002434715861454606,1763260171.3053482,0.009765625,,0.01853834092617035,0.2702542543411255
908.0,96000,,113.34735155105591,9.195417078444734e-05,-0.0031050462275743484,0.2840763330459595,1626,0.0008970536291599274,0.00024247312103398144,1763260173.6106596,0.05859375,,0.0035450439900159836,0.19406834244728088
905.0,97152,,114.95848989486694,3.4920778274536133,0.012543505057692528,8.827447891235352e-05,1638,0.0012612976133823395,0.00024178187595680356,1763260175.221798,0.001953125,,0.002297334372997284,0.280534565448761
884.0,102144,,123.23171758651733,140.5146026611328,0.006776563823223114,1.1444091796875e-05,1687,0.0001584608107805252,0.00023878648062236607,1763260183.4950256,0.0,,-0.003355925902724266,0.20147199928760529
869.0,106752,,130.4562406539917,22.097084045410156,0.00844262819737196,0.00035560131072998047,1732,0.011288061738014221,0.00023602150031365454,1763260190.7195487,0.04296875,,-0.033951595425605774,0.2711951732635498
,108126,500.0,132.36674523353577,,,,1745,,,1763260192.6300533,,500.0,,
865.0,108928,,133.61426758766174,1.7951770132640377e-05,-9.122304618358612e-05,0.6030102968215942,1753,3.46694141626358e-05,0.0002347158151678741,1763260193.8775756,0.0,,-0.0023563355207443237,0.21850092709064484
864.0,109056,,133.7931888103485,0.00020095348008908331,0.021098408848047256,0.4433337450027466,1754,0.039272602647542953,0.00023463901015929878,1763260194.0564969,0.07421875,,0.014047643169760704,0.23167896270751953
,110126,500.0,135.3349301815033,,,,1765,,,1763260195.5982382,,500.0,,
861.0,110464,,135.88155245780945,6.709833542117849e-06,0.006417694501578808,0.3150588870048523,1768,0.0004460299387574196,0.00023379416961688548,1763260196.1448605,0.0,,-0.004362564533948898,0.21034924685955048
859.0,111360,,137.20783495903015,0.0021977205760776997,0.008501012809574604,0.7000229358673096,1777,0.00242569949477911,0.00023325653455685824,1763260197.471143,0.025390625,,-0.016034677624702454,0.30546078085899353
851.0,115584,,143.46322512626648,0.00022946554236114025,0.009790879674255848,-0.3576921224594116,1818,0.004525718279182911,0.00023072196927387267,1763260203.7265332,0.029296875,,-0.004307931289076805,0.16724711656570435
850.0,116096,,144.2324423789978,0.0002474413195159286,-0.0049818577244877815,0.41033869981765747,1823,0.0014858292415738106,0.0002304147492395714,1763260204.4957504,0.033203125,,0.0023637712001800537,0.2162243127822876
845.0,118912,,148.40316772460938,4.559649823931977e-05,0.012472430244088173,0.8940427303314209,1851,0.002195119857788086,0.00022872503905091435,1763260208.6664758,0.005859375,,-0.00846019946038723,0.20023511350154877
844.0,119424,,149.1733295917511,2.3384494852507487e-05,0.004373962990939617,0.2779042720794678,1856,0.0017567696049809456,0.00022841781901661307,1763260209.4366376,0.056640625,,0.0007535777986049652,0.22908978164196014
,120626,500.0,150.88069558143616,,,,1868,,,1763260211.1440036,,500.0,,
,121126,500.0,151.66196203231812,,,,1873,,,1763260211.92527,,500.0,,
840.0,121600,,152.40777206420898,0.0001815056602936238,0.007734638638794422,0.3992312550544739,1877,0.002631581388413906,0.00022711213387083262,1763260212.67108,0.01171875,,-0.008518613874912262,0.16426163911819458
838.0,122496,,153.76586484909058,5.509471520781517e-05,0.003100855275988579,0.22097498178482056,1886,0.001065937802195549,0.00022657449881080538,1763260214.029173,0.0078125,,-0.00473761186003685,0.19351384043693542
835.0,124160,,156.27822160720825,0.012525755912065506,0.012300433591008186,0.00048345327377319336,1903,0.0017283819615840912,0.00022557603369932622,1763260216.5415297,0.0234375,,-0.0007087010890245438,0.11198066174983978
835.0,124544,,156.81620597839355,0.0002590027288533747,0.014879865571856499,0.2649728059768677,1906,0.006650930270552635,0.00022534561867360026,1763260217.079514,0.0390625,,0.00016425549983978271,0.14000260829925537
832.0,125696,,158.65023136138916,0.5937910676002502,-0.011092055588960648,0.000842750072479248,1918,0.0023829182609915733,0.00022465437359642237,1763260218.9135394,0.013671875,,-0.0012234151363372803,0.2063848227262497
832.0,125952,,159.04229474067688,6.849276542197913e-05,0.0019771046936511993,0.6443585753440857,1920,0.0009152386337518692,0.00022450076357927173,1763260219.3056028,0.01953125,,-0.004655558615922928,0.18985185027122498
828.0,128512,,162.8915252685547,0.00015928089851513505,-0.0045987702906131744,0.6082913875579834,1945,0.0005730502307415009,0.00022296466340776533,1763260223.1548333,0.03515625,,0.00141046941280365,0.1350308209657669
825.0,129920,,165.03261303901672,0.0008329456904903054,0.10303982347249985,-2.8062758445739746,1959,0.031031664460897446,0.00022211982286535203,1763260225.295921,0.0729166641831398,,-0.045585889369249344,0.1625514030456543
823.0,131328,,167.13330149650574,0.0036904634907841682,-0.011965244077146053,0.41614586114883423,1973,0.011804558336734772,0.0002212749677710235,1763260227.3966095,0.068359375,,0.027556709945201874,0.16675430536270142
822.0,132608,,169.01459741592407,0.0004382900951895863,-0.004412882030010223,0.2550116777420044,1985,0.0011581964790821075,0.0002205069176852703,1763260229.2779055,0.001953125,,0.009595118463039398,0.14486990869045258
,133126,500.0,169.8099615573883,,,,1991,,,1763260230.0732696,,500.0,,
819.0,134272,,171.52222681045532,0.010842367075383663,-0.0035984423011541367,0.8828325271606445,2002,0.00028080306947231293,0.00021950845257379115,1763260231.7855349,0.0,,0.0038922354578971863,0.1519080102443695
819.0,134784,,172.256605386734,0.008167586289346218,0.0633649230003357,0.8338590264320374,2007,0.017876558005809784,0.00021920123253948987,1763260232.5199134,0.02734375,,-0.04181608930230141,0.18445411324501038
818.0,135680,,173.55396223068237,0.09768463671207428,-0.010909496806561947,0.003915548324584961,2016,0.005031093955039978,0.00021866359747946262,1763260233.8172703,0.013671875,,-0.0007332023233175278,0.18713420629501343
817.0,136064,,174.10001826286316,0.0006373735959641635,-0.009146940894424915,-0.3103008270263672,2019,0.005481487140059471,0.00021843318245373666,1763260234.3633263,0.048828125,,0.03715740144252777,0.18667379021644592
817.0,136576,,174.85909008979797,0.0006096801953390241,0.022622408345341682,-3.3493008613586426,2024,0.015670310705900192,0.00021812596241943538,1763260235.1223981,0.080078125,,-0.023315027356147766,0.24332714080810547
816.0,136832,,175.23377323150635,0.002305815927684307,-0.029966015368700027,0.8438782095909119,2027,0.010331653989851475,0.00021797235240228474,1763260235.4970813,0.0546875,,0.013320308178663254,0.1596527397632599
815.0,137600,,176.36137700080872,0.0006130893598310649,0.024729609489440918,-1.2250478267669678,2034,0.0046203117817640305,0.00021751152235083282,1763260236.624685,0.076171875,,-0.017781849950551987,0.2609226703643799
,138626,500.0,177.8540313243866,,,,2045,,,1763260238.1173394,,500.0,,
813.0,139264,,178.78240156173706,0.0019829452503472567,-0.039645008742809296,0.9001010060310364,2051,0.03309255093336105,0.00021651305723935366,1763260239.0457096,0.078125,,0.03480139002203941,0.19378884136676788
813.0,139392,,178.96154689788818,0.0019749770872294903,0.14095741510391235,-0.6693532466888428,2052,0.05272229015827179,0.00021643625223077834,1763260239.224855,0.107421875,,-0.049040786921978,0.14399677515029907
812.0,141184,,181.48636317253113,138.16554260253906,0.08227964490652084,0.00515592098236084,2070,0.02139837108552456,0.00021536098211072385,1763260241.7496712,0.08203125,,0.0107443667948246,0.16735973954200745
811.0,141824,,182.39112854003906,0.014491662383079529,-0.01797005534172058,0.7544066905975342,2076,0.015874698758125305,0.00021497695706784725,1763260242.6544366,0.037109375,,0.0025351718068122864,0.216275155544281
810.0,143616,,184.8615415096283,0.0009129125392064452,0.0004072831943631172,0.5666650533676147,2093,0.0028626443818211555,0.00021390168694779277,1763260245.1248496,0.06640625,,-0.019570212811231613,0.1458226889371872
,143626,500.0,184.89282298088074,,,,2094,,,1763260245.156131,,500.0,,
808.0,146048,,188.23020935058594,0.0016068435506895185,0.007619565352797508,0.720434308052063,2117,0.052706100046634674,0.00021244239178486168,1763260248.4935174,0.083984375,,-0.009934138506650925,0.22996725142002106
807.0,148992,,192.2627935409546,0.0006024803151376545,0.010693578980863094,0.8220714926719666,2146,0.0010282984003424644,0.00021067587658762932,1763260252.5261016,0.015625,,-0.012643791735172272,0.17565125226974487
,149126,500.0,192.4522829055786,,,,2148,,,1763260252.715591,,500.0,,
806.0,149888,,193.4862368106842,0.0020181741565465927,0.15048091113567352,0.8511485457420349,2155,0.08711329847574234,0.0002101382560795173,1763260253.7495449,0.1588541716337204,,-0.06586197018623352,0.15684637427330017
