global_step,losses/entropy,losses/old_approx_kl,losses/explained_variance,losses/clipfrac,_step,_runtime,losses/value_loss,charts/episodic_length,_timestamp,charts/SPS,charts/learning_rate,charts/episodic_return,losses/approx_kl,losses/policy_loss
14464,0.5896162986755371,0.00592304952442646,0.05671226978302002,0.0,274,42.58625602722168,39.37759017944336,,1763260095.350207,860.0,0.0002913978532887995,,0.0003564450889825821,0.005240388214588165
15800,,,,,292,44.28504133224487,,122.0,1763260097.0489924,,,122.0,,
17890,,,,,321,46.97587561607361,,380.0,1763260099.7398267,,,380.0,,
18432,0.5733324289321899,0.0007969271391630173,-0.01165783405303955,0.0,327,47.66353464126587,27.82589340209961,,1763260100.4274857,842.0,0.0002890168980229646,,2.041645348072052e-05,0.0014933794736862183
18688,0.5658478140830994,-0.019382301717996597,-0.022298455238342285,0.078125,330,47.97660803794861,47.60061264038086,,1763260100.740559,842.0,0.00028886328800581396,,0.010579288005828857,-0.005085962824523449
18944,0.5934505462646484,0.005441648885607719,0.17772197723388672,0.0,332,48.25193738937378,27.142484664916992,,1763260101.0158885,843.0,0.0002887096779886633,,0.00021632760763168335,-0.0036478787660598755
19328,0.5991009473800659,0.00309623870998621,-0.05607402324676514,0.0,337,48.71013593673706,41.68409729003906,,1763260101.474087,843.0,0.00028847926296293736,,0.0011262530460953712,-0.021540645509958267
19712,0.5478351712226868,0.0031615542247891426,-0.025735855102539062,0.0,340,49.105902433395386,24.836055755615234,,1763260101.8698535,845.0,0.0002882488479372114,,0.0004335707053542137,0.0021831393241882324
22528,0.5677553415298462,0.004360128194093704,0.4015420079231262,0.0,370,52.12579870223999,18.92924690246582,,1763260104.8897498,855.0,0.00028655913774855435,,0.00035706162452697754,-0.007576353847980499
22924,,,,,375,52.569896936416626,,279.0,1763260105.333848,,,279.0,,
24871,,,,,396,54.66377902030945,,353.0,1763260107.42773,,,353.0,,
27648,0.5291941165924072,-0.004177531227469444,0.7252204418182373,0.0,425,57.468244791030884,65.99075317382812,,1763260110.2321959,872.0,0.00028348693740554154,,0.00017251446843147278,0.00033900514245033264
29312,0.4808466136455536,-0.0037207677960395813,0.00043451786041259766,0.0,441,59.020612955093384,14.451454162597656,,1763260111.784564,881.0,0.0002824884722940624,,0.00010681711137294769,0.003370966762304306
30208,0.5394318103790283,0.000952194444835186,-6.532669067382812e-05,0.0,450,59.92213702201843,11.901799201965332,,1763260112.686088,884.0,0.00028195083723403513,,0.0001677265390753746,0.001499362289905548
32000,0.5854822397232056,0.0002393033355474472,-0.0028264522552490234,0.0,471,61.759990215301514,34.216224670410156,,1763260114.5239413,889.0,0.00028087556711398065,,0.00023731961846351624,-0.0002148449420928955
33024,0.5592553019523621,-0.00705653615295887,-0.0062444210052490234,0.0,481,62.768049240112305,10.113503456115723,,1763260115.5320003,892.0,0.0002802611270453781,,0.002138778567314148,0.006447361782193184
33792,0.4804475009441376,1.9359402358531952e-05,-0.012059450149536133,0.0,490,63.55166792869568,10.3234281539917,,1763260116.315619,894.0,0.00027980029699392617,,7.515773177146912e-07,9.683473035693169e-05
