charts/learning_rate,charts/episodic_length,charts/episodic_return,losses/policy_loss,_runtime,losses/explained_variance,losses/clipfrac,losses/approx_kl,losses/old_approx_kl,_timestamp,global_step,losses/entropy,losses/value_loss,charts/SPS,_step
,,,,25.192044019699097,,,,,1763260078.040766,0,,,,0
,13.0,13.0,,26.030376434326172,,,,,1763260078.8790984,124,,,,7
0.0002996927942149341,,,-0.03442223370075226,26.610301971435547,-0.08199071884155273,0.0,0.0036306921392679214,0.010067380964756012,1763260079.459024,640,0.6631379127502441,30.614730834960938,1007.0,33
,59.0,59.0,,26.771570920944214,,,,,1763260079.620293,880,,,,41
,21.0,21.0,,26.995018005371094,,,,,1763260079.84374,1116,,,,47
,51.0,51.0,,27.68087911605835,,,,,1763260080.529601,1802,,,,64
,46.0,46.0,,28.0490562915802,,,,,1763260080.8977783,2250,,,,74
,101.0,101.0,,28.170125722885132,,,,,1763260081.0188477,2402,,,,77
,124.0,124.0,,28.972346782684326,,,,,1763260081.8210688,3284,,,,88
,177.0,177.0,,29.86788058280945,,,,,1763260082.7166026,4241,,,,102
,146.0,146.0,,29.9865403175354,,,,,1763260082.8352623,4387,,,,104
0.00029631337383762,,,0.002239041030406952,31.695176601409912,0.47249603271484375,0.0,0.001725464127957821,0.0015523312613368034,1763260084.5438986,6272,0.5478029251098633,49.10151672363281,1096.0,133
,218.0,218.0,,32.62698745727539,,,,,1763260085.4757094,7405,,,,147
0.0002955453237518668,,,-0.010944944806396961,32.83027219772339,-0.026099205017089844,0.0,0.0007637888193130493,0.000623852014541626,1763260085.6789942,7552,0.5589324831962585,54.572200775146484,1101.0,149
,231.0,231.0,,32.85963487625122,,,,,1763260085.7083569,7636,,,,150
0.00029523810371756554,,,0.006858650594949722,33.277841567993164,-0.026595115661621094,0.0,0.0001628706231713295,-0.0035112546756863594,1763260086.1265635,8064,0.551889181137085,51.41220474243164,1104.0,155
0.0002951612987089902,,,-0.011032400652766228,33.39075589179993,0.12337779998779297,0.0,0.0032200999557971954,0.013675937429070473,1763260086.2394779,8192,0.6081157326698303,38.96045684814453,1104.0,157
,117.0,117.0,,34.244476556777954,,,,,1763260087.0931985,9212,,,,172
,196.0,196.0,,36.13360929489136,,,,,1763260088.9823313,10861,,,,195
,249.0,249.0,,37.04745411872864,,,,,1763260089.896176,11459,,,,203
,171.0,171.0,,38.29004406929016,,,,,1763260091.138766,12232,,,,213
,108.0,108.0,,38.73868536949158,,,,,1763260091.5874074,12470,,,,217
0.0002920122933574021,,,0.000892389565706253,40.33146071434021,-0.04573798179626465,0.00390625,0.0028050895780324936,0.024925347417593002,1763260093.1801827,13440,0.5659400820732117,40.05070877075195,936.0,228
,215.0,215.0,,40.81523633003235,,,,,1763260093.6639583,13784,,,,233
,191.0,191.0,,42.788103342056274,,,,,1763260095.6368253,15290,,,,251
0.000290552998194471,,,0.021141119301319122,43.51996612548828,0.0999789834022522,0.0,0.0011776769533753395,-0.009532314725220203,1763260096.368688,15872,0.5906623005867004,75.72763061523438,904.0,259
,179.0,179.0,,44.10113549232483,,,,,1763260096.9498575,16438,,,,265
0.0002897849481087178,,,-0.000875670462846756,44.9374361038208,0.35440945625305176,0.0,0.00010701455175876617,-0.0026830416172742844,1763260097.786158,17152,0.5440447926521301,24.468154907226562,904.0,273
,182.0,182.0,,44.98839211463928,,,,,1763260097.837114,17269,,,,274
0.00028886328800581396,,,-0.000871006865054369,46.66440749168396,0.014591872692108154,0.0,2.4463050067424774e-05,-3.9888545870780945e-06,1763260099.5131295,18688,0.605739414691925,29.964487075805664,903.0,292
0.00028732718783430755,,,-0.0005378909409046173,49.33233594894409,0.008030891418457031,0.0,1.7597340047359467e-05,-0.0008192947134375572,1763260102.181058,21248,0.5894108414649963,22.971139907836914,909.0,321
0.00028694316279143095,,,0.0014257729053497314,49.908244609832764,0.07029581069946289,0.0,0.0002590082585811615,-0.001699233427643776,1763260102.7569666,21888,0.5475243330001831,20.047876358032227,914.0,327
,86.0,86.0,,50.071386098861694,,,,,1763260102.920108,22019,,,,330
0.000286712747765705,,,0.0032572224736213684,50.32151651382446,-0.06128084659576416,0.0,0.00011374708265066147,-8.023343980312347e-06,1763260103.1702385,22272,0.5517034530639648,22.695322036743164,914.0,332
0.00028648233273997903,,,-0.018541961908340454,50.73417806625366,0.07152771949768066,0.0234375,0.005381038412451744,0.010541697964072227,1763260103.5829,22656,0.5241249799728394,73.37779235839844,915.0,337
0.0002863287227228284,,,-0.034483492374420166,50.97620725631714,0.15215015411376953,0.01171875,0.00423426553606987,0.009262222796678543,1763260103.8249292,22912,0.5729125738143921,62.743202209472656,916.0,340
0.0002848694275598973,,,-0.001329127699136734,53.483789682388306,0.6422148942947388,0.0,0.0014481684193015099,-0.0160716250538826,1763260106.3325117,25344,0.5641430020332336,45.71269989013672,921.0,370
0.000284562207525596,,,-0.002438068389892578,53.99728870391846,-0.017910003662109375,0.0,0.00013130810111761093,-0.0007531987503170967,1763260106.8460107,25856,0.5612533092498779,17.35554313659668,922.0,375
0.00028356374241411686,,,-0.007510343566536903,55.68886351585388,0.9350890517234802,0.00390625,0.004436514340341091,0.01513517927378416,1763260108.5375855,27520,0.5246948003768921,8.763171195983887,926.0,396
,134.0,134.0,,57.54990911483765,,,,,1763260110.398631,29467,,,,425
,66.0,66.0,,58.61472296714783,,,,,1763260111.463445,30580,,,,441
,145.0,145.0,,59.24288606643677,,,,,1763260112.091608,31117,,,,450
