global_step,losses/policy_loss,losses/explained_variance,_timestamp,_runtime,losses/clipfrac,charts/learning_rate,charts/episodic_return,losses/old_approx_kl,charts/SPS,losses/approx_kl,losses/value_loss,charts/episodic_length,_step,losses/entropy
10810,,,1763260089.479022,36.574963092803955,,,189.0,,,,,189.0,213,
11008,-0.006274886429309845,0.22740191221237183,1763260089.9026153,36.99855637550354,0.0,0.00029347158852033317,,-0.0005816258490085602,1007.0,0.0005995221436023712,28.862857818603516,,217,0.6099711060523987
11870,,,1763260091.2029405,38.29888153076172,,,196.0,,,,,196.0,228,
12343,,,1763260091.9677024,39.06364345550537,,,473.0,,,,,473.0,233,
13786,,,1763260094.237709,41.3336501121521,,,224.0,,,,,224.0,251,
14517,,,1763260095.215265,42.311206102371216,,,181.0,,,,,181.0,259,
14976,0.0003585517406463623,0.125066339969635,1763260095.8139808,42.90992188453674,0.0,0.00029109063325449824,,-0.001103443093597889,889.0,3.3964402973651886e-05,46.06919860839844,,265,0.5569363832473755
15616,-0.001322341151535511,0.22969675064086914,1763260096.5619886,43.65792965888977,0.0,0.00029070660821162164,,0.00021257810294628143,888.0,3.405474126338959e-05,33.40855407714844,,273,0.5557394623756409
15647,,,1763260096.5853896,43.68133068084717,,,235.0,,,,,235.0,274,
17024,0.01637020707130432,0.4375481605529785,1763260098.2403057,45.336246728897095,0.025390625,0.0002898617531172931,,-0.0017706239596009254,883.0,0.0030587753280997276,43.18978500366211,,292,0.5919619202613831
19304,,,1763260100.7534351,47.84937620162964,,,161.0,,,,,161.0,321,
19712,-0.00039967894554138184,0.37954235076904297,1763260101.293847,48.38978815078735,0.0,0.0002882488479372114,,0.0026854686439037323,883.0,0.0004507005214691162,25.73703384399414,,327,0.526293158531189
19876,,,1763260101.4625232,48.55846428871155,,,120.0,,,,,120.0,330,
19968,-0.006522931158542633,0.3548074960708618,1763260101.6031923,48.69913339614868,0.0,0.00028809523792006075,,0.006197054870426655,882.0,0.0006280755624175072,31.753353118896484,,332,0.5547140836715698
20480,-0.0059327781200408936,-0.0059272050857543945,1763260102.130293,49.226233959198,0.01171875,0.00028778801788575947,,0.0033733798190951347,884.0,0.003717399202287197,53.72671890258789,,337,0.5433542728424072
20736,0.0006776973605155945,-0.0132218599319458,1763260102.3905413,49.48648238182068,0.0,0.00028763440786860883,,0.0012000901624560356,885.0,2.6463530957698822e-05,27.742389678955078,,340,0.5525468587875366
23327,,,1763260105.0054212,52.101362228393555,,,190.0,,,,,190.0,370,
23680,-0.001772657036781311,0.5973024368286133,1763260105.4287286,52.5246696472168,0.0,0.00028586789267137647,,0.00026090163737535477,895.0,5.0022266805171967e-05,36.053409576416016,,375,0.6166985034942627
25251,,,1763260107.0712779,54.167218923568726,,,193.0,,,,,193.0,396,
27536,,,1763260109.3771257,56.47306680679321,,,157.0,,,,,157.0,425,
29056,-0.009640462696552277,0.08179813623428345,1763260110.8293474,57.925288438797,0.0,0.000282642082311213,,0.007999127730727196,912.0,0.0009403340518474579,13.733685493469238,,441,0.5989764928817749
29824,-0.0006210431456565857,0.029110431671142578,1763260111.507099,58.60303997993469,0.0,0.0002821812522597611,,-0.0009529711678624153,916.0,1.4883466064929962e-05,10.823450088500977,,450,0.606025218963623
31454,,,1763260113.0284371,60.1243782043457,,,279.0,,,,,279.0,471,
32256,-0.005250625312328339,0.6744713187217712,1763260113.8756263,60.97156739234924,0.0,0.00028072195709683,,0.0041406480595469475,924.0,0.0002548759803175926,45.380523681640625,,481,0.5898879766464233
33024,0.001994054764509201,0.6460757255554199,1763260114.5919824,61.687923431396484,0.0,0.0002802611270453781,,0.0014940667897462845,927.0,3.746338188648224e-05,71.95865631103516,,490,0.6231170892715454
34086,,,1763260115.6051166,62.70105767250061,,,222.0,,,,,222.0,504,
34944,-0.0006974879652261734,-0.00821065902709961,1763260116.450422,63.54636311531067,0.0,0.0002791090519167483,,-0.00031609367579221725,932.0,4.0986575186252594e-05,136.24244689941406,,515,0.6050673127174377
36224,0.014839902520179749,0.8269093036651611,1763260117.656856,64.75279712677002,0.0,0.0002783410018309951,,-0.011710898950695992,936.0,0.002987857908010483,38.19989776611328,,530,0.6102055311203003
36864,0.0006863400340080261,0.02351987361907959,1763260118.3032775,65.39921855926514,0.0,0.0002779569767881185,,-0.002753303386271,937.0,2.5725923478603363e-05,8.347488403320312,,539,0.6359584927558899
37632,-0.0031249113380908966,0.05219525098800659,1763260118.9874008,66.08334183692932,0.0,0.00027749614673666656,,0.0009822016581892967,940.0,3.155414015054703e-05,6.949397087097168,,547,0.5809165239334106
38272,0.0004157423973083496,0.001591324806213379,1763260119.5849922,66.6809332370758,0.0,0.00027711212169378996,,7.709208875894547e-05,942.0,9.146798402070999e-05,6.637420177459717,,555,0.5931434631347656
38577,,,1763260119.8280115,66.92395257949829,,,261.0,,,,,261.0,559,
39296,0.00041075795888900757,0.4755951762199402,1763260120.5201883,67.61612939834595,0.0,0.0002764976816251874,,0.0017764745280146599,945.0,8.152518421411514e-05,6.005397796630859,,568,0.5877552628517151
41551,,,1763260122.529632,69.62557315826416,,,123.0,,,,,123.0,595,
43136,0.0013720467686653137,0.05819004774093628,1763260123.9990406,71.09498167037964,0.0,0.00027419356047175825,,-0.0022761551663279533,958.0,0.0006325347349047661,5.307123184204102,,612,0.5888316631317139
43264,0.006037112325429916,0.28227680921554565,1763260124.1149974,71.21093845367432,0.0,0.0002741167554631829,,-0.007064075209200382,958.0,0.00035886187106370926,48.67441177368164,,614,0.5772483944892883
44815,,,1763260125.4919033,72.58784437179565,,,157.0,,,,,157.0,630,
