losses/clipfrac,losses/old_approx_kl,charts/episodic_return,losses/explained_variance,losses/entropy,global_step,_step,charts/episodic_length,_runtime,charts/learning_rate,charts/SPS,_timestamp,losses/policy_loss,losses/approx_kl,losses/value_loss
,,,,,0,0,,24.997201681137085,,,1763260077.5422137,,,
,,21.0,,,138,7,21.0,26.110653162002563,,,1763260078.6556652,,,
,,17.0,,,626,33,17.0,26.532333612442017,,,1763260079.0773456,,,
,,57.0,,,813,41,57.0,26.744520902633667,,,1763260079.289533,,,
,,13.0,,,980,47,13.0,26.879952907562256,,,1763260079.424965,,,
,,48.0,,,1428,64,48.0,27.36382007598877,,,1763260079.908832,,,
0.001953125,-0.0037089642137289047,,0.04565376043319702,0.6345165967941284,1792,74,,27.702712535858154,0.00029900154913775623,1020.0,1763260080.2477245,-0.019918590784072876,0.0017075594514608383,58.59415817260742
,,22.0,,,1878,77,22.0,27.739025354385376,,,1763260080.2840374,,,
,,41.0,,,2344,88,41.0,28.188198804855347,,,1763260080.7332108,,,
,,126.0,,,3048,102,126.0,28.800611972808838,,,1763260081.345624,,,
,,118.0,,,3166,104,118.0,28.911257028579712,,,1763260081.456269,,,
0.0,-0.0021301638334989548,,0.03484827280044556,0.5529093146324158,4864,133,,30.501806020736694,0.00029715822893194854,1067.0,1763260083.046818,-0.003994874656200409,0.00019165687263011932,50.533939361572266
0.0,-0.00013917963951826096,,0.10524016618728638,0.5744779706001282,5760,147,,31.291993618011475,0.0002966205938719213,1077.0,1763260083.8370056,-0.005193457007408142,8.428748697042465e-05,43.77439498901367
,,168.0,,,5919,149,168.0,31.42180109024048,,,1763260083.966813,,,
,,93.0,,,6012,150,93.0,31.467271327972412,,,1763260084.0122833,,,
,,154.0,,,6348,155,154.0,31.787179946899414,,,1763260084.332192,,,
0.001953125,0.004468297585844994,,0.15777450799942017,0.5695753693580627,6528,157,,31.98125720024109,0.0002961597638204694,1081.0,1763260084.5262692,-0.015636518597602844,0.0016959477216005325,67.25867462158203
0.0,0.00035490188747644424,,0.09181183576583862,0.5360622406005859,7680,172,,33.00925087928772,0.0002954685187432915,1087.0,1763260085.5542629,-0.0009244568645954132,3.0753202736377716e-05,66.93446350097656
0.0,-0.0026896828785538673,,0.6114904284477234,0.5867593288421631,9344,195,,34.48597717285156,0.00029447005363181233,1094.0,1763260087.0309892,-0.003567878156900406,0.00025881174951791763,39.6987190246582
0.0,-0.0067356666550040245,,0.1964152455329895,0.5933104157447815,9984,203,,35.36220026016235,0.00029408602858893573,1060.0,1763260087.9072123,0.012161388993263245,0.0003433460369706154,44.05717849731445
0.0,-0.0016279872506856918,,-0.03985941410064697,0.5782405734062195,10880,213,,36.30280017852783,0.0002935483935289085,1050.0,1763260088.8478122,-0.0004577822983264923,1.6277655959129333e-05,55.890403747558594
0.0,-0.0005932291969656944,,0.03759467601776123,0.5713843107223511,11136,217,,36.6607403755188,0.00029339478351175785,1039.0,1763260089.2057524,0.003839053213596344,0.00013172533363103867,40.702430725097656
,,276.0,,,12008,228,276.0,37.881648540496826,,,1763260090.4266605,,,
,,249.0,,,12372,233,249.0,38.46789026260376,,,1763260091.0129023,,,
0.0,0.007070248015224934,,0.437408447265625,0.6087912917137146,13824,251,,40.81212878227234,0.0002917818783316761,929.0,1763260093.3571408,-0.021842285990715027,0.0007840460166335106,41.737083435058594
0.0,-0.002348453737795353,,0.05011385679244995,0.6038902401924133,14464,259,,41.78457450866699,0.0002913978532887995,913.0,1763260094.3295865,0.0017419233918190002,2.797786146402359e-05,40.23706817626953
0.0,0.004490193910896778,,0.028129637241363525,0.5872240662574768,14976,265,,42.47078251838684,0.00029109063325449824,906.0,1763260095.0157945,0.005064245313405991,0.00021108705550432205,65.27687072753906
,,91.0,,,15496,273,91.0,43.07622027397156,,,1763260095.6212323,,,
0.0,0.0009488016366958618,,0.01814192533493042,0.5825275778770447,15616,274,,43.205854654312134,0.00029070660821162164,904.0,1763260095.7508667,-0.0020038187503814697,0.00011032074689865112,60.337158203125
0.0,-0.006305687129497528,,0.26673823595046997,0.5241670608520508,17152,292,,44.869970083236694,0.0002897849481087178,906.0,1763260097.414982,0.02820112556219101,0.0013801325112581253,32.98262405395508
,,271.0,,,19646,321,271.0,47.5158314704895,,,1763260100.0608435,,,
,,172.0,,,20093,327,172.0,47.98063564300537,,,1763260100.5256476,,,
0.0,-0.000650559552013874,,0.24554890394210815,0.6181908249855042,20352,330,,48.319448709487915,0.0002878648228943348,909.0,1763260100.8644607,-0.0013085342943668365,4.699360579252243e-05,27.33981704711914
0.0,-0.0004814211279153824,,0.4150553345680237,0.6019694805145264,20480,332,,48.46075892448425,0.00028778801788575947,909.0,1763260101.005771,0.010568618774414062,0.00077822245657444,41.13124084472656
0.0,-0.00010847579687833786,,0.14454537630081177,0.550565242767334,20864,337,,48.8835232257843,0.0002875576028600335,909.0,1763260101.4285352,-0.004943005740642548,6.0779042541980743e-05,54.055992126464844
0.0,-0.00012320932000875473,,0.735896646976471,0.5960574746131897,21120,340,,49.13544988632202,0.00028740399284288287,910.0,1763260101.680462,-0.00030671805143356323,4.208646714687347e-06,24.839494705200195
,,194.0,,,23398,370,194.0,51.44235277175903,,,1763260103.9873648,,,
0.0,0.00035782530903816223,,0.27940958738327026,0.5296276211738586,23680,375,,51.81480121612549,0.00028586789267137647,915.0,1763260104.3598132,0.002130165696144104,0.0001447964459657669,91.18000793457031
