_step,_timestamp,charts/episodic_return,losses/approx_kl,charts/SPS,losses/entropy,losses/value_loss,losses/explained_variance,losses/clipfrac,_runtime,global_step,losses/old_approx_kl,losses/policy_loss,charts/learning_rate,charts/episodic_length
0,1763260084.4085076,,,,,,,,25.945009469985962,0,,,,
7,1763260085.3463488,,4.303455352783203e-05,1011.0,0.6930900812149048,23.858322143554688,-0.028194785118103027,0.0,26.882850646972656,128,0.002222549170255661,-0.0025957152247428894,0.0003000000142492354,
33,1763260085.8665006,,0.00033315084874629974,989.0,0.6902293562889099,41.16652297973633,-0.0014696121215820312,0.0,27.403002500534058,640,-0.0068636704236269,-9.88692045211792e-05,0.0002996927942149341,
41,1763260086.0308747,,0.0007657576352357864,946.0,0.6857657432556152,23.420652389526367,0.011493861675262451,0.0,27.567376613616943,768,0.008184956386685371,-0.008754756301641464,0.0002996159892063588,
47,1763260086.1843626,63.0,,,,,,,27.72086453437805,933,,,,63.0
64,1763260087.1326542,33.0,,,,,,,28.669156074523926,1282,,,,33.0
74,1763260087.6662784,48.0,,,,,,,29.20278024673462,1572,,,,48.0
77,1763260087.8816826,55.0,,,,,,,29.418184518814087,1685,,,,55.0
88,1763260088.7152822,,0.004814997315406799,622.0,0.649846613407135,67.26859283447266,-0.03507554531097412,0.005859375,30.251784086227417,2176,-0.0226900577545166,0.018965549767017365,0.00029877113411203027,
102,1763260089.8947456,,0.000570378266274929,629.0,0.5500951409339905,52.77455520629883,0.023392200469970703,0.0,31.43124747276306,2944,0.0024270685389637947,-0.0036598071455955505,0.00029831030406057835,
104,1763260089.9642282,57.0,,,,,,,31.50073003768921,3019,,,,57.0
133,1763260093.4810212,,0.0014667212963104248,573.0,0.5417662262916565,63.627227783203125,0.015255331993103027,0.00390625,35.01752305030823,4736,0.014519579708576202,-0.0017832666635513306,0.00029723503394052386,
147,1763260096.2972753,,0.0004576202481985092,531.0,0.5673562288284302,65.75630187988281,-0.03889429569244385,0.001953125,37.83377718925476,5888,0.015324726700782776,0.0003882329910993576,0.000296543788863346,
149,1763260097.0051093,,0.00017848052084445953,521.0,0.5680651068687439,67.49530029296875,-0.007196187973022461,0.0,38.541611194610596,6144,-0.0016253627836704254,-0.0023727044463157654,0.00029639017884619534,
150,1763260097.0981896,500.0,,,,,,,38.6346914768219,6270,,,,500.0
155,1763260098.4791553,,0.00014519598335027695,501.0,0.5949495434761047,71.78501892089844,0.14224648475646973,0.0,40.01565718650818,6656,-0.001600426621735096,0.0007698964327573776,0.00029608295881189406,
157,1763260098.638725,83.0,,,,,,,40.17522692680359,6742,,,,83.0
172,1763260101.9475038,,0.000470639206469059,482.0,0.524915337562561,65.79985809326172,0.12019431591033936,0.0,43.48400568962097,8064,-0.0015209829434752464,-0.01853211224079132,0.00029523810371756554,
195,1763260105.823781,255.0,,,,,,,47.36028289794922,9969,,,,255.0
203,1763260107.2078838,153.0,,,,,,,48.744385719299316,10544,,,,153.0
213,1763260108.9060566,,0.00048525724560022354,475.0,0.5647101402282715,41.965789794921875,0.3887377381324768,0.0,50.4425585269928,11264,-0.005019445903599262,-0.00337093323469162,0.00029331797850318253,
217,1763260109.5443766,207.0,,,,,,,51.080878496170044,11637,,,,207.0
228,1763260111.6958425,234.0,,,,,,,53.23234438896179,12619,,,,234.0
233,1763260112.5362213,137.0,,,,,,,54.072723150253296,13006,,,,137.0
251,1763260115.5963619,,0.00019825994968414307,471.0,0.5536316633224487,29.337217330932617,0.49543243646621704,0.0,57.13286375999451,14336,0.000661483034491539,0.008293256163597107,0.00029147465829737484,
259,1763260116.7947202,173.0,,,,,,,58.33122205734253,14894,,,,173.0
265,1763260117.8864355,,2.603791654109955e-05,470.0,0.5615629553794861,32.635562896728516,0.48350948095321655,0.0,59.42293739318848,15360,-0.001289302483201027,0.002405621111392975,0.0002908602182287723,
273,1763260118.8438215,107.0,,,,,,,60.38032341003418,15839,,,,107.0
274,1763260119.076568,,0.0005044015124440193,468.0,0.550893247127533,19.213756561279297,0.7853585481643677,0.0,60.61306977272034,15872,-0.002982241101562977,-0.002878710627555847,0.000290552998194471,
292,1763260121.7457514,57.0,,,,,,,63.28225326538086,17259,,,,57.0
321,1763260126.4245188,,0.001276826485991478,475.0,0.5745261311531067,66.00770568847656,0.3451839089393616,0.0,67.9610207080841,19584,-0.009410370141267776,0.012263162061572075,0.0002883256529457867,
