charts/episodic_return,_runtime,losses/clipfrac,global_step,losses/approx_kl,charts/episodic_length,losses/old_approx_kl,losses/value_loss,losses/policy_loss,charts/learning_rate,_step,losses/entropy,losses/explained_variance,_timestamp,charts/SPS
,25.141554832458496,,0,,,,,,,0,,,1763260083.6115217,
21.0,26.41462516784668,,102,,21.0,,,,,7,,,1763260084.884592,
21.0,26.913775205612183,,584,,21.0,,,,,33,,,1763260085.383742,
35.0,27.051948070526123,,736,,35.0,,,,,41,,,1763260085.521915,
14.0,27.174092531204224,,857,,14.0,,,,,47,,,1763260085.6440594,
49.0,27.66417407989502,,1306,,49.0,,,,,64,,,1763260086.134141,
34.0,28.17862105369568,,1571,,34.0,,,,,74,,,1763260086.648588,
102.0,28.420150756835938,,1787,,102.0,,,,,77,,,1763260086.8901176,
,29.186014890670776,0.0,2176,0.0004331059753894806,,-0.0016776341944932938,45.02992630004883,-0.003627561032772064,0.00029877113411203027,88,0.620441734790802,-0.028899788856506348,1763260087.6559818,762.0
69.0,30.095750093460083,,2747,,69.0,,,,,102,,,1763260088.565717,
,30.275086641311646,0.013671875,2816,0.00869919266551733,,0.048960130661726,45.34040451049805,-0.0362045019865036,0.00029838710906915367,104,0.5953400135040283,0.14578008651733398,1763260088.7450535,714.0
,33.22012233734131,0.0,4864,0.0024874247610569,,0.012185536324977875,74.7688217163086,-0.00986344926059246,0.00029715822893194854,133,0.6265671253204346,0.18964684009552002,1763260091.6900892,706.0
441.0,35.64827513694763,,6056,,441.0,,,,,147,,,1763260094.118242,
171.0,35.9829683303833,,6227,,171.0,,,,,149,,,1763260094.4529352,
,36.239413022994995,0.0,6272,0.00031425803899765015,,-0.005732906982302666,58.17784118652344,-0.005222499370574951,0.00029631337383762,150,0.5662845969200134,-0.020252466201782227,1763260094.70938,633.0
295.0,37.21699571609497,,6727,,295.0,,,,,155,,,1763260095.6869626,
,37.862051248550415,0.0,6912,0.00019126757979393005,,0.0033400021493434906,67.8089370727539,0.0028269700706005096,0.0002959293487947434,157,0.5595244765281677,0.2776385545730591,1763260096.3320181,599.0
204.0,41.22798132896423,,8191,,204.0,,,,,172,,,1763260099.6979482,
,45.45257520675659,0.0,9984,3.848224878311157e-06,,-0.0007813815027475357,65.40792083740234,0.0014256052672863007,0.00029408602858893573,195,0.5581401586532593,-0.056743502616882324,1763260103.922542,522.0
