global_step,charts/episodic_length,losses/value_loss,losses/policy_loss,charts/learning_rate,losses/clipfrac,losses/explained_variance,_step,charts/SPS,losses/entropy,_runtime,charts/episodic_return,_timestamp,losses/approx_kl,losses/old_approx_kl
12028,91.0,,,,,,233,,,39.65362882614136,91.0,1763260092.7248597,,
13184,,38.55591583251953,0.026629865169525146,0.0002921659033745527,0.0,0.30761754512786865,251,849.0,0.5471917986869812,41.81146860122681,,1763260094.8826995,0.0015230299904942513,0.002511429600417614
13824,,41.32386779785156,-0.005400896072387695,0.0002917818783316761,0.0,-0.01907050609588623,259,845.0,0.5394299626350403,42.64465546607971,,1763260095.7158864,4.958640784025192e-05,0.0007477318868041039
14330,232.0,,,,,,265,,,43.186171531677246,232.0,1763260096.2574024,,
14905,269.0,,,,,,273,,,43.99613380432129,269.0,1763260097.0673647,,
14976,,32.67948913574219,0.006447069346904755,0.00029109063325449824,0.072265625,0.5970008373260498,274,839.0,0.5821737051010132,44.13455033302307,,1763260097.2057812,0.012628103606402874,0.037520669400691986
16128,,40.42115020751953,0.0033363401889801025,0.00029039938817732036,0.0,-0.009957075119018555,292,830.0,0.5954470634460449,45.71684551239014,,1763260098.7880764,9.530317038297653e-05,-0.0038579674437642097
18063,74.0,,,,,,321,,,48.21180057525635,74.0,1763260101.2830315,,
18560,,24.27527618408203,-0.0020049065351486206,0.0002889400930143893,0.0,0.6350576281547546,327,825.0,0.5720064043998718,48.78182291984558,,1763260101.8530538,0.00010203942656517029,0.0009139906615018845
18816,,15.274372100830078,-0.0044349320232868195,0.00028878648299723864,0.0,0.9325566291809082,330,825.0,0.5512840151786804,49.06787109375,,1763260102.139102,0.0004471363499760628,-0.00014536920934915543
18944,,19.855104446411133,-0.02096075937151909,0.0002887096779886633,0.044921875,0.9416368007659912,332,824.0,0.5341753959655762,49.24929451942444,,1763260102.3205254,0.008827130310237408,0.03905973955988884
19328,,18.208707809448242,-0.0006008297204971313,0.00028847926296293736,0.0,0.932800829410553,337,827.0,0.571427583694458,49.640933990478516,,1763260102.7121649,5.9913843870162964e-05,0.0018741041421890259
19566,169.0,,,,,,340,,,49.85023236274719,169.0,1763260102.9214633,,
21888,,19.459701538085938,-0.0014834795147180557,0.00028694316279143095,0.0,0.6089902520179749,370,831.0,0.5565486550331116,52.624303340911865,,1763260105.6955342,0.00010302569717168808,0.00021385308355093002
22272,,63.40248489379883,0.005765343084931374,0.000286712747765705,0.0,0.08342498540878296,375,832.0,0.5547407865524292,53.05016326904297,,1763260106.1213942,0.0002126535400748253,-0.002688164822757244
24136,275.0,,,,,,396,,,55.04970622062683,275.0,1763260108.120937,,
26496,,17.656856536865234,-0.010666055604815483,0.0002841781824827194,0.0,0.21678030490875244,425,846.0,0.5768980383872986,57.582369327545166,,1763260110.6536002,0.0004594959318637848,0.0014409814029932022
27904,,8.96313762664795,0.0007321350276470184,0.0002833333273883909,0.0,0.878498375415802,441,854.0,0.5693038105964661,58.95572781562805,,1763260112.0269587,0.00030360184609889984,0.001199854537844658
28672,,75.24335479736328,0.006847213953733444,0.000282872497336939,0.00390625,0.0009402632713317871,450,859.0,0.4352891743183136,59.66105079650879,,1763260112.7322817,0.0018299352377653122,0.005116775631904602
30706,435.0,,,,,,471,,,61.669291973114014,435.0,1763260114.7405229,,
31488,,95.25953674316406,-0.01233883947134018,0.00028118278714828193,0.0,0.07674461603164673,481,868.0,0.508155107498169,62.544785499572754,,1763260115.6160164,0.0004399251192808151,-0.003544224426150322
32256,,56.06079864501953,-0.008046640083193779,0.00028072195709683,0.0,0.4995623230934143,490,870.0,0.5602618455886841,63.33357787132263,,1763260116.4048088,7.831212133169174e-05,0.0015525063499808311
33536,,92.33357238769531,-0.004975892603397369,0.0002799539070110768,0.0,0.012655317783355713,504,874.0,0.566042959690094,64.61712956428528,,1763260117.6883605,0.0009787017479538918,0.00856285635381937
34816,,8.621366500854492,0.006330646574497223,0.0002791858569253236,0.0,0.23944461345672607,515,881.0,0.5158149003982544,65.7874402999878,,1763260118.8586712,0.00037412717938423157,0.006211807951331139
36295,363.0,,,,,,530,,,67.08480525016785,363.0,1763260120.1560361,,
