losses/value_loss,charts/learning_rate,_step,losses/old_approx_kl,losses/clipfrac,losses/approx_kl,charts/SPS,_timestamp,global_step,charts/episodic_return,charts/episodic_length,losses/explained_variance,_runtime,losses/entropy,losses/policy_loss
8.796323776245117,0.00027580646565183997,612,-0.0005482137203216553,0.0,8.784234523773193e-06,944.0,1763260121.3235064,40448,,,0.9334590435028076,68.77852129936218,0.5489538908004761,0.0004058443009853363
5.553332328796387,0.00027572966064326465,614,0.001262713223695755,0.0,4.947185516357422e-06,944.0,1763260121.437064,40576,,,0.9836341738700867,68.89207887649536,0.5395609736442566,-0.0003750324249267578
3.879258632659912,0.00027488480554893613,630,0.009191063232719898,0.005859375,0.006985940970480442,949.0,1763260122.7269995,41984,,,0.9756922125816345,70.18201446533203,0.5927022099494934,0.011721402406692505
3.44756817817688,0.00027457758551463485,636,0.0013486994430422783,0.0,2.0845793187618256e-05,951.0,1763260123.1727602,42496,,,0.015600442886352539,70.62777519226074,0.5796282887458801,0.0007117986679077148
4.573608875274658,0.0002743471704889089,640,-0.0008619874715805054,0.0,0.0003088153898715973,952.0,1763260123.5072188,42880,,,0.952703058719635,70.96223378181458,0.5463864207267761,-0.006820138543844223
6.5618438720703125,0.00027380953542888165,650,0.006747109815478325,0.0,0.0007073208689689636,955.0,1763260124.3181195,43776,,,0.8845077753067017,71.77313446998596,0.5475934743881226,0.0010878518223762512
2.4309380054473877,0.0002729646803345531,664,-0.0013890555128455162,0.0,2.5027431547641754e-05,959.0,1763260125.5791793,45184,,,-0.050531864166259766,73.03419423103333,0.5866547226905823,0.002308562397956848
,,684,,,,,1763260127.210427,47005,319.0,319.0,,74.66544198989868,,
1.8411366939544678,0.00027158219018019736,689,-0.0062845489010214806,0.0,0.00042987149208784103,965.0,1763260127.6516972,47488,,,0.5703045725822449,75.10671210289001,0.6132664084434509,0.0010554790496826172
,,698,,,,,1763260128.2167537,48066,277.0,277.0,,75.67176866531372,,
69.84739685058594,0.0002710445551201701,702,-0.0025863656774163246,0.0,0.0002704532817006111,966.0,1763260128.5679514,48384,,,-0.032367825508117676,76.0229663848877,0.5803732872009277,0.010857243090867996
,,707,,,,,1763260128.9343796,48775,184.0,184.0,,76.38939452171326,,
18.21603775024414,0.0002695084549486637,729,0.0004061153158545494,0.0,0.0004846779629588127,955.0,1763260131.8157504,50944,,,-0.6234709024429321,79.27076530456543,0.5648903846740723,-0.005167514085769653
0.9907856583595276,0.000267895549768582,757,-0.0024360613897442818,0.0,5.6616030633449554e-05,952.0,1763260134.807542,53632,,,-0.06709945201873779,82.26255702972412,0.6138707399368286,-0.0019130371510982513
0.9737975597381592,0.0002675883297342807,762,0.008462769910693169,0.0,0.0006725471466779709,953.0,1763260135.2936208,54144,,,0.2853717803955078,82.74863576889038,0.561712384223938,-0.02372751012444496
0.7976261973381042,0.0002672811096999794,767,-0.006432638503611088,0.0,0.0004883157089352608,953.0,1763260135.8277996,54656,,,0.33948957920074463,83.28281450271606,0.5146849155426025,-0.0018777977675199509
419.2243957519531,0.0002668970846571028,775,0.0010518133640289307,0.0,0.0002653691917657852,953.0,1763260136.4987602,55296,,,0.004971623420715332,83.95377516746521,0.5249806642532349,-0.0034253112971782684
0.48285216093063354,0.0002661290345713496,788,-0.003047661855816841,0.0,0.0001676119863986969,955.0,1763260137.718459,56576,,,0.1355770230293274,85.17347383499146,0.5770033001899719,-0.007265597581863403
0.38050341606140137,0.0002655913995113224,797,0.0020223986357450485,0.0,1.8756836652755737e-05,957.0,1763260138.53719,57472,,,-0.04279351234436035,85.99220490455627,0.5691103339195251,0.0006632581353187561
0.2923499047756195,0.00026505376445129514,806,-0.002598618157207966,0.0,0.00031534675508737564,958.0,1763260139.3917737,58368,,,-0.5103169679641724,86.84678864479065,0.5885300040245056,-0.0006789341568946838
0.24105285108089447,0.0002645161293912679,815,0.001267765648663044,0.0,0.0013090549036860466,959.0,1763260140.2787101,59264,,,-0.3141624927520752,87.73372507095337,0.6107332706451416,0.0010239481925964355
0.07400671392679214,0.0002618279540911317,863,0.007089631631970406,0.0,0.0006343070417642593,965.0,1763260144.518121,63744,,,0.12388455867767334,91.97313594818115,0.5002007484436035,-0.01261916384100914
419.8177185058594,0.00026129031903110445,872,-0.004561075009405613,0.0,0.0003993576392531395,966.0,1763260145.3535893,64640,,,0.000554203987121582,92.80860424041748,0.5607084631919861,0.011576741933822632
,,876,,,,,1763260145.72245,65102,500.0,500.0,,93.17746496200562,,
0.0007946104742586613,0.00025821811868809164,922,-0.024025149643421173,0.021484375,0.009216083213686943,973.0,1763260150.148417,69760,,,0.46566444635391235,97.60343194007874,0.5387309789657593,-0.017239362001419067
259.0905456542969,0.0002577572886366397,930,-0.0021158987656235695,0.0,0.0008963895961642265,973.0,1763260150.9095688,70528,,,0.00024265050888061523,98.36458373069763,0.5463912487030029,-0.006844453513622284
0.00023324684298131615,0.00025721965357661247,938,0.05889809504151344,0.0078125,0.004894232377409935,974.0,1763260151.7910795,71424,,,-0.457297682762146,99.24609446525574,0.5569025874137878,-0.013304449617862701
0.0038971868343651295,0.00025706604355946183,941,0.015098782256245613,0.001953125,0.0033470187336206436,974.0,1763260152.0703833,71680,,,-0.11641037464141846,99.52539825439453,0.533790111541748,-0.027278244495391846
0.0003292922046966851,0.0002569892385508865,942,0.010441099293529987,0.01171875,0.004285999573767185,974.0,1763260152.1795926,71808,,,-1.5676186084747314,99.63460755348206,0.5152636170387268,-0.010428208857774734
0.0001661866408539936,0.0002566052135080099,948,0.0074446918442845345,0.001953125,0.0015565073117613792,975.0,1763260152.7581468,72448,,,-0.24183166027069092,100.21316170692444,0.6137478351593018,-0.0025467798113822937
334.9384765625,0.0002550691133365035,974,0.003534335643053055,0.005859375,0.0016713924705982208,975.0,1763260155.4123657,75008,,,0.0013663172721862793,102.86738061904907,0.530342161655426,-0.01857544481754303
0.0040586842224001884,0.0002546850882936269,980,-0.0039076851680874825,0.0,0.0014218045398592949,975.0,1763260156.041084,75648,,,-0.09689879417419434,103.49609899520874,0.5162554383277893,-0.01606668159365654
0.005065733566880226,0.0002543778682593256,985,-0.004184654913842678,0.0,0.0007133716717362404,975.0,1763260156.5875406,76160,,,0.4391910433769226,104.04255557060242,0.4877113103866577,0.010749587789177895
0.006106561981141567,0.00025376342819072306,995,-0.008896014653146267,0.0,0.0012691626325249672,975.0,1763260157.6529272,77184,,,-1.10933518409729,105.1079421043396,0.5393593907356262,-0.005829222500324249
0.00010200306860497221,0.0002536098181735724,997,0.019711777567863464,0.009765625,0.0031441934406757355,975.0,1763260157.8926055,77440,,,0.05297350883483887,105.34762048721313,0.60671466588974,-0.0022387728095054626
0.0030790294986218214,0.00025253454805351794,1015,-0.002842877060174942,0.001953125,0.0009820051491260529,974.0,1763260159.8001745,79232,,,0.5217416286468506,107.25518941879272,0.4573259949684143,-0.00959128886461258
0.0006121465703472495,0.00025222732801921666,1020,0.020083554089069366,0.01171875,0.004720685072243214,974.0,1763260160.31397,79744,,,0.1433238983154297,107.76898503303528,0.4585173726081848,-0.007911132648587227
0.00022585048282053322,0.00025153611204586923,1031,0.011374182067811489,0.005859375,0.0033822255209088326,974.0,1763260161.5288415,80896,,,-0.8530737161636353,108.98385643959045,0.5882082581520081,0.010128051042556763
0.0007811881368979812,0.00025038403691723943,1050,0.011317366734147072,0.0,0.0004811137914657593,973.0,1763260163.5255578,82816,,,0.21654528379440308,110.98057270050049,0.5493896007537842,-0.003414250910282135
297.9400634765625,0.0002502304269000888,1053,0.002110554836690426,0.0,0.00025573093444108963,973.0,1763260163.8120615,83072,,,0.00011247396469116211,111.26707649230957,0.5275382399559021,0.012063398957252502
291.61651611328125,0.0002499232068657875,1058,0.007723093032836914,0.0,0.00229664146900177,973.0,1763260164.31465,83584,,,0.0007246732711791992,111.76966500282288,0.5364781022071838,0.0015470609068870544
0.006443220190703869,0.0002483871066942811,1083,-0.00509260967373848,0.01171875,0.0029289908707141876,976.0,1763260166.7006176,86144,,,-0.02192378044128418,114.15563249588013,0.5369348526000977,-0.008304206654429436
,,1091,,,,,1763260167.4242444,86983,500.0,500.0,,114.87925934791565,,
,,1106,,,,,1763260168.789619,88483,500.0,500.0,,116.24463391304016,,
0.0071594128385186195,0.00024623656645417213,1118,-0.006873387843370438,0.005859375,0.0025271959602832794,981.0,1763260169.9245377,89728,,,-0.31761395931243896,117.37955260276794,0.5058422088623047,-0.016206562519073486
,,1125,,,,,1763260170.562795,90483,500.0,500.0,,118.01780986785889,,
0.00028334150556474924,0.0002453149063512683,1133,0.022675715386867523,0.01171875,0.002787812612950802,983.0,1763260171.3289073,91264,,,-0.3150050640106201,118.78392219543457,0.5508937835693359,-0.008380427956581116
,,1145,,,,,1763260172.3916068,92483,500.0,500.0,,119.84662175178528,,
0.00015414906374644488,0.00024339478113688529,1164,-0.004296114668250084,0.0,0.0013640858232975006,986.0,1763260174.2059178,94464,,,-0.19324946403503418,121.66093277931213,0.5542647838592529,-0.008394481614232063
,,1165,,,,,1763260174.213609,94483,500.0,500.0,,121.66862392425537,,
0.00500714685767889,0.00024293395108543336,1172,0.008831186220049858,0.0,0.0028673969209194183,987.0,1763260174.9125936,95232,,,-0.016556859016418457,122.3676085472107,0.5376191735267639,-0.023948725312948227
0.004128000233322382,0.00024239631602540612,1181,0.009603871963918209,0.0,0.000603395514190197,988.0,1763260175.7315745,96128,,,-0.5694646835327148,123.18658947944641,0.5309683084487915,0.0025958754122257233
0.00918653141707182,0.00024208909599110484,1186,-0.0024276776239275932,0.0,0.0005556577816605568,989.0,1763260176.1770444,96640,,,0.37828528881073,123.63205933570862,0.47996416687965393,2.5760382413864136e-05
0.0005519694532267749,0.00024139785091392696,1197,0.049387700855731964,0.0546875,0.013994541950523853,990.0,1763260177.2206423,97792,,,0.2075827717781067,124.67565727233887,0.4915772080421448,-0.02179855853319168
0.00011894211638718843,0.0002403993858024478,1213,-0.010454499162733555,0.0078125,0.005252217873930931,992.0,1763260178.7136755,99456,,,0.09983062744140625,126.16869044303894,0.5919651389122009,-0.022077862173318863
312.2879333496094,0.00024032258079387248,1215,0.0060708001255989075,0.0,0.0006026476621627808,991.0,1763260178.9105597,99584,,,0.00019097328186035156,126.36557459831238,0.5093688368797302,-0.0024898946285247803
465.8074645996094,0.00023970814072526991,1226,0.001050090417265892,0.0078125,0.0005036480724811554,991.0,1763260179.9209747,100608,,,0.00146406888961792,127.37598967552185,0.4332340657711029,0.006609968841075897
,,1230,,,,,1763260180.3118265,101058,500.0,500.0,,127.76684141159058,,
0.00014848500723019242,0.00023917050566524267,1234,0.034585654735565186,0.01171875,0.007374526932835579,992.0,1763260180.7801244,101504,,,0.033828914165496826,128.2351393699646,0.5383422374725342,0.016914259642362595
,,1245,,,,,1763260181.8326113,102558,500.0,500.0,,129.2876262664795,,
0.022527562454342842,0.00023794162552803755,1254,0.003983587957918644,0.0546875,0.02069670334458351,992.0,1763260182.7840567,103552,,,0.36134862899780273,130.23907160758972,0.46384984254837036,-0.02527667209506035
0.005821775645017624,0.00023694316041655838,1271,-0.007743514142930508,0.0,0.0006910255178809166,992.0,1763260184.4558144,105216,,,0.42547380924224854,131.9108293056488,0.45252102613449097,-0.00488319993019104
,,1299,,,,,1763260187.4122946,108058,500.0,500.0,,134.8673095703125,,
596.358154296875,0.00023279570450540632,1339,-0.003191770985722542,0.0,0.0006825011223554611,989.0,1763260191.8305228,112128,,,0.0002911686897277832,139.28553771972656,0.4540829062461853,-0.005472665652632713
0.008252646774053574,0.000232718899496831,1340,0.006376282311975956,0.001953125,0.001971752382814884,989.0,1763260191.9546819,112256,,,0.3352731466293335,139.40969681739807,0.46036162972450256,-0.012106839567422867
202.30467224121094,0.00023218126443680376,1349,-0.0014467593282461166,0.0,0.0005337204784154892,989.0,1763260192.8565583,113152,,,-0.0001385211944580078,140.31157326698303,0.42093074321746826,-0.0016445033252239227
197.98301696777344,0.00023133640934247524,1363,0.0031814854592084885,0.0,0.0004238393157720566,990.0,1763260194.1319778,114560,,,-4.8041343688964844e-05,141.5869927406311,0.4578458070755005,-0.002981174737215042
0.0007261590217240155,0.0002311827993253246,1365,0.006077507510781288,0.001953125,0.0009388644248247147,990.0,1763260194.3591015,114816,,,-0.478113055229187,141.8141164779663,0.4204249978065491,-0.0037983767688274384
0.0006707769935019314,0.00023087557929102331,1370,-0.006791590712964535,0.001953125,0.0007291873916983604,991.0,1763260194.8607106,115328,,,0.11781328916549683,142.31572556495667,0.48805662989616394,-0.0005184095352888107
0.0004143014666624367,0.00023026113922242075,1380,-0.04418037459254265,0.017578125,0.006454452872276306,991.0,1763260195.8603048,116352,,,-1.2684319019317627,143.31531977653503,0.5109063982963562,0.009450448676943779
0.0003168297407682985,0.00023018433421384543,1381,-0.001426124945282936,0.0,0.0009017065167427063,991.0,1763260195.9693072,116480,,,-1.6274676322937012,143.4243221282959,0.4437354803085327,-0.011042783036828041
176.16310119628906,0.00022980030917096883,1388,0.0025291088968515396,0.0,0.0002178400754928589,991.0,1763260196.5698204,117120,,,-0.0001671314239501953,144.02483534812927,0.41120806336402893,0.0021327747963368893
0.0004276587860658765,0.0002293394791195169,1395,0.00021959375590085983,0.0,3.141351044178009e-06,992.0,1763260197.2709384,117888,,,-0.8808102607727051,144.7259533405304,0.4063897728919983,-0.0005495585501194
0.005915699526667595,0.00022910906409379095,1399,0.0031789736822247505,0.0,0.0013780416920781136,992.0,1763260197.6135585,118272,,,0.2930302023887634,145.06857347488403,0.43018895387649536,-0.003955301828682423
0.0006817277171649039,0.00022872503905091435,1405,-0.00034303124994039536,0.0,8.367933332920074e-06,993.0,1763260198.165555,118912,,,-0.04874289035797119,145.6205699443817,0.4304076135158539,0.0006651617586612701
211.82093811035156,0.00022711213387083262,1432,-0.0014049224555492401,0.0,0.0027984250336885452,995.0,1763260200.6567147,121600,,,-8.058547973632812e-05,148.1117296218872,0.4714408814907074,-0.02214803919196129
0.0057318201288580894,0.0002270353288622573,1433,-0.008071747608482838,0.0,0.0004597688093781471,995.0,1763260200.7652,121728,,,0.2492809295654297,148.22021484375,0.45262736082077026,0.0001733880490064621
0.0003557534364517778,0.00022565283870790154,1455,-0.016108304262161255,0.025390625,0.013922310434281826,996.0,1763260202.9124563,124032,,,-0.16337251663208008,150.36747121810913,0.4586866497993469,-0.014909766614437103
,,1456,,,,,1763260202.9307327,124058,500.0,500.0,,150.38574767112732,,
214.73301696777344,0.00022557603369932622,1457,-0.010961865074932575,0.001953125,0.0015094159170985222,996.0,1763260203.0588477,124160,,,-0.0006208419799804688,150.51386260986328,0.4456402659416199,-0.009780023247003555
0.0003817998804152012,0.00022204301785677671,1514,0.014394601806998253,0.005859375,0.0037674643099308014,998.0,1763260208.686438,130048,,,-1.1954312324523926,156.14145302772522,0.4152374863624573,0.005912398919463158
0.007465487811714411,0.0002216589928139001,1521,0.012537551112473011,0.001953125,0.0006899768486618996,998.0,1763260209.315957,130688,,,0.020564734935760498,156.7709720134735,0.4283047318458557,-0.0001060590147972107
51.515594482421875,0.00022142857778817415,1525,-0.0029881512746214867,0.0,0.0016943765804171562,998.0,1763260209.7107692,131072,,,-0.00033211708068847656,157.1657841205597,0.41418886184692383,0.01044388860464096
8.381064981222153e-05,0.0002212749677710235,1527,-0.011425202712416649,0.00390625,0.003281807526946068,998.0,1763260209.9780219,131328,,,-0.14121770858764648,157.43303680419922,0.43949612975120544,0.001957841217517853
,,1529,,,,,1763260210.1287212,131558,500.0,500.0,,157.58373618125916,,
,,1534,,,,,1763260210.6082153,132058,500.0,500.0,,158.0632302761078,,
0.006387101486325264,0.00022073733271099627,1536,-0.00392258632928133,0.00390625,0.003520713187754154,999.0,1763260210.829595,132224,,,0.005327284336090088,158.28461003303528,0.4821073114871979,-0.007586449384689331
0.00023758893075864762,0.00022027650265954435,1543,0.01103698555380106,0.00390625,0.003452771343290806,999.0,1763260211.5355,132992,,,0.1272544264793396,158.9905149936676,0.498109370470047,-0.008436303585767746
200.8755340576172,0.00022019969765096903,1545,-0.00292408000677824,0.0,0.0017671352252364159,999.0,1763260211.6728952,133120,,,0.00024956464767456055,159.1279101371765,0.4484672546386719,0.009616043418645859
0.007791522424668074,0.0002201228926423937,1546,-0.009943458251655102,0.005859375,0.0046304501593112946,999.0,1763260211.7939286,133248,,,0.02159637212753296,159.248943567276,0.46516355872154236,-0.042400144040584564
0.00021128258958924562,0.0002193548425566405,1558,0.03491252660751343,0.037109375,0.01594461500644684,999.0,1763260213.048425,134528,,,0.19182062149047852,160.50343990325928,0.43041059374809265,0.000951811671257019
,,1559,,,,,1763260213.0681615,134558,500.0,500.0,,160.52317643165588,,
0.00012449252244550735,0.00021904762252233922,1563,-0.00025562290102243423,0.0,0.0005933763459324837,999.0,1763260213.5549226,135040,,,0.07190746068954468,161.00993752479553,0.460990309715271,0.002120058983564377
0.007506649941205978,0.00021889401250518858,1566,0.020274292677640915,0.00390625,0.0021285079419612885,999.0,1763260213.823294,135296,,,-0.04508006572723389,161.2783088684082,0.4440450668334961,-0.0064759813249111176
,,1588,,,,,1763260216.040115,137558,500.0,500.0,,163.49513006210327,,
205.0578155517578,0.00021751152235083282,1589,0.0035551534965634346,0.0,0.000312277115881443,999.0,1763260216.130364,137600,,,0.00013720989227294922,163.58537888526917,0.5238704085350037,0.003013063222169876
